date,open,high,low,close,volume,adjrate
1995-04-04,2.499591,2.526183,2.393226,2.512887,40387200,0.106366
1995-04-05,2.473,2.526183,2.419817,2.419817,12236800,0.106366
1995-04-06,2.419817,2.499591,2.419817,2.459704,3776000,0.106366
1995-04-07,2.473,2.473,2.419817,2.419817,1920800,0.106366
1995-04-10,2.419818,2.473,2.419818,2.446409,2047200,0.106366
1995-04-11,2.419817,2.473,2.419817,2.433113,4096800,0.106366
1995-04-12,2.419817,2.446409,2.419817,2.433113,2457600,0.106366
1995-04-13,2.419818,2.446409,2.419818,2.446409,2297600,0.106366
1995-04-17,2.419817,2.512887,2.419817,2.512887,2233600,0.106366
1995-04-18,2.459705,2.512888,2.446409,2.499592,2441600,0.106366
1995-04-19,2.446408,2.473,2.393226,2.419817,1422400,0.106366
1995-04-20,2.393225,2.393225,2.313451,2.326747,1023200,0.106366
1995-04-21,2.313452,2.393226,2.313452,2.37993,2803200,0.106366
1995-04-24,2.340043,2.393226,2.340043,2.340043,644800,0.106366
1995-04-25,2.340043,2.393226,2.340043,2.393226,484800,0.106366
1995-04-26,2.340043,2.393226,2.340043,2.340043,151200,0.106366
1995-04-27,2.340044,2.393226,2.340044,2.366635,3552000,0.106366
1995-04-28,2.366635,2.393226,2.353339,2.353339,1076000,0.106366
1995-05-01,2.393226,2.393226,2.353339,2.353339,2287200,0.106366
1995-05-02,2.353339,2.459704,2.353339,2.419817,1212000,0.106366
1995-05-03,2.393226,2.459704,2.366635,2.433113,791200,0.106366
1995-05-04,2.419817,2.459704,2.393226,2.393226,1011200,0.106366
1995-05-05,2.393226,2.446409,2.393226,2.393226,164000,0.106366
1995-05-08,2.393226,2.459704,2.393226,2.393226,59200,0.106366
1995-05-09,2.393226,2.419817,2.326747,2.340043,592800,0.106366
1995-05-10,2.393226,2.393226,2.326747,2.340043,817600,0.106366
1995-05-11,2.340043,2.393226,2.326747,2.340043,615200,0.106366
1995-05-12,2.393226,2.393226,2.326747,2.340043,1013600,0.106366
