date,open,high,low,close,volume,adjrate
2001-07-19,12.116567,12.269028,12.036325,12.172737,34994300,0.802422
2001-07-20,12.076447,12.076447,11.875841,12.04435,9238500,0.802422
2001-07-23,12.036325,12.044349,11.675235,12.036325,7501000,0.802422
2001-07-24,11.996204,12.012252,11.795599,11.923986,3537300,0.802422
2001-07-25,11.795599,11.996204,11.755477,11.996204,4208100,0.802422
2001-07-26,11.996204,12.028301,11.635114,11.635114,6335300,0.802422
2001-07-27,11.643139,11.707333,11.635115,11.643139,3524000,0.802422
2001-07-30,11.635115,11.859793,11.635115,11.795599,3654300,0.802422
2001-07-31,11.803623,12.044349,11.715356,12.004228,1429000,0.802422
2001-08-01,12.036325,12.437536,11.956083,12.437536,2087900,0.802422
2001-08-02,12.357294,12.437536,12.116567,12.357294,1717400,0.802422
2001-08-03,12.357293,12.357293,12.020276,12.156688,983600,0.802422
2001-08-06,12.156689,12.212859,12.052374,12.116568,777400,0.802422
2001-08-07,12.116567,12.477657,12.116567,12.437536,788900,0.802422
2001-08-08,12.357294,12.517778,12.036325,12.036325,2190300,0.802422
2001-08-09,12.076446,12.437536,12.036325,12.437536,928000,0.802422
2001-08-10,12.357294,12.357294,12.132615,12.188785,703300,0.802422
2001-08-13,12.156689,12.309149,11.956084,12.04435,1770400,0.802422
2001-08-14,12.076447,12.084471,11.755478,11.795599,1000800,0.802422
2001-08-15,11.83572,11.956083,11.795599,11.867817,530900,0.802422
2001-08-16,11.859793,11.859793,11.274025,11.274025,1522700,0.802422
2001-08-17,11.282049,11.875841,11.153662,11.651163,2342400,0.802422
2001-08-20,11.715357,12.317173,11.62709,12.317173,1434900,0.802422
2001-08-21,12.23693,12.517778,12.044349,12.405439,1038200,0.802422
2001-08-22,12.293101,12.34927,11.859793,12.309149,829000,0.802422
2001-08-23,12.397415,12.397415,12.236931,12.236931,470000,0.802422
2001-08-24,12.236931,12.421488,12.036325,12.357294,689000,0.802422
2001-08-27,12.421487,12.557899,12.357293,12.421487,827700,0.802422
2001-08-28,12.373342,12.50173,12.236931,12.325197,736900,0.802422
2001-08-29,12.269028,12.285077,12.036326,12.04435,397400,0.802422
2001-08-30,11.915962,12.068422,11.915962,11.996204,640100,0.802422
2001-08-31,12.036325,12.116567,11.956083,11.956083,3337900,0.802422
2001-09-04,12.036326,12.5579,12.036326,12.341246,1068600,0.802422
2001-09-05,12.341245,12.341245,11.956083,11.964107,1053200,0.802422
2001-09-06,11.835719,12.044349,11.554872,11.635114,1384500,0.802422
2001-09-07,11.594993,11.747454,11.514751,11.651163,1408500,0.802422
2001-09-10,11.699308,12.164712,11.675235,12.156688,622100,0.802422
2001-09-17,12.148665,12.148665,11.611042,11.715357,1934300,0.802422
2001-09-18,11.715357,12.036326,11.514752,11.675236,902800,0.802422
2001-09-19,11.715356,11.787574,11.009225,11.193782,2415400,0.802422
2001-09-20,11.153662,11.153662,10.303095,10.391361,3498900,0.802422
2001-09-21,10.311119,10.431482,9.757448,10.230877,2051800,0.802422
2001-09-24,10.431482,10.65616,10.391361,10.591966,1964200,0.802422
2001-09-25,10.591967,10.591967,10.190756,10.270998,1827300,0.802422
2001-09-26,10.270997,10.399384,9.789544,9.789544,3327200,0.802422
2001-09-27,9.83769,9.83769,9.316116,9.508697,2347500,0.802422
