date,open,high,low,close,volume,adjrate
1980-03-17,0.141289,0.145007,0.141289,0.141289,618000,0.014873
1980-03-18,0.141289,0.141289,0.135712,0.141289,505200,0.014873
1980-03-19,0.141289,0.141289,0.137571,0.141289,270000,0.014873
1980-03-20,0.135711,0.135711,0.130134,0.131993,834000,0.014872
1980-03-21,0.126416,0.126416,0.11898,0.122698,1441200,0.014872
1980-03-24,0.120839,0.120839,0.111544,0.111544,1723200,0.014873
1980-03-25,0.113403,0.120839,0.113403,0.11898,2286000,0.014872
1980-03-26,0.11898,0.128275,0.11898,0.128275,967200,0.014872
1980-03-27,0.126416,0.126416,0.120839,0.124557,480000,0.014872
1980-03-28,0.124557,0.128275,0.124557,0.128275,301200,0.014872
1980-03-31,0.128275,0.130134,0.124557,0.130134,324000,0.014872
1980-04-01,0.130134,0.131993,0.130134,0.131993,715200,0.014872
1980-04-02,0.131993,0.131993,0.128275,0.130134,199200,0.014872
1980-04-03,0.130134,0.130134,0.128275,0.128275,67200,0.014872
1980-04-07,0.128275,0.130134,0.126416,0.128275,324000,0.014872
1980-04-08,0.128275,0.128275,0.120839,0.126416,463200,0.014872
1980-04-09,0.126416,0.130134,0.124557,0.130134,582000,0.014872
1980-04-10,0.130134,0.131993,0.130134,0.131993,217200,0.014872
1980-04-11,0.131993,0.133852,0.130134,0.130134,1153200,0.014872
1980-04-14,0.130134,0.131993,0.130134,0.130134,427200,0.014872
1980-04-15,0.130134,0.130134,0.126416,0.130134,235200,0.014872
1980-04-16,0.130134,0.133852,0.126416,0.126416,324000,0.014872
1980-04-17,0.126416,0.126416,0.120839,0.122698,120000,0.014872
1980-04-18,0.122698,0.126416,0.122698,0.124557,145200,0.014872
1980-04-21,0.124557,0.131993,0.124557,0.130134,355200,0.014872
1980-04-22,0.130134,0.131993,0.126416,0.130134,373200,0.014872
1980-04-23,0.130134,0.13757,0.126416,0.130134,606000,0.014872
1980-04-24,0.130134,0.130134,0.128275,0.130134,163200,0.014872
1980-04-25,0.128275,0.128275,0.124557,0.128275,355200,0.014872
1980-04-28,0.126416,0.126416,0.115262,0.11898,1524000,0.014872
1980-04-29,0.11898,0.122698,0.11898,0.120839,438000,0.014872
1980-04-30,0.120839,0.122698,0.120839,0.120839,619200,0.014872
1980-05-01,0.120839,0.122698,0.117121,0.117121,414000,0.014873
1980-05-02,0.117121,0.120839,0.117121,0.120839,522000,0.014872
1980-05-05,0.11898,0.11898,0.113403,0.115262,433200,0.014873
