date,open,high,low,close,volume,adjrate
1994-07-22,3.870767,3.896921,3.870767,3.870767,1415500,0.209231
1994-07-25,3.870767,3.896921,3.870767,3.896921,138600,0.209231
1994-07-26,3.870767,3.896921,3.870767,3.870767,71500,0.209231
1994-07-27,3.896921,3.896921,3.870767,3.870767,37300,0.209231
1994-07-28,3.870767,3.896921,3.870767,3.870767,83500,0.209231
1994-07-29,3.870767,3.896921,3.870767,3.870767,19900,0.209231
1994-08-01,3.870767,3.896921,3.870767,3.870767,21700,0.209231
1994-08-02,3.870767,3.896921,3.870767,3.870767,60000,0.209231
1994-08-03,3.870767,3.896921,3.870767,3.896921,37500,0.209231
1994-08-04,3.870767,3.870767,3.818459,3.818459,553800,0.209231
1994-08-05,3.818459,3.844613,3.818459,3.818459,130600,0.209231
1994-08-08,3.818459,3.844613,3.818459,3.818459,50700,0.209231
1994-08-09,3.844613,3.844613,3.818459,3.844613,81700,0.209231
1994-08-10,3.81846,3.81846,3.766152,3.766152,134000,0.209231
1994-08-11,3.766152,3.818459,3.739998,3.739998,67700,0.209231
1994-08-12,3.766152,3.766152,3.739998,3.766152,85700,0.209231
1994-08-15,3.739998,3.792306,3.739998,3.766152,24200,0.209231
1994-08-16,3.818459,3.818459,3.766151,3.792305,109900,0.209231
1994-08-17,3.792306,3.792306,3.766152,3.766152,92800,0.209231
1994-08-18,3.766151,3.792305,3.766151,3.792305,44900,0.209231
1994-08-19,3.766152,3.792306,3.739998,3.766152,54000,0.209231
1994-08-22,3.766152,3.766152,3.739998,3.766152,36100,0.209231
1994-08-23,3.739998,3.766152,3.739998,3.739998,27200,0.209231
1994-08-24,3.739998,3.792306,3.739998,3.766152,64400,0.209231
1994-08-25,3.792305,3.818459,3.766151,3.792305,51300,0.209231
1994-08-26,3.792305,3.818459,3.792305,3.818459,47500,0.209231
1994-08-29,3.818459,3.844613,3.792305,3.818459,45300,0.209231
1994-08-30,3.844613,3.870767,3.818459,3.870767,36300,0.209231
1994-08-31,3.870767,3.870767,3.844613,3.844613,26400,0.209231
1994-09-01,3.870767,3.870767,3.818459,3.818459,34800,0.209231
1994-09-02,3.844613,3.844613,3.792305,3.818459,35600,0.209231
1994-09-06,3.844613,3.844613,3.766152,3.766152,11600,0.209231
1994-09-07,3.766152,3.792306,3.766152,3.766152,33200,0.209231
1994-09-08,3.766151,3.792305,3.739997,3.792305,57200,0.209231
1994-09-09,3.792305,3.818459,3.68769,3.818459,33100,0.209231
1994-09-12,3.766152,3.81846,3.766152,3.766152,34400,0.209231
1994-09-13,3.792305,3.818459,3.766151,3.792305,45300,0.209231
1994-09-14,3.792305,3.818459,3.713844,3.713844,36200,0.209231
1994-09-15,3.739998,3.792306,3.739998,3.766152,116100,0.209231
1994-09-16,3.766152,3.766152,3.713844,3.713844,25600,0.209231
1994-09-19,3.713844,3.739998,3.661536,3.713844,71600,0.209231
1994-09-20,3.68769,3.68769,3.609228,3.635382,72600,0.209231
1994-09-21,3.609229,3.661536,3.556921,3.583075,124500,0.209231
1994-09-22,3.583075,3.68769,3.583075,3.68769,83800,0.209231
1994-09-23,3.68769,3.713844,3.661536,3.661536,43800,0.209231
1994-09-26,3.713844,3.713844,3.661536,3.713844,36800,0.209231
1994-09-27,3.713844,3.818459,3.68769,3.68769,60900,0.209231
1994-09-28,3.713844,3.713844,3.661536,3.661536,36200,0.209231
1994-09-29,3.661536,3.713844,3.635382,3.68769,26400,0.209231
1994-09-30,3.635382,3.661536,3.609228,3.635382,28200,0.209231
1994-10-03,3.609229,3.635383,3.583075,3.583075,24400,0.209231
1994-10-04,3.609228,3.635382,3.452305,3.504613,60700,0.209231
1994-10-05,3.504614,3.583075,3.504614,3.583075,22800,0.209231
1994-10-06,3.556921,3.609229,3.556921,3.609229,32900,0.209231
1994-10-07,3.609228,3.661536,3.583074,3.635382,18600,0.209231
1994-10-10,3.68769,3.713844,3.68769,3.68769,12100,0.209231
1994-10-11,3.739998,3.766152,3.713844,3.739998,31400,0.209231
1994-10-12,3.766152,3.766152,3.713844,3.739998,14300,0.209231
1994-10-13,3.739998,3.792306,3.713844,3.739998,14300,0.209231
1994-10-14,3.739998,3.739998,3.713844,3.713844,11000,0.209231
1994-10-17,3.713844,3.739998,3.68769,3.739998,7300,0.209231
1994-10-18,3.713844,3.739998,3.68769,3.713844,10500,0.209231
1994-10-19,3.713844,3.792306,3.713844,3.766152,44000,0.209231
1994-10-20,3.766152,3.792306,3.739998,3.766152,69500,0.209231
1994-10-21,3.766152,3.766152,3.713844,3.766152,39400,0.209231
1994-10-24,3.766152,3.766152,3.713844,3.713844,7800,0.209231
1994-10-25,3.713844,3.766152,3.713844,3.739998,4900,0.209231
1994-10-26,3.713844,3.739998,3.713844,3.713844,12800,0.209231
1994-10-27,3.713844,3.792306,3.713844,3.766152,122700,0.209231
1994-10-28,3.766152,3.792306,3.766152,3.766152,13200,0.209231
1994-10-31,3.792305,3.818459,3.766151,3.818459,67200,0.209231
1994-11-01,3.792306,3.81846,3.766152,3.766152,35600,0.209231
1994-11-02,3.766151,3.818459,3.766151,3.792305,36800,0.209231
1994-11-03,3.792305,3.818459,3.766151,3.792305,50900,0.209231
1994-11-04,3.792306,3.81846,3.766152,3.766152,21400,0.209231
1994-11-07,3.766152,3.766152,3.713844,3.739998,25000,0.209231
1994-11-08,3.748505,3.77509,3.695335,3.748505,28200,0.212681
1994-11-09,3.77509,3.77509,3.72192,3.72192,19100,0.212681
1994-11-10,3.72192,3.748505,3.72192,3.748505,17500,0.212681
1994-11-11,3.72192,3.748505,3.695335,3.72192,8500,0.212681
1994-11-14,3.72192,3.77509,3.72192,3.72192,22400,0.212681
1994-11-15,3.72192,3.77509,3.695335,3.77509,75900,0.212681
1994-11-16,3.748505,3.77509,3.72192,3.748505,13800,0.212681
1994-11-17,3.748505,3.801675,3.748505,3.77509,42100,0.212681
1994-11-18,3.77509,3.82826,3.77509,3.77509,26100,0.212681
1994-11-21,3.82826,3.82826,3.77509,3.801675,45200,0.212681
1994-11-22,3.77509,3.77509,3.668749,3.668749,27700,0.212681
1994-11-23,3.642165,3.695335,3.562409,3.695335,36200,0.212681
1994-11-25,3.695334,3.721919,3.668749,3.668749,5000,0.212681
1994-11-28,3.668749,3.668749,3.642164,3.642164,10800,0.212681
1994-11-29,3.615579,3.615579,3.509239,3.535824,30200,0.212681
1994-11-30,3.535824,3.615579,3.535824,3.588994,42000,0.212681
1994-12-01,3.588994,3.615579,3.588994,3.615579,13000,0.212681
1994-12-02,3.588994,3.615579,3.562409,3.615579,28000,0.212681
1994-12-05,3.615579,3.615579,3.588994,3.588994,8500,0.212681
1994-12-06,3.588994,3.61558,3.509239,3.509239,39100,0.212681
1994-12-07,3.535824,3.562409,3.482654,3.509239,38700,0.212681
1994-12-08,3.509239,3.535824,3.509239,3.509239,22600,0.212681
1994-12-09,3.482654,3.509239,3.456069,3.509239,21600,0.212681
1994-12-12,3.509239,3.562409,3.509239,3.509239,21200,0.212681
1994-12-13,3.509239,3.535824,3.482654,3.535824,21900,0.212681
1994-12-14,3.482653,3.615579,3.482653,3.615579,24800,0.212681
1994-12-15,3.668749,3.721919,3.615579,3.668749,62800,0.212681
1994-12-16,3.642164,3.695334,3.642164,3.668749,50100,0.212681
1994-12-19,3.668749,3.695334,3.668749,3.668749,20100,0.212681
1994-12-20,3.695335,3.695335,3.66875,3.695335,13400,0.212681
1994-12-21,3.668749,3.695334,3.642164,3.668749,25600,0.212681
1994-12-22,3.668749,3.668749,3.615579,3.668749,16000,0.212681
1994-12-23,3.695335,3.72192,3.695335,3.695335,31000,0.212681
1994-12-27,3.695335,3.72192,3.695335,3.72192,11800,0.212681
1994-12-28,3.668749,3.721919,3.668749,3.668749,15100,0.212681
1994-12-29,3.668749,3.695334,3.615579,3.642164,16200,0.212681
1994-12-30,3.615579,3.668749,3.509238,3.668749,24300,0.212681
1995-01-03,3.695335,3.695335,3.66875,3.695335,9500,0.212681
1995-01-04,3.695334,3.695334,3.668749,3.668749,14500,0.212681
1995-01-05,3.695335,3.695335,3.66875,3.695335,4700,0.212681
1995-01-06,3.695334,3.695334,3.668749,3.668749,11000,0.212681
1995-01-09,3.695335,3.72192,3.66875,3.695335,10000,0.212681
1995-01-10,3.695335,3.748505,3.66875,3.748505,52400,0.212681
1995-01-11,3.748505,3.748505,3.695335,3.72192,9500,0.212681
1995-01-12,3.72192,3.77509,3.695335,3.695335,18600,0.212681
1995-01-13,3.721919,3.721919,3.642164,3.668749,10500,0.212681
1995-01-16,3.695335,3.72192,3.66875,3.72192,5300,0.212681
1995-01-17,3.695335,3.72192,3.66875,3.695335,21100,0.212681
1995-01-18,3.695335,3.72192,3.66875,3.695335,36600,0.212681
1995-01-19,3.695335,3.72192,3.695335,3.72192,8100,0.212681
1995-01-20,3.72192,3.72192,3.66875,3.695335,20500,0.212681
1995-01-23,3.668749,3.668749,3.642164,3.642164,6900,0.212681
1995-01-24,3.668749,3.668749,3.642164,3.668749,11700,0.212681
1995-01-25,3.642164,3.668749,3.642164,3.668749,4100,0.212681
1995-01-26,3.668749,3.668749,3.642164,3.668749,7500,0.212681
1995-01-27,3.66875,3.72192,3.66875,3.72192,58000,0.212681
1995-01-30,3.748505,3.801675,3.72192,3.801675,20000,0.212681
1995-01-31,3.82826,3.854845,3.801675,3.801675,174200,0.212681
1995-02-01,3.837602,3.864819,3.810385,3.837602,26200,0.217736
1995-02-02,3.810385,3.837602,3.810385,3.837602,7700,0.217736
1995-02-03,3.837602,3.864819,3.810385,3.864819,60900,0.217736
1995-02-06,3.837602,3.892036,3.837602,3.864819,14200,0.217736
1995-02-07,3.919253,3.973687,3.892036,3.94647,47100,0.217736
1995-02-08,3.973687,4.028121,3.973687,4.000904,67100,0.217736
1995-02-09,4.000904,4.000904,3.94647,3.973687,19600,0.217736
1995-02-10,4.000904,4.000904,3.892036,3.919253,31700,0.217736
1995-02-13,3.919253,3.919253,3.892036,3.892036,14000,0.217736
1995-02-14,3.919253,3.973687,3.919253,3.94647,9900,0.217736
1995-02-15,3.94647,3.973687,3.892036,3.919253,21800,0.217736
1995-02-16,3.919253,3.919253,3.864819,3.864819,20200,0.217736
1995-02-17,3.864819,3.892036,3.864819,3.892036,22100,0.217736
1995-02-21,3.892036,3.919253,3.837602,3.864819,28600,0.217736
1995-02-22,3.919253,3.919253,3.892036,3.892036,15400,0.217736
1995-02-23,3.919253,3.94647,3.864819,3.892036,22700,0.217736
1995-02-24,3.864819,3.94647,3.864819,3.94647,35200,0.217736
1995-02-27,3.919253,3.94647,3.919253,3.919253,12000,0.217736
1995-02-28,3.94647,3.94647,3.919253,3.919253,13700,0.217736
1995-03-01,3.973687,3.973687,3.94647,3.94647,23500,0.217736
1995-03-02,3.94647,3.973687,3.919253,3.919253,16800,0.217736
1995-03-03,3.919253,3.973687,3.919253,3.919253,27900,0.217736
1995-03-06,3.94647,3.973687,3.919253,3.94647,9600,0.217736
1995-03-07,3.919253,3.919253,3.892036,3.919253,9200,0.217736
1995-03-08,3.94647,3.94647,3.864819,3.892036,42500,0.217736
1995-03-09,3.919253,3.94647,3.919253,3.919253,58200,0.217736
1995-03-10,3.919253,3.973687,3.919253,3.919253,51400,0.217736
1995-03-13,3.94647,3.973687,3.919253,3.94647,26100,0.217736
1995-03-14,3.94647,4.000904,3.94647,3.973687,38500,0.217736
1995-03-15,4.000904,4.082555,3.973687,3.973687,38700,0.217736
1995-03-16,3.973687,4.000904,3.973687,3.973687,24400,0.217736
1995-03-17,4.000904,4.028121,3.973687,4.000904,13100,0.217736
1995-03-20,4.000904,4.028121,4.000904,4.000904,22100,0.217736
1995-03-21,4.028121,4.028121,3.973687,3.973687,41800,0.217736
1995-03-22,4.000904,4.000904,3.94647,3.94647,23000,0.217736
1995-03-23,4.000904,4.000904,3.973687,3.973687,22400,0.217736
1995-03-24,3.973687,4.028121,3.919253,3.973687,28900,0.217736
1995-03-27,3.973687,4.000904,3.94647,3.973687,15900,0.217736
1995-03-28,4.000904,4.028121,3.973687,4.028121,26200,0.217736
1995-03-29,4.028121,4.028121,3.973687,4.000904,18000,0.217736
1995-03-30,4.000904,4.000904,3.973687,4.000904,6300,0.217736
