date,open,high,low,close,volume,adjrate
1993-06-03,8.544875,8.61668,8.329457,8.437166,56603000,0.287223
1993-06-04,8.36536,8.437166,8.221749,8.221749,12644400,0.287223
1993-06-07,8.114041,8.185847,8.042235,8.078138,10043800,0.287223
1993-06-08,8.078137,8.11404,7.934526,7.970429,6974600,0.287223
1993-06-09,8.006332,8.185847,8.006332,8.114041,4043200,0.287223
1993-06-10,8.078138,8.114041,8.006332,8.042235,2605400,0.287223
1993-06-11,8.042235,8.149944,8.042235,8.042235,2641600,0.287223
1993-06-14,8.078137,8.11404,7.970429,7.970429,1806200,0.287223
1993-06-15,8.042235,8.042235,7.970429,8.006332,2257600,0.287223
1993-06-16,8.006332,8.042235,7.970429,8.042235,2391600,0.287223
1993-06-17,8.042235,8.114041,8.006332,8.042235,2126800,0.287223
1993-06-18,8.042236,8.042236,7.934527,7.934527,2128600,0.287223
1993-06-21,7.934527,7.934527,7.790915,7.862721,2101000,0.287223
1993-06-22,7.86272,7.970429,7.86272,7.970429,1593600,0.287223
1993-06-23,7.97043,8.042236,7.934527,7.934527,1948000,0.287223
1993-06-24,7.934527,8.078138,7.826818,8.078138,3305200,0.287223
1993-06-25,8.185846,8.221749,8.078138,8.185846,2468000,0.287223
1993-06-28,8.149944,8.329458,8.149944,8.329458,2522600,0.287223
1993-06-29,8.293555,8.329458,8.114041,8.257652,1190800,0.287223
1993-06-30,8.329458,8.401264,8.293555,8.329458,2553800,0.287223
1993-07-01,8.437166,8.473069,8.221749,8.473069,2857800,0.287223
1993-07-02,8.293555,8.293555,8.221749,8.257652,1077200,0.287223
1993-07-06,8.293555,8.36536,8.221749,8.221749,1237600,0.287223
1993-07-07,8.185846,8.257652,8.149943,8.185846,1667200,0.287223
1993-07-08,8.221749,8.329458,8.185846,8.293555,1588600,0.287223
1993-07-09,8.36536,8.401263,8.185846,8.185846,1731200,0.287223
1993-07-12,8.257652,8.257652,8.006332,8.114041,1738600,0.287223
1993-07-13,8.149943,8.293555,8.149943,8.221749,1305000,0.287223
