date,open,high,low,close,volume,adjrate
1990-05-11,2.933859,3.272381,2.933859,2.933859,10200,0.451363
1990-05-14,3.272381,3.610903,3.272381,3.272381,42800,0.451363
1990-05-15,3.272381,3.385222,3.10312,3.10312,9200,0.451363
1990-05-16,3.10312,3.272381,2.821018,2.821018,21200,0.451363
1990-05-17,2.821018,2.933858,2.708177,2.708177,46800,0.451363
1990-05-18,3.046699,3.27238,3.046699,3.046699,28800,0.451363
1990-05-21,3.0467,3.15954,2.933859,2.933859,16000,0.451363
1990-05-22,2.933859,3.046699,2.821018,2.821018,17400,0.451363
1990-05-23,2.821018,3.046699,2.708177,2.708177,10200,0.451363
1990-05-24,2.821018,3.046699,2.821018,2.821018,6800,0.451363
1990-05-25,3.046699,3.27238,3.046699,3.046699,49000,0.451363
1990-05-29,3.15954,3.272381,3.15954,3.15954,36000,0.451363
1990-05-30,3.15954,3.272381,3.15954,3.15954,40600,0.451363
1990-05-31,3.15954,3.27238,3.046699,3.046699,66800,0.451363
1990-06-01,3.0467,3.15954,2.933859,2.933859,50600,0.451363
1990-06-04,3.949425,4.175106,3.949425,3.949425,98000,0.451363
1990-06-05,4.175106,4.400787,4.175106,4.175106,60800,0.451363
1990-06-06,5.190673,5.416354,5.190673,5.190673,167400,0.451363
1990-06-07,5.642036,5.754877,5.642036,5.642036,144600,0.451363
1990-06-08,5.303514,5.303514,5.190673,5.190673,84000,0.451363
1990-06-11,4.85215,4.85215,4.626469,4.626469,102200,0.451363
1990-06-12,4.852151,5.077832,4.852151,4.852151,45200,0.451363
1990-06-13,5.077832,5.190673,5.077832,5.077832,47400,0.451363
1990-06-14,5.416354,5.529195,5.416354,5.416354,85200,0.451363
1990-06-15,5.416354,5.416354,5.190673,5.190673,31200,0.451363
1990-06-18,5.190673,5.416354,5.190673,5.190673,67200,0.451363
1990-06-19,5.077832,5.077832,4.964991,4.964991,57600,0.451363
1990-06-20,5.190673,5.416354,5.190673,5.190673,75000,0.451363
1990-06-21,5.867717,6.093398,5.867717,5.867717,92400,0.451363
1990-06-22,5.867717,6.093398,5.867717,5.867717,36200,0.451363
1990-06-25,6.093398,6.319079,6.093398,6.093398,43200,0.451363
1990-06-26,6.093398,6.319079,6.093398,6.093398,30400,0.451363
1990-06-27,7.108965,7.334646,7.108965,7.108965,133200,0.451363
1990-06-28,7.673168,8.237372,7.673168,7.673168,116200,0.451363
1990-06-29,7.673169,7.786009,7.560328,7.560328,69400,0.451363
1990-07-02,7.673168,8.01169,7.673168,7.673168,53800,0.451363
