date,open,high,low,close,volume,adjrate
1996-09-26,8.541985,9.027325,8.250781,8.978791,13872600,0.388272
1996-09-27,8.881723,9.027325,8.833189,8.930257,2223600,0.388272
1996-09-30,8.978791,9.561199,8.930257,9.512665,1596000,0.388272
1996-10-01,9.609733,9.900937,9.561199,9.852403,864000,0.388272
1996-10-02,10.192141,10.192141,9.755335,9.803869,473600,0.388272
1996-10-03,9.706801,9.706801,9.221461,9.221461,573600,0.388272
1996-10-04,9.221461,9.221461,8.639053,8.687587,708200,0.388272
1996-10-07,8.590519,9.124393,8.541985,8.978791,688600,0.388272
1996-10-08,9.027325,9.027325,8.784655,8.978791,723200,0.388272
1996-10-09,8.930257,8.978791,8.833189,8.930257,185600,0.388272
1996-10-10,8.930257,9.027325,8.881723,8.978791,439200,0.388272
1996-10-11,8.930257,8.978791,8.833189,8.833189,181200,0.388272
1996-10-14,8.833189,9.269995,8.784655,9.269995,268400,0.388272
1996-10-15,9.269995,9.609733,9.269995,9.561199,361600,0.388272
1996-10-16,9.512665,9.512665,9.415597,9.512665,319600,0.388272
1996-10-17,9.512665,10.483345,9.512665,10.192141,411800,0.388272
1996-10-18,10.143607,10.143607,10.046539,10.095073,175600,0.388272
1996-10-21,10.095073,10.386277,9.900937,9.949471,399400,0.388272
1996-10-22,9.900937,9.900937,9.318529,9.318529,197000,0.388272
1996-10-23,9.318529,9.318529,8.930257,9.027325,188800,0.388272
1996-10-24,9.027325,9.075859,8.930257,9.075859,163600,0.388272
1996-10-25,9.075859,9.269995,9.075859,9.269995,140600,0.388272
1996-10-28,9.221461,9.221461,8.687587,8.784655,258400,0.388272
1996-10-29,8.541985,8.930257,8.444917,8.833189,488800,0.388272
1996-10-30,8.881723,8.881723,8.541985,8.639053,182200,0.388272
1996-10-31,8.639053,8.639053,8.493451,8.541985,503200,0.388272
1996-11-01,8.493451,8.493451,8.347849,8.444917,365400,0.388272
1996-11-04,8.541985,8.590519,8.396383,8.444917,96400,0.388272
1996-11-05,8.541985,8.881723,8.541985,8.833189,618800,0.388272
1996-11-06,8.784655,8.833189,8.687587,8.687587,212800,0.388272
1996-11-07,8.590519,9.221461,8.590519,9.221461,287600,0.388272
1996-11-08,9.124393,9.221461,9.124393,9.172927,216200,0.388272
1996-11-11,9.221461,9.269995,9.124393,9.124393,62000,0.388272
1996-11-12,9.075859,9.075859,8.736121,8.784655,116400,0.388272
1996-11-13,8.687587,8.687587,8.541985,8.639053,38800,0.388272
1996-11-14,8.590519,8.590519,8.202247,8.250781,513400,0.388272
1996-11-15,8.250781,8.250781,8.153713,8.202247,540200,0.388272
1996-11-18,8.202247,8.347849,8.105179,8.347849,477000,0.388272
1996-11-19,8.541985,8.736121,8.105179,8.105179,1090800,0.388272
1996-11-20,8.153713,8.153713,7.425703,7.619839,965400,0.388272
1996-11-21,7.474237,7.474237,6.843295,7.134499,853200,0.388272
1996-11-22,7.231567,7.377169,7.231567,7.328635,486600,0.388272
1996-11-25,7.328635,7.328635,7.231567,7.231567,100400,0.388272
1996-11-26,7.183033,7.231567,7.037431,7.134499,91000,0.388272
1996-11-27,7.085965,7.134499,7.037431,7.134499,102000,0.388272
1996-11-29,7.085965,7.134499,7.085965,7.134499,25400,0.388272
1996-12-02,7.231567,7.959577,7.231567,7.862509,245400,0.388272
1996-12-03,7.911043,8.008111,7.668373,7.765441,241400,0.388272
1996-12-04,7.765441,7.765441,7.474237,7.571305,115600,0.388272
1996-12-05,7.522771,7.668373,7.522771,7.668373,118800,0.388272
1996-12-06,7.619839,7.716907,7.377169,7.619839,180800,0.388272
1996-12-09,7.619839,7.716907,7.571305,7.716907,38600,0.388272
1996-12-10,7.668373,7.668373,7.522771,7.571305,63400,0.388272
1996-12-11,7.474237,7.474237,7.425703,7.474237,59800,0.388272
1996-12-12,7.474237,7.522771,7.183033,7.183033,54800,0.388272
1996-12-13,7.231567,7.280101,7.231567,7.231567,17600,0.388272
1996-12-16,7.183033,7.183033,6.988897,6.988897,36800,0.388272
1996-12-17,6.891829,6.940363,6.649159,6.649159,78400,0.388272
1996-12-18,6.600625,6.600625,6.503557,6.503557,46600,0.388272
1996-12-19,6.503557,6.503557,6.212353,6.260887,115600,0.388272
1996-12-20,6.212353,6.455023,6.115285,6.406489,500200,0.388272
1996-12-23,6.406489,6.455023,6.309421,6.455023,448000,0.388272
1996-12-24,6.503557,6.988897,6.503557,6.891829,268000,0.388272
1996-12-26,6.891829,6.891829,6.746227,6.746227,147600,0.388272
1996-12-27,6.746227,6.746227,6.455023,6.503557,99200,0.388272
1996-12-30,6.455023,6.503557,6.260887,6.357955,131200,0.388272
1996-12-31,6.357955,6.406489,6.309421,6.406489,127200,0.388272
1997-01-02,6.455023,6.455023,6.260887,6.357955,56200,0.388272
1997-01-03,6.357955,6.406489,6.260887,6.357955,52000,0.388272
1997-01-06,6.260887,6.309421,5.096071,5.241673,924800,0.388272
1997-01-07,5.241673,5.241673,4.950469,5.047537,1021600,0.388272
1997-01-08,5.047537,5.241673,4.901935,4.901935,465000,0.388272
1997-01-09,5.629945,5.629945,5.387275,5.532877,1101600,0.388272
1997-01-10,5.581411,6.455023,5.581411,6.260887,856800,0.388272
1997-01-13,6.309421,6.309421,6.212353,6.260887,66600,0.388272
1997-01-14,6.212353,6.212353,5.969683,5.969683,130200,0.388272
1997-01-15,6.018217,6.018217,5.727013,5.775547,358000,0.388272
1997-01-16,5.824081,5.969683,5.824081,5.872615,141800,0.388272
1997-01-17,5.824081,6.115285,5.824081,6.115285,234400,0.388272
1997-01-20,6.115285,6.163819,6.115285,6.115285,67400,0.388272
1997-01-21,6.115285,6.115285,6.018217,6.066751,106000,0.388272
1997-01-22,6.066751,6.066751,5.921149,5.969683,130200,0.388272
1997-01-23,5.969683,5.969683,5.824081,5.824081,65200,0.388272
1997-01-24,5.824081,5.872615,5.727013,5.824081,143000,0.388272
1997-01-27,5.824081,5.824081,5.581411,5.629945,139000,0.388272
1997-01-28,5.629945,5.629945,5.484343,5.532877,198400,0.388272
1997-01-29,5.532877,5.581411,5.484343,5.532877,343600,0.388272
1997-01-30,5.629945,5.727013,5.387275,5.484343,440800,0.388272
1997-01-31,5.435809,5.629945,5.338741,5.338741,558600,0.388272
1997-02-03,5.290207,5.290207,5.047537,5.144605,905600,0.388272
1997-02-04,5.144605,5.387275,4.853401,5.338741,477200,0.388272
1997-02-05,5.338741,5.532877,5.241673,5.290207,751200,0.388272
1997-02-06,5.241673,5.338741,5.144605,5.290207,118400,0.388272
1997-02-07,5.290207,5.338741,5.290207,5.290207,50800,0.388272
1997-02-10,5.290207,5.338741,5.096071,5.241673,119000,0.388272
1997-02-11,5.241673,5.241673,5.144605,5.193139,77600,0.388272
1997-02-12,5.193139,5.338741,5.193139,5.241673,227000,0.388272
1997-02-13,5.872615,5.921149,5.581411,5.678479,1221800,0.388272
1997-02-14,5.775547,5.824081,5.678479,5.824081,585600,0.388272
1997-02-18,5.824081,5.824081,5.678479,5.727013,96600,0.388272
1997-02-19,5.775547,6.018217,5.678479,5.921149,373800,0.388272
1997-02-20,5.969683,6.115285,5.921149,6.066751,432200,0.388272
1997-02-21,6.066751,6.552091,6.066751,6.455023,619200,0.388272
1997-02-24,6.455023,6.843295,6.455023,6.843295,644800,0.388272
1997-02-25,7.134499,7.134499,6.697693,6.697693,610600,0.388272
1997-02-26,6.746227,6.794761,6.697693,6.697693,170000,0.388272
1997-02-27,6.794761,6.843295,6.697693,6.746227,231400,0.388272
1997-02-28,6.697693,6.746227,6.600625,6.746227,148800,0.388272
1997-03-03,6.697693,6.697693,6.552091,6.552091,537200,0.388272
1997-03-04,6.503557,6.600625,6.503557,6.552091,215800,0.388272
1997-03-05,6.552091,6.600625,6.455023,6.455023,137800,0.388272
1997-03-06,6.406489,6.552091,6.406489,6.552091,434400,0.388272
1997-03-07,6.503557,6.552091,6.503557,6.503557,57200,0.388272
1997-03-10,6.455023,6.552091,6.406489,6.455023,93200,0.388272
1997-03-11,6.406489,6.455023,6.406489,6.406489,53000,0.388272
1997-03-12,6.406489,6.552091,6.309421,6.503557,302200,0.388272
1997-03-13,6.503557,6.503557,6.309421,6.309421,88400,0.388272
1997-03-14,6.309421,6.455023,6.309421,6.357955,52400,0.388272
1997-03-17,6.309421,6.503557,6.260887,6.455023,241800,0.388272
1997-03-18,6.503557,6.503557,6.406489,6.455023,35400,0.388272
1997-03-19,6.406489,6.406489,6.260887,6.260887,42200,0.388272
1997-03-20,6.260887,6.260887,6.115285,6.163819,185400,0.388272
1997-03-21,6.115285,6.260887,6.115285,6.163819,57000,0.388272
1997-03-24,6.212353,6.212353,6.018217,6.163819,113600,0.388272
1997-03-25,6.115285,6.212353,6.115285,6.115285,47400,0.388272
1997-03-26,6.115285,6.163819,6.018217,6.018217,131000,0.388272
1997-03-27,6.018217,6.018217,5.872615,5.969683,64400,0.388272
1997-03-31,5.921149,5.969683,5.872615,5.921149,72400,0.388272
1997-04-01,5.969683,5.969683,5.629945,5.678479,112800,0.388272
1997-04-02,5.678479,5.775547,5.581411,5.727013,140200,0.388272
1997-04-03,5.678479,5.678479,5.435809,5.435809,194400,0.388272
1997-04-04,5.387275,5.824081,5.387275,5.824081,101600,0.388272
1997-04-07,5.824081,5.969683,5.824081,5.872615,42800,0.388272
1997-04-08,5.872615,5.921149,5.727013,5.727013,74800,0.388272
1997-04-09,5.775547,5.775547,5.678479,5.678479,46400,0.388272
1997-04-10,5.727013,5.727013,5.532877,5.629945,59400,0.388272
1997-04-11,5.629945,5.629945,5.435809,5.435809,55800,0.388272
1997-04-14,5.484343,5.484343,4.950469,5.047537,269000,0.388272
1997-04-15,5.047537,5.096071,4.999003,5.096071,1060800,0.388272
1997-04-16,5.047537,5.047537,4.999003,4.999003,92800,0.388272
1997-04-17,5.047537,5.387275,5.047537,5.193139,346800,0.388272
1997-04-18,5.193139,5.193139,5.047537,5.193139,32200,0.388272
1997-04-21,5.193139,5.193139,5.096071,5.096071,114000,0.388272
1997-04-22,5.241673,5.435809,5.144605,5.435809,597600,0.388272
1997-04-23,5.290207,5.678479,5.290207,5.629945,641800,0.388272
1997-04-24,5.678479,5.727013,5.484343,5.532877,336600,0.388272
1997-04-25,5.484343,5.484343,5.338741,5.435809,120200,0.388272
1997-04-28,5.435809,5.484343,5.387275,5.435809,38600,0.388272
1997-04-29,5.532877,5.532877,5.435809,5.435809,284400,0.388272
1997-04-30,5.484343,5.727013,5.484343,5.678479,146600,0.388272
1997-05-01,5.775547,5.824081,5.727013,5.775547,53200,0.388272
1997-05-02,5.824081,5.969683,5.824081,5.921149,83200,0.388272
1997-05-05,5.921149,6.260887,5.921149,6.212353,52600,0.388272
1997-05-06,6.357955,6.357955,6.163819,6.212353,65400,0.388272
1997-05-07,6.260887,6.309421,6.115285,6.115285,83800,0.388272
1997-05-08,6.066751,6.357955,6.066751,6.357955,129200,0.388272
1997-05-09,6.309421,6.357955,6.212353,6.309421,67600,0.388272
1997-05-12,6.212353,6.309421,6.163819,6.260887,90000,0.388272
1997-05-13,6.357955,6.357955,6.163819,6.212353,63600,0.388272
1997-05-14,6.503557,6.988897,6.455023,6.697693,959800,0.388272
1997-05-15,6.697693,7.085965,6.697693,7.085965,415000,0.388272
1997-05-16,7.085965,7.134499,6.940363,6.988897,269200,0.388272
1997-05-19,7.085965,7.183033,7.037431,7.134499,288600,0.388272
1997-05-20,7.134499,7.183033,7.085965,7.085965,134600,0.388272
1997-05-21,7.085965,7.134499,6.940363,7.037431,249600,0.388272
1997-05-22,6.988897,6.988897,6.940363,6.988897,48200,0.388272
1997-05-23,6.988897,6.988897,6.940363,6.988897,288200,0.388272
1997-05-27,6.940363,6.940363,6.794761,6.891829,218000,0.388272
1997-05-28,6.891829,6.940363,6.794761,6.794761,370800,0.388272
1997-05-29,6.843295,6.843295,6.746227,6.746227,32200,0.388272
1997-05-30,6.794761,6.794761,6.697693,6.746227,102200,0.388272
1997-06-02,6.794761,7.134499,6.794761,7.085965,690200,0.388272
