date,open,high,low,close,volume,adjrate
1994-03-11,9.061638,9.171476,9.061638,9.171476,2359000,0.439352
1994-03-14,9.116557,9.116557,9.061638,9.061638,536500,0.439352
1994-03-15,9.061638,9.116557,9.061638,9.061638,215700,0.439352
1994-03-16,9.061638,9.391152,9.061638,9.391152,338600,0.439352
1994-03-17,9.391152,9.391152,9.171476,9.281314,195900,0.439352
1994-03-18,9.281314,9.281314,9.116557,9.226395,285700,0.439352
1994-03-21,9.226395,9.226395,9.171476,9.171476,38900,0.439352
1994-03-22,9.171476,9.171476,9.116557,9.116557,78400,0.439352
1994-03-23,9.116557,9.446071,9.116557,9.336233,209200,0.439352
1994-03-24,9.281314,9.281314,9.226395,9.226395,155000,0.439352
1994-03-25,9.226395,9.281314,9.226395,9.226395,91500,0.439352
1994-03-28,9.226395,9.281314,9.171476,9.281314,111200,0.439352
1994-03-29,9.281314,9.281314,9.061638,9.061638,101200,0.439352
1994-03-30,9.061638,9.116557,8.9518,9.006719,105000,0.439352
1994-03-31,9.006719,9.061638,9.006719,9.061638,108300,0.439352
1994-04-04,8.9518,8.9518,8.787043,8.841962,42300,0.439352
1994-04-05,8.896881,9.171476,8.896881,9.116557,55600,0.439352
1994-04-06,9.116557,9.171476,9.116557,9.171476,31800,0.439352
1994-04-07,9.171476,9.226395,9.116557,9.116557,52000,0.439352
1994-04-08,9.116557,9.116557,9.006719,9.006719,24000,0.439352
1994-04-11,9.006719,9.061638,8.9518,8.9518,44400,0.439352
1994-04-12,8.9518,9.006719,8.896881,9.006719,15100,0.439352
1994-04-13,9.006719,9.006719,8.9518,8.9518,30500,0.439352
1994-04-14,8.9518,9.006719,8.9518,8.9518,38800,0.439352
1994-04-15,8.9518,9.006719,8.841962,8.841962,12200,0.439352
1994-04-18,8.841962,8.9518,8.841962,8.841962,39800,0.439352
1994-04-19,8.896881,8.9518,8.896881,8.896881,24500,0.439352
1994-04-20,8.896881,8.896881,8.841962,8.896881,72000,0.439352
1994-04-21,8.896881,8.9518,8.896881,8.896881,15000,0.439352
1994-04-22,8.896881,9.006719,8.841962,9.006719,20700,0.439352
1994-04-25,9.006719,9.006719,8.896881,8.896881,27300,0.439352
1994-04-26,8.9518,9.006719,8.9518,9.006719,64000,0.439352
1994-04-28,9.006719,9.116557,9.006719,9.061638,27100,0.439352
1994-04-29,9.061638,9.061638,9.006719,9.006719,5500,0.439352
1994-05-02,9.006719,9.061638,9.006719,9.061638,11700,0.439352
1994-05-03,9.061638,9.061638,8.9518,9.006719,29000,0.439352
1994-05-04,9.006719,9.006719,8.896881,8.896881,39600,0.439352
1994-05-05,8.896881,8.9518,8.841962,8.9518,7600,0.439352
1994-05-06,8.9518,8.9518,8.787043,8.841962,13600,0.439352
1994-05-09,8.841962,8.896881,8.841962,8.896881,3700,0.439352
1994-05-10,8.896881,8.896881,8.841962,8.896881,75100,0.439352
1994-05-11,8.896881,8.9518,8.841962,8.896881,81400,0.439352
1994-05-12,8.896881,8.9518,8.896881,8.896881,7100,0.439352
1994-05-13,8.896881,8.9518,8.896881,8.896881,14500,0.439352
1994-05-16,8.896881,8.9518,8.841962,8.896881,12600,0.439352
