date,open,high,low,close,volume,adjrate
1972-06-01,1.894635,1.921349,1.894635,1.915184,180000,0.016439
1972-06-02,1.923403,1.946008,1.923403,1.935733,208800,0.016439
1972-06-05,1.935733,1.935733,1.915184,1.915184,88000,0.016439
1972-06-06,1.917239,1.939843,1.917239,1.931623,86400,0.016439
1972-06-07,1.927514,1.927514,1.882306,1.898745,173600,0.016439
1972-06-08,1.896689,1.896689,1.87614,1.882305,107200,0.016439
1972-06-09,1.882305,1.890525,1.865866,1.88847,125600,0.016439
1972-06-12,1.888471,1.890525,1.876141,1.876141,109600,0.016439
1972-06-13,1.876141,1.886416,1.874086,1.876141,74400,0.016439
1972-06-14,1.88436,1.915184,1.88436,1.906964,217600,0.016439
1972-06-15,1.906965,1.927514,1.902855,1.902855,116000,0.016439
1972-06-16,1.902855,1.90491,1.874086,1.874086,96000,0.016439
1972-06-19,1.874086,1.876141,1.828878,1.845317,186400,0.016439
1972-06-20,1.845317,1.923404,1.841207,1.9008,145600,0.016439
1972-06-21,1.9008,1.931624,1.898745,1.925459,68800,0.016439
1972-06-22,1.925458,1.939843,1.900799,1.931623,73600,0.016439
1972-06-23,1.935733,1.954227,1.935733,1.935733,107200,0.016439
1972-06-26,1.929568,1.929568,1.894634,1.906964,108800,0.016439
1972-06-27,1.906965,1.943953,1.906965,1.925459,166400,0.016439
1972-06-28,1.925459,1.935733,1.911074,1.913129,126400,0.016439
1972-06-29,1.91313,1.933679,1.90902,1.927514,102400,0.016439
1972-06-30,1.927514,1.935734,1.878196,1.878196,219200,0.016439
1972-07-03,1.874085,1.874085,1.853536,1.857646,189600,0.016439
1972-07-05,1.851481,1.851481,1.775449,1.783669,292800,0.016439
1972-07-06,1.808328,1.906964,1.808328,1.865866,1297600,0.016439
1972-07-07,1.865867,1.878196,1.849427,1.853537,153600,0.016439
1972-07-10,1.863811,1.890525,1.863811,1.882305,315200,0.016439
1972-07-11,1.882305,1.890525,1.882305,1.88436,48000,0.016439
1972-07-12,1.878196,1.878196,1.849427,1.851482,190400,0.016439
1972-07-13,1.851482,1.886416,1.841207,1.874086,88000,0.016439
1972-07-14,1.874086,1.902855,1.865866,1.902855,252800,0.016439
1972-07-17,1.902855,1.906964,1.865866,1.865866,120000,0.016439
1972-07-18,1.865866,1.898745,1.855591,1.88847,112000,0.016439
1972-07-19,1.888471,1.925459,1.876141,1.902855,208000,0.016439
1972-07-20,1.902855,1.939844,1.890525,1.927514,161600,0.016439
1972-07-21,1.927514,1.972722,1.917239,1.950118,120000,0.016439
1972-07-24,1.943953,1.943953,1.911074,1.915184,113600,0.016439
1972-07-25,1.915184,1.935733,1.882305,1.919294,116800,0.016439
1972-07-26,1.919294,1.939844,1.902855,1.927514,67200,0.016439
1972-07-27,1.927513,1.950117,1.927513,1.935733,612800,0.016439
1972-07-28,1.935733,1.954228,1.935733,1.941898,259200,0.016439
1972-07-31,1.948062,1.960392,1.948062,1.960392,222400,0.016439
1972-08-01,1.960392,2.005601,1.956283,1.997381,358400,0.016439
1972-08-02,1.997381,2.030259,1.980941,1.989161,465600,0.016439
1972-08-03,1.989161,2.01793,1.972721,2.007655,190400,0.016439
1972-08-04,2.007656,2.02615,2.001491,2.02615,155200,0.016439
