date,open,high,low,close,volume,adjrate
1992-06-05,1.115545,1.146532,1.038076,1.05357,77576000,0.061975
1992-06-08,1.084558,1.084558,1.022583,1.022583,13020800,0.061975
1992-06-09,1.05357,1.069063,1.022582,1.038076,8281600,0.061975
1992-06-10,1.022582,1.038076,0.991595,0.991595,4707200,0.061975
1992-06-11,0.991596,1.00709,0.976102,0.983849,4974400,0.061975
1992-06-12,0.976102,1.007089,0.976102,1.007089,2393600,0.061975
1992-06-15,0.976101,1.007089,0.976101,0.991595,1944000,0.061975
1992-06-16,1.007089,1.007089,0.976102,0.976102,1276800,0.061975
1992-06-17,0.976102,1.007089,0.867646,0.88314,17123200,0.061975
1992-06-18,0.88314,0.898633,0.867646,0.867646,5713600,0.061975
1992-06-19,0.867646,0.945114,0.867646,0.914127,1252800,0.061975
1992-06-22,0.92962,0.960608,0.92962,0.945114,2241600,0.061975
1992-06-23,0.960608,0.991595,0.92962,0.991595,3516800,0.061975
1992-06-24,0.976101,0.983848,0.898633,0.945114,4502400,0.061975
1992-06-25,0.960608,0.976102,0.929621,0.976102,1024000,0.061975
1992-06-26,0.991596,0.991596,0.960608,0.976102,568000,0.061975
1992-06-29,0.991596,1.038077,0.991596,1.022583,1724800,0.061975
1992-06-30,1.05357,1.084557,1.022583,1.05357,3028800,0.061975
1992-07-01,1.05357,1.05357,1.022583,1.022583,1216000,0.061975
1992-07-02,1.022583,1.045823,0.991595,0.999342,1054400,0.061975
1992-07-06,0.991595,0.991595,0.945114,0.945114,1363200,0.061975
1992-07-07,0.945114,0.991595,0.945114,0.991595,998400,0.061975
1992-07-08,0.960608,0.991595,0.937367,0.945114,2686400,0.061975
1992-07-09,0.976101,1.038076,0.960608,1.038076,2024000,0.061975
1992-07-10,1.038076,1.038076,1.007089,1.038076,680000,0.061975
1992-07-13,1.038076,1.038076,1.007089,1.038076,334400,0.061975
1992-07-14,1.00709,1.084558,1.00709,1.084558,3032000,0.061975
1992-07-15,1.084557,1.084557,1.05357,1.05357,875200,0.061975
1992-07-16,1.05357,1.069064,1.022583,1.022583,369600,0.061975
1992-07-17,1.022582,1.05357,0.991595,1.038076,592000,0.061975
1992-07-20,1.007089,1.038077,1.007089,1.022583,387200,0.061975
1992-07-21,1.038076,1.038076,1.007089,1.007089,268800,0.061975
1992-07-22,1.038076,1.038076,1.007089,1.038076,840000,0.061975
1992-07-23,1.038076,1.100051,1.007089,1.05357,2128000,0.061975
1992-07-24,1.084557,1.100051,1.05357,1.100051,1436800,0.061975
1992-07-27,1.100052,1.100052,1.05357,1.076811,507200,0.061975
1992-07-28,1.053571,1.100052,1.053571,1.084558,2584000,0.061975
1992-07-29,1.100052,1.100052,1.061317,1.084558,1678400,0.061975
1992-07-30,1.100051,1.162026,1.069064,1.146532,7366400,0.061975
1992-07-31,1.146532,1.270482,1.146532,1.208507,10646400,0.061975
1992-08-03,1.239494,1.239494,1.162026,1.193013,3025600,0.061975
1992-08-04,1.193013,1.208507,1.162026,1.193013,1408000,0.061975
1992-08-05,1.193013,1.224,1.193013,1.193013,625600,0.061975
1992-08-06,1.17752,1.208507,1.17752,1.17752,417600,0.061975
1992-08-07,1.208507,1.224,1.177519,1.193013,632000,0.061975
1992-08-10,1.193013,1.224001,1.193013,1.20076,192000,0.061975
1992-08-11,1.224001,1.224001,1.193014,1.224001,3062400,0.061975
1992-08-12,1.254988,1.254988,1.224,1.247241,5353600,0.061975
1992-08-13,1.285976,1.285976,1.224001,1.224001,1044800,0.061975
1992-08-14,1.224001,1.254988,1.224001,1.254988,2672000,0.061975
1992-08-17,1.270482,1.270482,1.239494,1.254988,1435200,0.061975
1992-08-18,1.270481,1.285975,1.239494,1.285975,1948800,0.061975
1992-08-19,1.285976,1.378938,1.270482,1.316963,3556800,0.061975
1992-08-20,1.34795,1.34795,1.309216,1.34795,5371200,0.061975
1992-08-21,1.34795,1.34795,1.278229,1.316963,10041600,0.061975
1992-08-24,1.316963,1.316963,1.239495,1.270482,742400,0.061975
1992-08-25,1.270481,1.270481,1.224,1.239494,2768000,0.061975
1992-08-26,1.239494,1.301469,1.224,1.285975,3001600,0.061975
1992-08-27,1.270482,1.316963,1.270482,1.316963,268800,0.061975
1992-08-28,1.285976,1.316963,1.285976,1.316963,569600,0.061975
1992-08-31,1.301469,1.316962,1.285975,1.285975,171200,0.061975
1992-09-01,1.316963,1.316963,1.285976,1.316963,1062400,0.061975
1992-09-02,1.316963,1.479647,1.285976,1.409925,3980800,0.061975
1992-09-03,1.394431,1.440912,1.394431,1.409925,1318400,0.061975
1992-09-04,1.440912,1.440912,1.394431,1.425418,649600,0.061975
1992-09-08,1.425418,1.440912,1.394431,1.394431,1046400,0.061975
1992-09-09,1.394431,1.425419,1.378938,1.409925,670400,0.061975
1992-09-10,1.409925,1.456406,1.409925,1.440912,731200,0.061975
1992-09-11,1.456406,1.51838,1.440912,1.487393,1592000,0.061975
1992-09-14,1.487393,1.502887,1.456406,1.502887,1252800,0.061975
1992-09-15,1.502887,1.502887,1.456406,1.456406,1601600,0.061975
1992-09-16,1.487393,1.51838,1.456406,1.487393,825600,0.061975
1992-09-17,1.51838,1.564861,1.487393,1.533874,2084800,0.061975
1992-09-18,1.518381,1.549368,1.518381,1.518381,2985600,0.061975
1992-09-21,1.549368,1.549368,1.502887,1.502887,1480000,0.061975
1992-09-22,1.502887,1.549368,1.316963,1.363444,3836800,0.061975
1992-09-23,1.363444,1.456406,1.332457,1.456406,3598400,0.061975
1992-09-24,1.456406,1.533874,1.425419,1.502887,2560000,0.061975
1992-09-25,1.425418,1.456405,1.378937,1.425418,3148800,0.061975
1992-09-28,1.378938,1.456406,1.378938,1.456406,702400,0.061975
1992-09-29,1.440912,1.448659,1.440912,1.448659,180800,0.061975
1992-09-30,1.456406,1.456406,1.425419,1.456406,275200,0.061975
1992-10-01,1.425418,1.502886,1.425418,1.471899,2699200,0.061975
1992-10-02,1.502886,1.502886,1.425418,1.425418,726400,0.061975
1992-10-05,1.425418,1.440912,1.316962,1.378937,1358400,0.061975
1992-10-06,1.378938,1.378938,1.34795,1.363444,696000,0.061975
1992-10-07,1.34795,1.378938,1.34795,1.371191,676800,0.061975
1992-10-08,1.378937,1.456406,1.378937,1.440912,1625600,0.061975
