date,open,high,low,close,volume,adjrate
1980-03-17,0.658817,0.698347,0.658817,0.678582,372800,0.052705
1980-03-18,0.678582,0.68517,0.639053,0.68517,268800,0.052705
1980-03-19,0.685169,0.698346,0.665405,0.671993,147200,0.052705
1980-03-20,0.665406,0.665406,0.639053,0.639053,160800,0.052705
1980-03-21,0.639053,0.658817,0.639053,0.652229,64800,0.052705
1980-03-24,0.652229,0.652229,0.6127,0.6127,353600,0.052705
1980-03-25,0.6127,0.625877,0.592936,0.599524,188000,0.052705
1980-03-26,0.606112,0.639053,0.606112,0.6127,249600,0.052705
1980-03-27,0.6127,0.6127,0.546818,0.592935,533600,0.052705
1980-03-28,0.606112,0.678582,0.606112,0.658817,336000,0.052705
1980-03-31,0.658817,0.678582,0.632464,0.658817,914400,0.052705
1980-04-01,0.658817,0.671994,0.639053,0.645641,129600,0.052705
1980-04-02,0.645641,0.671994,0.639053,0.645641,108000,0.052705
1980-04-03,0.645641,0.665405,0.632464,0.652229,557600,0.052705
1980-04-07,0.652229,0.652229,0.625876,0.625876,136800,0.052705
1980-04-08,0.625876,0.645641,0.606112,0.645641,132800,0.052705
1980-04-09,0.645641,0.665406,0.632465,0.639053,96800,0.052705
1980-04-10,0.658817,0.671993,0.658817,0.658817,180800,0.052705
1980-04-11,0.665405,0.68517,0.665405,0.68517,122400,0.052705
1980-04-14,0.678581,0.678581,0.64564,0.665405,96800,0.052705
1980-04-15,0.665405,0.671994,0.645641,0.652229,106400,0.052705
1980-04-16,0.652228,0.658817,0.625876,0.632464,195200,0.052705
1980-04-17,0.632465,0.652229,0.625877,0.639053,171200,0.052705
1980-04-18,0.639053,0.652229,0.639053,0.652229,50400,0.052705
1980-04-21,0.652229,0.652229,0.632465,0.645641,93600,0.052705
1980-04-22,0.645641,0.678582,0.639053,0.678582,326400,0.052705
1980-04-23,0.685169,0.724698,0.685169,0.711522,554400,0.052705
1980-04-24,0.711522,0.711522,0.678581,0.711522,149600,0.052705
1980-04-25,0.704934,0.704934,0.671993,0.698346,204000,0.052705
1980-04-28,0.691758,0.691758,0.658817,0.68517,336800,0.052705
1980-04-29,0.68517,0.704934,0.671993,0.691758,209600,0.052705
1980-04-30,0.691758,0.691758,0.678582,0.68517,142400,0.052705
1980-05-01,0.68517,0.704935,0.671994,0.68517,192800,0.052705
1980-05-02,0.68517,0.691758,0.671994,0.68517,120800,0.052705
1980-05-05,0.68517,0.737875,0.678581,0.737875,1413600,0.052705
1980-05-06,0.737875,0.790581,0.737875,0.75764,1174400,0.052705
1980-05-07,0.764228,0.803757,0.764228,0.790581,1087200,0.052705
1980-05-08,0.79058,0.797168,0.757639,0.783992,584000,0.052705
1980-05-09,0.783993,0.790581,0.770816,0.790581,416000,0.052705
1980-05-12,0.79058,0.816933,0.783992,0.810345,473600,0.052705
1980-05-13,0.810345,0.83011,0.777405,0.83011,547200,0.052705
1980-05-14,0.83011,0.882815,0.83011,0.843286,2693600,0.052705
1980-05-15,0.856462,0.882815,0.856462,0.86305,1433600,0.052705
1980-05-16,0.86305,0.902579,0.86305,0.902579,1251200,0.052705
1980-05-19,0.882815,0.882815,0.830109,0.86305,1162400,0.052705
1980-05-20,0.863051,0.869639,0.823522,0.83011,1028000,0.052705
1980-05-21,0.83011,0.869639,0.803757,0.869639,748800,0.052705
1980-05-22,0.869639,0.882815,0.823521,0.843286,663200,0.052705
1980-05-23,0.843286,0.863051,0.823522,0.836698,396000,0.052705
1980-05-27,0.836698,0.836698,0.810345,0.816933,144000,0.052705
1980-05-28,0.816933,0.823521,0.810345,0.816933,156000,0.052705
1980-05-29,0.816933,0.836698,0.816933,0.816933,149600,0.052705
1980-05-30,0.816933,0.830109,0.810345,0.816933,249600,0.052705
1980-06-02,0.823522,0.843286,0.823522,0.836698,137600,0.052705
1980-06-03,0.836697,0.836697,0.816933,0.823521,172800,0.052705
1980-06-04,0.823522,0.843286,0.816933,0.836698,172800,0.052705
1980-06-05,0.836698,0.843286,0.797169,0.797169,388800,0.052705
1980-06-06,0.797169,0.803757,0.764228,0.803757,399200,0.052705
1980-06-09,0.803757,0.803757,0.783993,0.797169,194400,0.052705
1980-06-10,0.797168,0.86305,0.797168,0.86305,459200,0.052705
1980-06-11,0.869638,0.909167,0.869638,0.895991,1869600,0.052705
1980-06-12,0.843286,0.843286,0.790581,0.803757,657600,0.052705
1980-06-13,0.810345,0.849874,0.810345,0.836698,468000,0.052705
1980-06-16,0.836698,0.836698,0.797168,0.816933,317600,0.052705
1980-06-17,0.816933,0.83011,0.810345,0.810345,144800,0.052705
1980-06-18,0.816934,0.83011,0.816934,0.83011,314400,0.052705
1980-06-19,0.83011,0.869639,0.83011,0.83011,478400,0.052705
1980-06-20,0.830109,0.843286,0.810345,0.823521,206400,0.052705
1980-06-23,0.83011,0.863051,0.83011,0.836698,279200,0.052705
1980-06-24,0.836698,0.856462,0.823521,0.843286,144000,0.052705
1980-06-25,0.843286,0.849874,0.830109,0.849874,243200,0.052705
1980-06-26,0.849874,0.849874,0.803757,0.816933,139200,0.052705
1980-06-27,0.816933,0.816933,0.790581,0.803757,213600,0.052705
1980-06-30,0.803757,0.803757,0.764228,0.797169,389600,0.052705
1980-07-01,0.797168,0.816933,0.783992,0.783992,125600,0.052705
1980-07-02,0.783993,0.816934,0.783993,0.790581,144800,0.052705
1980-07-03,0.79058,0.816933,0.783992,0.810345,221600,0.052705
1980-07-07,0.810345,0.876227,0.810345,0.856462,820800,0.052705
1980-07-08,0.856462,0.876226,0.849874,0.86305,429600,0.052705
1980-07-09,0.863051,0.876227,0.843286,0.869639,477600,0.052705
1980-07-10,0.869639,0.882815,0.856463,0.869639,422400,0.052705
1980-07-11,0.869639,0.882815,0.869639,0.882815,368000,0.052705
1980-07-14,0.882815,0.895991,0.869639,0.882815,811200,0.052705
1980-07-15,0.882815,0.90258,0.882815,0.882815,921600,0.052705
1980-07-16,0.882815,0.889403,0.869639,0.876227,552000,0.052705
1980-07-17,0.876227,0.889403,0.869638,0.889403,264000,0.052705
1980-07-18,0.889403,0.889403,0.869639,0.882815,401600,0.052705
1980-07-21,0.882815,0.882815,0.869639,0.882815,238400,0.052705
1980-07-22,0.882815,0.882815,0.869639,0.882815,259200,0.052705
1980-07-23,0.876227,0.876227,0.843286,0.869639,453600,0.052705
1980-07-24,0.869639,0.876227,0.843286,0.869639,176000,0.052705
1980-07-25,0.863051,0.863051,0.836698,0.836698,212000,0.052705
1980-07-28,0.836698,0.836698,0.810345,0.810345,153600,0.052705
1980-07-29,0.816933,0.856462,0.816933,0.856462,369600,0.052705
1980-07-30,0.856462,0.876226,0.849874,0.86305,288800,0.052705
1980-07-31,0.869638,0.889403,0.869638,0.889403,981600,0.052705
1980-08-01,0.889403,0.895991,0.882815,0.895991,425600,0.052705
1980-08-04,0.895991,0.895991,0.882815,0.895991,300000,0.052705
1980-08-05,0.895992,0.961873,0.889403,0.948697,1360800,0.052705
1980-08-06,0.948697,0.968461,0.93552,0.961873,663200,0.052705
1980-08-07,0.955285,0.955285,0.915755,0.93552,885600,0.052705
1980-08-08,0.935521,0.955285,0.922344,0.948697,576000,0.052705
1980-08-11,0.948697,0.961873,0.928932,0.961873,804000,0.052705
1980-08-12,0.961873,1.00799,0.961873,0.975049,1140800,0.052705
1980-08-13,0.975049,1.001402,0.955285,0.994814,583200,0.052705
1980-08-14,0.994813,1.014578,0.975049,1.014578,848000,0.052705
1980-08-15,1.014578,1.014578,0.988225,1.014578,609600,0.052705
1980-08-18,0.994814,0.994814,0.935521,0.948697,490400,0.052705
1980-08-19,0.948697,0.975049,0.93552,0.961873,276800,0.052705
1980-08-20,0.961872,0.981637,0.955284,0.981637,432800,0.052705
1980-08-21,0.981638,1.001402,0.975049,0.994814,312800,0.052705
1980-08-22,0.994814,1.001402,0.975049,0.975049,465600,0.052705
1980-08-25,0.975049,0.988225,0.968461,0.975049,158400,0.052705
1980-08-26,0.975049,0.981638,0.955285,0.961873,271200,0.052705
1980-08-27,0.955285,0.955285,0.922344,0.93552,406400,0.052705
1980-08-28,0.93552,0.942109,0.915756,0.922344,175200,0.052705
1980-08-29,0.922343,0.955284,0.915755,0.942108,125600,0.052705
1980-09-02,0.942108,0.961873,0.93552,0.961873,218400,0.052705
1980-09-03,0.961873,0.961873,0.922344,0.955285,396800,0.052705
1980-09-04,0.955285,0.968461,0.922344,0.93552,365600,0.052705
1980-09-05,0.93552,0.961873,0.922344,0.928932,204800,0.052705
1980-09-08,0.928932,0.942108,0.922343,0.942108,180800,0.052705
1980-09-09,0.942109,0.948697,0.922344,0.948697,144000,0.052705
1980-09-10,0.948697,0.961873,0.928932,0.955285,163200,0.052705
1980-09-11,0.955285,1.014579,0.942109,0.994814,619200,0.052705
1980-09-12,0.994814,1.001402,0.975049,0.994814,180800,0.052705
1980-09-15,0.994814,0.994814,0.97505,0.988226,168800,0.052705
1980-09-16,0.988226,1.00799,0.981637,1.001402,511200,0.052705
1980-09-17,1.001402,1.001402,0.975049,1.001402,619200,0.052705
1980-09-18,1.001402,1.014579,0.975049,0.994814,348000,0.052705
1980-09-19,0.994813,1.054107,0.975049,1.014578,1491200,0.052705
1980-09-22,1.014579,1.021167,0.994814,1.021167,310400,0.052705
1980-09-23,1.021167,1.027755,0.988226,1.001402,352800,0.052705
1980-09-24,1.001402,1.001402,0.975049,0.994814,304800,0.052705
1980-09-25,0.994814,0.994814,0.975049,0.975049,144000,0.052705
1980-09-26,0.948696,0.948696,0.922344,0.93552,328800,0.052705
1980-09-29,0.915756,0.915756,0.876227,0.889403,250400,0.052705
1980-09-30,0.889403,0.942108,0.889403,0.928932,271200,0.052705
1980-10-01,0.928932,0.961873,0.922343,0.942108,327200,0.052705
1980-10-02,0.942108,0.988225,0.93552,0.975049,230400,0.052705
1980-10-03,0.975049,0.981637,0.955284,0.975049,298400,0.052705
1980-10-06,0.975049,0.988226,0.948696,0.968461,319200,0.052705
1980-10-07,0.981638,0.994814,0.981638,0.988226,608000,0.052705
1980-10-08,0.988225,0.994813,0.981637,0.981637,314400,0.052705
1980-10-09,0.988226,1.073872,0.988226,1.034343,1118400,0.052705
1980-10-10,1.034343,1.073872,1.027755,1.027755,389600,0.052705
1980-10-13,1.027754,1.093636,1.027754,1.093636,370400,0.052705
1980-10-14,1.093636,1.113401,1.067284,1.08046,1169600,0.052705
1980-10-15,1.08046,1.106812,1.047519,1.054107,411200,0.052705
1980-10-16,1.054107,1.08046,1.027754,1.047519,700800,0.052705
1980-10-17,1.027755,1.027755,0.994814,1.001402,364800,0.052705
1980-10-20,1.001402,1.087048,1.001402,1.087048,1824000,0.052705
1980-10-21,1.087048,1.133165,1.073872,1.087048,1805600,0.052705
1980-10-22,1.087049,1.106813,1.08046,1.100225,357600,0.052705
1980-10-23,1.100225,1.139754,1.08046,1.100225,753600,0.052705
1980-10-24,1.100224,1.159518,1.067284,1.159518,775200,0.052705
1980-10-27,1.159518,1.159518,1.126577,1.126577,372000,0.052705
1980-10-28,1.126578,1.139754,1.113401,1.139754,403200,0.052705
1980-10-29,1.139753,1.172694,1.133165,1.159518,1221600,0.052705
1980-10-30,1.15293,1.15293,1.133165,1.133165,552800,0.052705
1980-10-31,1.133165,1.212223,1.1134,1.212223,992000,0.052705
1980-11-03,1.218812,1.284693,1.218812,1.231988,1030400,0.052705
1980-11-05,1.231988,1.258341,1.185871,1.185871,646400,0.052705
1980-11-06,1.185871,1.192459,1.126577,1.146342,641600,0.052705
1980-11-07,1.146342,1.185871,1.119989,1.185871,344000,0.052705
1980-11-10,1.18587,1.199047,1.159518,1.172694,144800,0.052705
1980-11-11,1.172694,1.212223,1.166106,1.166106,252000,0.052705
1980-11-12,1.166106,1.218811,1.159518,1.212223,341600,0.052705
1980-11-13,1.212223,1.231988,1.205635,1.231988,612800,0.052705
1980-11-14,1.231988,1.251752,1.192459,1.205635,796800,0.052705
1980-11-17,1.205635,1.218811,1.166106,1.212223,144000,0.052705
1980-11-18,1.212223,1.225399,1.192458,1.212223,255200,0.052705
1980-11-19,1.205635,1.205635,1.15293,1.166106,333600,0.052705
1980-11-20,1.166107,1.179283,1.146342,1.179283,176000,0.052705
1980-11-21,1.179282,1.199047,1.172694,1.172694,463200,0.052705
1980-11-24,1.166106,1.166106,1.146342,1.159518,405600,0.052705
1980-11-25,1.159518,1.212223,1.15293,1.205635,247200,0.052705
1980-11-26,1.192459,1.192459,1.133165,1.133165,200000,0.052705
1980-11-28,1.139753,1.172694,1.139753,1.172694,188000,0.052705
1980-12-01,1.172694,1.179283,1.159518,1.159518,120000,0.052705
1980-12-02,1.159518,1.179282,1.146341,1.172694,116000,0.052705
1980-12-03,1.172694,1.179282,1.15293,1.166106,147200,0.052705
1980-12-04,1.166106,1.166106,1.15293,1.159518,77600,0.052705
1980-12-05,1.159518,1.159518,1.146342,1.146342,230400,0.052705
1980-12-08,1.146342,1.146342,1.100225,1.106813,245600,0.052705
1980-12-09,1.106813,1.113401,1.060695,1.08046,209600,0.052705
1980-12-10,1.08046,1.100224,1.047519,1.054107,261600,0.052705
1980-12-11,1.047519,1.047519,0.988225,1.047519,381600,0.052705
1980-12-12,1.047519,1.093636,1.034342,1.093636,197600,0.052705
1980-12-15,1.100225,1.139754,1.100225,1.113401,355200,0.052705
1980-12-16,1.113401,1.139754,1.100225,1.139754,132800,0.052705
1980-12-17,1.139754,1.179283,1.133166,1.179283,376800,0.052705
1980-12-18,1.179282,1.192459,1.126577,1.126577,144800,0.052705
1980-12-19,1.126577,1.179283,1.126577,1.15293,176000,0.052705
1980-12-22,1.15293,1.159518,1.119989,1.146342,91200,0.052705
1980-12-23,1.146342,1.15293,1.067283,1.087048,477600,0.052705
1980-12-24,1.087049,1.139754,1.087049,1.139754,65600,0.052705
1980-12-26,1.11999,1.11999,1.093637,1.100225,105600,0.052705
1980-12-29,1.100225,1.100225,1.027755,1.040931,560000,0.052705
