date,open,high,low,close,volume,adjrate
1980-03-17,1.050857,1.06882,1.050857,1.050857,353600,0.035927
1980-03-18,1.050857,1.050857,1.032893,1.041875,1843200,0.035927
1980-03-19,1.050857,1.06882,1.050857,1.06882,203200,0.035927
1980-03-20,1.06882,1.077802,1.059838,1.06882,385600,0.035927
1980-03-21,1.06882,1.073311,1.032893,1.032893,139200,0.035927
1980-03-24,1.032894,1.032894,1.019421,1.019421,448000,0.035927
1980-03-25,1.019421,1.023912,0.983494,0.983494,563200,0.035927
1980-03-26,0.983494,1.005949,0.983494,0.992476,953600,0.035927
1980-03-27,0.987984,0.987984,0.943076,0.970021,192000,0.035927
1980-03-28,0.979003,1.041875,0.979003,1.041875,486400,0.035927
1980-03-31,1.041875,1.059838,1.023911,1.059838,241600,0.035927
1980-04-01,1.059838,1.086783,1.055347,1.086783,604800,0.035927
1980-04-02,1.100256,1.12271,1.100256,1.118219,108800,0.035927
1980-04-03,1.118219,1.131691,1.109237,1.109237,336000,0.035927
1980-04-07,1.109237,1.12271,1.109237,1.113728,216000,0.035927
1980-04-08,1.118219,1.131692,1.118219,1.12271,43200,0.035927
1980-04-09,1.136182,1.221508,1.136182,1.203545,473600,0.035927
1980-04-10,1.203545,1.257435,1.199054,1.199054,539200,0.035927
1980-04-11,1.199054,1.239472,1.199054,1.239472,518400,0.035927
1980-04-14,1.239471,1.252944,1.212526,1.221508,308800,0.035927
1980-04-15,1.217017,1.217017,1.194563,1.194563,292800,0.035927
1980-04-16,1.194564,1.212527,1.181091,1.181091,324800,0.035927
1980-04-17,1.181091,1.199055,1.181091,1.190073,216000,0.035927
1980-04-18,1.190073,1.199055,1.190073,1.190073,43200,0.035927
1980-04-21,1.190073,1.190073,1.1766,1.1766,131200,0.035927
1980-04-22,1.185581,1.221508,1.185581,1.221508,342400,0.035927
1980-04-23,1.221508,1.23049,1.194563,1.203545,513600,0.035927
1980-04-24,1.203545,1.23049,1.194563,1.221508,520000,0.035927
1980-04-25,1.221508,1.266417,1.212527,1.257435,392000,0.035927
1980-04-28,1.257435,1.270908,1.257435,1.257435,129600,0.035927
1980-04-29,1.257435,1.266417,1.243963,1.266417,145600,0.035927
1980-04-30,1.266417,1.266417,1.239472,1.266417,105600,0.035927
1980-05-01,1.257435,1.257435,1.234981,1.234981,62400,0.035927
1980-05-02,1.23498,1.248453,1.221508,1.248453,236800,0.035927
1980-05-05,1.248454,1.252945,1.234981,1.239472,88000,0.035927
1980-05-06,1.239472,1.252945,1.234981,1.239472,100800,0.035927
1980-05-07,1.239472,1.248454,1.225999,1.239472,153600,0.035927
1980-05-08,1.234981,1.234981,1.225999,1.23049,190400,0.035927
1980-05-09,1.23049,1.234981,1.212527,1.234981,273600,0.035927
1980-05-12,1.221509,1.221509,1.208036,1.212527,156800,0.035927
1980-05-13,1.212526,1.221508,1.212526,1.221508,345600,0.035927
1980-05-14,1.221508,1.234981,1.221508,1.225999,44800,0.035927
1980-05-15,1.225999,1.239472,1.225999,1.23049,209600,0.035927
1980-05-16,1.23049,1.234981,1.225999,1.23049,84800,0.035927
1980-05-19,1.23049,1.239472,1.221508,1.23049,99200,0.035927
1980-05-20,1.23049,1.23049,1.212526,1.225999,68800,0.035927
1980-05-21,1.225999,1.225999,1.212526,1.225999,22400,0.035927
1980-05-22,1.225999,1.23049,1.212526,1.221508,91200,0.035927
1980-05-23,1.221508,1.234981,1.221508,1.23049,209600,0.035927
1980-05-27,1.217018,1.217018,1.190073,1.217018,313600,0.035927
1980-05-28,1.217017,1.221508,1.203545,1.221508,320000,0.035927
1980-05-29,1.221509,1.230491,1.212527,1.217018,628800,0.035927
1980-05-30,1.217018,1.217018,1.199055,1.217018,305600,0.035927
1980-06-02,1.217018,1.221509,1.212527,1.212527,108800,0.035927
1980-06-03,1.212527,1.212527,1.185582,1.212527,232000,0.035927
1980-06-04,1.212527,1.226,1.212527,1.212527,265600,0.035927
1980-06-05,1.212527,1.234981,1.203545,1.23049,3302400,0.035927
1980-06-06,1.23049,1.234981,1.199054,1.234981,353600,0.035927
