date,open,high,low,close,volume,adjrate
1994-10-31,7.75913,7.870581,7.731111,7.75913,829000,0.481428
1994-11-01,7.731117,7.731117,7.64706,7.64706,351800,0.481429
1994-11-02,7.703675,7.703675,7.591647,7.61904,678000,0.481429
1994-11-03,7.64706,7.64706,7.591648,7.64706,448400,0.481429
1994-11-04,7.675649,7.675649,7.59164,7.59164,401800,0.481428
1994-11-07,7.619033,7.619033,7.50816,7.50816,414400,0.481428
1994-11-08,7.596068,7.619032,7.535601,7.56362,440400,0.481428
1994-11-09,7.56362,7.647051,7.508159,7.56362,322900,0.481428
1994-11-10,7.619033,7.619033,7.45217,7.45217,463100,0.481428
1994-11-11,7.42415,7.452169,7.396709,7.42415,267300,0.481428
1994-11-14,7.454625,7.591639,7.42415,7.56362,573700,0.481428
1994-11-15,7.596076,7.675656,7.535608,7.61904,642700,0.481429
1994-11-16,7.647051,7.647051,7.535601,7.56362,255900,0.481428
1994-11-17,7.622115,7.731111,7.563622,7.67565,459600,0.481428
1994-11-18,7.707714,7.731111,7.675651,7.70367,453600,0.481428
1994-11-21,7.789557,7.814543,7.731112,7.78715,564800,0.481428
1994-11-22,7.76351,7.787148,7.563621,7.59164,419300,0.481428
1994-11-23,7.484377,7.50816,7.340671,7.36869,467000,0.481428
1994-11-25,7.452169,7.452169,7.368689,7.42415,219700,0.481428
1994-11-28,7.484378,7.59164,7.424151,7.59164,507100,0.481428
1994-11-29,7.787149,7.787149,7.67565,7.67565,1259500,0.481428
1994-11-30,7.901247,7.954589,7.814542,7.87058,1260800,0.481428
1994-12-01,7.898601,7.898601,7.78715,7.78715,752200,0.481428
1994-12-02,7.842559,7.842559,7.703667,7.81454,675400,0.481428
1994-12-05,7.845403,7.870582,7.731112,7.78715,427900,0.481428
1994-12-06,7.73111,7.73111,7.647053,7.73111,393200,0.481428
1994-12-07,7.677912,7.759129,7.647053,7.73111,779600,0.481428
1994-12-08,7.731108,7.731108,7.480139,7.5356,819700,0.481428
1994-12-09,7.540224,7.703669,7.508161,7.67565,485500,0.481428
1994-12-12,7.67792,7.703676,7.619041,7.64706,516300,0.481429
1994-12-13,7.622121,7.675656,7.591647,7.61904,760000,0.481429
1994-12-14,7.651867,7.87058,7.619034,7.87058,1143800,0.481428
1994-12-15,7.875201,7.898598,7.814541,7.84256,1052300,0.481428
1994-12-16,7.84256,7.870579,7.787148,7.84256,1606000,0.481428
1994-12-19,7.901249,7.98261,7.842563,7.98261,651700,0.481428
