date,open,high,low,close,volume,adjrate
1983-09-23,0.043036,0.045684,0.043036,0.043036,707400,0.00269
1983-09-26,0.043036,0.045054,0.042994,0.042994,567000,0.00269
1983-09-27,0.047029,0.049046,0.047029,0.047029,1071000,0.00269
1983-09-28,0.047029,0.048416,0.047029,0.047029,342000,0.00269
1983-09-29,0.04644,0.04644,0.044381,0.044381,504000,0.00269
1983-09-30,0.043751,0.043751,0.041734,0.041734,950400,0.00269
1983-10-03,0.041734,0.043751,0.041734,0.041734,120600,0.00269
1983-10-04,0.043751,0.046441,0.043751,0.043751,363600,0.00269
1983-10-05,0.044381,0.047029,0.044381,0.044381,302400,0.00269
1983-10-06,0.045726,0.047785,0.045726,0.045726,606600,0.00269
1983-10-07,0.047786,0.050434,0.047786,0.047786,828000,0.00269
1983-10-10,0.047786,0.049803,0.047786,0.047786,363600,0.00269
1983-10-11,0.047786,0.047786,0.047786,0.047786,0,0.00269
1983-10-12,0.047785,0.047785,0.045726,0.045726,302400,0.00269
1983-10-13,0.045726,0.047029,0.045054,0.045054,243000,0.00269
1983-10-14,0.045726,0.047029,0.045726,0.045726,342000,0.00269
1983-10-17,0.045726,0.047029,0.045054,0.045054,59400,0.00269
1983-10-18,0.045054,0.047029,0.045054,0.045054,1071000,0.00269
1983-10-19,0.045054,0.047029,0.045054,0.045054,0,0.00269
1983-10-20,0.045053,0.045726,0.044381,0.044381,626400,0.00269
1983-10-21,0.044381,0.04644,0.044381,0.044381,606600,0.00269
1983-10-24,0.044381,0.045726,0.043751,0.043751,324000,0.00269
1983-10-25,0.043751,0.045726,0.042994,0.042994,120600,0.00269
1983-10-26,0.042994,0.045726,0.042994,0.042994,39600,0.00269
1983-10-27,0.044381,0.045726,0.044381,0.044381,162000,0.00269
1983-10-28,0.044381,0.045726,0.043751,0.043751,140400,0.00269
1983-10-31,0.043751,0.045726,0.043751,0.043751,39600,0.00269
1983-11-01,0.043751,0.045726,0.043751,0.043751,99000,0.00269
1983-11-02,0.043751,0.045726,0.043751,0.043751,18000,0.00269
1983-11-03,0.043751,0.045726,0.042994,0.042994,567000,0.00269
1983-11-04,0.042994,0.044381,0.042364,0.042364,243000,0.00269
1983-11-07,0.042364,0.042994,0.040977,0.040977,342000,0.00269
1983-11-08,0.040977,0.042994,0.040977,0.040977,162000,0.00269
1983-11-09,0.040977,0.040977,0.040977,0.040977,0,0.00269
1983-11-10,0.040977,0.042994,0.040977,0.040977,99000,0.00269
1983-11-11,0.040977,0.040977,0.040977,0.040977,0,0.00269
1983-11-14,0.040977,0.042994,0.040977,0.040977,18000,0.00269
