date,open,high,low,close,volume,adjrate
1999-10-01,10.477217,10.664311,10.477217,10.570764,3162400,0.748373
1999-10-04,10.570764,10.570764,10.477217,10.477217,533400,0.748373
1999-10-05,10.477217,10.570764,10.477217,10.570764,270600,0.748373
1999-10-06,10.570764,11.132044,10.570764,11.132044,205400,0.748373
1999-10-07,11.132044,11.132044,10.523991,10.570764,214200,0.748373
1999-10-08,10.617538,10.617538,10.523991,10.523991,65600,0.748373
1999-10-11,10.523991,10.570764,10.477218,10.523991,77500,0.748373
1999-10-12,10.523991,10.570764,10.477217,10.570764,49200,0.748373
1999-10-13,10.570764,10.757857,10.477218,10.523991,49900,0.748373
1999-10-14,10.477218,10.523991,9.915938,10.196578,430900,0.748373
1999-10-15,9.822391,9.869165,9.494978,9.775618,158200,0.748373
1999-10-18,9.728845,9.728845,9.354659,9.588525,83800,0.748373
1999-10-19,9.541752,9.915938,9.541752,9.915938,58200,0.748373
1999-10-20,10.009484,10.103031,9.822391,9.822391,62600,0.748373
1999-10-21,9.822392,10.056258,9.728845,10.056258,98200,0.748373
1999-10-22,10.009484,10.149804,9.962711,10.103031,191200,0.748373
1999-10-25,10.056258,10.430444,10.056258,10.430444,153100,0.748373
1999-10-26,10.336897,10.570764,10.336897,10.477217,65600,0.748373
1999-10-27,10.477218,10.617538,10.477218,10.523991,100900,0.748373
1999-10-28,10.617537,10.851404,10.570764,10.570764,255300,0.748373
1999-10-29,10.570764,11.412683,10.570764,11.412683,123200,0.748373
1999-11-01,11.22559,11.22559,10.94495,11.038497,41800,0.748373
1999-11-02,11.038497,11.132044,10.711084,11.038497,66600,0.748373
1999-11-03,10.991724,11.132044,10.991724,11.038497,18500,0.748373
1999-11-04,11.132044,11.319137,10.851404,11.178817,72100,0.748373
1999-11-05,11.22559,11.880417,11.132044,11.78687,122900,0.748373
1999-11-08,11.880416,13.002976,11.833643,12.441696,240000,0.748373
1999-11-09,12.535242,12.535242,12.067509,12.067509,42400,0.748373
1999-11-10,11.973963,12.067509,11.833643,12.020736,59900,0.748373
1999-11-11,12.020736,12.161056,12.020736,12.067509,20000,0.748373
1999-11-12,12.161056,13.844894,12.161056,13.470708,248500,0.748373
1999-11-15,13.611028,13.611028,13.096522,13.236842,99200,0.748373
1999-11-16,13.236842,13.236842,13.002976,13.049749,95300,0.748373
1999-11-17,13.236842,13.657802,12.909429,13.096522,107900,0.748373
1999-11-18,13.096522,13.096522,12.909429,12.909429,67500,0.748373
1999-11-19,12.909428,13.283615,12.862655,13.190068,31200,0.748373
1999-11-22,13.143295,13.377161,13.143295,13.330388,36500,0.748373
1999-11-23,13.330388,14.49972,13.330388,14.312627,65500,0.748373
1999-11-24,14.219081,14.219081,13.751348,13.891668,53800,0.748373
1999-11-26,13.844894,13.844894,13.751348,13.798121,2600,0.748373
1999-11-29,13.751348,13.751348,13.377162,13.564255,20200,0.748373
1999-11-30,13.611028,13.844895,13.611028,13.751348,38100,0.748373
1999-12-01,13.751348,13.938441,13.657802,13.891668,43800,0.748373
1999-12-02,13.891668,14.219081,13.891668,14.219081,33200,0.748373
1999-12-03,14.312628,14.499721,14.265854,14.359401,62000,0.748373
