date,open,high,low,close,volume,adjrate
2015-06-15,33.75172,34.694784,33.255371,33.255371,938800,0.992698
2015-06-16,33.503545,33.751719,32.510847,32.699459,4433200,0.992698
2015-06-17,32.808657,33.841063,31.716691,31.815959,797400,0.992698
2015-06-18,31.756398,32.610116,31.269976,32.252749,2010300,0.992698
2015-06-19,32.510849,32.510849,31.547933,31.657128,1409300,0.992698
2015-06-22,32.481068,32.481068,31.28983,31.716691,1956900,0.992698
2015-06-23,32.153476,32.153476,31.557859,32.014499,1359200,0.992698
2015-06-24,33.29508,33.334789,32.123697,32.510848,1874200,0.992698
2015-06-25,32.510847,33.503545,32.510847,32.659754,1446300,0.992698
2015-06-26,32.361941,33.652452,32.232894,32.907929,638800,0.992698
2015-06-29,32.759023,33.503546,32.759023,32.848366,3321300,0.992698
2015-06-30,33.404278,33.503546,31.51815,31.706764,6304800,0.992698
2015-07-01,32.6399,34.248069,30.356694,31.269976,14868300,0.992698
2015-07-02,31.359319,32.163406,30.654502,30.803409,11614700,0.992698
2015-07-06,30.575087,31.518151,30.10852,31.478442,5942200,0.992698
2015-07-07,31.468517,31.786179,31.021802,31.706764,6524000,0.992698
2015-07-08,31.269976,31.964866,30.86297,30.922532,5131600,0.992698
2015-07-09,31.081363,31.319611,29.790857,29.840491,6773300,0.992698
2015-07-10,30.307061,30.723994,29.90998,30.624723,5027800,0.992698
2015-07-13,30.455964,30.853043,29.900054,30.00925,5388600,0.992698
2015-07-14,29.691587,30.316988,29.612171,30.247497,6237100,0.992698
2015-07-15,30.029105,30.823262,29.929835,30.743846,6800100,0.992698
2015-07-16,30.892752,31.835814,30.743845,31.230267,8446500,0.992698
2015-07-17,31.230267,32.749097,30.972167,32.451285,5829800,0.992698
2015-07-20,32.262674,32.481068,32.044279,32.143551,2204400,0.992698
2015-07-21,32.04428,32.282528,31.607494,31.974791,2319800,0.992698
2015-07-22,31.637276,31.945011,31.269977,31.607494,2855800,0.992698
2015-07-23,31.915232,32.0145,30.515526,31.061511,4578100,0.992698
2015-07-24,30.733919,32.0145,30.366622,30.66443,4566500,0.992698
2015-07-27,30.575088,30.882826,29.8802,30.376549,5341100,0.992698
2015-07-28,30.336839,30.515525,29.800783,30.217717,5111300,0.992698
2015-07-29,30.585014,32.143552,30.376549,30.694212,8018100,0.992698
