date,open,high,low,close,volume,adjrate
1983-08-04,0.946811,0.964026,0.946811,0.946811,2109300,0.068859
1983-08-05,0.946811,0.964026,0.946811,0.946811,636000,0.068859
1983-08-08,0.946812,0.946812,0.929597,0.929597,411700,0.068859
1983-08-09,0.929597,0.964027,0.929597,0.929597,168700,0.068859
1983-08-10,0.929597,0.964027,0.929597,0.929597,110200,0.068859
1983-08-11,0.946811,0.981241,0.946811,0.946811,103200,0.068859
1983-08-12,0.946811,0.981241,0.946811,0.946811,91800,0.068859
1983-08-15,1.01567,1.050099,1.01567,1.01567,185500,0.068859
1983-08-16,1.118959,1.170603,1.118959,1.118959,243600,0.068859
1983-08-17,1.118959,1.153388,1.118959,1.118959,135100,0.068859
1983-08-18,1.118959,1.136174,1.118959,1.118959,112900,0.068859
1983-08-19,1.118959,1.136174,1.118959,1.118959,79800,0.068859
1983-08-22,1.118958,1.118958,1.084529,1.084529,175500,0.068859
1983-08-23,1.084529,1.118958,1.084529,1.084529,503700,0.068859
1983-08-24,1.08453,1.101745,1.067315,1.067315,214200,0.068859
1983-08-25,1.067315,1.101745,1.067315,1.067315,59400,0.068859
1983-08-26,1.067315,1.101745,1.067315,1.067315,89700,0.068859
1983-08-29,1.067315,1.101745,1.067315,1.067315,194500,0.068859
1983-08-30,1.067315,1.101745,1.067315,1.067315,108100,0.068859
1983-08-31,1.067315,1.101745,1.067315,1.067315,33900,0.068859
1983-09-01,1.067314,1.101744,1.032885,1.032885,31200,0.068859
1983-09-02,1.032885,1.084529,1.032885,1.032885,13600,0.068859
1983-09-06,1.0501,1.101744,1.0501,1.0501,85000,0.068859
1983-09-07,1.067315,1.101745,1.067315,1.067315,31200,0.068859
1983-09-08,1.084529,1.101744,1.084529,1.084529,27100,0.068859
1983-09-09,1.084529,1.101744,1.084529,1.084529,23800,0.068859
1983-09-12,1.084529,1.101744,1.084529,1.084529,10300,0.068859
1983-09-13,1.101744,1.136173,1.101744,1.101744,40500,0.068859
1983-09-14,1.118959,1.136174,1.118959,1.118959,87000,0.068859
1983-09-15,1.136174,1.187818,1.136174,1.136174,103200,0.068859
1983-09-16,1.187818,1.222248,1.187818,1.187818,136900,0.068859
1983-09-19,1.205033,1.273892,1.205033,1.205033,43200,0.068859
1983-09-20,1.222247,1.273891,1.222247,1.222247,30300,0.068859
1983-09-21,1.222247,1.273891,1.222247,1.222247,15700,0.068859
