date,open,high,low,close,volume,adjrate
1986-11-24,1.971048,2.032645,1.909455,1.971048,8694000,0.123191
1986-11-25,1.955652,1.971048,1.909456,1.924852,1918800,0.123191
1986-11-26,1.909456,1.924852,1.878656,1.878656,3510000,0.123191
1986-11-28,1.847859,1.924852,1.847859,1.909456,1341600,0.123191
1986-12-01,1.894056,1.894056,1.84786,1.878656,990600,0.123191
1986-12-02,1.86326,1.878656,1.786263,1.801663,43200000,0.123191
1986-12-03,1.832459,1.847859,1.817063,1.847859,4530000,0.123191
1986-12-04,1.847859,1.863259,1.832459,1.832459,2325000,0.123191
1986-12-05,1.832459,1.832459,1.801663,1.817063,3660000,0.123191
1986-12-08,1.801663,1.817063,1.740067,1.786263,1779900,0.123191
1986-12-09,1.770866,1.786263,1.70927,1.72467,1688400,0.123191
1986-12-10,1.72467,1.801662,1.72467,1.770866,1500900,0.123191
1986-12-11,1.770867,1.801663,1.72467,1.786263,1337400,0.123191
1986-12-12,1.786263,1.817063,1.786263,1.801663,1212600,0.123191
1986-12-15,1.786263,1.801663,1.755467,1.786263,799200,0.123191
1986-12-16,1.801663,1.817063,1.786263,1.801663,1752900,0.123191
1986-12-17,1.786263,1.801663,1.770867,1.786263,971400,0.123191
1986-12-18,1.770866,1.801662,1.770866,1.770866,1132500,0.123191
1986-12-19,1.770867,1.801663,1.755467,1.786263,1341300,0.123191
1986-12-22,1.770866,1.786262,1.755466,1.770866,538500,0.123191
1986-12-23,1.755466,1.770866,1.740066,1.755466,1368900,0.123191
1986-12-24,1.755467,1.786263,1.755467,1.786263,1383300,0.123191
1986-12-26,1.786262,1.786262,1.755466,1.770866,979200,0.123191
1986-12-29,1.755466,1.786262,1.755466,1.770866,641700,0.123191
1986-12-30,1.755466,1.770866,1.740066,1.740066,642000,0.123191
1986-12-31,1.740066,1.786262,1.740066,1.755466,1228500,0.123191
1987-01-02,1.755467,1.801663,1.755467,1.786263,780000,0.123191
1987-01-05,1.801663,1.832459,1.801663,1.817063,965100,0.123191
1987-01-06,1.832459,1.847859,1.832459,1.847859,2034600,0.123191
1987-01-07,1.847859,1.847859,1.832459,1.847859,2003100,0.123191
1987-01-08,1.847859,1.847859,1.832459,1.847859,1196100,0.123191
1987-01-09,1.847859,1.863259,1.817063,1.863259,1438200,0.123191
1987-01-12,1.832459,1.863259,1.832459,1.863259,1302000,0.123191
1987-01-13,1.832459,1.863259,1.832459,1.847859,1103100,0.123191
1987-01-14,1.832459,1.909456,1.832459,1.909456,2651700,0.123191
1987-01-15,1.924852,1.971048,1.909456,1.940252,3690000,0.123191
1987-01-16,1.940252,1.940252,1.909456,1.940252,1076700,0.123191
1987-01-19,1.909456,1.940252,1.894056,1.940252,1009800,0.123191
1987-01-20,1.924852,1.940252,1.894056,1.909456,2043600,0.123191
1987-01-21,1.878656,1.909456,1.86326,1.894056,1360500,0.123191
1987-01-22,1.878656,1.924852,1.847859,1.909456,1908600,0.123191
1987-01-23,1.909456,1.924852,1.878656,1.894056,1814400,0.123191
1987-01-26,1.863259,1.878655,1.847859,1.847859,1010400,0.123191
1987-01-27,1.86326,1.894056,1.84786,1.878656,909600,0.123191
1987-01-28,1.863259,1.863259,1.832459,1.832459,1216500,0.123191
1987-01-29,1.832459,1.847859,1.817063,1.832459,845700,0.123191
1987-01-30,1.832459,1.832459,1.817063,1.832459,890400,0.123191
1987-02-02,1.832459,1.832459,1.801663,1.832459,1338300,0.123191
1987-02-03,1.817063,1.832459,1.786263,1.832459,3630000,0.123191
1987-02-04,1.84786,1.909456,1.84786,1.878656,3840000,0.123191
1987-02-05,1.86326,1.894056,1.84786,1.878656,1516200,0.123191
1987-02-06,1.847859,1.909456,1.847859,1.909456,1733100,0.123191
1987-02-09,1.940252,1.955652,1.909456,1.940252,2074800,0.123191
1987-02-10,1.940252,1.940252,1.878656,1.924852,850500,0.123191
1987-02-11,1.924852,1.986448,1.894055,1.971048,3750000,0.123191
1987-02-12,2.001848,2.001848,1.940252,1.971048,1601100,0.123191
1987-02-13,1.971048,2.001848,1.940252,1.986448,1489200,0.123191
1987-02-17,1.986449,2.017245,1.955652,2.017245,1416900,0.123191
1987-02-18,2.017244,2.094241,2.001848,2.078841,3450000,0.123191
1987-02-19,2.063441,2.140437,2.063441,2.094241,3780000,0.123191
1987-02-20,2.078841,2.094241,2.063441,2.078841,1012200,0.123191
1987-02-23,2.063441,2.078841,2.017245,2.032645,692400,0.123191
1987-02-24,2.048045,2.094241,2.017245,2.063441,1265100,0.123191
1987-02-25,2.048045,2.078841,2.048045,2.063441,928500,0.123191
1987-02-26,2.063441,2.094241,2.048045,2.063441,747000,0.123191
1987-02-27,2.063442,2.109638,2.063442,2.109638,999000,0.123191
1987-03-02,2.109638,2.155834,2.094242,2.140438,1801500,0.123191
1987-03-03,2.125038,2.155834,2.078842,2.109638,4890000,0.123191
1987-03-04,2.109638,2.140438,2.094242,2.140438,1687500,0.123191
1987-03-05,2.140438,2.155834,2.109638,2.155834,3360000,0.123191
1987-03-06,2.140438,2.248227,2.140438,2.248227,6240000,0.123191
1987-03-09,2.217431,2.248227,2.202031,2.217431,5040000,0.123191
1987-03-10,2.186635,2.217431,2.186635,2.202031,2788200,0.123191
1987-03-11,2.186634,2.20203,2.140438,2.155834,1045800,0.123191
1987-03-12,2.125037,2.20203,2.125037,2.186634,1072500,0.123191
1987-03-13,2.186634,2.21743,2.171234,2.186634,694800,0.123191
1987-03-16,2.172703,2.172703,2.141886,2.172703,1035000,0.123274
1987-03-17,2.141886,2.203521,2.141886,2.188114,1392300,0.123274
1987-03-18,2.203521,2.203521,2.141886,2.157293,897900,0.123274
1987-03-19,2.126475,2.141886,2.080248,2.111065,1371900,0.123274
1987-03-20,2.095658,2.172703,2.095658,2.141886,1742700,0.123274
1987-03-23,2.157292,2.20352,2.141886,2.20352,1371600,0.123274
1987-03-24,2.172704,2.218931,2.172704,2.188114,1664100,0.123274
1987-03-25,2.188114,2.188114,2.157293,2.157293,700500,0.123274
1987-03-26,2.157293,2.172703,2.141886,2.157293,378300,0.123274
1987-03-27,2.157292,2.188113,2.111065,2.126475,1320000,0.123274
1987-03-30,2.064838,2.080248,2.01861,2.01861,1710600,0.123274
1987-03-31,2.003203,2.111065,2.003203,2.080248,1771500,0.123274
1987-04-01,2.04943,2.095658,2.03402,2.095658,681000,0.123274
1987-04-02,2.111065,2.126475,2.064837,2.095658,747000,0.123274
1987-04-03,2.080248,2.095658,2.04943,2.095658,342300,0.123274
1987-04-06,2.080248,2.126475,2.064837,2.111065,610200,0.123274
1987-04-07,2.157293,2.188114,2.126476,2.157293,1382400,0.123274
1987-04-08,2.157292,2.157292,2.04943,2.04943,519600,0.123274
1987-04-09,2.04943,2.064837,2.018609,2.064837,1178700,0.123274
1987-04-10,2.064837,2.080247,2.03402,2.064837,522600,0.123274
1987-04-13,2.03402,2.064837,1.956975,1.972382,709200,0.123274
1987-04-14,1.956975,1.972382,1.895337,1.926154,772500,0.123274
1987-04-15,1.972382,1.987792,1.941565,1.956975,556200,0.123274
1987-04-16,1.956975,1.972382,1.926154,1.956975,651300,0.123274
1987-04-20,1.956975,1.972382,1.941565,1.941565,308700,0.123274
1987-04-21,1.926155,1.941565,1.895337,1.941565,812700,0.123274
1987-04-22,1.926154,1.972382,1.910747,1.972382,611700,0.123274
