date,open,high,low,close,volume,adjrate
1996-08-13,10.0,10.0,10.0,10.0,2000,10.0
1996-08-14,10.0,10.0,10.0,10.0,100,10.0
1996-08-15,10.0,11.0,10.0,11.0,2500,10.0
1996-08-16,11.0,11.5,11.0,11.5,1300,10.0
1996-08-19,11.0,11.0,11.0,11.0,100,10.0
1996-08-20,10.5,11.0,10.5,11.0,500,10.0
1996-08-21,10.6,10.6,10.0,10.0,1800,10.0
1996-08-22,10.0,10.0,10.0,10.0,0,10.0
1996-08-23,10.5,10.5,10.0,10.0,400,10.0
1996-08-26,10.0,10.0,10.0,10.0,0,10.0
1996-08-27,11.0,11.0,11.0,11.0,1900,10.0
1996-08-28,11.0,11.0,11.0,11.0,0,10.0
1996-08-29,11.0,11.0,11.0,11.0,500,10.0
1996-08-30,10.0,10.0,10.0,10.0,0,10.0
1996-09-03,12.0,14.0,12.0,14.0,1300,10.0
1996-09-04,14.0,14.0,14.0,14.0,0,10.0
1996-09-05,12.5,12.5,11.8,12.1,1700,10.0
1996-09-06,12.5,12.5,12.5,12.5,800,10.0
1996-09-09,12.5,12.5,12.5,12.5,1100,10.0
1996-09-10,12.5,12.5,12.5,12.5,0,10.0
1996-09-11,12.5,12.5,12.5,12.5,1100,10.0
1996-09-12,12.5,12.5,12.5,12.5,2300,10.0
1996-09-13,11.5,12.5,11.5,12.5,1000,10.0
1996-09-16,14.0,14.0,13.8,13.8,600,10.0
1996-09-17,13.0,13.5,13.0,13.0,1600,10.0
1996-09-18,12.5,15.0,12.5,15.0,2200,10.0
1996-09-19,15.0,15.0,15.0,15.0,0,10.0
1996-09-20,15.0,17.0,15.0,16.1,1800,10.0
1996-09-23,17.0,17.0,17.0,17.0,2800,10.0
1996-09-24,17.5,18.5,17.5,17.5,1000,10.0
1996-09-25,18.5,18.5,17.7,18.5,1800,10.0
1996-09-26,18.5,19.8,17.5,18.0,2900,10.0
1996-09-27,18.0,18.0,15.8,17.0,2800,10.0
1996-09-30,16.9,16.9,16.5,16.5,300,10.0
1996-10-01,17.0,17.0,16.5,16.9,6500,10.0
1996-10-02,16.5,16.9,16.5,16.9,9400,10.0
1996-10-03,16.8,19.0,16.8,18.9,34700,10.0
1996-10-04,18.7,18.7,17.5,18.0,20100,10.0
1996-10-07,18.0,18.5,17.6,17.6,17700,10.0
1996-10-08,17.5,18.0,17.2,17.5,2500,10.0
1996-10-09,17.8,18.3,17.6,18.3,11800,10.0
1996-10-10,18.0,19.8,18.0,18.5,31900,10.0
1996-10-11,19.0,19.2,17.5,18.3,17300,10.0
1996-10-15,19.0,19.8,18.8,19.0,43900,10.0
1996-10-16,18.5,18.5,17.5,18.0,10500,10.0
1996-10-17,17.9,18.8,17.7,17.8,23400,10.0
1996-10-18,17.8,17.9,17.5,17.7,4900,10.0
1996-10-21,18.0,18.0,16.0,16.0,6700,10.0
1996-10-22,17.0,17.5,17.0,17.0,5500,10.0
1996-10-23,17.0,17.5,17.0,17.5,10900,10.0
1996-10-24,17.5,17.5,17.0,17.5,8700,10.0
1996-10-25,17.5,18.5,17.1,18.0,6600,10.0
1996-10-28,17.5,18.0,17.5,17.5,8900,10.0
1996-10-29,17.0,17.5,17.0,17.0,2700,10.0
1996-10-30,16.5,18.0,16.5,18.0,3800,10.0
1996-10-31,17.8,18.0,17.5,18.0,1600,10.0
