date,open,high,low,close,volume,adjrate
1977-01-03,0.50218,0.506766,0.50218,0.50218,700800,0.018344
1977-01-04,0.50218,0.504473,0.497594,0.497594,1313600,0.018344
1977-01-05,0.497594,0.50218,0.495301,0.497594,2211200,0.018344
1977-01-06,0.497594,0.497594,0.490715,0.493008,2172800,0.018344
1977-01-07,0.493008,0.495301,0.490715,0.495301,355200,0.018344
1977-01-10,0.493008,0.493008,0.488422,0.493008,1091200,0.018344
1977-01-11,0.493008,0.493008,0.467784,0.47237,2372800,0.018344
1977-01-12,0.47237,0.47237,0.458612,0.460905,1172800,0.018344
1977-01-13,0.460905,0.460905,0.454026,0.458612,1300800,0.018344
1977-01-14,0.458612,0.458612,0.44944,0.458612,1534400,0.018344
1977-01-17,0.458612,0.460905,0.454026,0.456319,1169600,0.018344
1977-01-18,0.451733,0.451733,0.442561,0.44944,1534400,0.018344
1977-01-19,0.453512,0.45814,0.451198,0.455826,945600,0.018511
1977-01-20,0.455826,0.45814,0.453512,0.45814,1540800,0.018511
1977-01-21,0.45814,0.465082,0.453513,0.462768,788800,0.018511
1977-01-24,0.462768,0.462768,0.455826,0.462768,1478400,0.018511
1977-01-25,0.460454,0.460454,0.453512,0.45814,2955200,0.018511
1977-01-26,0.45814,0.45814,0.448885,0.448885,1377600,0.018511
1977-01-27,0.448885,0.448885,0.441943,0.444257,905600,0.018511
1977-01-28,0.444257,0.446571,0.432688,0.435002,1465600,0.018511
1977-01-31,0.435001,0.441943,0.432688,0.441943,1038400,0.018511
1977-02-01,0.441943,0.448885,0.43963,0.448885,1150400,0.018511
1977-02-02,0.448884,0.476651,0.448884,0.455826,1040000,0.018511
1977-02-03,0.453513,0.453513,0.448885,0.448885,1100800,0.018511
1977-02-04,0.448884,0.45814,0.448884,0.455826,668800,0.018511
1977-02-07,0.455826,0.460454,0.439629,0.455826,1099200,0.018511
1977-02-08,0.455826,0.45814,0.453512,0.455826,763200,0.018511
1977-02-09,0.455826,0.462768,0.453512,0.45814,1057600,0.018511
1977-02-10,0.45814,0.45814,0.453512,0.45814,472000,0.018511
