date,open,high,low,close,volume,adjrate
1980-03-17,1.040739,1.081821,1.040739,1.040739,84000,0.054776
1980-03-18,1.054433,1.095515,1.054433,1.054433,24300,0.054776
1980-03-19,1.068127,1.109209,1.068127,1.068127,24600,0.054776
1980-03-20,1.068127,1.109209,1.068127,1.068127,16200,0.054776
1980-03-21,1.068127,1.095515,1.054433,1.054433,6600,0.054776
1980-03-24,1.054433,1.068127,1.027045,1.027045,84000,0.054776
1980-03-25,1.027045,1.068127,1.027045,1.027045,5700,0.054776
1980-03-26,1.054433,1.095515,1.054433,1.054433,70500,0.054776
1980-03-27,1.054433,1.081821,1.040739,1.040739,66600,0.054776
1980-03-28,1.040739,1.081821,1.040739,1.040739,5400,0.054776
1980-03-31,1.054433,1.095515,1.054433,1.054433,10800,0.054776
1980-04-01,1.109209,1.150291,1.109209,1.109209,171900,0.054776
1980-04-02,1.232455,1.273537,1.232455,1.232455,73200,0.054776
1980-04-03,1.218761,1.218761,1.177679,1.177679,27300,0.054776
1980-04-07,1.177679,1.177679,1.136597,1.136597,50400,0.054776
1980-04-08,1.136597,1.177679,1.136597,1.136597,1800,0.054776
1980-04-09,1.150291,1.191373,1.150291,1.150291,12600,0.054776
1980-04-10,1.136597,1.136597,1.095515,1.095515,36300,0.054776
1980-04-11,1.095515,1.136597,1.095515,1.095515,7200,0.054776
1980-04-14,1.095515,1.109209,1.068127,1.068127,38100,0.054776
1980-04-15,1.068127,1.081821,1.040739,1.040739,14700,0.054776
1980-04-16,1.095515,1.136597,1.095515,1.095515,28200,0.054776
1980-04-17,1.095515,1.136597,1.095515,1.095515,9300,0.054776
1980-04-18,1.095515,1.136597,1.095515,1.095515,30900,0.054776
1980-04-21,1.095515,1.136597,1.095515,1.095515,28200,0.054776
1980-04-22,1.095515,1.136597,1.095515,1.095515,1800,0.054776
1980-04-23,1.109209,1.150291,1.109209,1.109209,23400,0.054776
1980-04-24,1.109209,1.150291,1.109209,1.109209,14700,0.054776
1980-04-25,1.109209,1.136597,1.095515,1.095515,13500,0.054776
1980-04-28,1.109209,1.150291,1.109209,1.109209,5700,0.054776
1980-04-29,1.122903,1.163985,1.122903,1.122903,9300,0.054776
1980-04-30,1.122903,1.150291,1.109209,1.109209,9900,0.054776
1980-05-01,1.109209,1.136597,1.095515,1.095515,16500,0.054776
1980-05-02,1.095515,1.136597,1.095515,1.095515,5700,0.054776
1980-05-05,1.109209,1.150291,1.109209,1.109209,32400,0.054776
1980-05-06,1.136597,1.177679,1.136597,1.136597,57000,0.054776
1980-05-07,1.163985,1.205067,1.163985,1.163985,15300,0.054776
1980-05-08,1.163985,1.205067,1.163985,1.163985,7200,0.054776
1980-05-09,1.163985,1.205067,1.163985,1.163985,13800,0.054776
