date,open,high,low,close,volume,adjrate
1980-03-17,1.780013,1.809929,1.780013,1.780013,73600,0.059832
1980-03-18,1.780013,1.80245,1.765055,1.80245,14400,0.059832
1980-03-19,1.80245,1.809929,1.794971,1.80245,29600,0.059832
1980-03-20,1.809929,1.824887,1.809929,1.824887,13600,0.059832
1980-03-21,1.809929,1.809929,1.80245,1.80245,24000,0.059832
1980-03-24,1.80245,1.809929,1.787492,1.80245,30400,0.059832
1980-03-25,1.80245,1.817408,1.794971,1.817408,34400,0.059832
1980-03-26,1.817408,1.847324,1.80245,1.839845,54400,0.059832
1980-03-27,1.817408,1.817408,1.765055,1.780013,73600,0.059832
1980-03-28,1.794971,1.809929,1.794971,1.80245,30400,0.059832
1980-03-31,1.80245,1.809929,1.787492,1.794971,28000,0.059832
1980-04-01,1.794971,1.794971,1.765055,1.765055,40000,0.059832
1980-04-02,1.765055,1.772534,1.765055,1.765055,42400,0.059832
1980-04-03,1.750096,1.750096,1.735138,1.735138,408800,0.059832
1980-04-07,1.735138,1.750096,1.690264,1.690264,108000,0.059832
1980-04-08,1.690264,1.690264,1.690264,1.690264,7200,0.059832
1980-04-09,1.690264,1.72018,1.690264,1.705222,12000,0.059832
1980-04-10,1.697743,1.697743,1.690264,1.690264,29600,0.059832
1980-04-11,1.690264,1.697743,1.675306,1.675306,50400,0.059832
1980-04-14,1.675306,1.675306,1.652869,1.667827,64000,0.059832
1980-04-15,1.64539,1.64539,1.630432,1.630432,18400,0.059832
1980-04-16,1.637911,1.675306,1.637911,1.660348,23200,0.059832
1980-04-17,1.660348,1.675306,1.660348,1.660348,12000,0.059832
1980-04-18,1.675306,1.705222,1.675306,1.705222,6400,0.059832
1980-04-21,1.705222,1.735138,1.705222,1.705222,120000,0.059832
1980-04-22,1.690264,1.690264,1.64539,1.64539,104800,0.059832
1980-04-23,1.660348,1.682785,1.660348,1.675306,93600,0.059832
1980-04-24,1.675306,1.72018,1.667827,1.72018,44000,0.059832
1980-04-25,1.72018,1.727659,1.705222,1.72018,24000,0.059832
1980-04-28,1.720181,1.765055,1.712702,1.765055,48000,0.059832
1980-04-29,1.757576,1.757576,1.742618,1.742618,43200,0.059832
1980-04-30,1.742618,1.772534,1.720181,1.772534,53600,0.059832
1980-05-01,1.772534,1.787492,1.765055,1.765055,19200,0.059832
1980-05-02,1.765055,1.765055,1.750097,1.750097,4800,0.059832
1980-05-05,1.750097,1.750097,1.735139,1.750097,3200,0.059832
1980-05-06,1.735138,1.735138,1.735138,1.735138,3200,0.059832
1980-05-07,1.735139,1.742618,1.720181,1.742618,55200,0.059832
1980-05-08,1.742617,1.750096,1.727659,1.735138,25600,0.059832
1980-05-09,1.735138,1.735138,1.72018,1.72018,19200,0.059832
1980-05-12,1.705222,1.705222,1.675306,1.690264,27200,0.059832
1980-05-13,1.690264,1.705222,1.690264,1.705222,20800,0.059832
1980-05-14,1.705222,1.705222,1.705222,1.705222,1600,0.059832
1980-05-15,1.712701,1.742617,1.712701,1.735138,49600,0.059832
1980-05-16,1.735139,1.765055,1.735139,1.765055,324800,0.059832
1980-05-19,1.765055,1.794971,1.757576,1.765055,481600,0.059832
1980-05-20,1.765055,1.765055,1.742618,1.750097,37600,0.059832
1980-05-21,1.750097,1.765055,1.742618,1.742618,29600,0.059832
1980-05-22,1.750097,1.765055,1.750097,1.750097,19200,0.059832
1980-05-23,1.765055,1.794971,1.765055,1.794971,83200,0.059832
1980-05-27,1.794971,1.809929,1.757576,1.809929,141600,0.059832
1980-05-28,1.794971,1.794971,1.780013,1.780013,129600,0.059832
1980-05-29,1.780013,1.80245,1.780013,1.80245,40000,0.059832
1980-05-30,1.80245,1.809929,1.787492,1.809929,50400,0.059832
1980-06-02,1.809929,1.809929,1.787492,1.787492,17600,0.059832
1980-06-03,1.787492,1.809929,1.780013,1.794971,36000,0.059832
1980-06-04,1.794971,1.794971,1.780013,1.780013,14400,0.059832
1980-06-05,1.780013,1.809929,1.780013,1.794971,202400,0.059832
1980-06-06,1.794971,1.817408,1.794971,1.817408,95200,0.059832
1980-06-09,1.832366,1.854803,1.832366,1.854803,25600,0.059832
1980-06-10,1.854803,1.884719,1.847324,1.87724,27200,0.059832
1980-06-11,1.877241,1.929594,1.877241,1.929594,19200,0.059832
1980-06-12,1.922114,1.922114,1.907156,1.907156,62400,0.059832
1980-06-13,1.907157,1.914636,1.88472,1.914636,22400,0.059832
1980-06-16,1.914636,1.937073,1.877241,1.937073,32000,0.059832
1980-06-17,1.937073,1.937073,1.914636,1.929594,17600,0.059832
1980-06-18,1.929594,1.937073,1.899678,1.914636,31200,0.059832
1980-06-19,1.914635,1.922114,1.892198,1.907156,76000,0.059832
1980-06-20,1.892198,1.892198,1.854803,1.854803,28000,0.059832
1980-06-23,1.854803,1.87724,1.854803,1.862282,12000,0.059832
1980-06-24,1.862282,1.87724,1.854803,1.862282,16800,0.059832
1980-06-25,1.854803,1.854803,1.847324,1.847324,8800,0.059832
1980-06-26,1.847324,1.854803,1.839845,1.847324,36800,0.059832
1980-06-27,1.839845,1.839845,1.80245,1.839845,152800,0.059832
1980-06-30,1.839845,1.839845,1.824887,1.824887,16000,0.059832
1980-07-01,1.809929,1.809929,1.80245,1.809929,23200,0.059832
1980-07-02,1.809929,1.817408,1.80245,1.809929,207200,0.059832
1980-07-03,1.809929,1.817408,1.80245,1.817408,24000,0.059832
1980-07-07,1.832366,1.87724,1.832366,1.87724,31200,0.059832
1980-07-08,1.884719,1.907156,1.884719,1.892198,35200,0.059832
1980-07-09,1.892199,1.914636,1.892199,1.914636,28800,0.059832
1980-07-10,1.914635,1.914635,1.899677,1.899677,3200,0.059832
1980-07-11,1.899678,1.914636,1.892199,1.914636,20800,0.059832
1980-07-14,1.914636,1.914636,1.892199,1.914636,23200,0.059832
1980-07-15,1.914636,1.929594,1.907157,1.914636,43200,0.059832
1980-07-16,1.914635,1.914635,1.884719,1.884719,33600,0.059832
1980-07-17,1.892199,1.944552,1.892199,1.944552,52000,0.059832
1980-07-18,1.95951,2.004384,1.95951,2.004384,34400,0.059832
1980-07-21,2.004384,2.019342,1.989426,2.019342,45600,0.059832
1980-07-22,2.019342,2.064216,2.004384,2.049258,32800,0.059832
1980-07-23,2.0343,2.0343,1.95951,1.95951,31200,0.059832
1980-07-24,1.95951,1.974468,1.952031,1.974468,32800,0.059832
1980-07-25,1.974468,1.974468,1.944552,1.952031,101600,0.059832
1980-07-28,1.944552,1.944552,1.929594,1.944552,13600,0.059832
1980-07-29,1.95951,1.989426,1.95951,1.989426,32000,0.059832
1980-07-30,1.989426,2.086654,1.981947,2.086654,44800,0.059832
1980-07-31,2.086654,2.124049,2.064217,2.124049,32800,0.059832
1980-08-01,2.124049,2.19136,2.124049,2.19136,179200,0.059832
1980-08-04,2.19136,2.19884,2.086654,2.11657,268000,0.059832
1980-08-05,2.11657,2.139007,2.094133,2.11657,33600,0.059832
1980-08-06,2.11657,2.11657,2.079175,2.109091,60000,0.059832
1980-08-07,2.094133,2.094133,2.086654,2.086654,8800,0.059832
1980-08-08,2.086653,2.086653,2.049258,2.064216,49600,0.059832
1980-08-11,2.049258,2.049258,2.0343,2.0343,27200,0.059832
1980-08-12,2.049258,2.064216,2.049258,2.049258,20000,0.059832
1980-08-13,2.049258,2.094132,2.004384,2.049258,211200,0.059832
1980-08-14,2.049258,2.064216,2.0343,2.064216,15200,0.059832
1980-08-15,2.064216,2.064216,2.041779,2.064216,40000,0.059832
1980-08-18,2.064216,2.064216,2.019342,2.0343,26400,0.059832
1980-08-19,2.0343,2.0343,1.996905,2.004384,29600,0.059832
1980-08-20,2.004384,2.0343,2.004384,2.026821,17600,0.059832
1980-08-21,2.0343,2.071695,2.0343,2.071695,21600,0.059832
1980-08-22,2.071695,2.086653,2.049258,2.071695,35200,0.059832
1980-08-25,2.049258,2.049258,2.019342,2.019342,26400,0.059832
1980-08-26,2.019342,2.0343,2.019342,2.0343,16800,0.059832
1980-08-27,2.026821,2.026821,2.011863,2.011863,16800,0.059832
1980-08-28,2.019342,2.026821,2.019342,2.019342,11200,0.059832
1980-08-29,2.004384,2.004384,1.952031,1.952031,30400,0.059832
1980-09-02,1.952031,1.989426,1.944552,1.974468,31200,0.059832
1980-09-03,1.974468,2.004384,1.974468,2.004384,17600,0.059832
