date,open,high,low,close,volume,adjrate
2000-10-06,2.117491,2.143473,1.948612,2.026556,7776800,0.103926
2000-10-09,2.020061,2.020061,1.883658,1.883658,2759200,0.103926
2000-10-10,1.870667,1.974593,1.870667,1.909639,2257600,0.103926
2000-10-11,1.903144,1.903144,1.831695,1.844686,3709600,0.103926
2000-10-12,1.818704,1.818704,1.662815,1.75375,4552000,0.103926
2000-10-13,1.727769,1.792723,1.714779,1.792723,1595200,0.103926
2000-10-16,1.792723,1.818704,1.779732,1.799218,1236800,0.103926
2000-10-17,1.792722,1.93562,1.792722,1.909639,620000,0.103926
2000-10-18,1.896649,1.90964,1.805714,1.812209,1392000,0.103926
2000-10-19,1.8252,1.831695,1.766742,1.773237,1219200,0.103926
2000-10-20,1.786227,1.786227,1.75375,1.766741,1064800,0.103926
2000-10-23,1.766741,1.766741,1.74076,1.74076,1488800,0.103926
2000-10-24,1.766741,1.818704,1.760246,1.818704,533600,0.103926
2000-10-25,1.818705,1.948612,1.805714,1.896649,1664000,0.103926
2000-10-26,1.883658,1.883658,1.831695,1.883658,338400,0.103926
2000-10-27,1.903144,2.039547,1.890153,2.026556,400000,0.103926
2000-10-30,2.00707,2.234408,2.000575,2.234408,741600,0.103926
2000-10-31,2.338334,2.520204,2.338334,2.429269,3561600,0.103926
2000-11-01,2.403288,2.435764,2.325343,2.409783,2935200,0.103926
2000-11-02,2.422774,2.507213,2.403288,2.481232,914400,0.103926
2000-11-03,2.45525,2.62413,2.390297,2.62413,2640800,0.103926
2000-11-06,2.62413,2.62413,2.494223,2.500718,677600,0.103926
2000-11-07,2.494222,2.494222,2.403287,2.468241,866400,0.103926
2000-11-08,2.312353,2.494223,2.247399,2.494223,2896000,0.103926
2000-11-09,2.494222,2.520204,2.429269,2.487727,1449600,0.103926
2000-11-10,2.481232,2.598148,2.481232,2.572167,368000,0.103926
2000-11-13,2.546186,2.546186,2.286371,2.299362,726400,0.103926
2000-11-14,2.286371,2.364315,2.208426,2.364315,1000800,0.103926
2000-11-15,2.377306,2.416278,2.331839,2.390297,736800,0.103926
2000-11-16,2.377306,2.390296,2.377306,2.383801,72800,0.103926
2000-11-17,2.403288,2.429269,2.370811,2.429269,272800,0.103926
2000-11-20,2.416278,2.416278,2.286371,2.364315,264800,0.103926
2000-11-21,2.35782,2.364316,2.34483,2.351325,712800,0.103926
2000-11-22,2.364316,2.390297,2.338334,2.390297,404000,0.103926
2000-11-24,2.390297,2.390297,2.383802,2.390297,242400,0.103926
2000-11-27,2.416278,2.474736,2.390297,2.468241,833600,0.103926
