date,open,high,low,close,volume,adjrate
1986-07-09,8.38918,8.683538,8.291061,8.634478,1116800,0.196238
1986-07-10,8.683538,8.732598,8.389181,8.585419,595600,0.196238
1986-07-11,8.53636,8.585419,8.291062,8.291062,800400,0.196238
1986-07-14,8.340121,8.340121,7.947645,8.045764,738000,0.196238
1986-07-15,7.996704,7.996704,7.309871,7.800466,2059200,0.196238
1986-07-16,7.800466,8.242002,7.800466,7.947645,1160400,0.196238
1986-07-17,7.947644,8.045764,7.849525,7.996704,1046000,0.196238
1986-07-18,7.996704,8.119353,7.849526,8.045764,1420000,0.196238
1986-07-21,8.045764,8.094824,7.996704,8.045764,322800,0.196238
1986-07-22,8.045764,8.070293,7.996704,7.996704,390800,0.196238
1986-07-23,8.045764,8.045764,7.849525,7.898585,1004000,0.196238
1986-07-24,7.898585,7.947645,7.702347,7.800466,1071600,0.196238
1986-07-25,7.800466,7.947645,7.751406,7.898585,688400,0.196238
1986-07-28,7.898585,8.045764,7.824996,7.947645,414800,0.196238
1986-07-29,7.849525,7.996704,7.849525,7.996704,278400,0.196238
1986-07-30,7.898585,7.947645,7.751407,7.947645,459200,0.196238
1986-07-31,7.947645,8.045764,7.849525,7.898585,1213600,0.196238
1986-08-01,7.849526,7.947645,7.653288,7.653288,1118000,0.196238
1986-08-04,7.702348,7.702348,7.48158,7.653288,892400,0.196238
1986-08-05,7.653288,7.653288,7.457049,7.506109,868800,0.196238
1986-08-06,7.506109,7.555168,7.162692,7.162692,550400,0.196238
1986-08-07,7.064573,7.113633,6.37774,6.573978,7560000,0.196238
1986-08-08,6.623037,7.015514,6.573978,6.966454,2802000,0.196238
1986-08-11,7.064573,7.162692,6.966454,7.162692,1428000,0.196238
1986-08-12,7.162692,7.40799,7.162692,7.35893,1155200,0.196238
1986-08-13,7.40799,7.923115,7.35893,7.604228,865600,0.196238
1986-08-14,7.653288,7.702348,7.358931,7.45705,762000,0.196238
1986-08-15,7.457049,7.457049,7.211751,7.35893,654400,0.196238
1986-08-18,7.40799,7.751407,7.260811,7.604228,606800,0.196238
1986-08-19,7.653288,7.653288,7.457049,7.506109,2744000,0.196238
1986-08-20,7.50611,7.50611,7.358931,7.45705,500000,0.196238
1986-08-21,7.45705,7.506109,7.40799,7.40799,353200,0.196238
1986-08-22,7.457049,7.506109,7.35893,7.35893,286000,0.196238
1986-08-25,7.457049,7.457049,7.162692,7.260811,766400,0.196238
1986-08-26,7.211751,7.35893,7.211751,7.35893,408800,0.196238
1986-08-27,7.358931,7.358931,7.211752,7.309871,686400,0.196238
1986-08-28,7.309871,7.309871,7.162692,7.211752,286000,0.196238
1986-08-29,7.162692,7.260811,7.113632,7.162692,1128800,0.196238
1986-09-02,7.211752,7.211752,6.819275,6.868335,916800,0.196238
1986-09-03,6.868335,7.015514,6.819276,7.015514,684400,0.196238
1986-09-04,7.064573,7.309871,6.966454,7.309871,576800,0.196238
1986-09-05,7.309871,7.40799,7.064573,7.064573,961600,0.196238
1986-09-08,7.162692,7.162692,6.770216,6.868335,1793200,0.196238
1986-09-09,6.819276,6.868335,6.672097,6.770216,388000,0.196238
1986-09-10,6.770216,6.770216,6.672097,6.672097,802400,0.196238
1986-09-11,6.721156,6.721156,6.083382,6.230561,6240000,0.196238
1986-09-12,6.181501,6.230561,5.936203,5.985263,2066800,0.196238
1986-09-15,5.985263,6.083382,5.838084,5.985263,1746800,0.196238
1986-09-16,5.936204,5.985264,5.739966,5.838085,1547200,0.196238
1986-09-17,5.887144,5.887144,5.543727,5.789025,997600,0.196238
1986-09-18,5.789025,6.868335,5.789025,6.868335,833200,0.196238
1986-09-19,6.868335,6.868335,6.426799,6.721156,928000,0.196238
1986-09-22,6.721157,6.819276,6.573978,6.672097,464000,0.196238
1986-09-23,6.721157,6.721157,6.32868,6.475859,436400,0.196238
1986-09-24,6.475859,6.721157,6.37774,6.672097,649600,0.196238
1986-09-25,6.672097,6.672097,6.524918,6.524918,305600,0.196238
1986-09-26,6.524918,6.623037,6.475858,6.524918,278400,0.196238
1986-09-29,6.573978,6.573978,6.32868,6.475859,724800,0.196238
1986-09-30,6.426799,6.868335,6.426799,6.721156,773200,0.196238
1986-10-01,6.819275,6.868335,6.721156,6.721156,668400,0.196238
1986-10-02,6.721156,6.770216,6.721156,6.721156,592000,0.196238
1986-10-03,6.770216,6.770216,6.475859,6.573978,228000,0.196238
1986-10-06,6.672097,6.672097,6.524918,6.623037,467600,0.196238
1986-10-07,6.573977,6.672097,6.573977,6.623037,176000,0.196238
1986-10-08,6.672097,6.770216,6.623037,6.770216,558800,0.196238
1986-10-09,6.770216,6.770216,6.573977,6.623037,243200,0.196238
1986-10-10,6.623037,6.623037,6.475858,6.524918,238400,0.196238
