date,open,high,low,close,volume,adjrate
1992-12-16,2.79565,3.190986,2.767364,2.79565,68001200,0.117623
1992-12-17,2.82385,2.880328,2.795658,2.82385,8265700,0.117624
1992-12-18,2.88032,2.965075,2.79565,2.88032,4243600,0.117623
1992-12-21,2.71089,2.880324,2.71089,2.71089,4873400,0.117623
1992-12-22,2.8945,2.936797,2.710885,2.8945,3117300,0.117623
1992-12-23,2.9086,2.936801,2.852131,2.9086,2894900,0.117623
1992-12-24,2.9368,2.965077,2.880322,2.9368,2577500,0.117623
1992-12-28,2.88032,2.965075,2.88032,2.88032,2326700,0.117623
1992-12-29,2.85213,2.9368,2.795652,2.85213,2381700,0.117623
1992-12-30,2.88032,2.908597,2.823842,2.88032,2260900,0.117623
1992-12-31,2.9086,2.9086,2.852131,2.9086,1177100,0.117623
1993-01-04,2.76737,2.908603,2.76737,2.76737,2084300,0.117623
1993-01-05,2.82385,2.852136,2.767372,2.82385,2843200,0.117624
1993-01-06,2.85213,2.85213,2.795652,2.85213,1149600,0.117623
1993-01-07,2.82385,2.908605,2.82385,2.82385,2285100,0.117624
1993-01-08,2.82385,2.880328,2.82385,2.82385,1946000,0.117624
1993-01-11,2.76737,2.852134,2.739178,2.76737,733100,0.117623
1993-01-12,2.82385,2.82385,2.767372,2.82385,2317600,0.117624
1993-01-13,2.82385,2.852136,2.795658,2.82385,1524500,0.117624
1993-01-14,3.1627,3.190986,2.79565,3.1627,4895900,0.117623
1993-01-15,3.21918,3.21918,3.106224,3.21918,2230100,0.117623
1993-01-18,3.19099,3.247468,3.106226,3.19099,4432700,0.117623
1993-01-19,3.33214,3.388618,3.190992,3.33214,2180100,0.117623
1993-01-20,3.36041,3.36041,3.303941,3.36041,1137900,0.117623
1993-01-21,3.50156,3.529846,3.303943,3.50156,2230900,0.117623
1993-01-22,3.47337,3.586326,3.47337,3.47337,2132600,0.117623
1993-01-25,3.671,3.699286,3.473374,3.671,1958500,0.117623
1993-01-26,3.78395,3.868705,3.755758,3.78395,7918300,0.117623
1993-01-27,3.6569,3.84043,3.614518,3.6569,3906200,0.117623
1993-01-28,3.44508,3.670992,3.332133,3.44508,2767400,0.117623
1993-01-29,3.38862,3.445089,3.30395,3.38862,1162900,0.117623
1993-02-01,3.38862,3.445089,3.332142,3.38862,444000,0.117623
1993-02-02,3.44508,3.529844,3.388611,3.44508,524000,0.117623
1993-02-03,3.6428,3.6428,3.473366,3.6428,2397500,0.117623
1993-02-04,3.61452,3.642806,3.558042,3.61452,1992700,0.117623
1993-02-05,3.44508,3.600418,3.44508,3.44508,1202100,0.117623
1993-02-08,3.21918,3.501561,3.21918,3.21918,1112100,0.117623
1993-02-09,3.26156,3.332134,3.190986,3.26156,3064800,0.117623
1993-02-10,3.33214,3.360417,3.275662,3.33214,383200,0.117623
1993-02-11,3.47337,3.47337,3.388615,3.47337,1312900,0.117623
1993-02-12,3.50156,3.50156,3.445082,3.50156,524800,0.117623
1993-02-16,3.24747,3.445087,3.219184,3.24747,2011000,0.117623
1993-02-17,3.31804,3.360413,3.190988,3.31804,2341700,0.117623
1993-02-18,3.36041,3.36041,3.275655,3.36041,509800,0.117623
1993-02-19,3.38862,3.38862,3.332142,3.38862,529800,0.117623
1993-02-22,3.21918,3.388614,3.162702,3.21918,903800,0.117623
1993-02-23,3.13451,3.21918,3.021554,3.13451,1328700,0.117623
1993-02-24,3.30395,3.30395,3.049752,3.30395,605600,0.117623
1993-02-25,3.26156,3.303942,3.219178,3.26156,1512800,0.117623
1993-02-26,3.24747,3.275662,3.219184,3.24747,218200,0.117623
1993-03-01,3.33214,3.416895,3.24747,3.33214,516500,0.117623
1993-03-02,3.58633,3.58633,3.388619,3.58633,875500,0.117623
1993-03-03,3.671,3.727478,3.529852,3.671,1533600,0.117623
1993-03-04,3.54394,3.699278,3.473366,3.54394,2719900,0.117623
1993-03-05,3.33214,3.501565,3.33214,3.33214,821400,0.117623
1993-03-08,3.33214,3.33214,3.24747,3.33214,916300,0.117623
1993-03-09,3.34632,3.388617,3.275661,3.34632,419800,0.117623
1993-03-10,3.50156,3.50156,3.388613,3.50156,259000,0.117623
1993-03-11,3.48747,3.529852,3.445088,3.48747,189900,0.117623
1993-03-12,3.671,3.699286,3.445088,3.671,766400,0.117623
1993-03-15,3.69928,3.69928,3.586324,3.69928,1243700,0.117623
1993-03-16,3.6428,3.783948,3.614514,3.6428,1172900,0.117623
1993-03-17,3.38862,3.671001,3.38862,3.38862,1164600,0.117623
1993-03-18,3.19099,3.360415,3.078034,3.19099,8109900,0.117623
1993-03-19,3.06394,3.275662,3.021558,3.06394,1876900,0.117623
1993-03-22,3.04975,3.04975,2.880325,3.04975,1809400,0.117623
1993-03-23,3.19099,3.19099,3.049748,3.19099,595600,0.117623
1993-03-24,3.10623,3.190994,3.02156,3.10623,2486700,0.117624
1993-03-25,3.21918,3.21918,3.106224,3.21918,412300,0.117623
1993-03-26,3.21918,3.247466,3.13451,3.21918,1305400,0.117623
1993-03-29,3.21918,3.247466,3.13451,3.21918,691400,0.117623
1993-03-30,3.28985,3.360415,3.247468,3.28985,1430300,0.117623
1993-03-31,3.36041,3.416888,3.275655,3.36041,336500,0.117623
1993-04-01,3.41689,3.430986,3.332135,3.41689,1166300,0.117623
1993-04-02,3.19099,3.360415,2.979174,3.19099,1422800,0.117623
1993-04-05,3.30395,3.30395,3.190994,3.30395,434800,0.117623
1993-04-06,2.99327,3.303946,2.965078,2.99327,1236200,0.117623
1993-04-07,2.92271,3.078039,2.852136,2.92271,476500,0.117624
1993-04-08,2.62622,2.908601,2.569742,2.62622,4985100,0.117623
1993-04-12,2.6827,2.795656,2.569744,2.6827,4655200,0.117623
1993-04-13,2.23088,2.739172,2.174402,2.23088,4960900,0.117623
1993-04-14,2.56974,2.597932,2.372029,2.56974,5564900,0.117623
1993-04-15,2.62622,2.682698,2.513264,2.62622,2406700,0.117623
1993-04-16,2.76737,2.76737,2.6827,2.76737,1469500,0.117623
1993-04-19,2.59793,2.767364,2.59793,2.59793,1722700,0.117623
1993-04-20,2.6686,2.6686,2.541454,2.6686,474800,0.117623
1993-04-21,2.71089,2.739176,2.597934,2.71089,416500,0.117623
1993-04-22,2.76737,2.795656,2.710892,2.76737,1896900,0.117623
1993-04-23,2.58384,2.795656,2.541458,2.58384,1062100,0.117623
1993-04-26,2.59793,2.626216,2.484983,2.59793,1033800,0.117623
1993-04-27,2.56974,2.56974,2.484985,2.56974,1042100,0.117623
1993-04-28,2.71089,2.71089,2.484987,2.71089,1311200,0.117623
1993-04-29,2.71089,2.739176,2.654412,2.71089,114100,0.117623
1993-04-30,2.79565,2.79565,2.682694,2.79565,783900,0.117623
1993-05-03,2.79565,2.823842,2.739172,2.79565,107400,0.117623
1993-05-04,2.88032,2.88032,2.781554,2.88032,1208700,0.117623
1993-05-05,3.10623,3.10623,2.795657,3.10623,1189600,0.117624
1993-05-06,3.03565,3.106224,3.021554,3.03565,675600,0.117623
1993-05-07,3.10623,3.10623,3.02156,3.10623,2718300,0.117624
1993-05-10,2.9086,3.162704,2.9086,2.9086,1958500,0.117623
1993-05-11,2.97917,3.021552,2.880319,2.97917,2209300,0.117623
1993-05-12,2.96508,3.021558,2.880325,2.96508,509000,0.117623
1993-05-13,2.92271,2.965083,2.82385,2.92271,962100,0.117624
1993-05-14,3.06394,3.078036,2.936803,3.06394,290700,0.117623
1993-05-17,3.13451,3.190988,2.993268,3.13451,1810200,0.117623
1993-05-18,3.1627,3.303942,3.07803,3.1627,6518700,0.117623
1993-05-19,3.04975,3.219184,2.908602,3.04975,1356200,0.117623
1993-05-20,3.04975,3.078036,2.993272,3.04975,600600,0.117623
1993-05-21,2.96508,3.078036,2.96508,2.96508,364800,0.117623
1993-05-24,2.95098,3.007458,2.908598,2.95098,344000,0.117623
1993-05-25,2.9368,2.993269,2.908599,2.9368,869700,0.117623
1993-05-26,2.82385,2.965083,2.795658,2.82385,715600,0.117624
1993-05-27,2.73918,2.880328,2.654416,2.73918,1277100,0.117624
1993-05-28,2.62622,2.71089,2.62622,2.62622,790500,0.117623
1993-06-01,2.64032,2.682702,2.626224,2.64032,265700,0.117624
1993-06-02,2.62622,2.767368,2.62622,2.62622,788000,0.117623
1993-06-03,2.56974,2.682696,2.513262,2.56974,1676100,0.117623
1993-06-04,2.54145,2.569736,2.428504,2.54145,606400,0.117623
1993-06-07,2.55565,2.569746,2.513268,2.55565,3074000,0.117624
1993-06-08,2.59793,2.59793,2.527356,2.59793,74900,0.117623
1993-06-09,2.55565,2.626224,2.54146,2.55565,714700,0.117624
1993-06-10,2.54145,2.597928,2.54145,2.54145,308200,0.117623
1993-06-11,2.65441,2.739174,2.541454,2.65441,1698600,0.117623
1993-06-14,2.85213,2.880322,2.65441,2.85213,331500,0.117623
1993-06-15,2.79565,2.852128,2.710886,2.79565,419000,0.117623
1993-06-16,2.8945,2.965074,2.739172,2.8945,9238700,0.117623
1993-06-17,2.99327,3.134512,2.9086,2.99327,5709000,0.117623
1993-06-18,2.99327,3.049748,2.965078,2.99327,1471200,0.117623
1993-06-21,2.9086,2.965078,2.9086,2.9086,416500,0.117623
1993-06-22,2.9086,2.936801,2.823845,2.9086,642200,0.117623
1993-06-23,2.76737,2.852134,2.739178,2.76737,999600,0.117623
1993-06-24,2.88032,2.894501,2.767364,2.88032,992100,0.117623
1993-06-25,2.9368,2.9368,2.880322,2.9368,614800,0.117623
1993-06-28,3.07803,3.07803,2.88032,3.07803,2131000,0.117623
1993-06-29,3.10623,3.148612,2.993274,3.10623,950500,0.117624
1993-06-30,3.21918,3.303944,3.106224,3.21918,2079300,0.117623
1993-07-01,3.13451,3.23337,3.078032,3.13451,3151500,0.117623
1993-07-02,3.07803,3.134508,3.049744,3.07803,596400,0.117623
1993-07-06,2.99327,3.134512,2.99327,2.99327,317400,0.117623
1993-07-07,2.9368,2.965077,2.85213,2.9368,1065500,0.117623
1993-07-08,2.9368,2.993269,2.908599,2.9368,319000,0.117623
1993-07-09,2.9086,2.99327,2.9086,2.9086,278200,0.117623
1993-07-12,2.96508,2.993272,2.908602,2.96508,322300,0.117623
1993-07-13,2.99327,2.99327,2.9086,2.99327,557300,0.117623
1993-07-14,3.02156,3.10623,2.993274,3.02156,572300,0.117624
1993-07-15,3.07803,3.07803,2.993266,3.07803,34900,0.117623
1993-07-16,2.99327,3.049748,2.99327,2.99327,347300,0.117623
1993-07-19,2.88032,2.965075,2.88032,2.88032,367300,0.117623
1993-07-20,2.99327,3.021556,2.9086,2.99327,557300,0.117623
1993-07-21,2.95098,3.021554,2.936799,2.95098,2026800,0.117623
1993-07-22,2.88032,2.993267,2.823842,2.88032,543100,0.117623
1993-07-23,2.9368,2.979173,2.823844,2.9368,685600,0.117623
1993-07-26,3.10623,3.10623,2.908604,3.10623,1387800,0.117624
1993-07-27,3.24747,3.275662,3.134514,3.24747,4331100,0.117623
1993-07-28,3.21918,3.275658,3.21918,3.21918,3363100,0.117623
1993-07-29,3.21918,3.275658,3.21918,3.21918,628900,0.117623
1993-07-30,3.23337,3.275658,3.21918,3.23337,1167900,0.117623
1993-08-02,3.24747,3.261566,3.219184,3.24747,654700,0.117623
1993-08-03,3.1627,3.275656,3.134508,3.1627,788000,0.117623
1993-08-04,3.13451,3.21918,3.13451,3.13451,671400,0.117623
1993-08-05,3.19099,3.19099,3.134512,3.19099,229900,0.117623
1993-08-06,3.06394,3.134514,2.880325,3.06394,2790700,0.117623
1993-08-09,3.13451,3.13451,3.049746,3.13451,254000,0.117623
1993-08-10,3.09213,3.134512,3.049748,3.09213,1348700,0.117623
1993-08-11,3.13451,3.13451,3.049746,3.13451,648100,0.117623
