date,open,high,low,close,volume,adjrate
1983-08-19,0.719223,0.734972,0.719223,0.719223,1996200,0.041998
1983-08-22,0.724473,0.734973,0.724473,0.724473,1621800,0.041998
1983-08-23,0.724473,0.729723,0.724473,0.724473,1972800,0.041998
1983-08-24,0.729723,0.745472,0.729723,0.729723,819000,0.041998
1983-08-25,0.740223,0.755972,0.740223,0.740223,347400,0.041998
1983-08-26,0.750722,0.771721,0.750722,0.750722,549000,0.041998
1983-08-29,0.766472,0.787471,0.766472,0.766472,552600,0.041998
1983-08-30,0.80322,0.818969,0.80322,0.80322,777600,0.041998
1983-08-31,0.80322,0.818969,0.80322,0.80322,1432800,0.041998
1983-09-01,0.803221,0.808471,0.797971,0.797971,271800,0.041998
1983-09-02,0.797971,0.81372,0.797971,0.797971,120600,0.041998
1983-09-06,0.797971,0.81372,0.797971,0.797971,165600,0.041998
1983-09-07,0.797971,0.803221,0.792721,0.792721,1135800,0.041998
1983-09-08,0.792721,0.803221,0.792721,0.792721,124200,0.041998
1983-09-09,0.797971,0.803221,0.797971,0.797971,82800,0.041998
1983-09-12,0.797971,0.808471,0.797971,0.797971,703800,0.041998
1983-09-13,0.797971,0.803221,0.797971,0.797971,79200,0.041998
1983-09-14,0.797971,0.803221,0.797971,0.797971,77400,0.041998
1983-09-15,0.797971,0.797971,0.787471,0.787471,212400,0.041998
1983-09-16,0.787471,0.797971,0.787471,0.787471,82800,0.041998
1983-09-19,0.787471,0.797971,0.787471,0.787471,39600,0.041998
1983-09-20,0.787471,0.80322,0.787471,0.787471,59400,0.041998
1983-09-21,0.797971,0.808471,0.797971,0.797971,25200,0.041998
1983-09-22,0.797971,0.808471,0.797971,0.797971,90000,0.041998
1983-09-23,0.797971,0.808471,0.797971,0.797971,37800,0.041998
1983-09-26,0.797971,0.808471,0.797971,0.797971,304200,0.041998
1983-09-27,0.797971,0.808471,0.797971,0.797971,46800,0.041998
1983-09-28,0.797971,0.803221,0.797971,0.797971,27000,0.041998
1983-09-29,0.81897,0.834719,0.81897,0.81897,275400,0.041998
1983-09-30,0.829469,0.834719,0.829469,0.829469,325800,0.041998
1983-10-03,0.839969,0.850469,0.839969,0.839969,275400,0.041998
1983-10-04,0.839969,0.850469,0.839969,0.839969,43200,0.041998
1983-10-05,0.845219,0.860968,0.845219,0.845219,351000,0.041998
1983-10-06,0.845219,0.850469,0.845219,0.845219,259200,0.041998
1983-10-07,0.845219,0.850469,0.845219,0.845219,999000,0.041998
