date,open,high,low,close,volume,adjrate
1995-12-08,2.166667,2.541667,2.125,2.5,44502000,0.083333
1995-12-11,2.59375,2.916667,2.583333,2.75,8887200,0.083333
1995-12-12,2.729167,2.895834,2.666667,2.666667,4262400,0.083333
1995-12-13,2.625,2.6875,2.604167,2.614583,2055600,0.083333
1995-12-14,2.583333,2.645833,2.229167,2.4375,3476400,0.083333
1995-12-15,2.395834,2.4375,2.354167,2.354167,948000,0.083333
1995-12-18,2.333334,2.354167,2.0625,2.104167,2029200,0.083333
1995-12-19,2.083333,2.291666,2.083333,2.270833,2164800,0.083333
1995-12-20,2.291667,2.291667,2.229167,2.25,1099200,0.083333
1995-12-21,2.229167,2.291667,2.229167,2.291667,662400,0.083333
1995-12-22,2.291666,2.291666,2.229167,2.270833,634800,0.083333
1995-12-26,2.291667,2.291667,2.229167,2.229167,259200,0.083333
1995-12-27,2.229167,2.5625,2.229167,2.5625,1314000,0.083333
1995-12-28,2.5,2.583333,2.395833,2.520833,618000,0.083333
1995-12-29,2.520833,2.75,2.520833,2.708333,855600,0.083333
1996-01-02,2.729167,2.75,2.666667,2.666667,450000,0.083333
1996-01-03,2.666667,2.708333,2.4375,2.4375,692400,0.083333
1996-01-04,2.354167,2.395833,2.25,2.3125,1677600,0.083333
1996-01-05,2.25,2.25,2.104167,2.145833,2160000,0.083333
1996-01-08,2.208333,2.208333,2.125,2.208333,477600,0.083333
1996-01-09,2.125,2.208333,2.083333,2.083333,981600,0.083333
1996-01-10,2.145833,2.145833,1.958333,2.020833,1050000,0.083333
1996-01-11,2.104167,2.375,2.083333,2.229167,1106400,0.083333
1996-01-12,2.229167,2.270833,2.083333,2.270833,880800,0.083333
1996-01-15,2.270833,2.4375,2.270833,2.333333,1008000,0.083333
1996-01-16,2.354167,2.354167,2.0625,2.1875,470400,0.083333
1996-01-17,2.166667,2.3125,2.166667,2.270833,348000,0.083333
1996-01-18,2.270833,2.3125,2.25,2.25,384000,0.083333
1996-01-19,2.270833,2.333333,2.270833,2.333333,326400,0.083333
1996-01-22,2.291667,2.333333,2.291667,2.3125,360000,0.083333
1996-01-23,2.708334,2.729167,2.541667,2.604167,3007200,0.083333
1996-01-24,2.5625,2.625,2.552083,2.552083,610800,0.083333
1996-01-25,2.5625,2.645833,2.5625,2.5625,500400,0.083333
1996-01-26,2.645833,2.645833,2.5625,2.645833,156000,0.083333
1996-01-29,2.645833,2.645833,2.5625,2.645833,219600,0.083333
1996-01-30,2.625,2.75,2.625,2.645833,434400,0.083333
1996-01-31,2.6875,2.6875,2.604167,2.645833,520800,0.083333
1996-02-01,2.604166,2.645833,2.583333,2.583333,62400,0.083333
1996-02-02,2.645833,2.895833,2.604167,2.895833,750000,0.083333
1996-02-05,2.875,3.041667,2.875,3.0,529200,0.083333
1996-02-06,3.0,3.166667,3.0,3.125,675600,0.083333
1996-02-07,3.125,3.166667,3.041667,3.0625,842400,0.083333
1996-02-08,3.0625,3.104167,3.0625,3.0625,181200,0.083333
1996-02-09,3.0625,3.104167,3.0625,3.104167,246000,0.083333
1996-02-12,3.0625,3.395833,3.0625,3.270833,1652400,0.083333
1996-02-13,3.25,3.354167,3.208333,3.3125,1402800,0.083333
1996-02-14,3.375,3.5,3.3125,3.4375,723600,0.083333
1996-02-15,3.4375,3.791666,3.4375,3.520833,1340400,0.083333
1996-02-16,3.583333,3.6875,3.541667,3.666667,537600,0.083333
1996-02-20,3.604167,3.6875,3.604167,3.614583,289200,0.083333
1996-02-21,3.666666,3.6875,3.604166,3.662758,368400,0.083333
1996-02-22,3.6875,4.125,3.666667,4.125,729600,0.083333
1996-02-23,4.166666,4.354166,4.166666,4.28125,1137600,0.083333
1996-02-26,4.270834,4.354167,4.166667,4.354167,1021200,0.083333
1996-02-27,4.375,4.645834,4.333334,4.5625,1328400,0.083333
1996-02-28,4.520834,4.541666,3.875,3.9375,1225200,0.083333
1996-02-29,3.895833,3.9375,3.375,3.625,6306000,0.083333
1996-03-01,3.583334,3.645834,3.291667,3.541667,2108400,0.083333
1996-03-04,3.604167,3.833333,3.5625,3.8125,1191600,0.083333
1996-03-05,3.916667,4.041666,3.822917,3.9375,573600,0.083333
1996-03-06,3.9375,3.9375,3.708333,3.770833,306000,0.083333
1996-03-07,3.6875,3.6875,3.270833,3.333333,1844400,0.083333
1996-03-08,3.25,3.270834,2.916667,3.041667,3118800,0.083333
1996-03-11,3.125,3.229167,3.041667,3.166667,3459600,0.083333
1996-03-12,3.1875,3.854167,3.125,3.84375,4461600,0.083333
1996-03-13,4.083334,4.28125,3.729167,3.890625,3696000,0.083333
1996-03-14,3.583333,3.645833,3.46875,3.5625,13941600,0.083333
1996-03-15,3.645833,3.791667,3.625,3.6875,4718400,0.083333
1996-03-18,3.770834,3.791667,3.71875,3.729167,1386000,0.083333
1996-03-19,3.791667,3.791667,3.666667,3.666667,1926000,0.083333
1996-03-20,3.6875,3.6875,3.479167,3.583333,1627200,0.083333
1996-03-21,3.645833,3.645833,3.520833,3.520833,756000,0.083333
1996-03-22,3.479167,3.625,3.479167,3.625,1545600,0.083333
1996-03-25,3.583333,3.625,3.583333,3.583333,315600,0.083333
1996-03-26,3.583333,3.625,3.541667,3.583333,576000,0.083333
1996-03-27,3.541667,3.625,3.541667,3.583333,814800,0.083333
1996-03-28,3.583333,3.625,3.5625,3.625,700800,0.083333
1996-03-29,3.625,3.75,3.583333,3.6875,1890000,0.083333
1996-04-01,3.645833,3.875,3.645833,3.8125,1191600,0.083333
1996-04-02,3.875,3.958334,3.833333,3.916667,903600,0.083333
1996-04-03,3.958333,4.062499,3.916666,4.020833,1051200,0.083333
1996-04-04,4.020834,4.125001,4.020834,4.104167,1952400,0.083333
1996-04-08,4.041666,4.083334,3.916667,4.0,573600,0.083333
1996-04-09,4.083334,4.25,4.041666,4.25,3057600,0.083333
1996-04-10,4.25,4.25,4.104166,4.1875,1282800,0.083333
1996-04-11,4.145833,4.229166,4.104166,4.145833,501600,0.083333
1996-04-12,4.104167,4.250001,4.104167,4.229167,1641600,0.083333
1996-04-15,4.25,4.562499,4.1875,4.520833,818400,0.083333
1996-04-16,4.614584,4.645834,4.5625,4.5625,1227600,0.083333
1996-04-17,4.5625,4.625,4.4375,4.5,542400,0.083333
1996-04-18,4.458333,4.645833,4.458333,4.645833,444000,0.083333
1996-04-19,4.666666,5.270833,4.645833,5.145833,3902400,0.083333
1996-04-22,5.208333,5.666666,5.1875,5.645833,2973600,0.083333
