date,open,high,low,close,volume,adjrate
1991-04-17,3.12965,3.175003,2.834806,3.12965,15852100,0.181428
1991-04-18,3.0843,3.174997,3.038874,3.0843,2431300,0.181427
1991-04-19,2.9255,3.175001,2.902822,2.9255,2335000,0.181428
1991-04-22,2.76679,2.993607,2.76679,2.76679,1703200,0.181428
1991-04-23,2.90282,2.90282,2.766787,2.90282,395100,0.181427
1991-04-24,2.88016,2.902817,2.766784,2.88016,985900,0.181427
1991-04-25,2.81212,2.902817,2.81212,2.81212,434700,0.181427
1991-04-26,2.81212,2.902817,2.766785,2.81212,1539400,0.181427
1991-04-29,2.76679,2.857486,2.76679,2.76679,501300,0.181428
1991-04-30,2.72143,2.857479,2.539963,2.72143,1174000,0.181427
1991-05-01,2.72143,2.766783,2.630735,2.72143,386500,0.181427
1991-05-02,2.676,2.766788,2.676,2.676,226300,0.181428
1991-05-03,2.81212,2.81212,2.675997,2.81212,1066900,0.181427
1991-05-06,2.72143,2.812118,2.72143,2.72143,130500,0.181427
1991-05-07,2.90282,2.90282,2.766787,2.90282,511600,0.181427
1991-05-08,2.85748,2.925495,2.766784,2.85748,201100,0.181427
1991-05-09,2.94818,2.993606,2.857484,2.94818,302800,0.181428
1991-05-10,2.94818,3.084303,2.902821,2.94818,237100,0.181428
1991-05-13,2.94818,3.084303,2.94818,2.94818,114300,0.181428
1991-05-14,2.94818,3.038877,2.857484,2.94818,120600,0.181428
1991-05-15,2.85748,2.948176,2.85748,2.85748,243900,0.181427
1991-05-16,2.99361,2.99361,2.857488,2.99361,337000,0.181428
1991-05-17,2.94818,3.038877,2.902821,2.94818,76000,0.181428
1991-05-20,2.99361,2.99361,2.902825,2.99361,141700,0.181428
1991-05-21,2.99361,2.99361,2.902825,2.99361,158400,0.181428
1991-05-22,2.90282,2.993605,2.90282,2.90282,162400,0.181427
1991-05-23,2.94818,2.94818,2.857484,2.94818,387900,0.181428
1991-05-24,3.31103,3.356463,2.902818,3.31103,1166400,0.181427
1991-05-28,3.35647,3.401733,3.2657,3.35647,342400,0.181428
1991-05-29,3.35647,3.35647,3.2657,3.35647,132300,0.181428
1991-05-30,3.35647,3.35647,3.2657,3.35647,435100,0.181428
1991-05-31,3.35647,3.35647,3.2657,3.35647,127300,0.181428
1991-06-03,3.31103,3.356463,3.265693,3.31103,27000,0.181427
1991-06-04,3.2657,3.311037,3.175004,3.2657,331200,0.181428
1991-06-05,3.03888,3.265699,2.993608,3.03888,197100,0.181428
1991-06-06,3.03888,3.084306,2.993608,3.03888,100800,0.181428
1991-06-07,3.03888,3.06156,2.948182,3.03888,24700,0.181428
1991-06-10,3.03888,3.03888,2.948182,3.03888,15300,0.181428
1991-06-11,3.12965,3.12965,2.948182,3.12965,35500,0.181428
1991-06-12,2.97093,3.084298,2.902817,2.97093,147100,0.181427
1991-06-13,2.99361,2.99361,2.857488,2.99361,16200,0.181428
1991-06-14,2.99361,2.99361,2.902825,2.99361,150300,0.181428
1991-06-17,3.03888,3.03888,2.925502,3.03888,44100,0.181428
1991-06-18,3.0843,3.0843,2.993603,3.0843,397300,0.181427
1991-06-19,3.03888,3.084306,2.948182,3.03888,54900,0.181428
1991-06-20,2.99361,2.99361,2.902825,2.99361,40000,0.181428
1991-06-21,2.90282,2.993605,2.90282,2.90282,75600,0.181427
1991-06-24,2.76679,2.948181,2.76679,2.76679,111600,0.181428
1991-06-25,2.76679,2.902823,2.76679,2.76679,48100,0.181428
1991-06-26,2.85748,2.85748,2.766784,2.85748,146700,0.181427
1991-06-27,2.90282,2.948179,2.812123,2.90282,120100,0.181427
1991-06-28,3.0162,3.03888,2.857487,3.0162,509400,0.181428
1991-07-01,3.03888,3.03888,2.948182,3.03888,81900,0.181428
1991-07-02,2.99361,2.99361,2.948184,2.99361,58900,0.181428
1991-07-03,2.94818,2.993606,2.902821,2.94818,32800,0.181428
1991-07-05,2.90282,2.993605,2.90282,2.90282,3600,0.181427
1991-07-08,2.99361,2.99361,2.99361,2.99361,21100,0.181428
1991-07-09,3.03888,3.03888,2.948182,3.03888,497200,0.181428
1991-07-10,2.94818,2.993606,2.902821,2.94818,77400,0.181428
1991-07-11,2.99361,2.99361,2.902825,2.99361,256900,0.181428
1991-07-12,3.35647,3.35647,2.993609,3.35647,279400,0.181428
1991-07-15,3.22034,3.447094,3.084307,3.22034,369000,0.181428
1991-07-16,3.12965,3.220338,3.084306,3.12965,404500,0.181428
1991-07-17,3.12965,3.12965,2.993608,3.12965,305100,0.181428
1991-07-18,3.12965,3.12965,2.993608,3.12965,348700,0.181428
1991-07-19,3.175,3.175,2.993605,3.175,516100,0.181428
1991-07-22,3.22034,3.22034,3.129651,3.22034,82800,0.181428
1991-07-23,3.175,3.220335,3.129647,3.175,146200,0.181428
1991-07-24,3.31103,3.31103,3.129644,3.31103,264100,0.181427
1991-07-25,3.28838,3.311037,3.220339,3.28838,201100,0.181428
1991-07-26,3.24302,3.35647,3.22034,3.24302,562900,0.181428
1991-07-29,3.31103,3.31103,3.220333,3.31103,530500,0.181427
1991-07-30,3.35647,3.35647,3.220339,3.35647,95400,0.181428
1991-07-31,3.35647,3.35647,3.220339,3.35647,39100,0.181428
1991-08-01,3.22034,3.356471,3.22034,3.22034,81400,0.181428
1991-08-02,3.2657,3.311037,3.220339,3.2657,45900,0.181428
1991-08-05,3.175,3.265696,3.084303,3.175,158400,0.181428
1991-08-06,3.22034,3.22034,3.084307,3.22034,41400,0.181428
1991-08-07,3.12965,3.220338,3.12965,3.12965,130900,0.181428
1991-08-08,3.2657,3.35647,3.129651,3.2657,331600,0.181428
1991-08-09,3.12965,3.311036,3.084306,3.12965,161100,0.181428
1991-08-12,3.12965,3.220338,2.993608,3.12965,92200,0.181428
1991-08-13,1.81424,2.449271,1.723617,1.81424,4451400,0.181427
1991-08-14,1.83699,1.905015,1.768884,1.83699,3569800,0.181428
1991-08-15,1.79156,1.950363,1.723617,1.79156,1625400,0.181427
1991-08-16,1.76888,1.76888,1.678184,1.76888,311400,0.181427
1991-08-19,1.54215,1.723615,1.54215,1.54215,685800,0.181427
1991-08-20,1.58749,1.632851,1.496801,1.58749,774900,0.181428
1991-08-21,1.67818,1.723613,1.632843,1.67818,709600,0.181427
1991-08-22,1.72362,1.72362,1.63285,1.72362,693000,0.181428
1991-08-23,1.67818,1.67818,1.632843,1.67818,392400,0.181427
1991-08-26,1.67818,1.723613,1.67818,1.67818,262300,0.181427
1991-08-27,1.67818,1.723613,1.632843,1.67818,403600,0.181427
1991-08-28,1.58749,1.678188,1.542155,1.58749,668200,0.181428
1991-08-29,1.4968,1.587488,1.40603,1.4968,270900,0.181428
1991-08-30,1.54215,1.54215,1.406027,1.54215,167800,0.181427
1991-09-03,1.54215,1.54215,1.496797,1.54215,282600,0.181427
1991-09-04,1.4968,1.542153,1.4968,1.4968,455400,0.181428
1991-09-05,1.4968,1.542153,1.451456,1.4968,159700,0.181428
1991-09-06,1.4968,1.542153,1.40603,1.4968,161100,0.181428
1991-09-09,1.40603,1.451456,1.269972,1.40603,259600,0.181428
1991-09-10,1.36076,1.40603,1.269972,1.36076,480100,0.181428
1991-09-11,1.40603,1.40603,1.269972,1.40603,382500,0.181428
1991-09-12,1.38335,1.40603,1.315333,1.38335,247900,0.181428
1991-09-13,1.56483,1.632847,1.406028,1.56483,402700,0.181427
1991-09-16,1.81424,1.81424,1.542151,1.81424,1352700,0.181427
1991-09-17,1.74622,1.859661,1.723612,1.74622,730800,0.181427
1991-09-18,1.76888,1.76888,1.723617,1.76888,316300,0.181427
1991-09-19,1.76888,1.76888,1.723617,1.76888,304600,0.181427
1991-09-20,1.72362,1.768883,1.63285,1.72362,301000,0.181428
1991-09-23,1.72362,1.72362,1.63285,1.72362,177700,0.181428
1991-09-24,1.72362,1.72362,1.63285,1.72362,289300,0.181428
1991-09-25,1.76888,1.76888,1.632847,1.76888,627700,0.181427
1991-09-26,1.85967,1.85967,1.723621,1.85967,1436800,0.181428
1991-09-27,1.85967,1.905014,1.814244,1.85967,331200,0.181428
1991-09-30,1.85967,1.85967,1.768884,1.85967,153000,0.181428
1991-10-01,1.79156,1.859666,1.76888,1.79156,213700,0.181427
1991-10-02,1.85967,1.85967,1.768884,1.85967,166000,0.181428
1991-10-03,1.81424,1.81424,1.76888,1.81424,348700,0.181427
1991-10-04,1.81424,1.81424,1.723617,1.81424,130900,0.181427
1991-10-07,1.76888,1.814241,1.678184,1.76888,98100,0.181427
1991-10-08,1.76888,1.814241,1.723617,1.76888,143500,0.181427
1991-10-09,1.81424,1.81424,1.723617,1.81424,256500,0.181427
1991-10-10,1.81424,1.81424,1.723617,1.81424,345100,0.181427
1991-10-11,1.81424,1.81424,1.723617,1.81424,244300,0.181427
1991-10-14,1.74622,1.768875,1.723612,1.74622,237600,0.181427
1991-10-15,1.76888,1.814241,1.723617,1.76888,783900,0.181427
1991-10-16,1.81424,1.81424,1.723617,1.81424,196200,0.181427
1991-10-17,1.79156,1.81424,1.723617,1.79156,255600,0.181427
1991-10-18,1.85967,1.85967,1.723621,1.85967,608400,0.181428
1991-10-21,1.81424,1.859666,1.723617,1.81424,103900,0.181427
1991-10-22,1.85967,1.85967,1.768884,1.85967,720000,0.181428
1991-10-23,1.76888,1.859666,1.76888,1.76888,636700,0.181427
1991-10-24,1.85967,1.85967,1.768884,1.85967,568800,0.181428
1991-10-25,1.85967,1.905014,1.814244,1.85967,181800,0.181428
1991-10-28,2.04106,2.086397,1.814241,2.04106,597100,0.181428
1991-10-29,1.9957,2.131756,1.9957,1.9957,364900,0.181428
1991-10-30,2.01838,2.086397,1.9957,2.01838,265900,0.181428
1991-10-31,2.0864,2.131759,1.950367,2.0864,2070900,0.181428
1991-11-01,2.0864,2.131759,2.0864,2.0864,700200,0.181428
