date,open,high,low,close,volume,adjrate
1980-03-17,0.758845,0.778303,0.758845,0.77052,590400,0.031132
1980-03-18,0.770519,0.786086,0.770519,0.782194,294400,0.031132
1980-03-19,0.782194,0.805544,0.782194,0.793869,219200,0.031132
1980-03-20,0.793869,0.801652,0.778302,0.782194,316800,0.031132
1980-03-21,0.782194,0.789977,0.782194,0.782194,158400,0.031132
1980-03-24,0.782194,0.79776,0.778302,0.789977,220800,0.031132
1980-03-25,0.789978,0.789978,0.774411,0.778303,184000,0.031132
1980-03-26,0.778303,0.793869,0.778303,0.793869,172800,0.031132
1980-03-27,0.793868,0.801652,0.786085,0.79776,356800,0.031132
1980-03-28,0.805544,0.828893,0.805544,0.828893,246400,0.031132
1980-03-31,0.828893,0.840567,0.786086,0.817218,515200,0.031132
1980-04-01,0.817218,0.840567,0.805543,0.840567,796800,0.031132
1980-04-02,0.832785,0.832785,0.82111,0.828893,419200,0.031132
1980-04-03,0.828893,0.832784,0.821109,0.825001,155200,0.031132
1980-04-07,0.825001,0.832785,0.817218,0.828893,326400,0.031132
1980-04-08,0.828892,0.84835,0.825001,0.84835,150400,0.031132
1980-04-09,0.856133,0.871699,0.856133,0.863916,116800,0.031132
1980-04-10,0.863916,0.863916,0.84835,0.84835,356800,0.031132
1980-04-11,0.856133,0.867808,0.856133,0.856133,619200,0.031132
1980-04-14,0.848351,0.848351,0.844459,0.844459,180800,0.031132
1980-04-15,0.844459,0.844459,0.828893,0.844459,494400,0.031132
1980-04-16,0.84835,0.887266,0.84835,0.860025,539200,0.031132
1980-04-17,0.856133,0.856133,0.844458,0.856133,284800,0.031132
1980-04-18,0.848351,0.848351,0.82111,0.82111,179200,0.031132
1980-04-21,0.82111,0.832785,0.82111,0.828893,40000,0.031132
1980-04-22,0.828892,0.871699,0.821109,0.871699,200000,0.031132
1980-04-23,0.8717,0.8717,0.852242,0.860025,382400,0.031132
1980-04-24,0.860025,0.863917,0.860025,0.860025,2038400,0.031132
1980-04-25,0.860025,0.863917,0.852242,0.860025,408000,0.031132
1980-04-28,0.860025,0.860025,0.856133,0.856133,160000,0.031132
1980-04-29,0.856133,0.871699,0.856133,0.856133,73600,0.031132
1980-04-30,0.856133,0.863917,0.856133,0.860025,160000,0.031132
1980-05-01,0.860025,0.867808,0.856133,0.867808,910400,0.031132
1980-05-02,0.860025,0.860025,0.856133,0.856133,33600,0.031132
1980-05-05,0.871699,0.871699,0.871699,0.871699,72000,0.031132
1980-05-06,0.87559,0.914506,0.87559,0.910614,385600,0.031132
1980-05-07,0.910614,0.914506,0.898939,0.910614,931200,0.031132
1980-05-08,0.910614,0.918397,0.898939,0.910614,545600,0.031132
1980-05-09,0.910614,0.922289,0.895048,0.895048,312000,0.031132
1980-05-12,0.895049,0.89894,0.891157,0.891157,152000,0.031132
1980-05-13,0.891156,0.910614,0.891156,0.910614,382400,0.031132
1980-05-14,0.910615,0.933964,0.906723,0.933964,1702400,0.031132
1980-05-15,0.937855,0.961204,0.937855,0.961204,491200,0.031132
1980-05-16,0.953422,0.953422,0.941747,0.941747,278400,0.031132
1980-05-19,0.941746,0.984553,0.933963,0.968987,211200,0.031132
1980-05-20,0.961205,0.961205,0.94953,0.94953,377600,0.031132
1980-05-21,0.94953,0.94953,0.945638,0.945638,443200,0.031132
1980-05-22,0.949529,0.972879,0.949529,0.961204,360000,0.031132
1980-05-23,0.965096,0.988445,0.965096,0.980662,1750400,0.031132
1980-05-27,0.996228,1.023469,0.996228,0.996228,793600,0.031132
1980-05-28,0.996228,1.015686,0.996228,0.996228,603200,0.031132
1980-05-29,0.996228,1.00012,0.972879,0.972879,216000,0.031132
1980-05-30,0.972879,0.972879,0.957312,0.968987,768000,0.031132
1980-06-02,0.961204,0.961204,0.941746,0.961204,92800,0.031132
1980-06-03,0.961204,0.965096,0.94953,0.965096,680000,0.031132
1980-06-04,0.961204,0.961204,0.953421,0.953421,272000,0.031132
1980-06-05,0.957313,1.00012,0.957313,0.988445,1307200,0.031132
1980-06-06,0.988444,1.000119,0.97677,0.992336,89600,0.031132
1980-06-09,0.992336,1.004011,0.984553,1.004011,912000,0.031132
1980-06-10,1.004011,1.011794,1.000119,1.011794,515200,0.031132
1980-06-11,1.015685,1.023468,1.015685,1.023468,657600,0.031132
1980-06-12,1.023468,1.023468,1.015685,1.015685,942400,0.031132
1980-06-13,1.015685,1.023468,1.00401,1.015685,2987200,0.031132
1980-06-16,1.015685,1.023468,1.015685,1.015685,500800,0.031132
1980-06-17,1.015685,1.019577,1.015685,1.015685,123200,0.031132
1980-06-18,1.019577,1.02736,1.019577,1.02736,497600,0.031132
1980-06-19,1.02736,1.035143,1.019577,1.035143,142400,0.031132
1980-06-20,1.035142,1.046817,1.035142,1.046817,404800,0.031132
1980-06-23,1.046817,1.062383,1.035142,1.0546,918400,0.031132
