date,open,high,low,close,volume,adjrate
1988-06-22,0.09833,0.102103,0.095815,0.09833,385094400,0.010076
1988-06-23,0.09707,0.099585,0.09707,0.09707,51187200,0.010076
1988-06-24,0.09959,0.09959,0.097075,0.09959,75667200,0.010077
1988-06-27,0.09833,0.099588,0.097072,0.09833,18777600,0.010076
1988-06-28,0.09707,0.098328,0.095812,0.09707,19939200,0.010076
1988-06-29,0.09456,0.097075,0.091948,0.09456,23683200,0.010077
1988-06-30,0.09456,0.095818,0.093302,0.09456,8572800,0.010077
1988-07-01,0.0933,0.094558,0.091946,0.0933,10137600,0.010076
1988-07-05,0.09456,0.09456,0.090691,0.09456,8928000,0.010077
1988-07-06,0.09707,0.099585,0.093297,0.09707,23289600,0.010076
1988-07-07,0.1021,0.1021,0.095812,0.1021,23049600,0.010076
1988-07-08,0.10838,0.109638,0.100844,0.10838,30172800,0.010076
1988-07-11,0.11215,0.115923,0.108377,0.11215,39312000,0.010076
1988-07-12,0.10838,0.112153,0.104617,0.10838,31209600,0.010076
1988-07-13,0.10462,0.108383,0.100847,0.10462,37497600,0.010077
1988-07-14,0.10462,0.10462,0.100847,0.10462,13449600,0.010077
1988-07-15,0.10587,0.10587,0.103364,0.10587,4118400,0.010077
1988-07-18,0.10587,0.107128,0.104622,0.10587,11299200,0.010077
1988-07-19,0.10462,0.107125,0.10462,0.10462,4521600,0.010077
1988-07-20,0.10587,0.107128,0.104622,0.10587,6057600,0.010077
1988-07-21,0.10587,0.107128,0.10587,0.10587,2630400,0.010077
1988-07-22,0.10085,0.107128,0.098335,0.10085,15206400,0.010077
1988-07-25,0.1021,0.103358,0.099585,0.1021,5721600,0.010076
1988-07-26,0.10462,0.105868,0.100847,0.10462,6566400,0.010077
1988-07-27,0.1021,0.105863,0.1021,0.1021,3369600,0.010076
1988-07-28,0.1021,0.103358,0.1021,0.1021,2092800,0.010076
1988-07-29,0.10462,0.105868,0.102105,0.10462,3964800,0.010077
1988-08-01,0.10712,0.10712,0.103357,0.10712,7238400,0.010076
1988-08-02,0.10587,0.107128,0.104622,0.10587,5577600,0.010077
1988-08-03,0.10712,0.10712,0.104615,0.10712,7296000,0.010076
1988-08-04,0.10712,0.10712,0.105862,0.10712,2035200,0.010076
1988-08-05,0.10462,0.107125,0.10462,0.10462,4608000,0.010077
1988-08-08,0.10587,0.10587,0.104622,0.10587,2179200,0.010077
1988-08-09,0.10085,0.105871,0.10085,0.10085,6700800,0.010077
1988-08-10,0.09959,0.102105,0.098332,0.09959,8592000,0.010077
1988-08-11,0.09582,0.099593,0.094562,0.09582,11913600,0.010077
1988-08-12,0.09582,0.098335,0.094562,0.09582,13180800,0.010077
1988-08-15,0.09195,0.097077,0.089435,0.09195,11558400,0.010077
1988-08-16,0.09456,0.09456,0.089433,0.09456,14572800,0.010077
1988-08-17,0.09195,0.09582,0.09195,0.09195,12384000,0.010077
1988-08-18,0.09069,0.093302,0.089432,0.09069,12672000,0.010077
1988-08-19,0.08567,0.090691,0.084412,0.08567,23760000,0.010077
1988-08-22,0.08064,0.08567,0.078125,0.08064,29174400,0.010077
1988-08-23,0.08315,0.08817,0.080635,0.08315,45340800,0.010076
1988-08-24,0.08441,0.08441,0.081895,0.08441,9705600,0.010076
1988-08-25,0.08064,0.084413,0.08064,0.08064,9091200,0.010077
1988-08-26,0.08315,0.08315,0.080635,0.08315,6288000,0.010076
1988-08-29,0.08315,0.08315,0.079377,0.08315,8121600,0.010076
1988-08-30,0.0819,0.083158,0.080642,0.0819,3168000,0.010077
1988-08-31,0.08064,0.081898,0.079382,0.08064,10272000,0.010077
1988-09-01,0.07938,0.080638,0.078122,0.07938,3283200,0.010076
1988-09-02,0.07938,0.081895,0.078122,0.07938,11721600,0.010076
1988-09-06,0.08064,0.081898,0.079382,0.08064,2265600,0.010077
1988-09-07,0.0819,0.083158,0.080642,0.0819,22003200,0.010077
1988-09-08,0.09069,0.09069,0.081897,0.09069,15936000,0.010077
1988-09-09,0.09069,0.09069,0.088175,0.09069,8371200,0.010077
1988-09-12,0.09195,0.094562,0.089435,0.09195,11683200,0.010077
1988-09-13,0.09069,0.091948,0.089432,0.09069,9446400,0.010077
1988-09-14,0.0933,0.0933,0.090688,0.0933,10128000,0.010076
1988-09-15,0.09707,0.100843,0.091943,0.09707,32188800,0.010076
1988-09-16,0.09833,0.09833,0.095815,0.09833,15619200,0.010076
1988-09-19,0.09959,0.09959,0.097075,0.09959,10828800,0.010077
1988-09-20,0.1021,0.1021,0.098327,0.1021,14476800,0.010076
1988-09-21,0.10336,0.104618,0.099587,0.10336,11961600,0.010076
1988-09-22,0.10712,0.10712,0.1021,0.10712,16176000,0.010076
1988-09-23,0.10587,0.107128,0.102107,0.10587,35635200,0.010077
1988-09-26,0.1021,0.10712,0.100842,0.1021,8217600,0.010076
1988-09-27,0.10085,0.102108,0.098335,0.10085,16819200,0.010077
1988-09-28,0.09833,0.100845,0.097072,0.09833,8755200,0.010076
1988-09-29,0.10587,0.10587,0.097077,0.10587,13968000,0.010077
1988-09-30,0.10336,0.105865,0.10336,0.10336,6460800,0.010076
1988-10-03,0.10085,0.104623,0.099592,0.10085,4704000,0.010077
1988-10-04,0.09833,0.102103,0.09833,0.09833,4838400,0.010076
