date,open,high,low,close,volume,adjrate
1992-06-05,1.219806,1.247529,1.219806,1.219806,14559600,0.110891
1992-06-08,1.219806,1.247529,1.219806,1.219806,1305600,0.110891
1992-06-09,1.219806,1.219806,1.16436,1.16436,1940500,0.110891
1992-06-10,1.16436,1.205944,1.16436,1.16436,665300,0.110891
1992-06-11,1.164361,1.164361,1.108915,1.108915,1381300,0.110891
1992-06-12,1.108915,1.150499,1.108915,1.108915,500900,0.110891
1992-06-15,1.108915,1.150499,1.108915,1.150499,207700,0.110891
1992-06-16,1.122776,1.16436,1.108915,1.122776,339700,0.110891
1992-06-17,1.122776,1.16436,1.122776,1.122776,522100,0.110891
1992-06-18,1.108915,1.164361,1.108915,1.108915,321700,0.110891
1992-06-19,1.108915,1.164361,1.108915,1.108915,985300,0.110891
1992-06-22,1.108915,1.136638,1.108915,1.108915,628400,0.110891
1992-06-23,1.108915,1.136638,1.108915,1.108915,330100,0.110891
1992-06-24,1.136638,1.136638,1.108915,1.108915,300500,0.110891
1992-06-25,1.108915,1.136638,1.108915,1.108915,349700,0.110891
1992-06-26,1.108914,1.136637,1.108914,1.136637,422400,0.110891
1992-06-29,1.122776,1.136638,1.108915,1.108915,214100,0.110891
1992-06-30,1.136637,1.136637,1.108914,1.136637,189600,0.110891
1992-07-01,1.108914,1.16436,1.108914,1.136637,288000,0.110891
1992-07-02,1.164361,1.164361,1.108915,1.108915,516800,0.110891
1992-07-06,1.108914,1.136637,1.108914,1.136637,94800,0.110891
1992-07-07,1.108915,1.136638,1.108915,1.108915,228000,0.110891
1992-07-08,1.108915,1.108915,1.053469,1.053469,448400,0.110891
1992-07-09,1.053469,1.095053,1.025746,1.025746,94900,0.110891
1992-07-10,1.025746,1.081192,1.025746,1.025746,175200,0.110891
1992-07-13,1.039608,1.081192,1.025746,1.081192,149300,0.110891
1992-07-14,1.053469,1.108915,1.025746,1.081192,381700,0.110891
