date,open,high,low,close,volume,adjrate
2004-10-29,7.05099,7.056866,7.05099,7.05099,5951800,0.587582
2004-11-01,7.05099,7.056866,7.05099,7.05099,764400,0.587582
2004-11-02,7.05099,7.056866,7.05099,7.05099,950100,0.587582
2004-11-03,7.062741,7.168506,7.056865,7.139127,433600,0.587582
2004-11-04,7.156756,7.156756,7.08037,7.086246,311200,0.587583
2004-11-05,7.08037,7.109749,7.05099,7.097997,391800,0.587583
2004-11-08,7.127376,7.127376,7.05099,7.056866,91100,0.587583
2004-11-09,7.05099,7.086245,7.05099,7.056866,97600,0.587583
2004-11-10,7.05099,7.074493,7.05099,7.056866,177500,0.587583
2004-11-11,7.05099,7.062742,7.05099,7.062742,92700,0.587583
2004-11-12,7.056866,7.274271,7.056866,7.221389,354900,0.587583
2004-11-15,7.239017,7.315403,7.168507,7.280148,268100,0.587583
2004-11-16,7.338906,7.432919,7.233141,7.344782,252500,0.587583
2004-11-17,7.374161,7.40354,7.256645,7.350658,425000,0.587583
2004-11-18,7.344782,7.485802,7.344782,7.47405,179700,0.587583
2004-11-19,7.47405,7.485801,7.344782,7.468174,202600,0.587583
2004-11-22,7.409415,7.479925,7.350657,7.421167,105200,0.587583
2004-11-23,7.37416,7.609193,7.356533,7.521056,204200,0.587582
2004-11-24,7.491678,7.609194,7.462299,7.515181,141700,0.587583
2004-11-26,7.286023,7.509305,7.286023,7.432919,42900,0.587583
2004-11-29,7.43292,7.491678,7.374161,7.450547,174200,0.587583
2004-11-30,7.438795,7.550435,7.432919,7.497553,148800,0.587583
2004-12-01,7.438795,7.738462,7.438795,7.72671,162500,0.587583
2004-12-02,7.667952,7.679704,7.509305,7.609194,212800,0.587583
2004-12-03,7.579814,7.756089,7.579814,7.72671,138300,0.587583
2004-12-06,7.732586,7.750214,7.667952,7.709083,126600,0.587583
2004-12-07,7.673828,7.75609,7.638573,7.638573,116200,0.587583
2004-12-08,7.521056,7.638573,7.462298,7.556311,112300,0.587583
2004-12-09,7.556312,7.609194,7.344782,7.550436,139200,0.587583
2004-12-10,7.491678,7.667953,7.374161,7.620946,186000,0.587583
2004-12-13,7.562187,7.662076,7.462298,7.58569,215700,0.587582
2004-12-14,7.526932,7.69733,7.51518,7.579814,169400,0.587582
2004-12-15,7.638573,7.720834,7.573939,7.667952,200300,0.587583
2004-12-16,7.6562,7.691455,7.597442,7.667952,230000,0.587583
2004-12-17,7.667952,7.961743,7.603318,7.873606,887700,0.587583
2004-12-20,7.932364,7.932364,7.638573,7.838351,222800,0.587583
2004-12-21,7.873606,7.932364,7.808972,7.902985,82700,0.587583
2004-12-22,7.873606,8.049881,7.761966,8.049881,194000,0.587583
2004-12-23,8.04988,8.284913,8.020501,8.1909,107900,0.587582
2004-12-27,8.226156,8.249659,7.944116,7.991123,112500,0.587583
