date,open,high,low,close,volume,adjrate
1983-06-10,2.622784,2.622784,2.601968,2.601968,403200,0.020816
1983-06-13,2.612376,2.622784,2.560336,2.59156,63200,0.041631
1983-06-14,2.581152,2.690435,2.581152,2.680027,516400,0.041631
1983-06-15,2.685231,2.914204,2.685231,2.914204,300000,0.041631
1983-06-16,2.893388,2.893388,2.752882,2.768494,280000,0.041631
1983-06-17,2.789309,2.83094,2.747677,2.778901,236000,0.041631
1983-06-20,2.768493,2.830941,2.726862,2.726862,119200,0.041631
1983-06-21,2.706046,2.73727,2.706046,2.716454,457600,0.041631
1983-06-22,2.690434,2.716454,2.669619,2.716454,233200,0.041631
1983-06-23,2.716454,2.716454,2.68523,2.706046,186000,0.041631
1983-06-24,2.706046,2.706046,2.654007,2.664415,431200,0.041631
1983-06-27,2.685231,2.685231,2.477073,2.570744,383200,0.041631
1983-06-28,2.570744,2.622783,2.560336,2.570744,571200,0.041631
1983-06-29,2.560336,2.706046,2.549928,2.643599,188000,0.041631
1983-06-30,2.622784,2.633192,2.581152,2.601968,356800,0.041631
1983-07-01,2.633191,2.643599,2.612375,2.633191,131200,0.041631
1983-07-05,2.633191,2.633191,2.570744,2.59156,298000,0.041631
1983-07-06,2.601968,2.612376,2.581152,2.612376,134800,0.041631
1983-07-07,2.612375,2.612375,2.56554,2.570744,217200,0.041631
1983-07-08,2.570744,2.570744,2.523909,2.529113,798400,0.041631
1983-07-11,2.529113,2.534317,2.508297,2.518705,410800,0.041631
1983-07-12,2.508297,2.508297,2.487481,2.487481,585600,0.041631
1983-07-13,2.487481,2.487481,2.461461,2.466665,595600,0.041631
1983-07-14,2.492685,2.53952,2.466665,2.497889,203200,0.041631
1983-07-15,2.487481,2.487481,2.435441,2.456257,696400,0.041631
1983-07-18,2.456257,2.477073,2.456257,2.466665,129600,0.041631
1983-07-19,2.466665,2.466665,2.414626,2.414626,1117200,0.041631
1983-07-20,2.440646,2.44585,2.393811,2.44585,1038800,0.041631
1983-07-21,2.456258,2.456258,2.440646,2.451054,775600,0.041631
1983-07-22,2.451054,2.466666,2.414626,2.44585,424000,0.041631
1983-07-25,2.445849,2.456257,2.409422,2.456257,145200,0.041631
1983-07-26,2.414626,2.456258,2.404218,2.435442,683200,0.041631
1983-07-27,2.372994,2.435441,2.362586,2.378198,1061200,0.041631
1983-07-28,2.331363,2.36779,2.310547,2.326159,305600,0.041631
1983-07-29,2.326159,2.352179,2.300139,2.331363,588000,0.041631
1983-08-01,2.346975,2.346975,2.320955,2.331363,307600,0.041631
1983-08-02,2.331364,2.383403,2.331364,2.372995,746400,0.041631
1983-08-03,2.39381,2.425034,2.372995,2.414626,755600,0.041631
1983-08-04,2.414626,2.435442,2.409422,2.435442,716800,0.041631
1983-08-05,2.477073,2.477073,2.41983,2.425034,106800,0.041631
1983-08-08,2.425034,2.425034,2.300139,2.320955,147200,0.041631
1983-08-09,2.310548,2.331363,2.279324,2.289732,861600,0.041631
1983-08-10,2.279323,2.39381,2.258508,2.39381,232000,0.041631
1983-08-11,2.393811,2.404218,2.362587,2.362587,221600,0.041631
1983-08-12,2.372995,2.466666,2.372995,2.44585,194400,0.041631
1983-08-15,2.473096,2.515012,2.473096,2.494054,245600,0.041917
1983-08-16,2.483575,2.504533,2.452137,2.483575,89600,0.041917
1983-08-17,2.488814,2.504533,2.462616,2.504533,152400,0.041917
1983-08-18,2.515012,2.567408,2.515012,2.556929,378400,0.041917
1983-08-19,2.55693,2.55693,2.483575,2.483575,192400,0.041917
1983-08-22,2.494054,2.525492,2.467856,2.483575,173600,0.041917
1983-08-23,2.494054,2.515012,2.473095,2.515012,227600,0.041917
1983-08-24,2.525491,2.53597,2.515012,2.515012,122400,0.041917
1983-08-25,2.525492,2.525492,2.473096,2.494054,63200,0.041917
1983-08-26,2.499294,2.504533,2.473096,2.483575,319600,0.041917
1983-08-29,2.473096,2.525492,2.473096,2.483575,184800,0.041917
1983-08-30,2.473096,2.504533,2.467856,2.483575,39200,0.041917
1983-08-31,2.488815,2.577888,2.483575,2.577888,166800,0.041917
1983-09-01,2.567409,2.588367,2.567409,2.588367,117600,0.041917
1983-09-02,2.577887,2.661721,2.567408,2.661721,38400,0.041917
1983-09-06,2.724597,2.756035,2.693159,2.724597,252400,0.041917
1983-09-07,2.703638,2.714117,2.661721,2.661721,94400,0.041917
1983-09-08,2.68268,2.68268,2.598846,2.598846,186000,0.041917
1983-09-09,2.577887,2.598846,2.556929,2.567408,91600,0.041917
1983-09-12,2.572648,2.583128,2.473096,2.483575,331600,0.041917
1983-09-13,2.494054,2.525491,2.473095,2.515012,369600,0.041917
1983-09-14,2.515012,2.530731,2.504533,2.504533,270800,0.041917
1983-09-15,2.504534,2.504534,2.431179,2.431179,421200,0.041917
1983-09-16,2.431178,2.53597,2.431178,2.515012,110800,0.041917
1983-09-19,2.520252,2.525492,2.494054,2.494054,66800,0.041917
1983-09-20,2.494054,2.604086,2.494054,2.598846,115600,0.041917
1983-09-21,2.609325,2.68268,2.598846,2.68268,246000,0.041917
1983-09-22,2.68268,2.735076,2.672201,2.735076,296000,0.041917
1983-09-23,2.745556,2.766514,2.703639,2.714118,284800,0.041917
1983-09-26,2.724597,2.735076,2.703639,2.714118,184000,0.041917
1983-09-27,2.724597,2.740315,2.651242,2.693159,257200,0.041917
1983-09-28,2.672201,2.672201,2.651243,2.672201,97600,0.041917
1983-09-29,2.6722,2.6722,2.630283,2.661721,212000,0.041917
1983-09-30,2.661721,2.661721,2.619804,2.625044,57600,0.041917
1983-10-03,2.614565,2.619804,2.567408,2.598846,174000,0.041917
1983-10-04,2.604085,2.640763,2.604085,2.609325,169200,0.041917
1983-10-05,2.598846,2.609326,2.598846,2.604086,158400,0.041917
1983-10-06,2.614565,2.614565,2.567409,2.577888,160400,0.041917
1983-10-07,2.598846,2.630283,2.572648,2.583127,236000,0.041917
1983-10-10,2.583127,2.588367,2.556929,2.556929,112000,0.041917
1983-10-11,2.567408,2.588366,2.567408,2.567408,84000,0.041917
1983-10-12,2.54645,2.55169,2.509773,2.509773,394000,0.041917
1983-10-13,2.530731,2.54645,2.515012,2.530731,290400,0.041917
1983-10-14,2.530731,2.55169,2.509773,2.509773,113200,0.041917
1983-10-17,2.515012,2.530731,2.504533,2.530731,164400,0.041917
1983-10-18,2.520252,2.520252,2.473096,2.473096,208000,0.041917
1983-10-19,2.483574,2.483574,2.457376,2.462616,123600,0.041917
1983-10-20,2.473096,2.588367,2.462617,2.577888,280800,0.041917
1983-10-21,2.577888,2.640763,2.577888,2.577888,86000,0.041917
1983-10-24,2.54645,2.588367,2.54645,2.588367,188800,0.041917
1983-10-25,2.598846,2.598846,2.567408,2.583127,133600,0.041917
1983-10-26,2.593607,2.598846,2.567409,2.588367,151200,0.041917
1983-10-27,2.588367,2.598846,2.556929,2.556929,158400,0.041917
1983-10-28,2.562168,2.567408,2.504533,2.515012,169600,0.041917
1983-10-31,2.504533,2.525491,2.452137,2.462616,1050000,0.041917
1983-11-01,2.452137,2.462616,2.441658,2.462616,414000,0.041917
1983-11-02,2.462617,2.462617,2.431179,2.431179,161200,0.041917
1983-11-03,2.441658,2.441658,2.368303,2.368303,707200,0.041917
1983-11-04,2.389261,2.483574,2.378782,2.420699,438400,0.041917
1983-11-07,2.41022,2.473095,2.41022,2.452137,62800,0.041917
1983-11-08,2.431179,2.441658,2.41546,2.441658,168800,0.041917
1983-11-09,2.431179,2.494054,2.420699,2.425939,223200,0.041917
1983-11-10,2.446897,2.494054,2.446897,2.462616,542000,0.041917
1983-11-11,2.494054,2.577888,2.494054,2.572648,211600,0.041917
1983-11-14,2.557881,2.647539,2.557881,2.636991,367600,0.042192
1983-11-15,2.605347,2.621169,2.584251,2.615895,149200,0.042192
1983-11-16,2.626443,2.710827,2.626443,2.658087,343200,0.042192
1983-11-17,2.663361,2.710827,2.658087,2.668635,160000,0.042192
1983-11-18,2.663361,2.679183,2.658087,2.668635,155600,0.042192
1983-11-21,2.658087,2.658087,2.615895,2.636991,220000,0.042192
1983-11-22,2.647539,2.668635,2.594799,2.600073,237200,0.042192
1983-11-23,2.600073,2.605347,2.589525,2.594799,428800,0.042192
