date,open,high,low,close,volume,adjrate
1995-05-09,4.146409,4.54401,4.146409,4.43041,2350300,0.454401
1995-05-10,4.544011,4.828011,4.544011,4.714411,4206600,0.454401
1995-05-11,4.714411,4.884811,4.714411,4.828011,2716600,0.454401
1995-05-12,4.828011,4.884811,4.771211,4.771211,1416700,0.454401
1995-05-15,4.771211,4.828011,4.771211,4.771211,1000600,0.454401
1995-05-16,4.771211,4.828011,4.714411,4.771211,1076100,0.454401
1995-05-17,4.771211,4.771211,4.600811,4.657611,1304100,0.454401
1995-05-18,4.657611,4.771211,4.657611,4.714411,375700,0.454401
1995-05-19,4.771211,4.771211,4.657611,4.714411,370500,0.454401
1995-05-22,4.941612,5.168812,4.884812,5.055212,1147600,0.454401
1995-05-23,4.998412,5.168812,4.941612,5.112012,1165200,0.454401
1995-05-24,5.112012,5.112012,4.998412,4.998412,884700,0.454401
1995-05-25,4.998411,4.998411,4.828011,4.884811,456400,0.454401
1995-05-26,4.941611,4.941611,4.884811,4.941611,548500,0.454401
1995-05-30,4.884812,5.168812,4.771211,5.055212,1342200,0.454401
1995-05-31,4.941612,5.112012,4.884812,4.998412,1961200,0.454401
1995-06-01,4.941611,4.998411,4.828011,4.941611,1344900,0.454401
1995-06-02,4.884811,4.941611,4.828011,4.884811,746100,0.454401
1995-06-05,4.884812,5.055212,4.828012,4.998412,2864100,0.454401
1995-06-06,4.941612,5.055212,4.941612,4.998412,1801300,0.454401
1995-06-07,4.998412,5.112012,4.941612,4.998412,1063800,0.454401
1995-06-08,4.998412,5.168812,4.998412,5.055212,1294500,0.454401
1995-06-09,4.998412,5.112012,4.998412,4.998412,1593700,0.454401
1995-06-12,5.055212,5.055212,4.998412,4.998412,2283600,0.454401
1995-06-13,4.941612,5.055212,4.941612,5.055212,1550400,0.454401
1995-06-14,4.998412,5.112012,4.998412,5.055212,1015600,0.454401
1995-06-15,5.055212,5.225612,5.055212,5.112012,1559700,0.454401
1995-06-16,5.112012,5.168812,5.055212,5.055212,1113400,0.454401
1995-06-19,5.055212,5.168812,4.998412,5.168812,1375800,0.454401
1995-06-20,5.112012,5.225612,5.055212,5.112012,2045500,0.454401
1995-06-21,5.112011,5.112011,4.941611,4.941611,1594900,0.454401
1995-06-22,4.941611,4.998411,4.828011,4.884811,2161500,0.454401
1995-06-23,4.941611,5.112011,4.941611,4.941611,1132000,0.454401
1995-06-26,4.941611,5.055211,4.884811,4.884811,1278100,0.454401
1995-06-27,4.884812,5.112012,4.884812,5.055212,1129800,0.454401
1995-06-28,4.941612,5.112012,4.941612,5.112012,1753000,0.454401
1995-06-29,4.998412,5.168812,4.998412,5.055212,981600,0.454401
1995-06-30,5.112011,5.112011,4.941611,4.941611,985200,0.454401
1995-07-03,4.884812,4.998412,4.884812,4.998412,268000,0.454401
1995-07-05,4.941612,5.112012,4.941612,5.055212,838900,0.454401
1995-07-06,5.055211,5.112011,4.941611,4.941611,1356100,0.454401
1995-07-07,4.941612,5.112012,4.828011,5.055212,1444300,0.454401
1995-07-10,4.998411,5.055211,4.884811,4.884811,560700,0.454401
1995-07-11,4.828011,4.998411,4.828011,4.884811,1214700,0.454401
1995-07-12,4.884811,4.884811,4.771211,4.771211,921000,0.454401
1995-07-13,4.714411,4.771211,4.600811,4.771211,2193400,0.454401
1995-07-14,4.657611,4.771211,4.600811,4.771211,1027900,0.454401
1995-07-17,4.771211,4.828011,4.714411,4.714411,846900,0.454401
1995-07-18,4.714411,4.828011,4.714411,4.771211,3591700,0.454401
1995-07-19,4.771211,4.771211,4.657611,4.714411,1151100,0.454401
1995-07-20,4.714411,4.771211,4.657611,4.714411,980700,0.454401
1995-07-21,4.714411,4.771211,4.657611,4.714411,858100,0.454401
1995-07-24,4.657611,4.884811,4.657611,4.828011,1434100,0.454401
1995-07-25,4.771211,4.941611,4.771211,4.828011,802800,0.454401
1995-07-26,4.828011,4.884811,4.771211,4.884811,1158700,0.454401
1995-07-27,4.828011,4.998411,4.828011,4.941611,1469500,0.454401
1995-07-28,4.884811,4.941611,4.828011,4.828011,582600,0.454401
1995-07-31,4.828011,4.941611,4.828011,4.941611,654100,0.454401
1995-08-01,4.884811,4.884811,4.771211,4.771211,901500,0.454401
1995-08-02,4.771211,4.884811,4.771211,4.771211,1116900,0.454401
1995-08-03,4.771211,4.828011,4.771211,4.771211,876000,0.454401
1995-08-04,4.771211,4.828011,4.657611,4.657611,957400,0.454401
1995-08-07,4.657611,4.771211,4.657611,4.771211,956500,0.454401
1995-08-08,4.771211,4.884811,4.714411,4.771211,1433400,0.454401
1995-08-09,4.771211,4.828011,4.657611,4.657611,1360900,0.454401
1995-08-10,4.65761,4.71441,4.48721,4.54401,1543900,0.454401
1995-08-11,4.544011,4.657611,4.430411,4.487211,1026700,0.454401
1995-08-14,4.487211,4.544011,4.430411,4.487211,886000,0.454401
1995-08-15,4.487211,4.544011,4.430411,4.487211,1124700,0.454401
1995-08-16,4.48721,4.60081,4.43041,4.54401,1509000,0.454401
1995-08-17,4.544011,4.657611,4.544011,4.657611,1594000,0.454401
1995-08-18,4.714411,4.884811,4.714411,4.828011,1193500,0.454401
1995-08-21,4.828011,4.941612,4.657611,4.657611,1206600,0.454401
1995-08-22,4.828012,5.112012,4.828012,4.998412,2428900,0.454401
1995-08-23,4.941611,5.055212,4.828011,4.828011,906400,0.454401
1995-08-24,4.828011,4.884811,4.771211,4.771211,735400,0.454401
1995-08-25,4.771211,4.828011,4.714411,4.714411,1215400,0.454401
1995-08-28,4.771211,4.771211,4.600811,4.714411,424000,0.454401
1995-08-29,4.657611,4.714411,4.600811,4.657611,534700,0.454401
1995-08-30,4.600811,4.714411,4.544011,4.600811,926800,0.454401
1995-08-31,4.600811,4.714411,4.600811,4.657611,1370700,0.454401
1995-09-01,4.60081,4.65761,4.54401,4.54401,547500,0.454401
1995-09-05,4.600811,4.657611,4.544011,4.600811,653700,0.454401
1995-09-06,4.71441,5.055211,4.71441,4.941611,2355600,0.454401
1995-09-07,4.884811,5.055211,4.884811,4.941611,789900,0.454401
1995-09-08,4.941612,5.112012,4.941612,5.112012,810100,0.454401
1995-09-11,5.112012,5.339212,5.112012,5.282412,1371600,0.454401
1995-09-12,5.339212,5.339212,5.112012,5.282412,784500,0.454401
1995-09-13,5.168812,5.282412,5.112012,5.225612,960600,0.454401
1995-09-14,5.112012,5.225612,5.112012,5.225612,475000,0.454401
1995-09-15,5.282413,5.282413,4.941612,4.998412,830800,0.454401
1995-09-18,4.998412,5.112012,4.941612,5.055212,789000,0.454401
1995-09-19,5.055212,5.225612,5.055212,5.168812,771700,0.454401
1995-09-20,5.168812,5.282413,4.998412,4.998412,1320400,0.454401
1995-09-21,4.998412,4.998412,4.884812,4.998412,1350400,0.454401
1995-09-22,4.884812,5.055212,4.828012,4.998412,741700,0.454401
1995-09-25,4.998412,5.168812,4.941611,5.168812,496900,0.454401
1995-09-26,5.112012,5.225612,5.112012,5.225612,793300,0.454401
1995-09-27,5.112012,5.225612,5.112012,5.225612,741400,0.454401
1995-09-28,5.168812,5.282412,5.112012,5.282412,675700,0.454401
1995-09-29,5.225612,5.282412,5.168812,5.225612,561900,0.454401
1995-10-02,5.168812,5.282412,5.112012,5.225612,1299100,0.454401
1995-10-03,5.168812,5.225612,5.112012,5.225612,682500,0.454401
1995-10-04,5.168812,5.225612,5.055212,5.055212,734800,0.454401
1995-10-05,5.073456,5.187466,5.016451,5.187466,391500,0.456041
1995-10-06,5.130461,5.187466,5.073456,5.187466,405700,0.456041
1995-10-09,5.130461,5.244471,5.130461,5.244471,379800,0.456041
1995-10-10,5.130461,5.301476,5.130461,5.301476,658900,0.456041
1995-10-11,5.244471,5.301476,5.244471,5.301476,409200,0.456041
1995-10-12,5.301476,5.415486,5.244471,5.358481,323100,0.456041
1995-10-13,5.358481,5.415486,5.301476,5.301476,404800,0.456041
1995-10-16,5.244471,5.301476,5.187466,5.301476,623800,0.456041
1995-10-17,5.244471,5.301476,5.187466,5.244471,399000,0.456041
1995-10-18,5.244471,5.301476,5.244471,5.244471,245400,0.456041
1995-10-19,5.244471,5.358481,5.244471,5.358481,443400,0.456041
1995-10-20,5.301476,5.358481,5.301476,5.358481,359500,0.456041
1995-10-23,5.301476,5.472491,5.244471,5.415486,776100,0.456041
1995-10-24,5.415486,5.443989,5.301476,5.358481,341500,0.456041
1995-10-25,5.301476,5.358481,5.244471,5.301476,486900,0.456041
1995-10-26,5.244471,5.358481,5.187466,5.187466,407500,0.456041
1995-10-27,5.187466,5.244471,5.130461,5.130461,924900,0.456041
1995-10-30,5.130461,5.244471,5.130461,5.187466,707200,0.456041
1995-10-31,5.187466,5.301476,5.130461,5.187466,811800,0.456041
1995-11-01,5.130461,5.244471,5.130461,5.187466,484300,0.456041
1995-11-02,5.187466,5.358481,5.187466,5.358481,397000,0.456041
1995-11-03,5.301476,5.358481,5.301476,5.358481,434200,0.456041
1995-11-06,5.358481,5.415486,5.301476,5.358481,481200,0.456041
1995-11-07,5.358481,5.415486,5.358481,5.358481,442000,0.456041
1995-11-08,5.358481,5.415486,5.358481,5.415486,178500,0.456041
1995-11-09,5.415486,5.472491,5.358481,5.415486,455500,0.456041
1995-11-10,5.358481,5.358481,5.301476,5.301476,149200,0.456041
1995-11-13,5.358481,5.358481,5.301476,5.301476,194400,0.456041
1995-11-14,5.301476,5.358481,5.130461,5.187466,633900,0.456041
1995-11-15,5.187466,5.358481,5.130461,5.358481,1069300,0.456041
1995-11-16,5.301476,5.358481,5.244471,5.244471,632500,0.456041
1995-11-17,5.301476,5.301476,5.187466,5.244471,1046100,0.456041
1995-11-20,5.244471,5.301476,5.244471,5.301476,282000,0.456041
1995-11-21,5.244471,5.358481,5.244471,5.244471,477700,0.456041
1995-11-22,5.244471,5.244471,5.073456,5.130461,721800,0.456041
1995-11-24,5.130461,5.187466,5.073456,5.130461,217000,0.456041
1995-11-27,5.130461,5.301476,5.130461,5.244471,1035900,0.456041
1995-11-28,5.244471,5.358481,5.244471,5.358481,668100,0.456041
1995-11-29,5.301476,5.358481,5.244471,5.358481,263200,0.456041
1995-11-30,5.244471,5.301476,5.187466,5.244471,481000,0.456041
1995-12-01,5.244471,5.358481,5.244471,5.358481,379000,0.456041
1995-12-04,5.301476,5.358481,5.244471,5.358481,227700,0.456041
1995-12-05,5.301476,5.358481,5.244471,5.358481,539400,0.456041
1995-12-06,5.472491,5.529496,5.301476,5.358481,1810500,0.456041
1995-12-07,5.301476,5.301476,5.244471,5.301476,460600,0.456041
1995-12-08,5.244471,5.301476,5.130461,5.244471,1080100,0.456041
1995-12-11,5.244471,5.301476,5.187466,5.301476,461400,0.456041
1995-12-12,5.244471,5.301476,5.244471,5.301476,431400,0.456041
1995-12-13,5.244471,5.301476,5.187466,5.301476,766800,0.456041
1995-12-14,5.301476,5.529496,5.187465,5.529496,717400,0.456041
1995-12-15,5.472491,5.472491,5.301476,5.358481,1762600,0.456041
1995-12-18,5.358481,5.415486,5.358481,5.415486,415800,0.456041
1995-12-19,5.415486,5.472491,5.358481,5.472491,526900,0.456041
1995-12-20,5.415486,5.472491,5.301476,5.358481,832600,0.456041
1995-12-21,5.358481,5.415486,5.358481,5.358481,363100,0.456041
1995-12-22,5.358481,5.358481,5.244471,5.244471,641100,0.456041
1995-12-26,5.244471,5.301476,5.244471,5.301476,140800,0.456041
1995-12-27,5.301476,5.358481,5.301476,5.301476,217800,0.456041
1995-12-28,5.301476,5.358481,5.244471,5.301476,244900,0.456041
1995-12-29,5.301476,5.415486,5.244471,5.415486,494500,0.456041
1996-01-02,5.301476,5.415486,5.244471,5.358481,489000,0.456041
1996-01-03,5.301476,5.358481,5.244471,5.301476,478900,0.456041
1996-01-04,5.358481,5.358481,5.130461,5.244471,1181200,0.456041
1996-01-05,5.130461,5.187466,5.130461,5.130461,974800,0.456041
1996-01-08,5.130461,5.187466,5.073456,5.187466,118600,0.456041
1996-01-09,5.13046,5.187465,4.959445,5.073455,432000,0.456041
1996-01-10,5.01645,5.01645,4.845435,4.959445,596700,0.456041
1996-01-11,4.90244,5.13046,4.90244,5.073455,682200,0.456041
1996-01-12,5.073455,5.358481,5.073455,5.358481,679800,0.456041
1996-01-15,5.358481,5.358481,5.301476,5.301476,288000,0.456041
1996-01-16,5.358481,5.358481,5.301476,5.358481,337800,0.456041
1996-01-17,5.301476,5.358481,5.301476,5.301476,538200,0.456041
1996-01-18,5.301476,5.358481,5.244471,5.244471,493200,0.456041
1996-01-19,5.187466,5.301476,5.187466,5.301476,426600,0.456041
1996-01-22,5.301476,5.358481,5.301476,5.358481,328800,0.456041
1996-01-23,5.301476,5.358481,5.244471,5.301476,398100,0.456041
1996-01-24,5.301476,5.415486,5.301476,5.415486,289500,0.456041
1996-01-25,5.358481,5.358481,5.301476,5.358481,468700,0.456041
1996-01-26,5.301476,5.358481,5.244471,5.301476,418000,0.456041
1996-01-29,5.301476,5.358481,5.244471,5.244471,1021900,0.456041
1996-01-30,5.301476,5.301476,5.187466,5.244471,1006000,0.456041
1996-01-31,5.187466,5.244471,5.187466,5.244471,645600,0.456041
1996-02-01,5.187466,5.272974,5.130461,5.244471,729600,0.456041
1996-02-02,5.244471,5.415486,5.130461,5.358481,2223600,0.456041
1996-02-05,5.358481,5.529496,5.301476,5.472491,1492000,0.456041
1996-02-06,5.472492,5.586502,5.472492,5.586502,410100,0.456041
1996-02-07,5.529496,5.814522,5.529496,5.814522,916300,0.456041
1996-02-08,5.871527,6.042542,5.700512,5.871527,657000,0.456041
1996-02-09,5.871527,5.928532,5.757517,5.814522,488500,0.456041
1996-02-12,5.757517,5.871527,5.757517,5.871527,229600,0.456041
1996-02-13,5.700512,5.700512,5.586502,5.586502,361300,0.456041
1996-02-14,5.586502,5.700512,5.472492,5.700512,330100,0.456041
1996-02-15,5.643507,5.757517,5.586502,5.700512,674200,0.456041
1996-02-16,5.757517,5.757517,5.643507,5.700512,426900,0.456041
1996-02-20,5.586501,5.586501,5.415486,5.529496,555600,0.456041
1996-02-21,5.529497,5.757517,5.529497,5.700512,604300,0.456041
1996-02-22,5.700512,5.871527,5.700512,5.700512,275800,0.456041
1996-02-23,5.643507,5.757517,5.586502,5.643507,571500,0.456041
1996-02-26,5.586502,5.700512,5.529497,5.586502,431700,0.456041
