date,open,high,low,close,volume,adjrate
1995-10-31,3.475,4.2,3.475,4.075,15479400,0.2
1995-11-01,3.9,3.95,3.875,3.9,3056400,0.2
1995-11-02,3.95,4.225,3.9,4.175,1185200,0.2
1995-11-03,4.175,4.225,3.85,4.0,1823400,0.2
1995-11-06,3.975,4.0,3.875,3.9,339200,0.2
1995-11-07,3.875,3.975,3.75,3.8,627200,0.2
1995-11-08,3.7,3.825,3.6,3.825,1213800,0.2
1995-11-09,3.825,4.075,3.825,4.05,831000,0.2
1995-11-10,4.075,4.15,4.05,4.1,458400,0.2
1995-11-13,4.125,4.2,4.1,4.15,251400,0.2
1995-11-14,4.175,4.2,4.125,4.15,365400,0.2
1995-11-15,4.125,4.125,4.05,4.1,593400,0.2
1995-11-16,4.1,4.125,4.075,4.1,426200,0.2
1995-11-17,4.1,4.15,4.1,4.15,80400,0.2
1995-11-20,4.2,4.3,4.2,4.3,253400,0.2
1995-11-21,4.3,4.35,4.3,4.3,706800,0.2
1995-11-22,4.275,4.425,4.275,4.4,235400,0.2
1995-11-24,4.475,4.525,4.45,4.525,29400,0.2
1995-11-27,4.5,4.925,4.5,4.85,189000,0.2
1995-11-28,4.95,5.35,4.95,5.325,700400,0.2
1995-11-29,5.3,5.85,5.275,5.6,1008000,0.2
1995-11-30,5.45,5.475,5.325,5.375,705200,0.2
1995-12-01,5.35,5.475,5.3,5.375,753800,0.2
1995-12-04,5.2,5.275,5.125,5.25,340800,0.2
1995-12-05,5.275,5.35,5.25,5.325,55400,0.2
1995-12-06,5.5,5.775,5.5,5.675,657800,0.2
1995-12-07,5.7,5.725,5.65,5.65,576200,0.2
1995-12-08,5.625,5.725,5.625,5.7,502400,0.2
1995-12-11,5.725,5.75,5.7,5.725,334800,0.2
1995-12-12,5.725,5.975,5.725,5.925,273800,0.2
1995-12-13,5.95,5.975,5.95,5.95,483800,0.2
1995-12-14,5.9,6.0,5.9,5.95,272400,0.2
1995-12-15,5.95,5.95,5.925,5.95,114200,0.2
1995-12-18,5.95,5.95,5.7,5.725,169800,0.2
1995-12-19,5.675,5.675,5.45,5.45,342200,0.2
1995-12-20,5.475,5.475,5.175,5.275,71400,0.2
1995-12-21,5.275,5.35,5.2,5.2,407400,0.2
1995-12-22,5.225,5.25,5.2,5.2,223800,0.2
1995-12-26,5.225,5.225,5.2,5.2,151800,0.2
1995-12-27,5.25,5.6,5.25,5.6,469400,0.2
1995-12-28,5.6,5.6,5.575,5.6,174800,0.2
1995-12-29,5.625,6.0,5.625,6.0,594800,0.2
1996-01-02,5.9,5.9,5.85,5.85,57000,0.2
1996-01-03,5.95,6.0,5.9,5.9,160400,0.2
1996-01-04,5.925,5.925,5.65,5.65,117200,0.2
1996-01-05,5.675,5.675,5.625,5.625,7400,0.2
1996-01-08,5.625,5.625,5.6,5.6,3800,0.2
1996-01-09,5.575,5.65,5.5,5.5,330000,0.2
1996-01-10,5.425,5.55,5.4,5.55,93000,0.2
1996-01-11,5.55,5.575,5.525,5.55,61800,0.2
1996-01-12,5.575,5.8,5.575,5.75,103800,0.2
1996-01-15,5.8,5.85,5.8,5.85,6800,0.2
1996-01-16,5.9,5.975,5.9,5.975,73800,0.2
1996-01-17,5.975,5.975,5.9,5.95,90800,0.2
1996-01-18,5.9,5.9,5.675,5.675,162800,0.2
1996-01-19,5.7,5.725,5.6,5.675,39000,0.2
1996-01-22,5.675,5.675,5.6,5.625,42000,0.2
1996-01-23,5.65,5.65,5.6,5.6,46800,0.2
1996-01-24,5.675,5.7,5.575,5.575,62400,0.2
1996-01-25,5.6,5.6,5.6,5.6,18000,0.2
1996-01-26,5.55,5.575,5.525,5.525,36000,0.2
1996-01-29,5.525,5.525,5.4,5.475,172800,0.2
1996-01-30,5.45,5.5,5.45,5.475,35400,0.2
1996-01-31,5.5,5.55,5.5,5.55,114200,0.2
1996-02-01,5.525,5.7,5.475,5.7,120000,0.2
1996-02-02,5.725,5.9,5.725,5.875,154800,0.2
1996-02-05,5.9,5.95,5.9,5.95,60200,0.2
1996-02-06,5.925,6.275,5.925,6.25,521400,0.2
1996-02-07,6.325,6.45,6.325,6.4,448400,0.2
1996-02-08,6.4,6.4,6.025,6.15,549800,0.2
1996-02-09,6.1,6.15,6.05,6.075,163800,0.2
1996-02-12,6.075,6.225,6.075,6.225,123800,0.2
1996-02-13,6.2,6.2,5.875,5.875,308400,0.2
1996-02-14,5.875,5.875,5.85,5.875,99800,0.2
1996-02-15,5.85,5.85,5.75,5.8,181400,0.2
1996-02-16,5.8,5.875,5.775,5.875,640800,0.2
1996-02-20,5.825,5.85,5.8,5.8,67400,0.2
1996-02-21,5.825,5.85,5.825,5.825,162800,0.2
1996-02-22,5.8,6.05,5.8,6.05,64400,0.2
1996-02-23,6.05,6.1,5.975,6.0,283400,0.2
1996-02-26,6.05,6.1,6.05,6.1,211400,0.2
1996-02-27,6.05,6.125,6.025,6.125,62400,0.2
1996-02-28,6.15,6.15,5.975,5.975,19400,0.2
1996-02-29,5.95,5.95,5.875,5.9,37400,0.2
1996-03-01,5.95,5.95,5.9,5.95,10400,0.2
1996-03-04,5.975,5.975,5.975,5.975,200,0.2
1996-03-05,6.0,6.0,5.925,6.0,66000,0.2
1996-03-06,6.0,6.0,5.925,5.925,303200,0.2
1996-03-07,5.925,6.075,5.925,6.075,72200,0.2
1996-03-08,6.025,6.025,5.95,6.0,126200,0.2
1996-03-11,5.95,5.95,5.85,5.9,138000,0.2
1996-03-12,5.925,5.925,5.875,5.875,69800,0.2
1996-03-13,5.9,5.925,5.875,5.925,326400,0.2
1996-03-14,5.925,5.95,5.925,5.95,204800,0.2
1996-03-15,5.95,5.95,5.875,5.925,18000,0.2
1996-03-18,5.975,6.05,5.95,5.95,66800,0.2
1996-03-19,5.95,5.975,5.9,5.95,435000,0.2
1996-03-20,5.95,5.95,5.9,5.925,82400,0.2
1996-03-21,5.9,5.925,5.875,5.875,333000,0.2
1996-03-22,5.9,5.9,5.825,5.825,51000,0.2
1996-03-25,5.8,5.975,5.8,5.975,148400,0.2
1996-03-26,6.0,6.15,6.0,6.125,213000,0.2
1996-03-27,6.15,6.2,6.05,6.175,319800,0.2
1996-03-28,6.15,6.25,6.15,6.2,201000,0.2
1996-03-29,6.2,6.225,6.125,6.225,169800,0.2
1996-04-01,6.2,6.65,6.2,6.575,240200,0.2
1996-04-02,6.575,6.575,6.525,6.55,39200,0.2
1996-04-03,6.6,6.725,6.575,6.625,217800,0.2
1996-04-04,6.65,7.05,6.65,7.0,11919000,0.2
1996-04-08,7.0,7.075,6.925,7.05,1440000,0.2
1996-04-09,7.2,7.2,7.05,7.1,1014200,0.2
1996-04-10,7.15,7.325,7.125,7.25,1008800,0.2
1996-04-11,7.3,7.3,7.125,7.125,933000,0.2
1996-04-12,7.125,7.125,7.025,7.075,288200,0.2
1996-04-15,7.05,7.1,7.05,7.075,57200,0.2
1996-04-16,7.1,7.15,7.1,7.15,654800,0.2
1996-04-17,7.175,7.275,7.175,7.25,562800,0.2
1996-04-18,7.275,7.275,7.05,7.075,251400,0.2
1996-04-19,7.075,7.125,7.025,7.1,430800,0.2
1996-04-22,7.1,7.25,7.1,7.2,342800,0.2
1996-04-23,7.25,7.65,7.25,7.625,787800,0.2
1996-04-24,7.65,8.075,7.65,8.075,444800,0.2
1996-04-25,8.05,8.100001,7.95,7.95,935400,0.2
1996-04-26,7.825,7.9,7.825,7.875,417000,0.2
1996-04-29,7.8,7.8,7.55,7.6,213200,0.2
1996-04-30,7.625,7.65,7.425,7.65,666800,0.2
1996-05-01,7.675,7.725,7.625,7.7,259400,0.2
1996-05-02,7.75,7.75,7.225,7.275,1032000,0.2
1996-05-03,7.25,7.3,7.025,7.1,547800,0.2
1996-05-06,7.075,7.5,7.075,7.5,822000,0.2
1996-05-07,7.6,7.8,7.575,7.8,531000,0.2
1996-05-08,7.85,7.875,7.675,7.875,264000,0.2
1996-05-09,7.85,7.975,7.85,7.975,237000,0.2
1996-05-10,7.925001,8.65,7.925001,8.65,403800,0.2
1996-05-13,8.7,9.100001,8.625,9.025,284400,0.2
1996-05-14,9.0,9.050001,8.75,8.775,334400,0.2
1996-05-15,8.75,8.75,8.550001,8.65,179400,0.2
1996-05-16,8.600001,8.65,8.45,8.45,84800,0.2
1996-05-17,8.399999,8.399999,8.199999,8.225,85800,0.2
1996-05-20,8.225,8.275,8.175,8.25,33800,0.2
1996-05-21,8.274999,8.274999,8.175,8.175,28800,0.2
1996-05-22,8.2,8.2,8.0,8.025,315200,0.2
1996-05-23,8.075,8.075,7.825,7.925,583400,0.2
1996-05-24,7.95,8.225001,7.95,8.2,115800,0.2
1996-05-28,8.274999,8.274999,8.05,8.05,46800,0.2
1996-05-29,8.024999,8.05,7.925,7.925,297000,0.2
1996-05-30,7.975,8.3,7.925,8.225,369000,0.2
1996-05-31,8.175,8.25,8.15,8.25,567200,0.2
1996-06-03,8.225001,8.275,8.225001,8.275,69800,0.2
1996-06-04,8.274999,8.274999,8.149999,8.175,42800,0.2
1996-06-05,8.125,8.125,7.7,7.975,294200,0.2
1996-06-06,8.0,8.075,8.0,8.075,97800,0.2
1996-06-07,8.025,8.025,7.9,7.9,15000,0.2
1996-06-10,7.925,7.925,7.725,7.725,36800,0.2
1996-06-11,7.725,7.75,7.7,7.7,143400,0.2
1996-06-12,7.725,7.75,7.7,7.725,100400,0.2
1996-06-13,7.725,7.725,7.7,7.7,9800,0.2
1996-06-14,7.675,7.775,7.675,7.775,31800,0.2
1996-06-17,7.75,7.775,7.725,7.75,108800,0.2
1996-06-18,7.75,7.775,7.7,7.775,57000,0.2
1996-06-19,7.75,7.825,7.675,7.775,322800,0.2
1996-06-20,7.75,7.75,7.725,7.75,271400,0.2
1996-06-21,7.75,7.75,7.7,7.725,304400,0.2
1996-06-24,7.7,7.7,7.375,7.575,298400,0.2
1996-06-25,7.6,7.75,7.575,7.75,82800,0.2
1996-06-26,7.75,7.775,7.675,7.675,313800,0.2
1996-06-27,7.65,7.85,7.6,7.85,145400,0.2
1996-06-28,7.85,8.45,7.75,8.45,526400,0.2
1996-07-01,8.4,8.525,8.4,8.45,91400,0.2
1996-07-02,8.475,8.475,8.325,8.375,233400,0.2
1996-07-03,8.375,8.375,8.2,8.2,139400,0.2
1996-07-05,8.225,8.25,8.149999,8.175,15800,0.2
1996-07-08,8.125,8.149999,7.75,7.8,362400,0.2
1996-07-09,7.85,7.875,7.825,7.875,18200,0.2
1996-07-10,7.875,7.875,7.775,7.825,133800,0.2
1996-07-11,7.8,7.825,7.15,7.15,472400,0.2
1996-07-12,7.15,7.15,6.9,7.05,246200,0.2
1996-07-15,7.1,7.125,6.725,6.725,351200,0.2
1996-07-16,6.75,6.75,6.4,6.5,302400,0.2
1996-07-17,6.5,6.8,6.5,6.775,440400,0.2
1996-07-18,6.725,6.875,6.725,6.825,408800,0.2
1996-07-19,6.85,7.1,6.85,7.1,114800,0.2
1996-07-22,7.025,7.025,6.925,6.95,423800,0.2
1996-07-23,6.9,6.9,6.8,6.825,102800,0.2
1996-07-24,6.8,6.8,6.725,6.725,147800,0.2
1996-07-25,6.725,6.9,6.725,6.9,660800,0.2
1996-07-26,6.85,7.025,6.85,7.025,62400,0.2
1996-07-29,7.025,7.125,6.975,7.1,48200,0.2
1996-07-30,7.125,7.175,7.125,7.125,78200,0.2
1996-07-31,7.125,7.15,7.125,7.15,235400,0.2
1996-08-01,7.125,7.125,6.85,6.95,205800,0.2
1996-08-02,6.975,7.025,6.9,7.025,285800,0.2
1996-08-05,7.125,7.425,7.1,7.325,297200,0.2
1996-08-06,7.375,7.5,7.375,7.425,88800,0.2
1996-08-07,7.5,7.75,7.475,7.6,199400,0.2
1996-08-08,7.6,7.75,7.45,7.45,426800,0.2
1996-08-09,7.475,7.6,7.45,7.6,271400,0.2
1996-08-12,7.6,7.675,7.575,7.675,84000,0.2
1996-08-13,7.675,7.675,7.575,7.6,63200,0.2
1996-08-14,7.6,7.6,7.6,7.6,9800,0.2
1996-08-15,7.575,7.6,7.55,7.575,75000,0.2
1996-08-16,7.575,7.575,7.55,7.55,34800,0.2
1996-08-19,7.55,7.55,7.475,7.475,12800,0.2
1996-08-20,7.5,7.5,7.275,7.275,53400,0.2
1996-08-21,7.3,7.475,7.275,7.45,226400,0.2
1996-08-22,7.45,7.5,7.425,7.5,12800,0.2
1996-08-23,7.475,7.625,7.475,7.575,99800,0.2
1996-08-26,7.575,7.725,7.55,7.725,62400,0.2
1996-08-27,7.8,7.875,7.775,7.875,198800,0.2
1996-08-28,7.875,8.125,7.875,7.975,685400,0.2
1996-08-29,8.0,8.1,8.0,8.1,329400,0.2
1996-08-30,8.1,8.25,8.074999,8.225,141000,0.2
1996-09-03,8.175,8.175,7.925,8.1,449400,0.2
1996-09-04,8.05,8.075,7.95,8.05,141800,0.2
1996-09-05,8.025,8.025,7.925,7.95,241800,0.2
1996-09-06,7.975,7.975,7.925,7.975,129200,0.2
1996-09-09,7.975,7.975,7.9,7.9,219200,0.2
1996-09-10,7.9,7.9,7.75,7.775,10800,0.2
1996-09-11,7.725,7.725,7.6,7.625,47400,0.2
1996-09-12,7.625,7.625,7.5,7.5,166400,0.2
1996-09-13,7.525,7.575,7.525,7.55,383400,0.2
1996-09-16,7.6,7.925,7.6,7.825,636800,0.2
1996-09-17,7.775,7.775,7.575,7.7,239400,0.2
1996-09-18,7.675,7.7,7.65,7.7,111000,0.2
1996-09-19,7.675,7.875,7.675,7.875,89400,0.2
1996-09-20,7.825,7.85,7.8,7.85,61800,0.2
1996-09-23,7.85,7.85,7.7,7.8,654000,0.2
1996-09-24,7.775,7.85,7.75,7.775,27200,0.2
1996-09-25,7.75,7.775,7.7,7.775,61800,0.2
1996-09-26,7.8,7.8,7.775,7.775,79400,0.2
1996-09-27,7.75,7.8,7.75,7.8,31400,0.2
1996-09-30,7.8,8.0,7.8,8.0,363000,0.2
1996-10-01,7.95,7.95,7.775,7.8,368400,0.2
1996-10-02,7.85,8.125,7.85,8.125,122400,0.2
1996-10-03,8.100001,8.15,8.100001,8.15,37800,0.2
1996-10-04,8.175,8.6,8.175,8.6,648200,0.2
1996-10-07,8.65,8.9,8.575,8.875,182400,0.2
1996-10-08,8.925,9.275,8.925,9.0,336200,0.2
1996-10-09,8.9,8.95,8.850001,8.9,115800,0.2
1996-10-10,8.875,8.95,8.825,8.95,482400,0.2
1996-10-11,8.975,9.1,8.975,9.05,192200,0.2
1996-10-14,9.05,9.25,9.05,9.225,90200,0.2
1996-10-15,9.25,9.25,8.85,8.85,242400,0.2
1996-10-16,8.850001,8.850001,8.575,8.575,168800,0.2
1996-10-17,8.55,8.55,8.0,8.225,370400,0.2
1996-10-18,8.274999,8.399999,8.274999,8.35,39000,0.2
1996-10-21,8.4,8.675,8.4,8.625,88800,0.2
1996-10-22,8.600001,8.75,8.55,8.7,106400,0.2
1996-10-23,8.75,8.75,8.65,8.65,42800,0.2
1996-10-24,8.675,8.7,8.575,8.575,105200,0.2
1996-10-25,8.600001,8.600001,8.45,8.45,36800,0.2
1996-10-28,8.425,8.45,8.375,8.375,259800,0.2
1996-10-29,8.350001,8.350001,8.275,8.325,171000,0.2
1996-10-30,8.375,8.375,7.925,7.925,356400,0.2
1996-10-31,7.8,7.825,7.8,7.8,6682400,0.2
1996-11-01,7.8,7.875,7.8,7.8,1605800,0.2
1996-11-04,7.825,7.85,7.8,7.8,400400,0.2
1996-11-05,7.8,7.825,7.8,7.8,334800,0.2
1996-11-06,7.8,7.825,7.8,7.8,1792800,0.2
1996-11-07,7.8,7.875,7.8,7.8,1630800,0.2
1996-11-08,7.825,7.925,7.8,7.8,355400,0.2
1996-11-11,7.8,7.825,7.225,7.25,1788200,0.2
1996-11-12,7.3,7.425,7.3,7.375,216800,0.2
1996-11-13,7.35,7.475,7.35,7.4,326400,0.2
1996-11-14,7.375,7.375,7.1,7.25,367400,0.2
1996-11-15,7.25,7.25,6.85,7.0,1232400,0.2
1996-11-18,6.95,6.95,6.575,6.725,711200,0.2
1996-11-19,6.8,7.45,6.8,7.25,3507200,0.2
1996-11-20,7.275,7.275,7.2,7.25,1522400,0.2
1996-11-21,7.2,7.25,6.9,6.95,428400,0.2
1996-11-22,7.0,7.05,6.8,6.9,265800,0.2
1996-11-25,6.925,6.925,6.8,6.85,1335000,0.2
1996-11-26,6.85,6.85,6.75,6.8,188400,0.2
1996-11-27,6.8,6.875,6.8,6.85,186000,0.2
1996-11-29,6.875,6.875,6.85,6.85,172400,0.2
1996-12-02,6.825,6.875,6.825,6.875,151400,0.2
1996-12-03,6.875,6.875,6.75,6.8,933000,0.2
1996-12-04,6.775,6.85,6.625,6.85,519200,0.2
1996-12-05,6.85,6.925,6.6,6.725,351800,0.2
1996-12-06,6.6,6.8,6.475,6.8,169400,0.2
1996-12-09,6.775,7.2,6.775,7.0,543200,0.2
1996-12-10,6.975,6.975,6.95,6.95,112400,0.2
1996-12-11,6.9,6.9,6.7,6.8,180200,0.2
1996-12-12,6.775,6.775,6.575,6.6,86400,0.2
1996-12-13,6.55,6.55,6.45,6.45,143400,0.2
1996-12-16,6.425,6.5,6.425,6.45,195800,0.2
1996-12-17,6.4,6.525,6.4,6.525,187400,0.2
1996-12-18,6.5,6.65,6.5,6.6,306000,0.2
1996-12-19,6.575,6.675,6.55,6.675,36800,0.2
1996-12-20,6.65,7.0,6.625,6.95,111000,0.2
1996-12-23,6.925,7.05,6.925,6.95,34400,0.2
1996-12-24,6.925,6.975,6.925,6.95,7400,0.2
1996-12-26,6.95,6.95,6.8,6.925,160400,0.2
1996-12-27,6.975,6.975,6.8,6.8,227400,0.2
1996-12-30,6.75,6.925,6.75,6.925,588200,0.2
1996-12-31,7.025,7.25,6.95,7.25,247400,0.2
1997-01-02,7.25,7.25,7.15,7.175,603000,0.2
1997-01-03,7.175,7.175,7.1,7.1,179400,0.2
1997-01-06,7.15,7.15,6.95,6.975,244400,0.2
1997-01-07,6.975,6.975,6.925,6.95,45000,0.2
1997-01-08,6.95,6.95,6.775,6.825,114800,0.2
1997-01-09,6.825,6.825,6.4,6.475,897000,0.2
1997-01-10,6.5,6.525,6.4,6.4,953400,0.2
1997-01-13,6.425,6.6,6.4,6.55,85400,0.2
1997-01-14,6.5,6.5,6.45,6.45,78200,0.2
1997-01-15,6.45,6.625,6.45,6.625,300200,0.2
1997-01-16,6.625,6.825,6.625,6.8,195200,0.2
1997-01-17,6.775,6.8,6.775,6.8,25800,0.2
1997-01-20,6.825,6.9,6.825,6.825,279200,0.2
1997-01-21,6.85,6.9,6.85,6.85,804800,0.2
1997-01-22,6.85,6.875,6.825,6.875,61400,0.2
1997-01-23,6.85,6.85,6.65,6.725,93800,0.2
1997-01-24,6.675,6.7,6.625,6.7,64800,0.2
1997-01-27,6.7,6.75,6.625,6.65,292800,0.2
