date,open,high,low,close,volume,adjrate
1970-01-02,0.300104,0.316207,0.300104,0.316207,73200,0.011711
1970-01-05,0.319136,0.329383,0.319136,0.329383,130800,0.011711
1970-01-06,0.329383,0.335238,0.319135,0.324991,312400,0.011711
1970-01-07,0.323527,0.323527,0.319135,0.320599,51600,0.011711
1970-01-08,0.320599,0.324991,0.319135,0.320599,79200,0.011711
1970-01-09,0.320599,0.323527,0.319135,0.323527,45600,0.011711
1970-01-12,0.323527,0.323527,0.320599,0.322063,51200,0.011711
1970-01-13,0.322064,0.322064,0.314744,0.314744,136800,0.011711
1970-01-14,0.314744,0.317672,0.311816,0.314744,61600,0.011711
1970-01-15,0.314744,0.314744,0.307424,0.307424,85200,0.011711
1970-01-16,0.307424,0.308888,0.304496,0.30596,158000,0.011711
1970-01-19,0.307424,0.31328,0.307424,0.31328,56000,0.011711
1970-01-20,0.313279,0.320599,0.310352,0.320599,93600,0.011711
1970-01-21,0.319136,0.319136,0.314744,0.314744,86800,0.011711
1970-01-22,0.314744,0.314744,0.311816,0.314744,70000,0.011711
1970-01-23,0.314743,0.317671,0.311815,0.316207,60000,0.011711
1970-01-26,0.316207,0.319135,0.316207,0.319135,59600,0.011711
1970-01-27,0.319135,0.323527,0.316207,0.317671,74000,0.011711
1970-01-28,0.317672,0.319136,0.311816,0.31328,53200,0.011711
1970-01-29,0.313279,0.319135,0.310351,0.319135,53600,0.011711
1970-01-30,0.319135,0.319135,0.314743,0.316207,44400,0.011711
1970-02-02,0.317536,0.320476,0.313126,0.317536,50800,0.011761
1970-02-03,0.317536,0.319006,0.313126,0.314596,33200,0.011761
1970-02-04,0.314596,0.317536,0.314596,0.317536,35200,0.011761
1970-02-05,0.316066,0.316066,0.311656,0.314596,56400,0.011761
1970-02-06,0.314596,0.316066,0.311656,0.316066,37600,0.011761
1970-02-09,0.316066,0.316066,0.313126,0.316066,59200,0.011761
1970-02-10,0.316066,0.316066,0.313126,0.316066,34800,0.011761
1970-02-11,0.316066,0.316066,0.313126,0.314596,40000,0.011761
1970-02-12,0.314596,0.316066,0.313126,0.313126,35200,0.011761
1970-02-13,0.313126,0.314596,0.310186,0.310186,61600,0.011761
1970-02-16,0.310186,0.314596,0.308716,0.310186,44800,0.011761
1970-02-17,0.310186,0.314596,0.308716,0.311656,36800,0.011761
1970-02-18,0.311656,0.314596,0.310186,0.311656,47200,0.011761
1970-02-19,0.311656,0.316066,0.311656,0.314596,30400,0.011761
1970-02-20,0.314596,0.316066,0.311656,0.316066,59200,0.011761
1970-02-24,0.316066,0.316066,0.313126,0.314596,56400,0.011761
1970-02-25,0.314596,0.319006,0.314596,0.317536,72400,0.011761
1970-02-26,0.317536,0.320476,0.317536,0.317536,44800,0.011761
1970-02-27,0.319007,0.323417,0.319007,0.323417,42000,0.011761
1970-03-02,0.323417,0.326357,0.321947,0.324887,56000,0.011761
1970-03-03,0.324887,0.327827,0.323417,0.326357,48800,0.011761
1970-03-04,0.326357,0.332237,0.323417,0.332237,60000,0.011761
1970-03-05,0.332237,0.333707,0.329297,0.329297,71600,0.011761
1970-03-06,0.329297,0.330767,0.326357,0.327827,75200,0.011761
1970-03-09,0.327827,0.329297,0.326357,0.329297,35200,0.011761
1970-03-10,0.329297,0.329297,0.326357,0.327827,28400,0.011761
1970-03-11,0.327827,0.330767,0.326357,0.327827,41200,0.011761
1970-03-12,0.327827,0.329297,0.326357,0.327827,30800,0.011761
1970-03-13,0.327827,0.327827,0.326357,0.327827,32000,0.011761
1970-03-16,0.327827,0.327827,0.323417,0.323417,28800,0.011761
