date,open,high,low,close,volume,adjrate
1980-03-17,0.265705,0.271165,0.265705,0.267525,57600,0.014559
1980-03-18,0.265706,0.265706,0.262066,0.262066,19200,0.014559
1980-03-19,0.262066,0.262066,0.262066,0.262066,0,0.014559
1980-03-20,0.263886,0.263886,0.263886,0.263886,2400,0.014559
1980-03-21,0.260246,0.260246,0.258426,0.258426,12000,0.014559
1980-03-24,0.258426,0.262066,0.258426,0.258426,9600,0.014559
1980-03-25,0.256606,0.256606,0.256606,0.256606,2400,0.014559
1980-03-26,0.256606,0.256606,0.254786,0.254786,9600,0.014559
1980-03-27,0.254786,0.258426,0.254786,0.254786,28800,0.014559
1980-03-28,0.254786,0.254786,0.249326,0.252966,67200,0.014559
1980-03-31,0.252966,0.256606,0.251146,0.251146,19200,0.014559
1980-04-01,0.254786,0.256606,0.254786,0.256606,14400,0.014559
1980-04-02,0.254786,0.254786,0.254786,0.254786,9600,0.014559
1980-04-03,0.254786,0.256606,0.251146,0.256606,38400,0.014559
1980-04-07,0.252966,0.252966,0.249326,0.249326,28800,0.014559
1980-04-08,0.249326,0.252966,0.247506,0.252966,33600,0.014559
1980-04-09,0.252966,0.252966,0.249326,0.252966,12000,0.014559
1980-04-10,0.252966,0.252966,0.252966,0.252966,0,0.014559
1980-04-11,0.251146,0.251146,0.247506,0.251146,31200,0.014559
1980-04-14,0.251146,0.252966,0.251146,0.251146,48000,0.014559
1980-04-15,0.251146,0.254786,0.251146,0.254786,24000,0.014559
1980-04-16,0.258426,0.258426,0.258426,0.258426,21600,0.014559
1980-04-17,0.256606,0.256606,0.254786,0.256606,36000,0.014559
1980-04-18,0.254786,0.254786,0.252966,0.252966,16800,0.014559
1980-04-21,0.252966,0.258426,0.252966,0.252966,24000,0.014559
1980-04-22,0.252966,0.256606,0.252966,0.252966,36000,0.014559
1980-04-23,0.256606,0.263886,0.256606,0.263886,33600,0.014559
1980-04-24,0.265705,0.269345,0.265705,0.269345,124800,0.014559
1980-04-25,0.269345,0.269345,0.269345,0.269345,24000,0.014559
1980-04-28,0.272985,0.282085,0.272985,0.282085,36000,0.014559
1980-04-29,0.282085,0.283905,0.280265,0.280265,7200,0.014559
1980-04-30,0.280265,0.294824,0.274805,0.289364,64800,0.014559
1980-05-01,0.291184,0.309383,0.291184,0.309383,79200,0.014559
1980-05-02,0.309384,0.320303,0.309384,0.320303,76800,0.014559
1980-05-05,0.320303,0.320303,0.316663,0.318483,31200,0.014559
1980-05-06,0.314843,0.314843,0.311203,0.311203,7200,0.014559
1980-05-07,0.311203,0.314843,0.307563,0.313023,45600,0.014559
1980-05-08,0.313023,0.318483,0.309383,0.318483,74400,0.014559
1980-05-09,0.314843,0.314843,0.309383,0.314843,64800,0.014559
1980-05-12,0.314843,0.314843,0.309383,0.314843,67200,0.014559
1980-05-13,0.314843,0.314843,0.311203,0.311203,7200,0.014559
1980-05-14,0.311203,0.316663,0.311203,0.314843,16800,0.014559
1980-05-15,0.316663,0.318483,0.316663,0.318483,52800,0.014559
1980-05-16,0.318483,0.318483,0.314843,0.318483,40800,0.014559
1980-05-19,0.307563,0.307563,0.305743,0.305743,4800,0.014559
1980-05-20,0.305743,0.305743,0.305743,0.305743,12000,0.014559
1980-05-21,0.305743,0.305743,0.303923,0.303923,21600,0.014559
1980-05-22,0.303923,0.307563,0.303923,0.307563,19200,0.014559
1980-05-23,0.305743,0.305743,0.305743,0.305743,4800,0.014559
1980-05-27,0.305743,0.307563,0.305743,0.307563,43200,0.014559
1980-05-28,0.307563,0.307563,0.305743,0.305743,9600,0.014559
1980-05-29,0.307563,0.311203,0.307563,0.309383,43200,0.014559
1980-05-30,0.309383,0.309383,0.309383,0.309383,0,0.014559
1980-06-02,0.307563,0.307563,0.307563,0.307563,12000,0.014559
1980-06-03,0.309383,0.309383,0.309383,0.309383,2400,0.014559
1980-06-04,0.311203,0.314843,0.311203,0.314843,38400,0.014559
1980-06-05,0.314843,0.314843,0.313023,0.314843,9600,0.014559
1980-06-06,0.314843,0.316663,0.314843,0.314843,21600,0.014559
1980-06-09,0.316663,0.316663,0.316663,0.316663,33600,0.014559
1980-06-10,0.316663,0.316663,0.316663,0.316663,0,0.014559
1980-06-11,0.314843,0.314843,0.314843,0.314843,31200,0.014559
1980-06-12,0.314843,0.316663,0.313023,0.313023,19200,0.014559
1980-06-13,0.314843,0.318483,0.314843,0.316663,33600,0.014559
1980-06-16,0.316663,0.320303,0.316663,0.316663,67200,0.014559
1980-06-17,0.323942,0.331222,0.323942,0.331222,79200,0.014559
1980-06-18,0.338501,0.345781,0.338501,0.345781,93600,0.014559
1980-06-19,0.345781,0.345781,0.343961,0.345781,52800,0.014559
1980-06-20,0.345781,0.347601,0.340321,0.340321,93600,0.014559
1980-06-23,0.338502,0.338502,0.331222,0.334862,110400,0.014559
1980-06-24,0.336682,0.336682,0.336682,0.336682,2400,0.014559
1980-06-25,0.334862,0.334862,0.334862,0.334862,2400,0.014559
1980-06-26,0.334862,0.334862,0.334862,0.334862,0,0.014559
1980-06-27,0.334862,0.334862,0.334862,0.334862,14400,0.014559
1980-06-30,0.331222,0.331222,0.327582,0.327582,14400,0.014559
1980-07-01,0.327583,0.327583,0.318483,0.318483,33600,0.014559
1980-07-02,0.320303,0.322123,0.320303,0.320303,21600,0.014559
1980-07-03,0.320302,0.322122,0.320302,0.322122,7200,0.014559
1980-07-07,0.322123,0.322123,0.318483,0.320303,28800,0.014559
1980-07-08,0.320303,0.320303,0.318483,0.318483,122400,0.014559
1980-07-09,0.318482,0.323942,0.314843,0.323942,19200,0.014559
1980-07-10,0.323943,0.323943,0.316663,0.320303,45600,0.014559
1980-07-11,0.320303,0.320303,0.316663,0.320303,21600,0.014559
1980-07-14,0.320302,0.333042,0.320302,0.329402,36000,0.014559
1980-07-15,0.333042,0.334862,0.333042,0.333042,14400,0.014559
1980-07-16,0.333042,0.334862,0.331222,0.331222,31200,0.014559
1980-07-17,0.331222,0.331222,0.327582,0.327582,36000,0.014559
1980-07-18,0.331222,0.338502,0.331222,0.331222,31200,0.014559
1980-07-21,0.334862,0.340322,0.334862,0.338502,36000,0.014559
1980-07-22,0.338501,0.342141,0.338501,0.342141,50400,0.014559
1980-07-23,0.342141,0.342141,0.336681,0.342141,12000,0.014559
1980-07-24,0.342142,0.342142,0.336682,0.336682,28800,0.014559
1980-07-25,0.336682,0.338502,0.336682,0.336682,4800,0.014559
1980-07-28,0.334862,0.334862,0.329402,0.329402,24000,0.014559
1980-07-29,0.329402,0.333042,0.329402,0.333042,43200,0.014559
1980-07-30,0.333042,0.336682,0.333042,0.334862,33600,0.014559
1980-07-31,0.334862,0.334862,0.334862,0.334862,33600,0.014559
1980-08-01,0.334861,0.342141,0.334861,0.342141,60000,0.014559
1980-08-04,0.338502,0.338502,0.336682,0.338502,14400,0.014559
1980-08-05,0.338502,0.340322,0.334862,0.338502,52800,0.014559
1980-08-06,0.338502,0.338502,0.338502,0.338502,7200,0.014559
1980-08-07,0.334862,0.334862,0.334862,0.334862,7200,0.014559
1980-08-08,0.334862,0.338502,0.334862,0.334862,36000,0.014559
1980-08-11,0.334862,0.334862,0.331222,0.334862,19200,0.014559
1980-08-12,0.334862,0.334862,0.329402,0.334862,36000,0.014559
1980-08-13,0.331222,0.331222,0.329402,0.329402,7200,0.014559
1980-08-14,0.331222,0.333042,0.331222,0.331222,14400,0.014559
1980-08-15,0.331222,0.333042,0.329402,0.329402,7200,0.014559
1980-08-18,0.327582,0.327582,0.323942,0.327582,67200,0.014559
1980-08-19,0.327582,0.327582,0.323942,0.323942,28800,0.014559
1980-08-20,0.323942,0.325762,0.322122,0.325762,19200,0.014559
1980-08-21,0.322122,0.322122,0.322122,0.322122,4800,0.014559
1980-08-22,0.325762,0.329402,0.325762,0.329402,12000,0.014559
1980-08-25,0.331222,0.331222,0.331222,0.331222,2400,0.014559
1980-08-26,0.327582,0.327582,0.323942,0.325762,26400,0.014559
1980-08-27,0.322123,0.322123,0.318483,0.318483,38400,0.014559
1980-08-28,0.320303,0.320303,0.320303,0.320303,12000,0.014559
1980-08-29,0.320303,0.320303,0.320303,0.320303,12000,0.014559
1980-09-02,0.322122,0.325762,0.322122,0.325762,9600,0.014559
1980-09-03,0.327582,0.333042,0.327582,0.327582,60000,0.014559
1980-09-04,0.327582,0.327582,0.327582,0.327582,0,0.014559
1980-09-05,0.327582,0.333042,0.325762,0.325762,45600,0.014559
1980-09-08,0.325763,0.327583,0.320303,0.320303,24000,0.014559
1980-09-09,0.322122,0.323942,0.322122,0.322122,36000,0.014559
1980-09-10,0.322122,0.322122,0.322122,0.322122,0,0.014559
1980-09-11,0.322122,0.322122,0.322122,0.322122,7200,0.014559
1980-09-12,0.323942,0.327582,0.323942,0.327582,84000,0.014559
1980-09-15,0.327582,0.333042,0.327582,0.327582,57600,0.014559
1980-09-16,0.327582,0.327582,0.322122,0.322122,50400,0.014559
1980-09-17,0.322122,0.325762,0.322122,0.325762,48000,0.014559
1980-09-18,0.327582,0.327582,0.327582,0.327582,2400,0.014559
1980-09-19,0.327582,0.334862,0.327582,0.334862,62400,0.014559
1980-09-22,0.334862,0.342142,0.334862,0.338502,69600,0.014559
1980-09-23,0.334862,0.334862,0.334862,0.334862,7200,0.014559
1980-09-24,0.334862,0.338502,0.331222,0.334862,36000,0.014559
1980-09-25,0.331222,0.331222,0.331222,0.331222,7200,0.014559
1980-09-26,0.331222,0.334862,0.331222,0.334862,12000,0.014559
1980-09-29,0.334862,0.334862,0.331222,0.334862,12000,0.014559
1980-09-30,0.334861,0.342141,0.333042,0.342141,43200,0.014559
1980-10-01,0.342142,0.342142,0.336682,0.336682,21600,0.014559
1980-10-02,0.336682,0.336682,0.336682,0.336682,12000,0.014559
1980-10-03,0.336682,0.336682,0.336682,0.336682,4800,0.014559
1980-10-06,0.336682,0.338502,0.334862,0.338502,21600,0.014559
1980-10-07,0.336682,0.336682,0.334862,0.334862,7200,0.014559
1980-10-08,0.334862,0.336682,0.333042,0.333042,12000,0.014559
1980-10-09,0.333042,0.333042,0.333042,0.333042,0,0.014559
1980-10-10,0.333042,0.333042,0.333042,0.333042,0,0.014559
1980-10-13,0.334862,0.338502,0.334862,0.334862,19200,0.014559
1980-10-14,0.334862,0.334862,0.334862,0.334862,12000,0.014559
1980-10-15,0.334862,0.334862,0.333042,0.333042,19200,0.014559
1980-10-16,0.333042,0.333042,0.333042,0.333042,0,0.014559
1980-10-17,0.333042,0.334862,0.333042,0.334862,7200,0.014559
1980-10-20,0.334862,0.334862,0.333042,0.334862,14400,0.014559
1980-10-21,0.334862,0.334862,0.333042,0.334862,67200,0.014559
1980-10-22,0.334862,0.334862,0.329402,0.329402,16800,0.014559
1980-10-23,0.329402,0.333042,0.327582,0.333042,67200,0.014559
1980-10-24,0.333042,0.336682,0.333042,0.334862,64800,0.014559
1980-10-27,0.334862,0.336682,0.329402,0.329402,21600,0.014559
1980-10-28,0.329402,0.329402,0.329402,0.329402,2400,0.014559
1980-10-29,0.329402,0.329402,0.329402,0.329402,9600,0.014559
1980-10-30,0.333042,0.334862,0.333042,0.334862,50400,0.014559
1980-10-31,0.331222,0.331222,0.331222,0.331222,33600,0.014559
1980-11-03,0.333042,0.334862,0.333042,0.333042,69600,0.014559
1980-11-05,0.336682,0.345782,0.336682,0.336682,48000,0.014559
1980-11-06,0.336681,0.340321,0.336681,0.340321,21600,0.014559
1980-11-07,0.340321,0.340321,0.340321,0.340321,9600,0.014559
1980-11-10,0.340321,0.340321,0.336681,0.340321,14400,0.014559
1980-11-11,0.336682,0.336682,0.336682,0.336682,40800,0.014559
1980-11-12,0.336681,0.340321,0.336681,0.340321,50400,0.014559
1980-11-13,0.340322,0.340322,0.336682,0.336682,12000,0.014559
1980-11-14,0.342141,0.347601,0.342141,0.342141,127200,0.014559
1980-11-17,0.342141,0.342141,0.334861,0.342141,57600,0.014559
1980-11-18,0.342141,0.345781,0.342141,0.345781,12000,0.014559
1980-11-19,0.345781,0.347601,0.343961,0.347601,28800,0.014559
1980-11-20,0.347601,0.347601,0.343961,0.347601,168000,0.014559
1980-11-21,0.343961,0.343961,0.342141,0.342141,33600,0.014559
1980-11-24,0.342141,0.342141,0.338501,0.342141,122400,0.014559
1980-11-25,0.342142,0.342142,0.338502,0.338502,14400,0.014559
1980-11-26,0.336682,0.336682,0.334862,0.334862,16800,0.014559
1980-11-28,0.331222,0.331222,0.327582,0.327582,48000,0.014559
1980-12-01,0.327582,0.331222,0.323942,0.331222,31200,0.014559
1980-12-02,0.331222,0.333042,0.327582,0.327582,16800,0.014559
1980-12-03,0.327582,0.327582,0.322122,0.322122,33600,0.014559
1980-12-04,0.322122,0.325762,0.322122,0.322122,14400,0.014559
1980-12-05,0.322123,0.325763,0.320303,0.320303,16800,0.014559
1980-12-08,0.320303,0.327583,0.316663,0.318483,86400,0.014559
1980-12-09,0.318483,0.320303,0.318483,0.318483,127200,0.014559
1980-12-10,0.316663,0.316663,0.313023,0.316663,12000,0.014559
1980-12-11,0.313023,0.313023,0.305743,0.305743,16800,0.014559
1980-12-12,0.305744,0.305744,0.298464,0.298464,14400,0.014559
1980-12-15,0.309383,0.311203,0.309383,0.309383,45600,0.014559
1980-12-16,0.307564,0.307564,0.298464,0.298464,16800,0.014559
1980-12-17,0.294824,0.294824,0.287544,0.289364,33600,0.014559
1980-12-18,0.293004,0.302104,0.293004,0.296644,55200,0.014559
1980-12-19,0.296644,0.296644,0.291184,0.291184,21600,0.014559
1980-12-22,0.291184,0.294824,0.289364,0.294824,9600,0.014559
1980-12-23,0.294824,0.294824,0.291184,0.291184,26400,0.014559
1980-12-24,0.291184,0.303923,0.291184,0.303923,26400,0.014559
1980-12-26,0.303923,0.303923,0.303923,0.303923,0,0.014559
1980-12-29,0.300284,0.300284,0.289365,0.300284,52800,0.014559
1980-12-30,0.296644,0.296644,0.293004,0.294824,28800,0.014559
1980-12-31,0.294824,0.303923,0.291184,0.303923,81600,0.014559
1981-01-02,0.303923,0.305743,0.300283,0.305743,14400,0.014559
1981-01-05,0.309383,0.311203,0.309383,0.311203,12000,0.014559
1981-01-06,0.307563,0.307563,0.305743,0.305743,7200,0.014559
1981-01-07,0.305743,0.305743,0.298463,0.305743,12000,0.014559
1981-01-08,0.305743,0.307563,0.298463,0.302103,21600,0.014559
1981-01-09,0.302104,0.303924,0.300284,0.300284,7200,0.014559
1981-01-12,0.300284,0.303924,0.300284,0.300284,45600,0.014559
1981-01-13,0.303923,0.303923,0.303923,0.303923,4800,0.014559
1981-01-14,0.300284,0.300284,0.300284,0.300284,14400,0.014559
1981-01-15,0.303923,0.303923,0.303923,0.303923,12000,0.014559
1981-01-16,0.303923,0.303923,0.302103,0.302103,64800,0.014559
1981-01-19,0.305743,0.305743,0.305743,0.305743,24000,0.014559
1981-01-20,0.305743,0.307563,0.303923,0.303923,24000,0.014559
1981-01-21,0.303923,0.303923,0.302103,0.302103,50400,0.014559
1981-01-22,0.302103,0.302103,0.302103,0.302103,0,0.014559
1981-01-23,0.302103,0.303923,0.302103,0.302103,7200,0.014559
1981-01-26,0.302103,0.302103,0.300283,0.302103,19200,0.014559
1981-01-27,0.302103,0.302103,0.300283,0.302103,21600,0.014559
1981-01-28,0.302103,0.302103,0.302103,0.302103,4800,0.014559
1981-01-29,0.302103,0.302103,0.302103,0.302103,9600,0.014559
1981-01-30,0.302103,0.302103,0.302103,0.302103,0,0.014559
1981-02-02,0.302104,0.302104,0.300284,0.300284,9600,0.014559
1981-02-03,0.300284,0.303924,0.298464,0.300284,52800,0.014559
1981-02-04,0.302103,0.303923,0.302103,0.303923,12000,0.014559
1981-02-05,0.303923,0.303923,0.302103,0.302103,24000,0.014559
1981-02-06,0.305743,0.307563,0.305743,0.307563,52800,0.014559
1981-02-09,0.307563,0.311203,0.307563,0.307563,98400,0.014559
1981-02-10,0.307563,0.307563,0.305743,0.307563,48000,0.014559
1981-02-11,0.307563,0.307563,0.307563,0.307563,12000,0.014559
1981-02-12,0.307563,0.307563,0.307563,0.307563,0,0.014559
1981-02-13,0.302103,0.302103,0.302103,0.302103,4800,0.014559
1981-02-17,0.302103,0.302103,0.302103,0.302103,2400,0.014559
1981-02-18,0.302103,0.302103,0.296643,0.302103,9600,0.014559
1981-02-19,0.298464,0.298464,0.294824,0.294824,14400,0.014559
1981-02-20,0.294824,0.294824,0.293004,0.294824,12000,0.014559
1981-02-23,0.294824,0.303924,0.294824,0.300284,33600,0.014559
1981-02-24,0.300284,0.300284,0.300284,0.300284,0,0.014559
1981-02-25,0.300283,0.303923,0.298463,0.302103,62400,0.014559
1981-02-26,0.298464,0.298464,0.296644,0.296644,24000,0.014559
1981-02-27,0.298463,0.302103,0.298463,0.302103,72000,0.014559
1981-03-02,0.302103,0.302103,0.296643,0.302103,16800,0.014559
1981-03-03,0.302104,0.302104,0.298464,0.298464,12000,0.014559
1981-03-04,0.298464,0.300284,0.296644,0.296644,38400,0.014559
1981-03-05,0.296644,0.296644,0.296644,0.296644,2400,0.014559
1981-03-06,0.296644,0.298464,0.293004,0.298464,69600,0.014559
1981-03-09,0.296644,0.296644,0.294824,0.296644,19200,0.014559
1981-03-10,0.296644,0.300284,0.294824,0.298464,218400,0.014559
1981-03-11,0.300283,0.302103,0.300283,0.302103,4800,0.014559
1981-03-12,0.302103,0.302103,0.300283,0.302103,26400,0.014559
1981-03-13,0.302103,0.305743,0.298463,0.303923,72000,0.014559
1981-03-16,0.307563,0.316662,0.307563,0.307563,151200,0.014559
1981-03-17,0.307563,0.311203,0.307563,0.311203,14400,0.014559
1981-03-18,0.307563,0.307563,0.305743,0.305743,43200,0.014559
1981-03-19,0.305743,0.307563,0.302103,0.305743,21600,0.014559
1981-03-20,0.305743,0.305743,0.302103,0.305743,9600,0.014559
1981-03-23,0.305743,0.307563,0.302103,0.307563,26400,0.014559
1981-03-24,0.307563,0.309383,0.307563,0.309383,52800,0.014559
1981-03-25,0.309383,0.309383,0.305743,0.309383,14400,0.014559
1981-03-26,0.307563,0.307563,0.303923,0.307563,19200,0.014559
1981-03-27,0.303923,0.303923,0.302103,0.302103,4800,0.014559
1981-03-30,0.305743,0.305743,0.305743,0.305743,4800,0.014559
1981-03-31,0.305743,0.305743,0.302103,0.305743,4800,0.014559
1981-04-01,0.305743,0.307563,0.305743,0.307563,21600,0.014559
1981-04-02,0.307563,0.309383,0.303923,0.309383,14400,0.014559
1981-04-03,0.309383,0.309383,0.303923,0.307563,57600,0.014559
1981-04-06,0.307563,0.313023,0.307563,0.309383,69600,0.014559
1981-04-07,0.307563,0.307563,0.303923,0.307563,57600,0.014559
1981-04-08,0.307563,0.309383,0.307563,0.309383,62400,0.014559
1981-04-09,0.307563,0.307563,0.303923,0.307563,40800,0.014559
1981-04-10,0.307563,0.309383,0.305743,0.309383,7200,0.014559
1981-04-13,0.307563,0.307563,0.303923,0.305743,31200,0.014559
1981-04-14,0.307563,0.309383,0.307563,0.309383,9600,0.014559
1981-04-15,0.309383,0.309383,0.307563,0.309383,7200,0.014559
1981-04-16,0.309383,0.309383,0.307563,0.307563,43200,0.014559
1981-04-20,0.307563,0.309383,0.307563,0.307563,45600,0.014559
1981-04-21,0.309384,0.323943,0.309384,0.320303,525600,0.014559
1981-04-22,0.320303,0.333042,0.320303,0.333042,105600,0.014559
1981-04-23,0.334862,0.342142,0.334862,0.338502,127200,0.014559
1981-04-24,0.342141,0.342141,0.342141,0.342141,52800,0.014559
1981-04-27,0.342141,0.342141,0.340321,0.340321,74400,0.014559
1981-04-28,0.340322,0.342142,0.336682,0.336682,86400,0.014559
1981-04-29,0.340321,0.340321,0.340321,0.340321,7200,0.014559
1981-04-30,0.340321,0.349421,0.338502,0.349421,115200,0.014559
1981-05-01,0.349421,0.376719,0.349421,0.36034,448800,0.014559
1981-05-04,0.36034,0.36398,0.353061,0.36398,163200,0.014559
1981-05-05,0.360341,0.360341,0.356701,0.356701,280800,0.014559
1981-05-06,0.35852,0.36034,0.35852,0.35852,12000,0.014559
1981-05-07,0.358521,0.360341,0.356701,0.356701,9600,0.014559
1981-05-08,0.3567,0.36216,0.3567,0.36216,36000,0.014559
1981-05-11,0.362161,0.362161,0.356701,0.356701,45600,0.014559
1981-05-12,0.356701,0.356701,0.356701,0.356701,88800,0.014559
1981-05-13,0.354881,0.354881,0.351241,0.351241,9600,0.014559
1981-05-14,0.351241,0.351241,0.351241,0.351241,26400,0.014559
1981-05-15,0.351241,0.351241,0.351241,0.351241,9600,0.014559
1981-05-18,0.343961,0.343961,0.342141,0.343961,48000,0.014559
1981-05-19,0.342141,0.342141,0.342141,0.342141,16800,0.014559
1981-05-20,0.342141,0.342141,0.342141,0.342141,2400,0.014559
1981-05-21,0.342141,0.347601,0.342141,0.343961,64800,0.014559
1981-05-22,0.343961,0.343961,0.343961,0.343961,0,0.014559
1981-05-26,0.342141,0.342141,0.342141,0.342141,33600,0.014559
1981-05-27,0.343961,0.343961,0.343961,0.343961,7200,0.014559
1981-05-28,0.343961,0.351241,0.343961,0.349421,55200,0.014559
1981-05-29,0.345781,0.345781,0.343961,0.345781,33600,0.014559
1981-06-01,0.345781,0.356701,0.345781,0.353061,57600,0.014559
1981-06-02,0.353061,0.353061,0.347601,0.353061,38400,0.014559
1981-06-03,0.353061,0.356701,0.351241,0.356701,57600,0.014559
1981-06-04,0.356701,0.356701,0.351241,0.356701,21600,0.014559
1981-06-05,0.3567,0.36034,0.35306,0.36034,40800,0.014559
1981-06-08,0.36398,0.36762,0.36398,0.36762,91200,0.014559
1981-06-09,0.36944,0.37126,0.36944,0.36944,16800,0.014559
1981-06-10,0.369439,0.374899,0.369439,0.374899,50400,0.014559
1981-06-11,0.376719,0.378539,0.376719,0.376719,36000,0.014559
1981-06-12,0.378539,0.382179,0.378539,0.382179,28800,0.014559
1981-06-15,0.382179,0.383999,0.380359,0.380359,316800,0.014559
1981-06-16,0.37854,0.37854,0.37126,0.37126,120000,0.014559
