date,open,high,low,close,volume,adjrate
1995-11-17,6.669615,7.15701,6.643963,7.080053,35659200,0.205219
1995-11-20,7.0544,7.233967,6.72092,6.823529,8434000,0.205219
1995-11-21,6.772224,6.797876,6.5157,6.695267,6440000,0.205219
1995-11-22,6.669615,7.003095,6.669615,6.900486,3480800,0.205219
1995-11-24,6.951791,7.15701,6.926139,7.15701,1279200,0.205219
1995-11-27,7.15701,7.310924,7.080053,7.182662,2403200,0.205219
1995-11-28,7.182662,7.208315,6.977444,7.080053,1054800,0.205219
1995-11-29,7.0544,7.362229,7.028748,7.182662,1331200,0.205219
1995-11-30,7.259619,7.541795,7.233967,7.464838,2426000,0.205219
1995-12-01,7.464838,7.49049,7.336576,7.387881,978400,0.205219
1995-12-04,7.413533,7.464838,7.259619,7.310924,594000,0.205219
1995-12-05,7.310924,7.310924,7.080053,7.208315,1148800,0.205219
1995-12-06,7.182662,7.387881,7.182662,7.233967,1216000,0.205219
1995-12-07,7.285271,7.310924,7.131357,7.182662,641200,0.205219
1995-12-08,7.15701,7.362229,7.080053,7.362229,668800,0.205219
1995-12-11,7.387881,7.464838,7.362229,7.464838,660000,0.205219
1995-12-12,7.413533,7.439186,7.15701,7.182662,971600,0.205219
1995-12-13,7.233967,7.233967,7.003096,7.131358,528400,0.205219
1995-12-14,7.15701,7.15701,6.926139,6.926139,639200,0.205219
1995-12-15,6.977443,7.028748,6.849182,6.874834,1366400,0.205219
1995-12-18,6.874834,6.900486,6.772225,6.797877,741600,0.205219
1995-12-19,6.772225,7.003096,6.746572,6.926139,643600,0.205219
1995-12-20,6.951791,7.131358,6.951791,7.080053,360400,0.205219
1995-12-21,7.054401,7.208315,7.028749,7.131358,301600,0.205219
1995-12-22,7.15701,7.182662,7.080053,7.182662,208400,0.205219
1995-12-26,7.15701,7.15701,6.977444,7.003096,240000,0.205219
1995-12-27,7.080053,7.25962,7.080053,7.25962,351600,0.205219
1995-12-28,7.285272,7.310924,7.208315,7.233967,344400,0.205219
1995-12-29,7.208315,7.259619,7.105705,7.15701,219200,0.205219
1996-01-02,7.15701,7.208314,7.105705,7.182662,169200,0.205219
1996-01-03,7.208315,7.336577,7.105705,7.15701,682000,0.205219
1996-01-04,7.182662,7.233967,7.003096,7.105705,414800,0.205219
1996-01-05,7.003096,7.054401,6.797877,6.926139,773600,0.205219
1996-01-08,6.926139,6.951791,6.874834,6.951791,48800,0.205219
1996-01-09,6.977443,6.977443,6.874834,6.874834,864000,0.205219
1996-01-10,6.797877,6.874834,6.669615,6.797877,458400,0.205219
1996-01-11,6.823529,7.028748,6.823529,6.951791,477600,0.205219
1996-01-12,6.926139,7.131358,6.900487,7.131358,338400,0.205219
