date,open,high,low,close,volume,adjrate
1972-06-01,0.963941,0.973864,0.963941,0.966776,314400,0.01134
1972-06-02,0.966776,0.969611,0.963941,0.966776,1396800,0.01134
1972-06-05,0.966776,0.968193,0.961105,0.962523,372000,0.01134
1972-06-06,0.963941,0.969611,0.963941,0.963941,177600,0.01134
1972-06-07,0.959688,0.959688,0.94693,0.94693,379200,0.01134
1972-06-08,0.94693,0.955435,0.94693,0.949765,552000,0.01134
1972-06-09,0.949765,0.9526,0.944095,0.9526,177600,0.01134
1972-06-12,0.9526,0.955435,0.944095,0.9526,506400,0.01134
1972-06-13,0.9526,0.955435,0.94693,0.9526,288000,0.01134
1972-06-14,0.9526,0.956853,0.949765,0.949765,789600,0.01134
1972-06-15,0.949766,0.959689,0.949766,0.955436,220800,0.01134
1972-06-16,0.955436,0.958271,0.94126,0.942678,96000,0.01134
1972-06-19,0.942677,0.956853,0.938425,0.956853,124800,0.01134
1972-06-20,0.95827,0.963941,0.95827,0.959688,206400,0.01134
1972-06-21,0.961105,0.972446,0.961105,0.972446,232800,0.01134
1972-06-22,0.972446,0.972446,0.966776,0.969611,336000,0.01134
1972-06-23,0.969611,0.975281,0.961105,0.962523,242400,0.01134
1972-06-26,0.962524,0.962524,0.958271,0.958271,237600,0.01134
1972-06-27,0.961105,0.969611,0.961105,0.965358,285600,0.01134
1972-06-28,0.963941,0.963941,0.958271,0.961106,139200,0.01134
1972-06-29,0.961106,0.969611,0.949765,0.969611,278400,0.01134
1972-06-30,0.971028,0.979534,0.965358,0.965358,153600,0.01134
1972-07-03,0.965359,0.966776,0.962523,0.963941,134400,0.01134
1972-07-05,0.966776,0.992292,0.966776,0.989457,148800,0.01134
1972-07-06,0.995127,1.006467,0.995127,1.000797,391200,0.01134
1972-07-07,1.000797,1.002215,0.992292,0.992292,175200,0.01134
1972-07-10,0.990875,0.990875,0.983787,0.983787,201600,0.01134
1972-07-11,0.978117,0.978117,0.968194,0.973864,117600,0.01134
1972-07-12,0.973864,0.979534,0.972446,0.972446,242400,0.01134
1972-07-13,0.972446,0.972446,0.965358,0.972446,120000,0.01134
1972-07-14,0.972446,0.978117,0.969611,0.973864,182400,0.01134
1972-07-17,0.973863,0.976699,0.971028,0.975281,170400,0.01134
1972-07-18,0.975282,0.980952,0.969611,0.980952,158400,0.01134
1972-07-19,0.980952,0.992292,0.979534,0.983787,307200,0.01134
1972-07-20,0.985204,0.997962,0.985204,0.997962,76800,0.01134
1972-07-21,0.997962,1.003632,0.992292,1.000797,184800,0.01134
1972-07-24,1.000798,1.022061,0.997963,1.022061,194400,0.01134
1972-07-25,1.022061,1.046159,1.017808,1.017808,391200,0.01134
1972-07-26,1.017809,1.020644,1.013556,1.016391,196800,0.01134
1972-07-27,1.01639,1.020643,1.012138,1.020643,446400,0.01134
1972-07-28,1.020643,1.020643,1.00505,1.012138,218400,0.01134
1972-07-31,1.012138,1.012138,1.007885,1.012138,144000,0.01134
1972-08-01,1.014973,1.023478,1.014973,1.017808,206400,0.01134
1972-08-02,1.017808,1.019226,1.014973,1.014973,1514400,0.01134
1972-08-03,1.014973,1.019226,1.014973,1.019226,350400,0.01134
1972-08-04,1.019226,1.019226,1.013555,1.017808,148800,0.01134
1972-08-07,1.017808,1.019225,1.009302,1.01072,216000,0.01134
1972-08-08,1.014973,1.019226,1.014973,1.019226,100800,0.01134
1972-08-09,1.019226,1.026314,1.019226,1.026314,741600,0.01134
1972-08-10,1.026314,1.031984,1.023479,1.029149,302400,0.01134
1972-08-11,1.031984,1.036237,1.031984,1.031984,91200,0.01134
1972-08-14,1.035397,1.041086,1.03113,1.036819,667200,0.011378
1972-08-15,1.03682,1.039664,1.032553,1.038242,268800,0.011378
1972-08-16,1.038242,1.038242,1.031131,1.032553,420000,0.011378
1972-08-17,1.03113,1.03113,1.01833,1.01833,379200,0.011378
1972-08-18,1.01833,1.022597,1.016907,1.019752,232800,0.011378
