date,open,high,low,close,volume,adjrate
1989-10-04,2.103965,2.170546,2.077332,2.130597,20636000,0.10653
1989-10-05,2.143913,2.237127,2.130597,2.197178,6453600,0.10653
1989-10-06,2.210494,2.237126,2.170545,2.170545,2755200,0.10653
1989-10-09,2.170545,2.170545,2.130596,2.170545,1084000,0.10653
1989-10-10,2.183861,2.183861,2.130597,2.157229,1493600,0.10653
1989-10-11,2.130597,2.143913,2.103964,2.143913,1260000,0.10653
1989-10-12,2.143913,2.170545,2.143913,2.157229,602400,0.10653
1989-10-13,2.157229,2.157229,2.103964,2.11728,3970400,0.10653
1989-10-16,2.024067,2.103964,2.024067,2.103964,3924800,0.10653
1989-10-17,2.077332,2.130597,2.077332,2.130597,1843200,0.10653
1989-10-18,2.130596,2.183861,2.11728,2.170545,1128000,0.10653
1989-10-19,2.157229,2.170545,2.157229,2.170545,1040000,0.10653
1989-10-20,2.157229,2.157229,2.143913,2.157229,237600,0.10653
1989-10-23,2.170545,2.183861,2.170545,2.170545,87200,0.10653
1989-10-24,2.170546,2.183862,2.15723,2.183862,689600,0.10653
1989-10-25,2.170545,2.197177,2.143913,2.170545,608000,0.10653
1989-10-26,2.170545,2.183861,2.170545,2.170545,228800,0.10653
1989-10-27,2.170545,2.170545,2.130597,2.143913,456000,0.10653
1989-10-30,2.143913,2.143913,2.130597,2.130597,250400,0.10653
1989-10-31,2.130597,2.143913,2.130597,2.130597,424800,0.10653
1989-11-01,2.143913,2.183862,2.143913,2.183862,715200,0.10653
1989-11-02,2.210494,2.250443,2.210494,2.250443,130400,0.10653
1989-11-03,2.237126,2.343656,2.237126,2.33034,1118400,0.10653
1989-11-06,2.317024,2.317024,2.197178,2.197178,264800,0.10653
1989-11-07,2.170545,2.290391,2.130596,2.290391,727200,0.10653
1989-11-08,2.290392,2.317024,2.277075,2.317024,236800,0.10653
1989-11-09,2.317023,2.317023,2.290391,2.290391,60800,0.10653
1989-11-10,2.290392,2.290392,2.170546,2.183862,210400,0.10653
1989-11-13,2.183861,2.183861,2.143913,2.170545,92800,0.10653
1989-11-14,2.197178,2.197178,2.11728,2.157229,428000,0.10653
1989-11-15,2.170546,2.197178,2.15723,2.183862,176000,0.10653
1989-11-16,2.170545,2.210494,2.170545,2.210494,301600,0.10653
1989-11-17,2.210494,2.250443,2.210494,2.250443,249600,0.10653
1989-11-20,2.263759,2.263759,2.22381,2.22381,43200,0.10653
1989-11-21,2.210494,2.277075,2.210494,2.277075,108800,0.10653
1989-11-22,2.290391,2.343656,2.290391,2.343656,255200,0.10653
1989-11-24,2.370289,2.516767,2.370289,2.490135,572000,0.10653
1989-11-27,2.476818,2.503451,2.43687,2.450186,253600,0.10653
1989-11-28,2.450186,2.450186,2.410237,2.410237,560000,0.10653
1989-11-29,2.396921,2.396921,2.370289,2.383605,60800,0.10653
1989-11-30,2.396921,2.476818,2.396921,2.463502,712800,0.10653
1989-12-01,2.463503,2.516768,2.463503,2.476819,356800,0.10653
1989-12-04,2.503451,2.5434,2.450186,2.5434,172000,0.10653
1989-12-05,2.516768,2.5434,2.476819,2.476819,93600,0.10653
1989-12-06,2.476819,2.556716,2.476819,2.5434,668800,0.10653
1989-12-07,2.543399,2.543399,2.490135,2.516767,215200,0.10653
1989-12-08,2.490135,2.516767,2.490135,2.516767,122400,0.10653
1989-12-11,2.530084,2.583348,2.503451,2.556716,306400,0.10653
1989-12-12,2.570032,2.583348,2.5434,2.570032,1119200,0.10653
1989-12-13,2.556716,2.689878,2.543399,2.689878,400000,0.10653
1989-12-14,2.663246,2.676562,2.64993,2.663246,391200,0.10653
1989-12-15,2.676562,2.676562,2.636614,2.64993,155200,0.10653
1989-12-18,2.623297,2.663245,2.583348,2.583348,224000,0.10653
1989-12-19,2.583349,2.609981,2.583349,2.609981,215200,0.10653
1989-12-20,2.609981,2.649929,2.596665,2.623297,166400,0.10653
1989-12-21,2.64993,2.663246,2.609981,2.64993,174400,0.10653
1989-12-22,2.663246,2.663246,2.64993,2.663246,173600,0.10653
1989-12-26,2.649929,2.649929,2.623297,2.623297,97600,0.10653
