date,open,high,low,close,volume,adjrate
1993-08-12,3.742543,3.742543,3.532831,3.694148,13086600,0.129053
1993-08-13,3.678016,3.678016,3.581226,3.581226,1277800,0.129053
1993-08-16,3.581226,3.613489,3.565094,3.613489,559000,0.129053
1993-08-17,3.613489,3.645753,3.597358,3.629621,545600,0.129053
1993-08-18,3.629621,3.629621,3.629621,3.629621,469200,0.129053
1993-08-19,3.629621,3.629621,3.565094,3.565094,409400,0.129053
1993-08-20,3.581226,3.629621,3.581226,3.597358,540800,0.129053
1993-08-23,3.597357,3.629621,3.581226,3.613489,335600,0.129053
1993-08-24,3.613489,3.661884,3.613489,3.661884,234400,0.129053
1993-08-25,3.629621,3.629621,3.613489,3.613489,102600,0.129053
1993-08-26,3.61349,3.694148,3.61349,3.694148,180400,0.129053
1993-08-27,3.694148,3.694148,3.629621,3.645753,119600,0.129053
1993-08-30,3.629621,3.678016,3.629621,3.645753,71400,0.129053
1993-08-31,3.645752,3.726411,3.645752,3.710279,147000,0.129053
1993-09-01,3.726411,3.742543,3.694148,3.694148,141600,0.129053
1993-09-02,3.742543,3.742543,3.71028,3.742543,217600,0.129053
1993-09-03,3.726411,3.823201,3.726411,3.774806,178800,0.129053
1993-09-07,3.758674,3.8232,3.758674,3.790937,167600,0.129053
1993-09-08,3.823201,3.839333,3.742543,3.742543,276200,0.129053
1993-09-09,3.742543,3.839333,3.742543,3.774806,74400,0.129053
1993-09-10,3.758674,3.936122,3.758674,3.903859,245000,0.129053
1993-09-13,3.855464,3.871596,3.839333,3.871596,251200,0.129053
1993-09-14,3.807069,3.823201,3.758674,3.807069,127000,0.129053
1993-09-15,3.807069,3.807069,3.758674,3.807069,162400,0.129053
1993-09-16,3.839332,3.839332,3.790937,3.839332,88800,0.129053
1993-09-17,3.8232,3.887727,3.807069,3.887727,113000,0.129053
1993-09-20,3.850039,3.882529,3.833794,3.833794,15400,0.129959
1993-09-21,3.866284,3.866284,3.817549,3.850039,286000,0.129959
1993-09-22,3.833794,3.882529,3.817549,3.882529,54800,0.129959
1993-09-23,3.866284,3.866284,3.817549,3.850039,51000,0.129959
1993-09-24,3.833795,3.915019,3.833795,3.915019,265000,0.129959
1993-09-27,3.915018,4.093712,3.915018,4.077467,675400,0.129959
1993-09-28,4.061222,4.109957,4.028732,4.093712,360800,0.129959
1993-09-29,4.093712,4.191181,4.093712,4.093712,823200,0.129959
1993-09-30,4.077468,4.093713,4.028733,4.044978,138000,0.129959
1993-10-01,4.044978,4.093713,4.044978,4.044978,31600,0.129959
1993-10-04,4.028733,4.028733,3.931263,3.963753,27600,0.129959
1993-10-05,3.963753,4.012488,3.947508,3.963753,87600,0.129959
1993-10-06,3.931264,4.044978,3.931264,4.028733,327600,0.129959
1993-10-07,3.996243,4.093713,3.996243,4.044978,40400,0.129959
1993-10-08,4.077468,4.548569,4.077468,4.4511,1242600,0.129959
1993-10-11,4.41861,4.48359,4.41861,4.41861,885200,0.129959
1993-10-12,4.41861,4.743508,4.41861,4.678528,708200,0.129959
1993-10-13,4.711018,4.711018,4.613549,4.613549,55600,0.129959
1993-10-14,4.613549,4.613549,4.613549,4.613549,55000,0.129959
1993-10-15,4.613549,4.775998,4.613549,4.711018,200600,0.129959
1993-10-18,4.694773,4.759753,4.613549,4.694773,47200,0.129959
1993-10-19,4.662283,4.662283,4.548569,4.548569,173400,0.129959
1993-10-20,4.548569,4.564814,4.434855,4.532324,141600,0.129959
1993-10-21,4.499835,4.499835,4.467345,4.48359,32200,0.129959
1993-10-22,4.467345,4.613549,4.467345,4.548569,161000,0.129959
1993-10-25,4.532324,4.581059,4.451099,4.516079,48000,0.129959
1993-10-26,4.4511,4.4511,4.402365,4.402365,27000,0.129959
1993-10-27,4.353631,4.369876,4.337386,4.353631,122400,0.129959
1993-10-28,4.35363,4.41861,4.288651,4.41861,75400,0.129959
1993-10-29,4.4511,4.499835,4.418611,4.499835,224400,0.129959
1993-11-01,4.483589,4.516079,4.467344,4.516079,24400,0.129959
1993-11-02,4.48359,4.51608,4.467345,4.499835,68800,0.129959
1993-11-03,4.499834,4.548569,4.483589,4.548569,233600,0.129959
1993-11-04,4.532324,4.532324,4.38612,4.38612,267400,0.129959
1993-11-05,4.38612,4.548569,4.38612,4.516079,333200,0.129959
1993-11-08,4.548569,4.662283,4.516079,4.662283,164600,0.129959
1993-11-09,4.711018,4.743507,4.662283,4.662283,192800,0.129959
1993-11-10,4.629794,4.629794,4.581059,4.581059,6800,0.129959
1993-11-11,4.548569,4.548569,4.467344,4.516079,95800,0.129959
1993-11-12,4.548569,4.548569,4.516079,4.532324,70400,0.129959
1993-11-15,4.499835,4.499835,4.353631,4.48359,138000,0.129959
1993-11-16,4.467345,4.467345,4.38612,4.402365,12200,0.129959
1993-11-17,4.369875,4.38612,4.239916,4.272406,190800,0.129959
1993-11-18,4.223671,4.239916,4.044977,4.093712,310600,0.129959
1993-11-19,4.093712,4.109957,4.044977,4.093712,180200,0.129959
1993-11-22,4.077467,4.077467,4.061222,4.077467,52200,0.129959
1993-11-23,4.077468,4.093713,4.028733,4.044978,163200,0.129959
1993-11-24,4.012488,4.077468,3.996243,4.044978,289200,0.129959
1993-11-26,4.044978,4.044978,4.028733,4.028733,19000,0.129959
1993-11-29,4.061223,4.093713,4.012488,4.028733,96400,0.129959
1993-11-30,4.012487,4.223671,4.012487,4.223671,162600,0.129959
1993-12-01,4.191181,4.191181,4.061222,4.109957,117600,0.129959
1993-12-02,4.12249,4.12249,4.07302,4.12249,28200,0.13192
1993-12-03,4.08951,4.08951,4.04004,4.08951,34800,0.13192
1993-12-06,4.04004,4.13898,4.04004,4.13898,191800,0.13192
1993-12-07,4.13898,4.15547,4.08951,4.15547,22600,0.13192
1993-12-08,4.15547,4.15547,4.08951,4.08951,27000,0.13192
1993-12-09,4.08951,4.13898,4.08951,4.106,52400,0.13192
1993-12-10,4.13898,4.13898,4.08951,4.12249,146000,0.13192
1993-12-13,4.13898,4.13898,4.08951,4.12249,257200,0.13192
1993-12-14,4.122489,4.122489,3.92461,3.92461,168800,0.13192
1993-12-15,3.89163,4.08951,3.842161,4.08951,409600,0.13192
1993-12-16,4.08951,4.25441,4.08951,4.15547,119800,0.13192
1993-12-17,4.18845,4.18845,4.12249,4.12249,59400,0.13192
1993-12-20,4.12249,4.15547,4.106,4.12249,54600,0.13192
1993-12-21,4.15547,4.15547,4.02355,4.05653,239000,0.13192
1993-12-22,4.08951,4.106,4.08951,4.08951,16600,0.13192
1993-12-23,4.106,4.15547,4.08951,4.08951,51000,0.13192
1993-12-27,4.08951,4.08951,4.08951,4.08951,50000,0.13192
1993-12-28,4.122489,4.204939,4.122489,4.204939,239000,0.13192
1993-12-29,4.188449,4.204939,4.155469,4.171959,394600,0.13192
1993-12-30,4.15547,4.15547,4.08951,4.15547,160000,0.13192
1993-12-31,4.171959,4.204939,4.105999,4.204939,56000,0.13192
1994-01-03,4.17196,4.17196,4.02355,4.02355,82200,0.13192
1994-01-04,4.05653,4.08951,4.05653,4.07302,269000,0.13192
1994-01-05,4.07302,4.07302,3.9411,3.95759,48000,0.13192
1994-01-06,3.95759,3.95759,3.92461,3.9411,56200,0.13192
1994-01-07,3.92461,3.92461,3.7762,3.80918,235600,0.13192
1994-01-10,3.80918,3.84216,3.80918,3.82567,136400,0.13192
1994-01-11,3.82567,3.90812,3.80918,3.85865,89200,0.13192
1994-01-12,3.89163,3.95759,3.89163,3.92461,130400,0.13192
1994-01-13,3.9411,3.95759,3.9411,3.95759,67400,0.13192
1994-01-14,3.97408,3.97408,3.92461,3.92461,45800,0.13192
1994-01-17,3.95759,3.95759,3.82567,3.82567,7000,0.13192
1994-01-18,3.7762,3.82567,3.74322,3.79269,228400,0.13192
1994-01-19,3.75971,3.82567,3.75971,3.82567,124800,0.13192
1994-01-20,3.85865,3.89163,3.84216,3.87514,430200,0.13192
1994-01-21,3.85865,3.87514,3.84216,3.84216,765000,0.13192
1994-01-24,3.84216,3.85865,3.82567,3.84216,376000,0.13192
1994-01-25,3.84216,3.84216,3.74322,3.79269,353000,0.13192
1994-01-26,3.75971,3.82567,3.75971,3.79269,183400,0.13192
1994-01-27,3.80918,3.84216,3.7762,3.84216,264000,0.13192
1994-01-28,3.84216,3.84216,3.79269,3.79269,213600,0.13192
1994-01-31,3.82567,3.84216,3.80918,3.84216,270800,0.13192
1994-02-01,3.82567,3.85865,3.80918,3.84216,279000,0.13192
1994-02-02,3.84216,3.85865,3.84216,3.85865,184800,0.13192
1994-02-03,3.84216,3.85865,3.82567,3.84216,114600,0.13192
1994-02-04,3.87514,3.87514,3.7762,3.7762,136600,0.13192
1994-02-07,3.75971,3.82567,3.75971,3.82567,32200,0.13192
1994-02-08,3.82567,3.82567,3.7762,3.82567,114400,0.13192
1994-02-09,3.82567,3.85865,3.79269,3.84216,283400,0.13192
1994-02-10,3.84216,3.89163,3.84216,3.85865,297800,0.13192
1994-02-11,3.85865,3.9411,3.85865,3.9411,90800,0.13192
1994-02-14,3.90812,4.05653,3.90812,4.04004,305000,0.13192
1994-02-15,4.04004,4.04004,4.00706,4.00706,173600,0.13192
1994-02-16,4.00706,4.04004,4.00706,4.04004,63400,0.13192
1994-02-17,4.073019,4.204939,4.073019,4.204939,309200,0.13192
1994-02-18,4.221429,4.320369,4.221429,4.270899,282000,0.13192
1994-02-22,4.303879,4.419309,4.303879,4.386329,115200,0.13192
1994-02-23,4.353349,4.386329,4.320369,4.386329,192800,0.13192
1994-02-24,4.353349,4.353349,4.221429,4.221429,170000,0.13192
1994-02-25,4.254409,4.254409,4.221429,4.237919,144000,0.13192
1994-02-28,4.221429,4.336859,4.221429,4.336859,125000,0.13192
1994-03-01,4.320369,4.320369,4.237919,4.303879,227400,0.13192
1994-03-02,4.270899,4.287389,4.221429,4.221429,175000,0.13192
1994-03-03,4.171959,4.221429,4.155469,4.221429,63600,0.13192
1994-03-04,4.221429,4.221429,4.188449,4.221429,6600,0.13192
1994-03-07,4.221429,4.254409,4.204939,4.254409,72600,0.13192
1994-03-08,4.254409,4.303879,4.221429,4.221429,38200,0.13192
1994-03-09,4.20494,4.20494,4.08951,4.13898,33200,0.13192
1994-03-10,4.155469,4.254409,4.155469,4.188449,13000,0.13192
1994-03-11,4.221429,4.221429,4.138979,4.204939,55600,0.13192
1994-03-14,4.204939,4.287389,4.122489,4.287389,65000,0.13192
1994-03-15,4.254409,4.254409,4.171959,4.221429,117800,0.13192
1994-03-16,4.237919,4.237919,4.188449,4.204939,19800,0.13192
1994-03-17,4.204939,4.320369,4.204939,4.303879,202800,0.13192
1994-03-18,4.320369,4.353349,4.254409,4.320369,117200,0.13192
1994-03-21,4.317692,4.384633,4.284222,4.384633,250000,0.133882
1994-03-22,4.384632,4.384632,4.351162,4.351162,151000,0.133882
1994-03-23,4.384633,4.468309,4.384633,4.468309,66600,0.133882
1994-03-24,4.468309,4.468309,4.401368,4.468309,75200,0.133882
1994-03-25,4.434839,4.468309,4.434839,4.468309,9600,0.133882
1994-03-28,4.451574,4.451574,4.351163,4.384633,73000,0.133882
1994-03-29,4.384633,4.384633,4.15034,4.18381,295800,0.133882
1994-03-30,4.167074,4.167074,3.982987,4.083398,358000,0.133882
1994-03-31,4.100134,4.116869,4.016458,4.033193,189000,0.133882
1994-04-04,3.999722,4.016457,3.815635,3.982987,491000,0.133882
1994-04-05,4.016457,4.016457,3.949516,4.016457,110800,0.133882
1994-04-06,4.033193,4.250751,4.033193,4.250751,53200,0.133882
1994-04-07,4.284222,4.451574,4.284222,4.451574,97400,0.133882
1994-04-08,4.451573,4.451573,4.300956,4.300956,23000,0.133882
1994-04-11,4.334427,4.451574,4.317692,4.451574,121600,0.133882
1994-04-12,4.434839,4.485044,4.384633,4.384633,207000,0.133882
1994-04-13,4.351162,4.351162,4.21728,4.21728,58000,0.133882
1994-04-14,4.250751,4.284221,4.18381,4.18381,49800,0.133882
1994-04-15,4.18381,4.267486,4.18381,4.250751,293800,0.133882
1994-04-18,4.21728,4.284221,4.21728,4.284221,9600,0.133882
1994-04-19,4.284221,4.317691,4.234015,4.284221,33600,0.133882
1994-04-20,4.250751,4.250751,4.217281,4.250751,91600,0.133882
1994-04-21,4.250751,4.267486,4.250751,4.250751,61000,0.133882
1994-04-22,4.250751,4.267486,4.234016,4.267486,19800,0.133882
1994-04-25,4.234015,4.367897,4.234015,4.367897,33400,0.133882
1994-04-26,4.384633,4.384633,4.334427,4.334427,6200,0.133882
1994-04-28,4.334427,4.384633,4.317692,4.384633,353000,0.133882
1994-04-29,4.384633,4.384633,4.351163,4.384633,244400,0.133882
1994-05-02,4.384632,4.384632,4.351162,4.351162,21200,0.133882
1994-05-03,4.317692,4.334427,4.300957,4.334427,28000,0.133882
1994-05-04,4.334427,4.351162,4.284222,4.317692,27000,0.133882
1994-05-05,4.351162,4.351162,4.300957,4.317692,8400,0.133882
1994-05-06,4.317692,4.351162,4.300957,4.317692,30000,0.133882
1994-05-09,4.317692,4.401368,4.317692,4.384633,270400,0.133882
1994-05-10,4.401368,4.585455,4.384632,4.56872,77000,0.133882
1994-05-11,4.56872,4.652396,4.56872,4.652396,393400,0.133882
1994-05-12,4.685867,4.702602,4.652397,4.669132,227000,0.133882
1994-05-13,4.669132,4.702602,4.669132,4.702602,92600,0.133882
1994-05-16,4.685867,4.702602,4.685867,4.685867,29400,0.133882
1994-05-17,4.685867,4.702602,4.635661,4.635661,180200,0.133882
1994-05-18,4.719872,4.753828,4.56707,4.685916,141800,0.135824
1994-05-19,4.65196,4.65196,4.618004,4.618004,41200,0.135824
1994-05-20,4.584048,4.65196,4.56707,4.618004,53600,0.135824
1994-05-23,4.584048,4.65196,4.550092,4.65196,30600,0.135824
1994-05-24,4.618004,4.685916,4.601026,4.685916,69800,0.135824
1994-05-25,4.702894,4.73685,4.668938,4.702894,11600,0.135824
1994-05-26,4.702894,4.702894,4.65196,4.65196,55600,0.135824
1994-05-27,4.634982,4.702894,4.634982,4.702894,65000,0.135824
1994-05-31,4.702894,4.702894,4.584048,4.584048,76800,0.135824
1994-06-01,4.618004,4.685916,4.618004,4.618004,78400,0.135824
1994-06-02,4.65196,4.685916,4.634982,4.668938,11800,0.135824
1994-06-03,4.702894,4.719872,4.65196,4.65196,25400,0.135824
1994-06-06,4.618004,4.702894,4.618004,4.702894,133800,0.135824
1994-06-07,4.73685,4.753828,4.702894,4.753828,21400,0.135824
1994-06-08,4.753828,4.753828,4.719872,4.719872,47200,0.135824
1994-06-09,4.685916,4.702894,4.65196,4.685916,27000,0.135824
1994-06-10,4.65196,4.685916,4.618004,4.618004,12800,0.135824
1994-06-13,4.584048,4.618004,4.550092,4.601026,53200,0.135824
1994-06-14,4.601026,4.618004,4.550092,4.618004,22000,0.135824
1994-06-15,4.65196,4.65196,4.584048,4.584048,16800,0.135824
1994-06-16,4.618004,4.65196,4.601026,4.65196,53400,0.135824
1994-06-17,4.65196,4.65196,4.56707,4.56707,182000,0.135824
1994-06-20,4.549149,4.549149,4.394065,4.428528,140400,0.137853
1994-06-21,4.462991,4.462991,4.411296,4.428528,7200,0.137853
1994-06-22,4.462991,4.480223,4.411296,4.480223,43600,0.137853
1994-06-23,4.480223,4.480223,4.290675,4.290675,32000,0.137853
1994-06-24,4.290675,4.290675,4.273443,4.273443,73600,0.137853
1994-06-27,4.273443,4.273443,4.221748,4.23898,20800,0.137853
1994-06-28,4.238981,4.247596,4.152822,4.170054,300600,0.137853
1994-06-29,4.170053,4.187285,4.13559,4.13559,140200,0.137853
1994-06-30,4.13559,4.187285,4.101127,4.101127,132200,0.137853
1994-07-01,4.13559,4.204517,4.13559,4.204517,103600,0.137853
1994-07-05,4.221749,4.307907,4.170054,4.204517,95400,0.137853
1994-07-06,4.187286,4.187286,4.014969,4.170054,112600,0.137853
1994-07-07,4.13559,4.23898,4.13559,4.23898,122200,0.137853
