date,open,high,low,close,volume,adjrate
1980-03-17,0.554432,0.560177,0.554432,0.554432,16000,0.022982
1980-03-18,0.554432,0.554432,0.548687,0.554432,80800,0.022982
1980-03-19,0.554432,0.557305,0.554432,0.554432,52000,0.022982
1980-03-20,0.554432,0.554432,0.554432,0.554432,32800,0.022982
1980-03-21,0.554432,0.554432,0.554432,0.554432,122400,0.022982
1980-03-24,0.554433,0.554433,0.531451,0.531451,137200,0.022982
1980-03-25,0.525706,0.525706,0.482615,0.482615,133200,0.022982
1980-03-26,0.485487,0.494105,0.485487,0.485487,97600,0.022982
1980-03-27,0.482614,0.482614,0.45676,0.45676,45600,0.022982
1980-03-28,0.459633,0.471124,0.459633,0.468251,114000,0.022982
1980-03-31,0.468251,0.479742,0.465378,0.468251,162000,0.022982
1980-04-01,0.468252,0.473997,0.465379,0.473997,121200,0.022982
1980-04-02,0.465378,0.465378,0.459633,0.465378,238000,0.022982
1980-04-03,0.465378,0.468251,0.462506,0.468251,40000,0.022982
1980-04-07,0.468252,0.468252,0.453888,0.453888,68400,0.022982
1980-04-08,0.453888,0.471124,0.453888,0.471124,130000,0.022982
1980-04-09,0.471124,0.505596,0.471124,0.505596,165600,0.022982
1980-04-10,0.505596,0.534323,0.505596,0.528578,114000,0.022982
1980-04-11,0.540069,0.548687,0.540069,0.548687,76000,0.022982
1980-04-14,0.540068,0.540068,0.534323,0.534323,94000,0.022982
1980-04-15,0.534323,0.557305,0.534323,0.557305,60000,0.022982
1980-04-16,0.557305,0.568796,0.55156,0.55156,108400,0.022982
1980-04-17,0.548687,0.548687,0.540069,0.542942,27600,0.022982
1980-04-18,0.542942,0.545815,0.540069,0.542942,16800,0.022982
1980-04-21,0.542942,0.542942,0.540069,0.542942,16800,0.022982
1980-04-22,0.545815,0.563051,0.545815,0.563051,121200,0.022982
1980-04-23,0.565923,0.574541,0.565923,0.565923,57600,0.022982
1980-04-24,0.571669,0.586032,0.571669,0.577414,114000,0.022982
1980-04-25,0.577414,0.603268,0.577414,0.603268,134800,0.022982
1980-04-28,0.603268,0.620504,0.603268,0.614759,266800,0.022982
1980-04-29,0.614759,0.62625,0.606141,0.617632,222000,0.022982
1980-04-30,0.617632,0.640614,0.61476,0.640614,145600,0.022982
1980-05-01,0.640614,0.65785,0.634868,0.649232,222000,0.022982
1980-05-02,0.649231,0.649231,0.634868,0.643486,198000,0.022982
1980-05-05,0.643487,0.643487,0.62625,0.629123,1790800,0.022982
1980-05-06,0.629123,0.643486,0.623377,0.637741,240000,0.022982
1980-05-07,0.643486,0.649232,0.643486,0.646359,207600,0.022982
1980-05-08,0.646359,0.652104,0.637741,0.643486,116800,0.022982
1980-05-09,0.643487,0.643487,0.637741,0.640614,60000,0.022982
1980-05-12,0.640613,0.643486,0.62625,0.634868,367600,0.022982
1980-05-13,0.634868,0.634868,0.609014,0.620505,149200,0.022982
1980-05-14,0.617632,0.617632,0.611887,0.617632,65200,0.022982
1980-05-15,0.617632,0.620504,0.59465,0.59465,114000,0.022982
1980-05-16,0.59465,0.597523,0.586032,0.597523,37600,0.022982
1980-05-19,0.594651,0.594651,0.588905,0.591778,54000,0.022982
1980-05-20,0.591777,0.614759,0.591777,0.614759,146400,0.022982
1980-05-21,0.614759,0.623377,0.614759,0.614759,41200,0.022982
1980-05-22,0.61476,0.629123,0.609014,0.629123,88800,0.022982
1980-05-23,0.629123,0.646359,0.629123,0.637741,94000,0.022982
1980-05-27,0.640613,0.649231,0.640613,0.643486,97200,0.022982
1980-05-28,0.643487,0.643487,0.634869,0.640614,72400,0.022982
1980-05-29,0.640614,0.643486,0.637741,0.637741,134800,0.022982
1980-05-30,0.637741,0.637741,0.629123,0.629123,41200,0.022982
1980-06-02,0.629123,0.637741,0.623377,0.637741,430000,0.022982
1980-06-03,0.637741,0.640614,0.62625,0.637741,218400,0.022982
1980-06-04,0.637741,0.660723,0.634869,0.660723,145600,0.022982
1980-06-05,0.660723,0.669341,0.654977,0.666468,61600,0.022982
1980-06-06,0.663595,0.663595,0.65785,0.65785,54000,0.022982
1980-06-09,0.666468,0.68945,0.666468,0.68945,151200,0.022982
1980-06-10,0.686577,0.686577,0.680831,0.683704,52000,0.022982
1980-06-11,0.683705,0.692323,0.680832,0.680832,140800,0.022982
1980-06-12,0.686577,0.706686,0.686577,0.703813,158800,0.022982
1980-06-13,0.703813,0.723922,0.692322,0.712431,154800,0.022982
1980-06-16,0.712431,0.712431,0.68945,0.695195,138400,0.022982
1980-06-17,0.695195,0.703813,0.692322,0.692322,32400,0.022982
1980-06-18,0.70094,0.703813,0.70094,0.703813,68400,0.022982
1980-06-19,0.706686,0.718177,0.706686,0.715304,216000,0.022982
1980-06-20,0.709559,0.709559,0.700941,0.706686,68400,0.022982
1980-06-23,0.706686,0.712431,0.70094,0.712431,157200,0.022982
1980-06-24,0.712431,0.723922,0.709558,0.723922,97600,0.022982
1980-06-25,0.735412,0.752649,0.735412,0.749776,205600,0.022982
1980-06-26,0.749776,0.752649,0.744031,0.744031,73600,0.022982
1980-06-27,0.744031,0.746903,0.735413,0.741158,158800,0.022982
1980-06-30,0.738285,0.738285,0.721049,0.721049,167200,0.022982
1980-07-01,0.718176,0.718176,0.70094,0.712431,137200,0.022982
1980-07-02,0.718177,0.729668,0.718177,0.729668,70000,0.022982
1980-07-03,0.729667,0.741158,0.723922,0.741158,56400,0.022982
1980-07-07,0.746904,0.758395,0.746904,0.755522,191200,0.022982
1980-07-08,0.755522,0.755522,0.746904,0.746904,126400,0.022982
1980-07-09,0.746904,0.758394,0.746904,0.752649,110400,0.022982
1980-07-10,0.752649,0.76414,0.752649,0.752649,36000,0.022982
1980-07-11,0.752649,0.752649,0.746904,0.746904,27600,0.022982
1980-07-14,0.746904,0.755522,0.746904,0.746904,73600,0.022982
1980-07-15,0.746904,0.758394,0.746904,0.752649,68400,0.022982
1980-07-16,0.758395,0.76414,0.758395,0.76414,1114800,0.022982
1980-07-17,0.76414,0.76414,0.761267,0.761267,40000,0.022982
1980-07-18,0.761267,0.775631,0.761267,0.772758,54000,0.022982
1980-07-21,0.772758,0.787122,0.769886,0.787122,92400,0.022982
1980-07-22,0.787121,0.801485,0.787121,0.798612,100800,0.022982
1980-07-23,0.798613,0.804358,0.787122,0.787122,643200,0.022982
1980-07-24,0.787121,0.792867,0.781376,0.781376,151200,0.022982
1980-07-25,0.781376,0.787122,0.775631,0.775631,43600,0.022982
1980-07-28,0.775631,0.781376,0.775631,0.781376,266800,0.022982
1980-07-29,0.781376,0.798612,0.781376,0.798612,86400,0.022982
1980-07-30,0.798612,0.810103,0.795739,0.810103,100800,0.022982
1980-07-31,0.810103,0.815848,0.798612,0.798612,169600,0.022982
1980-08-01,0.807231,0.844576,0.807231,0.833085,162400,0.022982
1980-08-04,0.833085,0.833085,0.815849,0.82734,130000,0.022982
1980-08-05,0.827339,0.827339,0.821594,0.821594,102400,0.022982
1980-08-06,0.818721,0.818721,0.810103,0.812976,90000,0.022982
1980-08-07,0.812976,0.821594,0.804358,0.804358,140800,0.022982
1980-08-08,0.815849,0.841703,0.815849,0.830212,264400,0.022982
1980-08-11,0.830212,0.844575,0.824466,0.83883,110400,0.022982
1980-08-12,0.83883,0.844576,0.827339,0.841703,108400,0.022982
1980-08-13,0.841703,0.853194,0.835958,0.853194,78000,0.022982
1980-08-14,0.853194,0.853194,0.844576,0.853194,65200,0.022982
1980-08-15,0.853194,0.856066,0.83883,0.83883,134800,0.022982
1980-08-18,0.835957,0.835957,0.830212,0.830212,158800,0.022982
1980-08-19,0.830213,0.833085,0.82734,0.82734,100800,0.022982
1980-08-20,0.830213,0.835958,0.830213,0.835958,32400,0.022982
1980-08-21,0.833085,0.833085,0.830212,0.833085,60000,0.022982
1980-08-22,0.833085,0.844575,0.833085,0.83883,80800,0.022982
1980-08-25,0.83883,0.847448,0.835958,0.841703,60000,0.022982
1980-08-26,0.847448,0.856066,0.847448,0.850321,78000,0.022982
1980-08-27,0.850321,0.858939,0.847448,0.858939,86400,0.022982
1980-08-28,0.858939,0.858939,0.850321,0.858939,61600,0.022982
1980-08-29,0.85894,0.879048,0.85894,0.873303,52000,0.022982
1980-09-02,0.873303,0.90203,0.873303,0.90203,100800,0.022982
1980-09-03,0.919266,0.947993,0.919266,0.942248,183600,0.022982
1980-09-04,0.942248,0.947993,0.930757,0.939375,223600,0.022982
1980-09-05,0.939375,0.942248,0.922139,0.922139,92400,0.022982
1980-09-08,0.922139,0.930757,0.913521,0.913521,106000,0.022982
1980-09-09,0.913521,0.93363,0.907776,0.93363,130000,0.022982
1980-09-10,0.93363,0.942248,0.927884,0.942248,572400,0.022982
1980-09-11,0.942248,0.950866,0.939375,0.942248,151200,0.022982
1980-09-12,0.942248,0.950866,0.939375,0.942248,108400,0.022982
1980-09-15,0.942248,0.950866,0.942248,0.945121,78000,0.022982
1980-09-16,0.94512,0.97672,0.942248,0.97672,194800,0.022982
1980-09-17,0.976721,0.982466,0.970975,0.982466,94000,0.022982
1980-09-18,0.982465,1.005447,0.97672,1.005447,162400,0.022982
1980-09-19,1.005447,1.025556,0.999702,1.005447,170800,0.022982
1980-09-22,1.005448,1.011193,0.991084,1.011193,158800,0.022982
1980-09-23,1.019811,1.034174,1.019811,1.025556,329200,0.022982
1980-09-24,1.034175,1.03992,1.034175,1.03992,402000,0.022982
1980-09-25,1.045665,1.057156,1.045665,1.054283,106000,0.022982
1980-09-26,1.042793,1.042793,1.022684,1.022684,175200,0.022982
1980-09-29,1.022683,1.022683,0.988211,0.988211,418000,0.022982
1980-09-30,0.988211,0.993957,0.982466,0.991084,157200,0.022982
1980-10-01,0.991084,0.999702,0.988212,0.993957,276000,0.022982
1980-10-02,0.993956,0.999702,0.988211,0.988211,153600,0.022982
1980-10-03,0.993957,1.031302,0.993957,1.031302,124800,0.022982
1980-10-06,1.031301,1.039919,1.016938,1.034174,486400,0.022982
1980-10-07,1.034174,1.03992,1.028429,1.037047,56400,0.022982
1980-10-08,1.042793,1.048538,1.042793,1.042793,64800,0.022982
1980-10-09,1.042792,1.054283,1.039919,1.054283,158800,0.022982
1980-10-10,1.054283,1.057156,1.045665,1.045665,133200,0.022982
1980-10-13,1.045665,1.057156,1.045665,1.057156,100800,0.022982
1980-10-14,1.057156,1.097374,1.051411,1.097374,268000,0.022982
1980-10-15,1.100247,1.108865,1.100247,1.108865,183600,0.022982
1980-10-16,1.108865,1.11461,1.10312,1.108865,86400,0.022982
1980-10-17,1.100247,1.100247,1.091629,1.091629,106000,0.022982
1980-10-20,1.091629,1.103119,1.088756,1.097374,324400,0.022982
1980-10-21,1.097374,1.11461,1.097374,1.108865,94000,0.022982
1980-10-22,1.108865,1.126101,1.108865,1.126101,68400,0.022982
1980-10-23,1.120356,1.120356,1.120356,1.120356,48400,0.022982
1980-10-24,1.120356,1.149083,1.120356,1.149083,272400,0.022982
1980-10-27,1.149083,1.154828,1.137592,1.137592,167200,0.022982
1980-10-28,1.143337,1.149082,1.143337,1.143337,222000,0.022982
1980-10-29,1.143337,1.143337,1.143337,1.143337,37600,0.022982
1980-10-30,1.143337,1.149082,1.143337,1.143337,64800,0.022982
1980-10-31,1.143337,1.149083,1.140465,1.14621,76000,0.022982
1980-11-03,1.143338,1.143338,1.131847,1.131847,102400,0.022982
1980-11-05,1.137592,1.143337,1.137592,1.137592,84400,0.022982
1980-11-06,1.137592,1.149083,1.097374,1.097374,214000,0.022982
1980-11-07,1.091629,1.091629,1.068647,1.07152,104800,0.022982
1980-11-10,1.068647,1.068647,1.062902,1.068647,275200,0.022982
1980-11-11,1.068647,1.07152,1.028429,1.028429,175200,0.022982
1980-11-12,1.03992,1.091629,1.03992,1.091629,211200,0.022982
1980-11-13,1.091628,1.100246,1.091628,1.094501,397600,0.022982
1980-11-14,1.094502,1.108865,1.091629,1.108865,81600,0.022982
1980-11-17,1.108865,1.131847,1.10312,1.131847,154800,0.022982
1980-11-18,1.134719,1.140464,1.134719,1.134719,122400,0.022982
1980-11-19,1.134719,1.149083,1.134719,1.149083,92400,0.022982
1980-11-20,1.149082,1.172064,1.149082,1.160573,292000,0.022982
1980-11-21,1.157701,1.157701,1.137592,1.137592,52000,0.022982
1980-11-24,1.126101,1.126101,1.114611,1.120356,60000,0.022982
1980-11-25,1.120355,1.120355,1.111737,1.11461,340000,0.022982
1980-11-26,1.11461,1.126101,1.11461,1.11461,37600,0.022982
1980-11-28,1.11461,1.137592,1.11461,1.126101,372400,0.022982
1980-12-01,1.126101,1.126101,1.11461,1.11461,29200,0.022982
1980-12-02,1.11461,1.11461,1.108865,1.108865,97600,0.022982
1980-12-03,1.105992,1.105992,1.103119,1.103119,104800,0.022982
1980-12-04,1.103119,1.120355,1.103119,1.111737,133200,0.022982
1980-12-05,1.111737,1.120355,1.111737,1.111737,36000,0.022982
1980-12-08,1.111738,1.117483,1.094501,1.097374,81600,0.022982
1980-12-09,1.097373,1.103119,1.08301,1.08301,57600,0.022982
1980-12-10,1.080138,1.080138,1.07152,1.07152,513600,0.022982
1980-12-11,1.065774,1.065774,1.057156,1.057156,60000,0.022982
1980-12-12,1.057156,1.068646,1.054283,1.062901,194400,0.022982
1980-12-15,1.062902,1.074392,1.062902,1.068647,181600,0.022982
1980-12-16,1.074392,1.077265,1.074392,1.077265,29200,0.022982
1980-12-17,1.077265,1.097374,1.07152,1.085883,104800,0.022982
1980-12-18,1.085883,1.11461,1.083011,1.108865,54000,0.022982
1980-12-19,1.108865,1.149083,1.105992,1.149083,97200,0.022982
1980-12-22,1.149082,1.172064,1.149082,1.163446,92400,0.022982
1980-12-23,1.163446,1.172064,1.160573,1.163446,19600,0.022982
1980-12-24,1.163446,1.172064,1.163446,1.163446,16000,0.022982
1980-12-26,1.163446,1.163446,1.163446,1.163446,21600,0.022982
1980-12-29,1.163446,1.169191,1.163446,1.163446,116800,0.022982
1980-12-30,1.163446,1.163446,1.163446,1.163446,40000,0.022982
1980-12-31,1.163446,1.172064,1.163446,1.166319,76000,0.022982
1981-01-02,1.166319,1.17781,1.163446,1.17781,80800,0.022982
1981-01-05,1.17781,1.183555,1.131847,1.149083,222000,0.022982
1981-01-06,1.149083,1.149083,1.131847,1.137592,122400,0.022982
1981-01-07,1.123228,1.123228,1.103119,1.123228,167200,0.022982
1981-01-08,1.123229,1.126101,1.114611,1.120356,349200,0.022982
1981-01-09,1.117483,1.117483,1.11461,1.11461,36000,0.022982
1981-01-12,1.117483,1.126101,1.117483,1.117483,211200,0.022982
1981-01-13,1.11461,1.11461,1.097374,1.097374,187200,0.022982
1981-01-14,1.103119,1.11461,1.103119,1.11461,72400,0.022982
1981-01-15,1.11461,1.123228,1.11461,1.117483,219600,0.022982
1981-01-16,1.117483,1.123228,1.108865,1.11461,226800,0.022982
1981-01-19,1.117483,1.131847,1.117483,1.131847,473200,0.022982
1981-01-20,1.131847,1.137592,1.131847,1.131847,40000,0.022982
1981-01-21,1.123229,1.123229,1.117483,1.120356,37600,0.022982
1981-01-22,1.120355,1.126101,1.091628,1.103119,786400,0.022982
1981-01-23,1.097373,1.097373,1.08301,1.08301,88800,0.022982
1981-01-26,1.083011,1.088756,1.07152,1.080138,369600,0.022982
1981-01-27,1.085883,1.094501,1.085883,1.085883,268000,0.022982
1981-01-28,1.085883,1.085883,1.085883,1.085883,7600,0.022982
1981-01-29,1.088756,1.094502,1.088756,1.091629,54000,0.022982
1981-01-30,1.091628,1.108864,1.091628,1.103119,157200,0.022982
1981-02-02,1.085883,1.085883,1.03992,1.045665,140800,0.022982
1981-02-03,1.045665,1.068647,1.028429,1.068647,167200,0.022982
1981-02-04,1.068647,1.07152,1.045665,1.057156,124800,0.022982
1981-02-05,1.068647,1.074392,1.068647,1.068647,68400,0.022982
1981-02-06,1.068647,1.080138,1.062902,1.080138,133200,0.022982
1981-02-09,1.080138,1.080138,1.057156,1.057156,133200,0.022982
1981-02-10,1.057156,1.057156,1.034174,1.034174,61600,0.022982
1981-02-11,1.034175,1.034175,1.022684,1.022684,54000,0.022982
1981-02-12,1.022684,1.022684,0.993957,0.993957,56400,0.022982
1981-02-13,0.993956,0.999702,0.985338,0.988211,104800,0.022982
1981-02-17,0.988211,0.988211,0.982465,0.985338,73600,0.022982
1981-02-18,0.999702,1.005447,0.999702,0.999702,76000,0.022982
1981-02-19,0.999702,0.999702,0.988212,0.993957,126400,0.022982
1981-02-20,0.993957,0.999702,0.985339,0.993957,43600,0.022982
1981-02-23,0.988211,0.988211,0.968102,0.979593,78000,0.022982
1981-02-24,0.979593,0.979593,0.96523,0.970975,151200,0.022982
1981-02-25,0.970975,0.979593,0.96523,0.970975,116800,0.022982
1981-02-26,0.970975,0.988211,0.968102,0.988211,84400,0.022982
1981-02-27,0.996829,1.022683,0.996829,1.016938,329200,0.022982
1981-03-02,1.019811,1.048538,1.019811,1.048538,73600,0.022982
1981-03-03,1.048538,1.048538,1.045665,1.045665,40000,0.022982
1981-03-04,1.051411,1.091628,1.051411,1.085883,315600,0.022982
1981-03-05,1.085883,1.085883,1.060029,1.068647,149200,0.022982
1981-03-06,1.062901,1.062901,1.057156,1.062901,41200,0.022982
1981-03-09,1.062901,1.065774,1.057156,1.065774,57600,0.022982
1981-03-10,1.07152,1.091628,1.07152,1.085883,73600,0.022982
