date,open,high,low,close,volume,adjrate
1980-03-17,1.663698,1.742922,1.663698,1.663698,22900,0.211263
1980-03-18,1.663698,1.716514,1.663698,1.716514,26500,0.211263
1980-03-19,1.716514,1.716514,1.690106,1.690106,30000,0.211263
1980-03-20,1.690106,1.716514,1.690106,1.716514,18000,0.211263
1980-03-21,1.716514,1.716514,1.663698,1.690106,18500,0.211263
1980-03-24,1.690106,1.690106,1.663698,1.690106,27600,0.211263
1980-03-25,1.690106,1.690106,1.663698,1.690106,18500,0.211263
1980-03-26,1.690106,1.716514,1.690106,1.690106,60900,0.211263
1980-03-27,1.690106,1.690106,1.63729,1.663698,31000,0.211263
1980-03-28,1.663698,1.663698,1.610882,1.663698,25000,0.211263
1980-03-31,1.663698,1.690106,1.63729,1.690106,16700,0.211263
1980-04-01,1.690106,1.690106,1.663698,1.690106,20300,0.211263
1980-04-02,1.690106,1.76933,1.663698,1.76933,62500,0.211263
1980-04-03,1.76933,1.795738,1.742922,1.742922,30100,0.211263
1980-04-07,1.742922,1.76933,1.690106,1.690106,26200,0.211263
1980-04-08,1.690106,1.716514,1.690106,1.716514,21600,0.211263
1980-04-09,1.716514,1.795738,1.690106,1.795738,32600,0.211263
1980-04-10,1.795737,1.822145,1.769329,1.822145,58600,0.211263
1980-04-11,1.822146,1.848554,1.795738,1.795738,43800,0.211263
1980-04-14,1.795737,1.822145,1.795737,1.822145,22700,0.211263
1980-04-15,1.822146,1.822146,1.76933,1.76933,29800,0.211263
1980-04-16,1.795737,1.848553,1.795737,1.822145,55500,0.211263
1980-04-17,1.822145,1.848553,1.822145,1.822145,30700,0.211263
1980-04-18,1.822145,1.874961,1.822145,1.874961,15200,0.211263
1980-04-21,1.874961,1.874961,1.822145,1.822145,30200,0.211263
1980-04-22,1.822145,1.874961,1.769329,1.822145,24600,0.211263
1980-04-23,1.822145,1.874961,1.822145,1.874961,49300,0.211263
1980-04-24,1.874961,1.901369,1.848553,1.874961,55900,0.211263
1980-04-25,1.874961,1.927777,1.76933,1.927777,15000,0.211263
1980-04-28,1.927777,1.927777,1.874961,1.927777,19600,0.211263
1980-04-29,1.901369,1.901369,1.874961,1.874961,19200,0.211263
1980-04-30,1.874961,1.874961,1.848553,1.874961,21100,0.211263
1980-05-01,1.874961,1.874961,1.848553,1.874961,31600,0.211263
