date,open,high,low,close,volume,adjrate
1994-06-07,7.195554,7.383674,7.195554,7.289614,1595400,0.376238
1994-06-08,7.289614,7.289614,7.195554,7.242584,162400,0.376238
1994-06-09,7.242584,7.242584,7.195554,7.242584,76200,0.376238
1994-06-10,7.242584,7.242584,7.148524,7.195554,110500,0.376238
1994-06-13,7.195554,7.195554,7.148524,7.195554,51200,0.376238
1994-06-14,7.195554,7.242584,7.195554,7.242584,28100,0.376238
1994-06-15,7.242584,7.336644,7.195554,7.242584,96700,0.376238
1994-06-16,7.242584,7.242584,7.195554,7.195554,19800,0.376238
1994-06-17,7.195555,7.242585,7.148525,7.148525,56000,0.376238
1994-06-20,7.148524,7.195554,7.148524,7.195554,43500,0.376238
1994-06-21,7.195555,7.195555,7.148525,7.148525,34700,0.376238
1994-06-22,7.148525,7.195555,7.148525,7.148525,29500,0.376238
1994-06-23,7.148525,7.195554,7.054465,7.054465,67900,0.376238
1994-06-24,7.007436,7.007436,6.819316,6.913376,72500,0.376238
1994-06-27,6.913376,6.913376,6.490108,6.725257,70100,0.376238
1994-06-28,6.725257,6.819316,6.584167,6.631197,64700,0.376238
1994-06-29,6.678227,6.819317,6.678227,6.725257,25100,0.376238
1994-06-30,6.725257,6.772286,6.631197,6.631197,26100,0.376238
1994-07-01,6.631197,6.678227,6.537138,6.678227,25500,0.376238
1994-07-05,6.678227,6.725257,6.678227,6.725257,2900,0.376238
1994-07-06,6.725257,6.725257,6.584167,6.631197,33600,0.376238
1994-07-07,6.631197,6.725257,6.631197,6.631197,30500,0.376238
1994-07-08,6.631197,6.725257,6.631197,6.631197,30200,0.376238
1994-07-11,6.631197,6.725257,6.584167,6.678227,29300,0.376238
1994-07-12,6.678227,6.725257,6.631197,6.678227,11700,0.376238
1994-07-13,6.678227,6.725257,6.631197,6.678227,37800,0.376238
1994-07-14,6.678227,6.725257,6.631197,6.725257,24600,0.376238
1994-07-15,6.725256,6.772286,6.725256,6.772286,15000,0.376238
1994-07-18,6.772286,6.772286,6.725256,6.772286,22900,0.376238
1994-07-19,6.772287,6.960406,6.772287,6.960406,25700,0.376238
1994-07-20,6.960406,6.960406,6.819316,6.866346,15900,0.376238
1994-07-21,6.866346,6.866346,6.772286,6.866346,16000,0.376238
1994-07-22,6.866346,6.960406,6.866346,6.913376,18800,0.376238
1994-07-25,6.913376,6.960406,6.866346,6.960406,20100,0.376238
1994-07-26,6.960406,7.007436,6.913376,6.960406,14200,0.376238
1994-07-27,6.913376,6.913376,6.819316,6.866346,10100,0.376238
1994-07-28,6.819317,6.819317,6.725257,6.725257,9200,0.376238
1994-07-29,6.725257,6.725257,6.631197,6.678227,71400,0.376238
1994-08-01,6.678227,6.678227,6.631197,6.631197,23500,0.376238
1994-08-02,6.631197,6.819316,6.631197,6.819316,36700,0.376238
1994-08-03,6.819316,6.913376,6.725257,6.913376,16300,0.376238
1994-08-04,6.913375,6.913375,6.725256,6.772286,19800,0.376238
1994-08-05,6.772286,6.772286,6.725256,6.772286,9100,0.376238
1994-08-08,6.772286,6.819316,6.725256,6.772286,20100,0.376238
1994-08-09,6.725257,6.725257,6.678227,6.678227,26700,0.376238
1994-08-10,6.678227,6.819316,6.678227,6.819316,52600,0.376238
1994-08-11,6.819317,6.866346,6.725257,6.725257,15800,0.376238
1994-08-12,6.725256,6.819316,6.725256,6.772286,6100,0.376238
1994-08-15,6.772287,6.772287,6.725257,6.725257,14400,0.376238
1994-08-16,6.725256,6.819316,6.725256,6.819316,16800,0.376238
1994-08-17,6.819316,6.819316,6.772286,6.819316,14500,0.376238
1994-08-18,6.772286,6.772286,6.725256,6.772286,11500,0.376238
1994-08-19,6.772286,6.819316,6.725256,6.772286,10300,0.376238
1994-08-22,6.772286,6.819316,6.772286,6.819316,6500,0.376238
1994-08-23,6.819316,6.819316,6.772286,6.819316,9600,0.376238
1994-08-24,6.819316,6.819316,6.772286,6.819316,18300,0.376238
1994-08-25,6.819316,6.819316,6.678227,6.678227,12800,0.376238
1994-08-26,6.678226,6.772286,6.678226,6.772286,13400,0.376238
1994-08-29,6.772286,6.819316,6.725256,6.819316,11900,0.376238
1994-08-30,6.819316,6.866346,6.772286,6.866346,39400,0.376238
1994-08-31,6.866346,6.960406,6.866346,6.913376,23900,0.376238
1994-09-01,6.913376,6.960406,6.866346,6.960406,31400,0.376238
1994-09-02,6.960406,7.148525,6.913376,7.148525,27800,0.376238
1994-09-06,7.101495,7.101495,7.007435,7.054465,8800,0.376238
1994-09-07,7.054465,7.101495,7.007435,7.054465,10800,0.376238
1994-09-08,7.054465,7.101495,7.007435,7.007435,7100,0.376238
1994-09-09,7.007435,7.054465,6.866346,7.007435,17800,0.376238
1994-09-12,7.007435,7.054465,7.007435,7.054465,9300,0.376238
1994-09-13,7.054466,7.054466,6.960406,6.960406,11400,0.376238
1994-09-14,6.960406,7.007436,6.913376,6.913376,7800,0.376238
1994-09-15,6.913375,7.007435,6.866346,7.007435,8700,0.376238
1994-09-16,7.007435,7.007435,6.866346,6.866346,10700,0.376238
1994-09-19,6.866346,6.960406,6.819317,6.960406,7200,0.376238
1994-09-20,6.960405,7.054465,6.960405,7.007435,11700,0.376238
1994-09-21,7.007436,7.007436,6.819316,6.913376,12800,0.376238
1994-09-22,6.913375,6.913375,6.725256,6.772286,20400,0.376238
1994-09-23,6.772287,6.772287,6.631197,6.725257,5500,0.376238
1994-09-26,6.725256,6.772286,6.443078,6.772286,18000,0.376238
1994-09-27,6.772286,6.819316,6.725256,6.772286,5300,0.376238
1994-09-28,6.772287,6.772287,6.537138,6.537138,9200,0.376238
1994-09-29,6.584168,6.725257,6.584168,6.725257,6300,0.376238
1994-09-30,6.725256,6.772286,6.678226,6.772286,6400,0.376238
1994-10-03,6.772287,6.772287,6.678227,6.678227,5900,0.376238
1994-10-04,6.678227,6.772287,6.678227,6.678227,5500,0.376238
1994-10-05,6.678227,6.678227,6.349018,6.396048,15300,0.376238
1994-10-06,6.396049,6.443078,6.301989,6.301989,35900,0.376238
1994-10-07,6.349018,6.396048,6.349018,6.396048,36500,0.376238
1994-10-10,6.396048,6.537137,6.396048,6.396048,23700,0.376238
1994-10-11,6.396049,6.396049,6.207929,6.301989,32900,0.376238
1994-10-12,6.301988,6.396048,6.301988,6.396048,12700,0.376238
1994-10-13,6.396049,6.396049,6.301989,6.301989,6400,0.376238
1994-10-14,6.301989,6.301989,6.207929,6.254959,10200,0.376238
1994-10-17,6.301989,6.349019,6.301989,6.349019,8100,0.376238
1994-10-18,6.349019,6.490108,6.349019,6.349019,24700,0.376238
1994-10-19,6.349019,6.349019,6.254959,6.301989,9200,0.376238
1994-10-20,6.301989,6.396049,6.20793,6.349019,20700,0.376238
1994-10-21,6.349018,6.443078,6.349018,6.443078,5000,0.376238
1994-10-24,6.443078,6.490108,6.443078,6.443078,4900,0.376238
1994-10-25,6.443079,6.443079,6.254959,6.349019,12000,0.376238
1994-10-26,6.349019,6.349019,6.207929,6.254959,9600,0.376238
1994-10-27,6.254959,6.254959,6.207929,6.254959,43100,0.376238
1994-10-28,6.301989,6.490108,6.301989,6.490108,7600,0.376238
1994-10-31,6.490108,6.631197,6.443078,6.631197,18400,0.376238
1994-11-01,6.584168,6.584168,6.396048,6.490108,11200,0.376238
1994-11-02,6.490107,6.584167,6.490107,6.584167,12900,0.376238
1994-11-03,6.584168,6.584168,6.537138,6.537138,16800,0.376238
1994-11-04,6.490108,6.537138,6.490108,6.537138,56300,0.376238
1994-11-07,6.490108,6.490108,6.443078,6.490108,3300,0.376238
1994-11-08,6.443078,6.537138,6.396048,6.443078,16900,0.376238
1994-11-09,6.490108,6.537138,6.396048,6.443078,12200,0.376238
1994-11-10,6.490108,6.490108,6.301989,6.349019,5600,0.376238
1994-11-11,6.301989,6.301989,6.207929,6.254959,8900,0.376238
1994-11-14,6.301989,6.349019,6.254959,6.254959,10800,0.376238
1994-11-15,6.349018,6.349018,6.207929,6.207929,10800,0.376238
1994-11-16,6.207929,6.207929,5.92575,5.97278,14500,0.376238
1994-11-17,6.01981,6.1609,6.01981,6.11387,17400,0.376238
1994-11-18,6.160899,6.254959,6.11387,6.254959,10900,0.376238
1994-11-21,6.20793,6.25496,6.1609,6.1609,5800,0.376238
1994-11-22,6.207929,6.254959,6.160899,6.207929,2300,0.376238
1994-11-23,6.160899,6.490108,6.160899,6.396048,17100,0.376238
1994-11-25,6.349019,6.396049,6.301989,6.349019,3600,0.376238
1994-11-28,6.396048,6.396048,6.301988,6.396048,8300,0.376238
1994-11-29,6.490108,6.490108,6.349019,6.349019,6900,0.376238
1994-11-30,6.349018,6.396048,6.349018,6.396048,5600,0.376238
1994-12-01,6.396048,6.443078,6.254959,6.254959,13800,0.376238
1994-12-02,6.207929,6.207929,6.160899,6.207929,4200,0.376238
1994-12-05,6.1609,6.1609,6.11387,6.11387,5800,0.376238
1994-12-06,6.11387,6.207929,6.01981,6.06684,8100,0.376238
1994-12-07,6.11387,6.207929,6.06684,6.06684,11900,0.376238
1994-12-08,6.01981,6.01981,5.784661,5.878721,17300,0.376238
1994-12-09,5.878721,5.925751,5.831691,5.925751,8400,0.376238
1994-12-12,5.878721,6.019811,5.878721,5.925751,5800,0.376238
1994-12-13,5.972781,5.972781,5.831691,5.925751,9600,0.376238
1994-12-14,5.925751,6.019811,5.925751,5.925751,20700,0.376238
1994-12-15,5.97278,6.207929,5.97278,6.207929,8900,0.376238
1994-12-16,6.254959,6.396049,6.06684,6.11387,26300,0.376238
1994-12-19,6.1609,6.207929,5.878721,6.06684,23000,0.376238
1994-12-20,6.11387,6.11387,6.01981,6.01981,6200,0.376238
1994-12-21,6.019811,6.019811,5.831691,5.925751,20600,0.376238
1994-12-22,5.831691,5.925751,5.831691,5.878721,37100,0.376238
1994-12-23,5.831691,5.831691,5.690601,5.784661,28000,0.376238
1994-12-27,5.737632,5.784662,5.643572,5.690602,13900,0.376238
1994-12-28,5.737631,5.737631,5.502482,5.596542,23400,0.376238
1994-12-29,5.643572,5.784662,5.643572,5.690602,17100,0.376238
1994-12-30,5.690602,5.737632,5.549513,5.690602,33000,0.376238
1995-01-03,5.737631,6.01981,5.737631,6.01981,10700,0.376238
1995-01-04,6.06684,6.1609,6.01981,6.11387,7000,0.376238
1995-01-05,6.06684,6.20793,6.06684,6.1609,13200,0.376238
1995-01-06,6.160899,6.254959,6.160899,6.254959,7200,0.376238
1995-01-09,6.301989,6.301989,6.207929,6.207929,3300,0.376238
1995-01-10,6.254959,6.254959,6.113869,6.207929,7300,0.376238
1995-01-11,6.25496,6.25496,6.1609,6.1609,8300,0.376238
1995-01-12,6.20793,6.20793,6.1609,6.1609,6100,0.376238
1995-01-13,6.207929,6.254959,6.160899,6.207929,10800,0.376238
1995-01-16,6.1609,6.20793,6.1609,6.1609,2200,0.376238
1995-01-17,6.301989,6.301989,6.113869,6.207929,17000,0.376238
1995-01-18,6.207929,6.207929,6.06684,6.207929,25100,0.376238
1995-01-19,6.06684,6.06684,5.925751,6.06684,39100,0.376238
1995-01-20,6.11387,6.1609,6.11387,6.11387,4000,0.376238
1995-01-23,6.06684,6.06684,5.97278,6.01981,6000,0.376238
1995-01-24,5.97278,6.06684,5.925751,6.06684,6900,0.376238
1995-01-25,6.11387,6.1609,6.06684,6.1609,5200,0.376238
1995-01-26,6.20793,6.20793,6.11387,6.11387,3000,0.376238
1995-01-27,6.254959,6.254959,6.207929,6.207929,2700,0.376238
1995-01-30,6.207929,6.254959,6.207929,6.254959,4500,0.376238
1995-01-31,6.207929,6.207929,6.113869,6.207929,3800,0.376238
1995-02-01,6.25496,6.25496,6.1609,6.1609,12900,0.376238
1995-02-02,6.207929,6.207929,6.160899,6.207929,5100,0.376238
1995-02-03,6.207929,6.207929,6.01981,6.01981,35300,0.376238
1995-02-06,6.01981,6.06684,6.01981,6.06684,13200,0.376238
1995-02-07,6.01981,6.11387,6.01981,6.01981,14700,0.376238
1995-02-08,6.019811,6.019811,5.878721,5.925751,22400,0.376238
1995-02-09,5.92575,6.01981,5.92575,6.01981,19900,0.376238
1995-02-10,6.01981,6.06684,5.878721,6.01981,16600,0.376238
1995-02-13,6.01981,6.01981,5.831691,5.831691,19000,0.376238
1995-02-14,5.92575,5.97278,5.87872,5.97278,9300,0.376238
1995-02-15,6.01981,6.06684,5.97278,6.06684,4000,0.376238
1995-02-16,6.01981,6.01981,5.97278,5.97278,2900,0.376238
1995-02-17,6.01981,6.01981,5.92575,5.97278,3400,0.376238
1995-02-21,5.972781,5.972781,5.502483,5.925751,32100,0.376238
1995-02-22,5.925751,5.925751,5.831691,5.925751,12000,0.376238
1995-02-23,5.92575,5.97278,5.831691,5.97278,13100,0.376238
1995-02-24,5.92575,5.97278,5.784661,5.97278,11100,0.376238
1995-02-27,5.97278,6.01981,5.92575,6.01981,12600,0.376238
1995-02-28,5.97278,6.06684,5.925751,6.06684,13400,0.376238
1995-03-01,6.06684,6.06684,5.97278,6.01981,2800,0.376238
1995-03-02,6.01981,6.01981,5.878721,5.878721,43600,0.376238
1995-03-03,5.92575,5.97278,5.784661,5.784661,10000,0.376238
1995-03-06,5.831691,5.831691,5.784661,5.784661,9900,0.376238
1995-03-07,5.831691,5.878721,5.784661,5.831691,6400,0.376238
1995-03-08,5.831691,5.878721,5.784661,5.784661,3200,0.376238
1995-03-09,5.831691,5.925751,5.784661,5.831691,20500,0.376238
1995-03-10,5.784661,5.831691,5.784661,5.784661,2100,0.376238
1995-03-13,5.831691,5.831691,5.737631,5.784661,6600,0.376238
1995-03-14,5.784661,5.925751,5.737631,5.831691,5600,0.376238
1995-03-15,5.831691,5.97278,5.831691,5.97278,6800,0.376238
1995-03-16,6.01981,6.01981,5.878721,5.878721,9600,0.376238
1995-03-17,5.878721,5.925751,5.831691,5.925751,6400,0.376238
1995-03-20,5.92575,6.01981,5.92575,6.01981,26200,0.376238
1995-03-21,6.01981,6.01981,5.97278,6.01981,7600,0.376238
1995-03-22,5.97278,6.01981,5.97278,5.97278,9200,0.376238
1995-03-23,6.01981,6.11387,6.01981,6.01981,125800,0.376238
1995-03-24,6.06684,6.1609,6.019811,6.1609,101400,0.376238
1995-03-27,5.92575,6.01981,5.878721,6.01981,6700,0.376238
1995-03-28,6.01981,6.01981,5.92575,5.97278,9600,0.376238
1995-03-29,6.01981,6.01981,5.92575,6.01981,90500,0.376238
1995-03-30,6.01981,6.01981,5.97278,6.01981,9600,0.376238
1995-03-31,5.92575,6.01981,5.92575,5.97278,3000,0.376238
1995-04-03,5.925751,5.972781,5.925751,5.925751,2100,0.376238
