date,open,high,low,close,volume,adjrate
1972-06-01,1.527311,1.554913,1.527311,1.536512,42000,0.073605
1972-06-02,1.536512,1.554914,1.527312,1.545713,17600,0.073605
1972-06-05,1.545713,1.564114,1.536512,1.536512,13200,0.073605
1972-06-06,1.546949,1.546949,1.528311,1.53763,15700,0.074552
1972-06-07,1.53763,1.546949,1.53763,1.53763,5000,0.074552
1972-06-08,1.53763,1.556268,1.518992,1.518992,32900,0.074552
1972-06-09,1.518992,1.528311,1.509673,1.509673,18500,0.074552
1972-06-12,1.509673,1.53763,1.509673,1.528311,10600,0.074552
1972-06-13,1.528311,1.528311,1.491035,1.509673,38400,0.074552
1972-06-14,1.500355,1.500355,1.472398,1.472398,126800,0.074552
1972-06-15,1.472398,1.481717,1.472398,1.481717,14100,0.074552
1972-06-16,1.481717,1.481717,1.463079,1.481717,9000,0.074552
1972-06-19,1.481717,1.491036,1.472398,1.481717,8500,0.074552
1972-06-20,1.481717,1.481717,1.463079,1.463079,40600,0.074552
1972-06-21,1.463079,1.481717,1.444441,1.444441,57000,0.074552
1972-06-22,1.444441,1.463079,1.444441,1.463079,23700,0.074552
1972-06-23,1.463079,1.463079,1.444441,1.463079,53000,0.074552
1972-06-26,1.463079,1.472398,1.444441,1.45376,14400,0.074552
1972-06-27,1.45376,1.45376,1.444441,1.45376,14200,0.074552
1972-06-28,1.45376,1.481717,1.444441,1.481717,21000,0.074552
1972-06-29,1.481717,1.491036,1.463079,1.481717,13300,0.074552
1972-06-30,1.481716,1.518992,1.481716,1.509673,47100,0.074552
1972-07-03,1.509673,1.528311,1.491035,1.509673,7300,0.074552
1972-07-05,1.528311,1.565587,1.528311,1.556268,22400,0.074552
1972-07-06,1.556268,1.593544,1.556268,1.593544,15300,0.074552
1972-07-07,1.593544,1.612182,1.584225,1.612182,23900,0.074552
1972-07-10,1.612182,1.63082,1.593544,1.621501,25600,0.074552
1972-07-11,1.602863,1.602863,1.574906,1.574906,14400,0.074552
1972-07-12,1.574906,1.612182,1.574906,1.593544,4800,0.074552
1972-07-13,1.593544,1.612182,1.574906,1.574906,6000,0.074552
1972-07-14,1.574906,1.602863,1.565587,1.584225,10600,0.074552
1972-07-17,1.584225,1.593544,1.565587,1.574906,12300,0.074552
1972-07-18,1.556268,1.556268,1.53763,1.53763,4400,0.074552
1972-07-19,1.53763,1.546949,1.528311,1.528311,9300,0.074552
1972-07-20,1.528311,1.546949,1.528311,1.53763,7500,0.074552
1972-07-21,1.53763,1.556268,1.528311,1.556268,5500,0.074552
1972-07-24,1.556268,1.565587,1.53763,1.556268,12600,0.074552
1972-07-25,1.556268,1.574906,1.528311,1.546949,67600,0.074552
1972-07-26,1.546949,1.565587,1.53763,1.53763,13800,0.074552
1972-07-27,1.53763,1.546949,1.518992,1.518992,9900,0.074552
1972-07-28,1.53763,1.546949,1.53763,1.53763,14300,0.074552
1972-07-31,1.53763,1.53763,1.509673,1.518992,2800,0.074552
1972-08-01,1.518992,1.518992,1.509673,1.518992,9000,0.074552
1972-08-02,1.518992,1.546949,1.509673,1.509673,32100,0.074552
1972-08-03,1.509674,1.518993,1.491036,1.491036,10700,0.074552
1972-08-04,1.491036,1.500355,1.491036,1.491036,10500,0.074552
1972-08-07,1.491036,1.500355,1.463079,1.463079,87100,0.074552
1972-08-08,1.463079,1.472398,1.45376,1.472398,40600,0.074552
1972-08-09,1.472398,1.481717,1.45376,1.463079,17100,0.074552
1972-08-10,1.463079,1.472398,1.444441,1.463079,17200,0.074552
1972-08-11,1.463079,1.481717,1.463079,1.472398,19600,0.074552
1972-08-14,1.472398,1.481717,1.463079,1.481717,11200,0.074552
1972-08-15,1.481717,1.491036,1.481717,1.481717,25100,0.074552
1972-08-16,1.481717,1.491036,1.481717,1.491036,37800,0.074552
1972-08-17,1.491035,1.509673,1.491035,1.500354,17500,0.074552
1972-08-18,1.500354,1.556268,1.500354,1.546949,51800,0.074552
1972-08-21,1.565587,1.593544,1.565587,1.584225,12800,0.074552
1972-08-22,1.593544,1.63082,1.593544,1.612182,40400,0.074552
1972-08-23,1.621501,1.640139,1.621501,1.621501,17600,0.074552
1972-08-24,1.63082,1.696053,1.63082,1.677415,64400,0.074552
1972-08-25,1.677415,1.696053,1.658777,1.668096,18500,0.074552
1972-08-28,1.668096,1.686734,1.658777,1.677415,28300,0.074552
1972-08-29,1.677415,1.677415,1.668096,1.677415,7700,0.074552
1972-08-30,1.686734,1.705372,1.686734,1.696053,19500,0.074552
1972-08-31,1.696053,1.696053,1.668096,1.668096,12100,0.074552
1972-09-01,1.668096,1.677415,1.649458,1.668096,6600,0.074552
1972-09-05,1.668096,1.668096,1.640139,1.640139,19800,0.074552
1972-09-06,1.640139,1.668096,1.640139,1.649458,8200,0.074552
1972-09-07,1.649458,1.649458,1.640139,1.640139,12700,0.074552
1972-09-08,1.660136,1.660136,1.641271,1.660136,9400,0.075461
1972-09-11,1.660136,1.660136,1.622406,1.622406,19600,0.075461
1972-09-12,1.622406,1.660137,1.622406,1.650704,15900,0.075461
1972-09-13,1.650703,1.669569,1.650703,1.660136,32500,0.075461
1972-09-14,1.660136,1.679002,1.660136,1.669569,3600,0.075461
1972-09-15,1.669568,1.679001,1.660136,1.679001,6400,0.075461
1972-09-18,1.679002,1.679002,1.669569,1.669569,13000,0.075461
1972-09-19,1.669569,1.679002,1.650704,1.650704,8100,0.075461
1972-09-20,1.650703,1.669569,1.650703,1.660136,2400,0.075461
1972-09-21,1.660136,1.669568,1.631838,1.631838,8600,0.075461
1972-09-22,1.631839,1.650704,1.622406,1.622406,10200,0.075461
1972-09-25,1.622406,1.631839,1.612973,1.622406,11800,0.075461
1972-09-26,1.622406,1.631838,1.60354,1.612973,122300,0.075461
1972-09-27,1.612974,1.660137,1.612974,1.650704,9600,0.075461
1972-09-28,1.650703,1.669569,1.650703,1.660136,8700,0.075461
1972-09-29,1.669569,1.697867,1.669569,1.669569,22700,0.075461
1972-10-02,1.669569,1.679002,1.650704,1.650704,6700,0.075461
1972-10-03,1.660136,1.679001,1.660136,1.660136,17800,0.075461
1972-10-04,1.669569,1.688434,1.669569,1.688434,25800,0.075461
1972-10-05,1.688434,1.697867,1.669569,1.669569,15500,0.075461
1972-10-06,1.669568,1.707299,1.669568,1.697866,22300,0.075461
1972-10-09,1.707299,1.726165,1.707299,1.716732,6900,0.075461
1972-10-10,1.716732,1.726165,1.707299,1.716732,5400,0.075461
1972-10-11,1.716732,1.716732,1.707299,1.707299,2900,0.075461
1972-10-12,1.707299,1.726165,1.697867,1.716732,11900,0.075461
1972-10-13,1.716732,1.716732,1.697866,1.707299,10200,0.075461
1972-10-16,1.707299,1.735597,1.697867,1.716732,60700,0.075461
1972-10-17,1.716732,1.735597,1.716732,1.716732,32600,0.075461
1972-10-18,1.726164,1.74503,1.726164,1.735597,27800,0.075461
1972-10-19,1.735597,1.763895,1.735597,1.754462,11400,0.075461
1972-10-20,1.754462,1.763895,1.754462,1.754462,6000,0.075461
1972-10-23,1.763894,1.792192,1.763894,1.792192,10300,0.075461
1972-10-24,1.792192,1.792192,1.773327,1.792192,11200,0.075461
1972-10-25,1.792193,1.801625,1.78276,1.78276,11800,0.075461
1972-10-26,1.78276,1.839356,1.773328,1.811058,37200,0.075461
1972-10-27,1.811057,1.867653,1.811057,1.867653,17700,0.075461
1972-10-30,1.867653,1.867653,1.848788,1.867653,17300,0.075461
1972-10-31,1.867653,1.895951,1.858221,1.895951,35000,0.075461
1972-11-01,1.905384,1.933682,1.905384,1.924249,27700,0.075461
1972-11-02,1.924249,1.933681,1.895951,1.895951,36700,0.075461
1972-11-03,1.895951,1.990277,1.886518,1.980844,44700,0.075461
