date,open,high,low,close,volume,adjrate
1972-06-01,0.339885,0.343732,0.339885,0.340526,1089200,0.00513
1972-06-02,0.340525,0.343732,0.338601,0.339884,1173500,0.00513
1972-06-05,0.339884,0.34309,0.338601,0.339884,5208100,0.00513
1972-06-06,0.339885,0.341167,0.334754,0.336037,1421400,0.00513
1972-06-07,0.336037,0.337961,0.334113,0.334113,671800,0.00513
1972-06-08,0.334113,0.336678,0.331548,0.331548,1036600,0.00513
1972-06-09,0.331548,0.332189,0.323211,0.329624,6589200,0.00513
1972-06-12,0.329624,0.333472,0.327059,0.329624,1430100,0.00513
1972-06-13,0.329624,0.33283,0.329624,0.332189,931400,0.00513
1972-06-14,0.333471,0.340525,0.333471,0.337319,2939300,0.00513
1972-06-15,0.33732,0.340526,0.335396,0.336037,1460700,0.00513
1972-06-16,0.336036,0.337319,0.332189,0.337319,750400,0.00513
1972-06-19,0.337319,0.339243,0.334112,0.335395,529300,0.00513
1972-06-20,0.335395,0.338602,0.335395,0.336678,894100,0.00513
1972-06-21,0.336678,0.33732,0.333472,0.333472,1608800,0.00513
1972-06-22,0.332831,0.332831,0.328342,0.331548,1282200,0.00513
1972-06-23,0.330906,0.330906,0.3277,0.330906,1273300,0.00513
1972-06-26,0.330907,0.330907,0.328341,0.329624,621300,0.00513
1972-06-27,0.329624,0.332189,0.329624,0.332189,877700,0.00513
1972-06-28,0.332189,0.334113,0.330907,0.331548,904100,0.00513
1972-06-29,0.331548,0.33283,0.330265,0.330265,448000,0.00513
1972-06-30,0.328341,0.328341,0.324494,0.3277,825100,0.00513
1972-07-03,0.3277,0.3277,0.324493,0.326417,438200,0.00513
1972-07-05,0.326417,0.327058,0.321287,0.324493,1395000,0.00513
1972-07-06,0.325776,0.331547,0.325776,0.328341,1173500,0.00513
1972-07-07,0.328342,0.330265,0.324494,0.327059,1351100,0.00513
1972-07-10,0.327059,0.3277,0.323211,0.323211,523700,0.00513
1972-07-11,0.323211,0.325776,0.321287,0.321287,546600,0.00513
1972-07-12,0.321287,0.325776,0.318722,0.318722,1801800,0.00513
1972-07-13,0.318722,0.319363,0.314874,0.318722,680300,0.00513
1972-07-14,0.318722,0.320646,0.31744,0.318081,941200,0.00513
1972-07-17,0.318081,0.320646,0.316798,0.318081,583000,0.00513
1972-07-18,0.318081,0.321928,0.31295,0.321287,1338000,0.00513
1972-07-19,0.321287,0.328341,0.320646,0.323211,1707400,0.00513
1972-07-20,0.323211,0.324494,0.318722,0.318722,492900,0.00513
1972-07-21,0.318722,0.324494,0.318722,0.323211,602500,0.00513
1972-07-24,0.325776,0.334113,0.325776,0.332189,1456400,0.00513
1972-07-25,0.335689,0.336337,0.333097,0.334393,1552900,0.005184
1972-07-26,0.334393,0.334393,0.332449,0.333097,430500,0.005184
1972-07-27,0.333097,0.333745,0.331801,0.331801,1109000,0.005184
1972-07-28,0.333097,0.337633,0.333097,0.335041,1814900,0.005184
1972-07-31,0.335041,0.337633,0.333745,0.335041,1259200,0.005184
1972-08-01,0.335041,0.335689,0.331801,0.335041,1424700,0.005184
1972-08-02,0.335041,0.339577,0.335041,0.339577,2140400,0.005184
1972-08-03,0.341522,0.34865,0.341522,0.34541,4331200,0.005184
1972-08-04,0.34541,0.346706,0.34541,0.346706,1188000,0.005184
1972-08-07,0.346706,0.34865,0.346706,0.347354,1929800,0.005184
1972-08-08,0.347354,0.347354,0.344762,0.346058,948000,0.005184
1972-08-09,0.346057,0.346705,0.338929,0.340873,2822000,0.005184
1972-08-10,0.340873,0.341521,0.338929,0.341521,1203200,0.005184
1972-08-11,0.34217,0.344762,0.34217,0.344114,1283300,0.005184
1972-08-14,0.34541,0.348002,0.34541,0.346058,1888200,0.005184
1972-08-15,0.346057,0.346705,0.340873,0.343465,1125400,0.005184
1972-08-16,0.34217,0.34217,0.334393,0.334393,1138700,0.005184
1972-08-17,0.334393,0.340225,0.334393,0.340225,2131700,0.005184
1972-08-18,0.340225,0.341521,0.339577,0.340225,973000,0.005184
1972-08-21,0.340225,0.341521,0.337633,0.341521,1006000,0.005184
1972-08-22,0.344114,0.348002,0.344114,0.346706,1703000,0.005184
1972-08-23,0.347354,0.360963,0.347354,0.360315,3170600,0.005184
1972-08-24,0.360314,0.360314,0.354482,0.35513,2447200,0.005184
1972-08-25,0.35513,0.355778,0.350594,0.350594,1584700,0.005184
1972-08-28,0.350594,0.353834,0.350594,0.350594,583000,0.005184
1972-08-29,0.349946,0.349946,0.340226,0.344762,1954100,0.005184
1972-08-30,0.344761,0.344761,0.342169,0.342169,904100,0.005184
1972-08-31,0.342169,0.349298,0.342169,0.349298,780200,0.005184
1972-09-01,0.349298,0.35189,0.34865,0.349298,694700,0.005184
1972-09-05,0.349298,0.350594,0.344762,0.344762,388900,0.005184
1972-09-06,0.344761,0.344761,0.340225,0.342169,660600,0.005184
1972-09-07,0.342817,0.346705,0.342817,0.343465,739600,0.005184
1972-09-08,0.343465,0.345409,0.342169,0.342817,740700,0.005184
1972-09-11,0.342817,0.342817,0.341521,0.342169,573000,0.005184
1972-09-12,0.342169,0.342169,0.337633,0.338281,1232900,0.005184
1972-09-13,0.338281,0.340225,0.335689,0.340225,775800,0.005184
1972-09-14,0.340225,0.342169,0.338281,0.339577,484200,0.005184
1972-09-15,0.339577,0.341521,0.338929,0.340225,494200,0.005184
1972-09-18,0.339577,0.339577,0.337633,0.339577,296800,0.005184
