date,open,high,low,close,volume,adjrate
1995-07-10,7.095257,7.358044,7.095257,7.358044,5438000,0.300328
1995-07-11,7.54575,7.54575,7.433127,7.508209,4907000,0.300328
1995-07-12,7.508209,7.846078,7.470668,7.846078,1055800,0.300328
1995-07-13,7.808537,7.883619,7.770996,7.846078,1373600,0.300328
1995-07-14,7.808537,7.846078,7.770996,7.808537,985600,0.300328
1995-07-17,7.808537,7.808537,7.733455,7.770996,947600,0.300328
1995-07-18,7.770996,7.770996,7.54575,7.583291,727400,0.300328
1995-07-19,7.545749,7.545749,7.020175,7.132798,558200,0.300328
1995-07-20,7.057716,7.095257,7.057716,7.095257,464600,0.300328
1995-07-21,7.132798,7.320503,7.132798,7.245421,721200,0.300328
1995-07-24,7.245421,7.358044,7.245421,7.245421,509000,0.300328
1995-07-25,7.282962,7.433126,7.245421,7.282962,847000,0.300328
1995-07-26,7.358045,7.54575,7.358045,7.54575,1584800,0.300328
1995-07-27,7.508209,7.733455,7.508209,7.733455,2082600,0.300328
1995-07-28,7.733454,8.221488,7.620831,8.221488,14640800,0.300328
1995-07-31,8.183947,8.183947,7.958701,8.108865,2544600,0.300328
1995-08-01,8.071324,8.071324,7.958701,7.996242,1956000,0.300328
1995-08-02,7.996242,7.996242,7.583291,7.620832,2307600,0.300328
1995-08-03,7.54575,7.808537,7.54575,7.808537,1762800,0.300328
1995-08-04,7.733455,7.770996,7.508209,7.620832,903800,0.300328
1995-08-07,7.583291,7.583291,7.470668,7.54575,837000,0.300328
1995-08-08,7.508209,7.54575,7.470668,7.470668,729000,0.300328
1995-08-09,7.470667,7.470667,7.320503,7.358044,586600,0.300328
1995-08-10,7.358045,7.54575,7.358045,7.433127,1319400,0.300328
1995-08-11,7.433127,7.583291,7.433127,7.508209,1152000,0.300328
1995-08-14,7.508208,7.508208,7.282962,7.358044,379800,0.300328
1995-08-15,7.358044,7.433126,7.358044,7.395585,349600,0.300328
1995-08-16,7.470668,7.508209,7.395586,7.433127,440200,0.300328
1995-08-17,7.433127,7.54575,7.395586,7.54575,410600,0.300328
1995-08-18,7.545749,7.545749,7.320503,7.358044,598800,0.300328
1995-08-21,7.395585,7.470667,7.282962,7.282962,440400,0.300328
1995-08-22,7.320503,7.358044,7.132798,7.20788,444200,0.300328
1995-08-23,7.245421,7.245421,6.945093,7.095257,193200,0.300328
1995-08-24,7.095257,7.095257,6.945093,6.982634,1284000,0.300328
1995-08-25,6.982634,7.170339,6.870011,7.095257,733400,0.300328
1995-08-28,7.095257,7.095257,6.907552,6.982634,447600,0.300328
1995-08-29,6.982634,6.982634,6.794929,6.870011,368600,0.300328
1995-08-30,6.794929,7.057716,6.794929,6.945093,398000,0.300328
