date,open,high,low,close,volume,adjrate
1990-03-26,1.636514,1.654904,1.62732,1.645709,77800,0.073551
1990-03-27,1.62732,1.654904,1.62732,1.654904,84100,0.073551
1990-03-28,1.654904,1.664099,1.636515,1.664099,69000,0.073551
1990-03-29,1.664099,1.719262,1.645709,1.719262,153600,0.073551
1990-03-30,1.719262,1.765231,1.700873,1.765231,284300,0.073551
1990-04-02,1.746841,1.756036,1.728452,1.756036,605900,0.073551
1990-04-03,1.76523,1.79281,1.76523,1.774425,123000,0.073551
1990-04-04,1.774426,1.78362,1.756036,1.765231,59400,0.073551
1990-04-05,1.756036,1.756036,1.710067,1.710067,455200,0.073551
1990-04-06,1.700873,1.719262,1.673289,1.673289,239000,0.073551
1990-04-09,1.673289,1.673289,1.654904,1.654904,227700,0.073551
1990-04-10,1.664099,1.664099,1.562962,1.599741,263800,0.073551
1990-04-11,1.608935,1.62732,1.590546,1.62732,102000,0.073551
1990-04-12,1.636515,1.664099,1.636515,1.664099,117200,0.073551
1990-04-16,1.654904,1.673289,1.654904,1.664099,42600,0.073551
1990-04-17,1.654904,1.728452,1.645709,1.728452,419900,0.073551
1990-04-18,1.728452,1.746841,1.719262,1.728452,77800,0.073551
1990-04-19,1.728452,1.737647,1.719262,1.719262,131800,0.073551
1990-04-20,1.728452,1.728452,1.710067,1.719262,337800,0.073551
1990-04-23,1.737647,1.737647,1.710067,1.728452,316900,0.073551
1990-04-24,1.728452,1.811199,1.728452,1.774425,497400,0.073551
1990-04-25,1.774426,1.78362,1.654904,1.673289,479000,0.073551
1990-04-26,1.710068,1.710068,1.682484,1.700873,235200,0.073551
1990-04-27,1.700873,1.700873,1.682483,1.691678,126800,0.073551
1990-04-30,1.700873,1.728452,1.682483,1.728452,87000,0.073551
1990-05-01,1.719262,1.746841,1.719262,1.719262,31700,0.073551
1990-05-02,1.719262,1.774425,1.719262,1.774425,389300,0.073551
1990-05-03,1.756036,1.774425,1.746841,1.746841,87000,0.073551
1990-05-04,1.746842,1.765231,1.746842,1.765231,195900,0.073551
1990-05-07,1.746841,1.76523,1.746841,1.746841,84100,0.073551
1990-05-08,1.765231,1.765231,1.691678,1.691678,1294000,0.073551
1990-05-09,1.691678,1.719262,1.691678,1.691678,843400,0.073551
1990-05-10,1.719262,1.719262,1.691678,1.700873,245300,0.073551
1990-05-11,1.700872,1.728452,1.691678,1.710067,180800,0.073551
1990-05-14,1.728452,1.746842,1.728452,1.737647,103000,0.073551
1990-05-15,1.719262,1.728452,1.710067,1.710067,143100,0.073551
1990-05-16,1.728452,1.728452,1.682483,1.682483,172400,0.073551
1990-05-17,1.682484,1.700873,1.682484,1.700873,117200,0.073551
1990-05-18,1.710068,1.710068,1.691678,1.700873,120900,0.073551
1990-05-21,1.710068,1.710068,1.691678,1.700873,175000,0.073551
1990-05-22,1.691678,1.710067,1.691678,1.710067,219800,0.073551
1990-05-23,1.691678,1.700872,1.682483,1.682483,81500,0.073551
1990-05-24,1.682484,1.700873,1.673289,1.673289,64400,0.073551
