date,open,high,low,close,volume,adjrate
1998-05-14,6.600032,6.661908,6.45566,6.538157,13917400,0.330002
1998-05-15,6.538157,6.600032,6.270033,6.311282,2949900,0.330002
1998-05-18,6.270033,6.290655,6.270033,6.270033,1867200,0.330002
1998-05-19,6.270034,6.435033,6.270034,6.435033,593100,0.330002
1998-05-20,6.435032,6.476281,6.270033,6.270033,244600,0.330002
1998-05-21,6.270033,6.311282,6.270033,6.270033,1272900,0.330002
1998-05-22,6.270033,6.270033,5.775031,5.94003,2125200,0.330002
1998-05-26,5.94003,5.981278,5.795652,5.836906,714700,0.330002
1998-05-27,5.836906,6.06378,5.692529,5.919403,588400,0.330002
1998-05-28,5.919403,5.94003,5.857528,5.94003,250900,0.330002
1998-05-29,5.94003,5.981278,5.857528,5.919403,278700,0.330002
1998-06-01,5.878154,5.898781,5.589405,5.65128,441900,0.330002
1998-06-02,5.568779,5.589406,5.280029,5.548152,687700,0.330002
1998-06-03,5.52753,5.589405,5.506903,5.506903,197700,0.330002
1998-06-04,5.506903,5.610027,5.486276,5.610027,183300,0.330002
1998-06-05,5.568778,6.001905,5.568778,5.898781,314100,0.330002
1998-06-08,5.94003,6.063781,5.610027,5.775031,193800,0.330002
1998-06-09,5.775031,5.94003,5.733777,5.857528,215800,0.330002
1998-06-10,5.816279,5.857528,5.692529,5.754404,210400,0.330002
1998-06-11,5.775031,5.795652,5.713155,5.733777,313900,0.330002
1998-06-12,5.857528,5.878155,5.692529,5.713156,294900,0.330002
1998-06-15,5.65128,5.65128,5.383152,5.403779,125200,0.330002
1998-06-16,5.506903,5.692529,5.486276,5.610027,386100,0.330002
1998-06-17,5.692529,5.713156,5.568778,5.610027,202600,0.330002
1998-06-18,5.630654,5.754405,5.610027,5.713156,276300,0.330002
1998-06-19,5.692528,5.919403,5.671902,5.898781,411400,0.330002
1998-06-22,5.919403,5.919403,5.77503,5.898781,81900,0.330002
1998-06-23,5.919404,6.022532,5.754404,5.795653,145600,0.330002
1998-06-24,5.836907,5.836907,5.362526,5.362526,146500,0.330002
1998-06-25,5.445028,5.506903,5.362526,5.424401,308700,0.330002
1998-06-26,5.445028,5.52753,5.403779,5.445028,214200,0.330002
1998-06-29,5.486276,5.651281,5.445028,5.610027,346200,0.330002
1998-06-30,5.610027,6.105029,5.403779,6.105029,539200,0.330002
1998-07-01,5.94003,5.94003,5.486276,5.52753,208000,0.330002
1998-07-02,5.610026,5.610026,5.465654,5.465654,179400,0.330002
1998-07-06,5.486276,5.610027,5.465654,5.506903,184600,0.330002
1998-07-07,5.548152,5.548152,5.465654,5.506903,158400,0.330002
1998-07-08,5.506903,5.548151,5.465654,5.486276,444000,0.330002
1998-07-09,5.486276,5.506903,5.383152,5.486276,301900,0.330002
1998-07-10,5.486276,5.52753,5.424401,5.52753,170400,0.330002
1998-07-13,5.52753,5.52753,5.341904,5.403779,314800,0.330002
1998-07-14,5.424401,5.486277,5.383153,5.445028,108900,0.330002
1998-07-15,5.486276,5.506903,5.362525,5.486276,511800,0.330002
1998-07-16,5.506903,5.775031,5.506903,5.775031,392400,0.330002
1998-07-17,5.81628,5.857528,5.630654,5.775031,377500,0.330002
1998-07-20,5.733777,5.81628,5.733777,5.775031,200200,0.330002
1998-07-21,5.733777,5.816279,5.568778,5.65128,499000,0.330002
1998-07-22,5.692529,5.94003,5.692529,5.919403,415300,0.330002
1998-07-23,5.94003,6.022532,5.65128,5.692529,447400,0.330002
1998-07-24,5.713156,5.713156,5.52753,5.630654,129700,0.330002
1998-07-27,5.52753,5.733778,5.52753,5.713156,211600,0.330002
1998-07-28,5.65128,5.775031,5.610027,5.754404,109000,0.330002
1998-07-29,5.725632,5.787642,5.684288,5.684288,98700,0.330722
1998-07-30,5.663621,5.828981,5.642949,5.787642,341800,0.330722
1998-07-31,5.787642,6.035683,5.787642,5.870319,196500,0.330722
1998-08-03,5.82898,5.849652,5.808308,5.82898,98800,0.330722
1998-08-04,5.808308,5.82898,5.684288,5.746298,272700,0.330722
1998-08-05,5.725631,5.787641,5.725631,5.725631,183100,0.330722
1998-08-06,5.684288,5.787642,5.684288,5.76697,161200,0.330722
1998-08-07,5.76697,5.953002,5.76697,5.911663,187600,0.330722
1998-08-10,5.87032,5.953002,5.87032,5.93233,120100,0.330722
1998-08-11,5.849652,5.849652,5.746298,5.76697,202900,0.330722
1998-08-12,5.76697,5.849652,5.76697,5.787642,86800,0.330722
1998-08-13,5.76697,5.911663,5.76697,5.911663,75600,0.330722
1998-08-14,5.870319,5.870319,5.76697,5.76697,132900,0.330722
1998-08-17,5.725631,5.82898,5.684287,5.82898,89200,0.330722
1998-08-18,5.808309,5.911663,5.808309,5.870319,67300,0.330722
1998-08-19,5.849652,5.870319,5.704959,5.725631,160600,0.330722
1998-08-20,5.787641,5.849652,5.787641,5.82898,93100,0.330722
1998-08-21,5.787642,5.787642,5.663621,5.746298,111700,0.330722
1998-08-24,5.746299,5.746299,5.64295,5.70496,50700,0.330722
1998-08-25,5.746298,5.76697,5.684288,5.684288,50800,0.330722
1998-08-26,5.498256,5.518928,5.332897,5.415579,156700,0.330722
1998-08-27,5.250215,5.270887,4.299392,4.712793,379600,0.330722
1998-08-28,4.774803,4.898824,4.34073,4.692121,188100,0.330722
1998-08-31,4.733464,4.795474,4.299391,4.299391,122800,0.330722
1998-09-01,4.50609,4.898824,4.258048,4.836814,268900,0.330722
1998-09-02,4.836814,4.878152,4.650782,4.692121,153700,0.330722
1998-09-03,4.692121,4.692121,4.5681,4.5681,73300,0.330722
1998-09-04,4.5681,4.630111,4.547433,4.588772,131200,0.330722
1998-09-08,4.671454,4.836813,4.63011,4.733464,41800,0.330722
1998-09-09,4.63011,4.754131,4.609443,4.754131,43000,0.330722
1998-09-10,4.754131,4.754131,4.506089,4.650782,253800,0.330722
1998-09-11,4.692121,4.774803,4.671454,4.712793,27300,0.330722
1998-09-14,4.754131,5.229548,4.754131,5.084855,83100,0.330722
1998-09-15,5.167538,5.229548,5.043517,5.229548,70200,0.330722
1998-09-16,5.208876,5.5396,5.208876,5.5396,77100,0.330722
1998-09-17,5.374236,5.498257,5.291559,5.498257,49000,0.330722
1998-09-18,5.477589,5.663621,5.477589,5.622277,131100,0.330722
1998-09-21,5.5396,5.663621,5.498256,5.622277,46600,0.330722
1998-09-22,5.622277,5.622277,5.518928,5.60161,73800,0.330722
1998-09-23,5.560267,5.622277,5.291558,5.622277,61500,0.330722
1998-09-24,5.580938,5.580938,5.394907,5.394907,69300,0.330722
1998-09-25,5.353569,5.353569,5.208876,5.208876,341100,0.330722
1998-09-28,5.167538,5.415579,4.878152,4.898824,184000,0.330722
1998-09-29,4.940162,4.940162,4.754131,4.878152,100500,0.330722
1998-09-30,4.836813,4.836813,4.63011,4.754131,37800,0.330722
1998-10-01,4.712792,4.712792,4.299391,4.299391,67300,0.330722
1998-10-02,4.299391,4.547433,4.299391,4.526761,90900,0.330722
1998-10-05,4.588772,4.712793,4.547433,4.588772,68700,0.330722
1998-10-06,4.630111,4.630111,4.361402,4.50609,47100,0.330722
1998-10-07,4.547434,4.547434,4.05135,4.175371,91500,0.330722
1998-10-08,4.134027,4.134027,3.637943,3.658615,175000,0.330722
1998-10-09,3.699954,4.216709,3.637943,4.11336,67000,0.330722
1998-10-12,4.154699,4.630111,4.154699,4.50609,72900,0.330722
1998-10-13,4.50609,4.50609,4.340731,4.402741,31200,0.330722
1998-10-14,4.361402,4.547433,4.361402,4.444079,46200,0.330722
1998-10-15,4.485422,4.754131,4.299391,4.754131,62700,0.330722
1998-10-16,4.960834,5.064183,4.878152,4.981506,83400,0.330722
1998-10-19,5.022845,5.622277,5.002173,5.560267,226000,0.330722
1998-10-20,5.5396,5.560267,5.291558,5.5396,140500,0.330722
1998-10-21,5.498256,5.498256,5.374235,5.394907,60600,0.330722
1998-10-22,5.374236,5.394908,5.043517,5.126194,75000,0.330722
1998-10-23,5.126194,5.126194,5.084855,5.105527,86100,0.330722
1998-10-26,5.188204,5.312225,5.188204,5.312225,110100,0.330722
1998-10-27,5.312226,5.498257,5.312226,5.47759,152400,0.330722
1998-10-28,5.448746,5.531618,5.448746,5.531618,30600,0.331483
1998-10-29,5.510898,6.298173,5.510898,5.925255,400900,0.331483
1998-10-30,5.966689,5.966689,5.925256,5.94597,136800,0.331483
1998-11-02,5.925256,6.298174,5.925256,6.256735,231900,0.331483
1998-11-03,6.256735,6.256735,5.966689,6.028842,112600,0.331483
1998-11-04,6.111715,6.40176,6.090995,6.132429,275400,0.331483
1998-11-05,6.194582,6.381041,6.153148,6.318888,115300,0.331483
1998-11-06,6.298174,6.298174,6.236021,6.256735,68700,0.331483
1998-11-09,6.256735,6.298174,6.132429,6.256735,64000,0.331483
1998-11-10,6.256735,6.277454,6.028842,6.028842,88500,0.331483
1998-11-11,6.028842,6.028842,5.904536,5.966689,147700,0.331483
1998-11-12,5.945969,6.173867,5.945969,6.173867,203200,0.331483
1998-11-13,6.132429,6.298173,6.090995,6.090995,66600,0.331483
1998-11-16,6.049561,6.090995,5.987408,6.028842,44500,0.331483
1998-11-17,5.987408,6.049561,5.966689,5.987408,43600,0.331483
1998-11-18,6.028842,6.028842,5.966689,6.008123,19200,0.331483
1998-11-19,5.94597,5.966689,5.635205,5.635205,530100,0.331483
1998-11-20,5.635204,5.676643,5.593771,5.61449,89100,0.331483
1998-11-23,5.61449,5.842383,5.593771,5.800949,469600,0.331483
1998-11-24,5.842383,5.842383,5.510898,5.552337,2280700,0.331483
1998-11-25,5.552337,5.593771,5.303725,5.552337,405000,0.331483
1998-11-27,5.469465,5.552337,5.386592,5.552337,50100,0.331483
1998-11-30,5.552338,5.635205,5.490185,5.573052,300900,0.331483
1998-12-01,5.531618,5.676643,5.531618,5.676643,204700,0.331483
1998-12-02,5.61449,5.75951,5.61449,5.738796,102600,0.331483
1998-12-03,5.75951,5.863102,5.738796,5.800949,163800,0.331483
1998-12-04,5.80095,5.842383,5.614491,5.697358,93300,0.331483
1998-12-07,5.75951,5.842383,5.676643,5.738796,382900,0.331483
1998-12-08,5.78023,5.863102,5.718077,5.78023,1096000,0.331483
1998-12-09,5.759511,5.842383,5.676643,5.718077,49300,0.331483
1998-12-10,5.842383,5.842383,5.510899,5.531618,397300,0.331483
1998-12-11,5.510898,5.510898,5.324439,5.365878,71800,0.331483
1998-12-14,5.345159,5.386592,5.262286,5.303725,188500,0.331483
1998-12-15,5.303725,5.386593,5.262287,5.345159,72300,0.331483
1998-12-16,5.365878,5.593771,5.324439,5.552337,767700,0.331483
1998-12-17,5.573052,5.635205,5.552338,5.635205,568200,0.331483
1998-12-18,5.655924,5.697358,5.593771,5.635205,235500,0.331483
1998-12-21,5.614491,5.655924,5.552338,5.635205,620700,0.331483
1998-12-22,5.635204,5.655924,5.552337,5.61449,403000,0.331483
1998-12-23,5.573052,5.676644,5.220853,5.573052,738400,0.331483
1998-12-24,5.552337,5.655924,5.552337,5.655924,150700,0.331483
1998-12-28,5.635205,5.676643,5.573052,5.655924,344400,0.331483
1998-12-29,5.655924,5.78023,5.635205,5.759511,684600,0.331483
1998-12-30,5.75951,6.173867,5.75951,6.049561,475200,0.331483
1998-12-31,6.028842,6.070276,5.966689,6.008123,287200,0.331483
1999-01-04,6.008123,6.111715,6.008123,6.070276,232900,0.331483
1999-01-05,6.049561,6.298173,6.049561,6.298173,374200,0.331483
1999-01-06,6.298173,6.339607,6.215301,6.277454,375400,0.331483
1999-01-07,6.236021,6.298174,5.966689,6.008123,220300,0.331483
1999-01-08,6.049561,6.070276,5.676643,5.718077,298200,0.331483
1999-01-11,5.759511,5.842383,5.593771,5.593771,313500,0.331483
