date,open,high,low,close,volume,adjrate
2001-06-20,10.541614,10.761231,10.497691,10.497691,11000,0.439234
2001-06-21,10.761231,11.200465,10.761231,11.200465,39300,0.439234
2001-06-22,11.200466,11.266351,11.200466,11.244389,33800,0.439234
2001-06-25,11.376159,11.639699,11.376159,11.639699,9100,0.439234
2001-06-26,11.639699,11.639699,11.485967,11.617738,109800,0.439234
2001-06-27,11.617738,11.683623,11.613346,11.683623,185300,0.439234
2001-06-28,11.771469,12.078933,11.771469,12.078933,66000,0.439234
2001-06-29,12.100894,12.342473,12.100894,12.29855,71300,0.439234
2001-07-02,12.29855,12.474244,12.29855,12.29855,69700,0.439234
2001-07-03,12.302942,12.368827,12.302942,12.320511,56200,0.439234
2001-07-05,12.320512,12.320512,12.272197,12.276589,61900,0.439234
2001-07-06,12.276589,13.177018,11.815393,13.177018,3337400,0.439234
2001-07-09,13.177018,13.748022,13.089171,13.137487,1674700,0.439234
2001-07-10,13.137487,13.18141,12.540128,12.540128,1210400,0.439234
2001-07-11,12.496206,12.742176,12.465458,12.518167,2426400,0.439234
2001-07-12,12.52256,13.264865,12.52256,12.93544,1294600,0.439234
2001-07-13,12.891516,13.185803,12.733392,12.737784,709500,0.439234
2001-07-16,12.737783,13.005717,12.526951,12.627975,593900,0.439234
2001-07-17,12.627975,13.067209,12.610406,12.996932,837100,0.439234
2001-07-18,12.966185,13.177017,12.926654,12.953008,396600,0.439234
2001-07-19,12.931047,12.9574,12.654329,12.69386,303600,0.439234
2001-07-20,12.649937,12.803669,12.649937,12.720214,519000,0.439234
2001-07-23,12.720214,12.742176,12.56209,12.742176,206100,0.439234
2001-07-24,12.715822,12.869553,12.623583,12.728999,268600,0.439234
2001-07-25,12.724606,13.084779,12.627975,12.979362,385200,0.439234
2001-07-26,12.913478,13.155057,12.816847,13.146272,208500,0.439234
2001-07-27,13.141879,13.418596,13.133094,13.409812,274600,0.439234
2001-07-30,13.414204,14.121371,13.414204,13.888577,289200,0.439234
2001-07-31,13.879793,14.714337,13.879793,14.503505,357300,0.439234
2001-08-01,14.538643,15.056939,14.538643,14.933954,759800,0.439234
2001-08-02,14.911992,15.0218,14.784614,14.806575,365500,0.439234
2001-08-03,14.714336,14.736297,14.319025,14.340988,139800,0.439234
2001-08-06,14.406872,14.450797,14.090625,14.116978,161700,0.439234
2001-08-07,14.116978,14.362949,14.099408,14.253141,186400,0.439234
2001-08-08,14.275102,14.319025,14.055485,14.270711,322400,0.439234
2001-08-09,14.275103,14.319025,14.209217,14.279494,169400,0.439234
2001-08-10,14.279493,14.38491,14.099408,14.121371,328500,0.439234
2001-08-13,14.116978,14.116978,14.051094,14.055486,396200,0.439234
2001-08-14,14.49472,14.49472,14.266318,14.402481,269000,0.439234
2001-08-15,14.406873,14.538642,14.055486,14.055486,307000,0.439234
2001-08-16,14.055486,14.121372,13.967639,14.055486,280600,0.439234
2001-08-17,14.033525,14.165294,13.963247,14.160903,211200,0.439234
2001-08-20,14.182865,14.182865,14.055486,14.064271,150900,0.439234
2001-08-21,14.055486,14.253142,14.055486,14.187256,321800,0.439234
2001-08-22,14.143333,14.332204,14.121372,14.275103,234300,0.439234
2001-08-23,14.165294,14.275103,14.143333,14.23118,72300,0.439234
2001-08-24,14.209217,14.23118,14.143333,14.209217,69600,0.439234
2001-08-27,14.209216,14.376126,14.209216,14.340988,80900,0.439234
2001-08-28,14.371735,14.371735,14.191649,14.222395,241000,0.439234
2001-08-29,14.222395,14.380519,14.187255,14.376126,261600,0.439234
2001-08-30,14.354165,14.547427,14.354165,14.499111,182300,0.439234
2001-08-31,14.604528,15.092078,14.604528,15.092078,277600,0.439234
2001-09-04,15.087685,15.41711,15.078902,15.329265,760800,0.439234
2001-09-05,15.329265,15.329265,14.806576,14.810969,296900,0.439234
2001-09-06,14.802184,14.802184,14.420051,14.49472,333900,0.439234
2001-09-07,14.49472,14.516681,14.275103,14.336595,186200,0.439234
2001-09-10,14.275103,14.433227,14.275103,14.384911,179400,0.439234
2001-09-17,14.055486,14.077447,13.172626,13.216549,279800,0.439234
2001-09-18,13.216549,13.51962,13.168233,13.506443,389000,0.439234
2001-09-19,13.550367,13.704099,13.326358,13.53719,222200,0.439234
2001-09-20,13.484482,13.550367,12.869554,13.119918,653700,0.439234
2001-09-21,12.474243,13.133094,12.188741,13.018893,685900,0.439234
2001-09-24,12.974971,13.177018,12.627976,12.926655,364400,0.439234
2001-09-25,12.926655,12.926655,12.43032,12.619191,245300,0.439234
2001-09-26,12.614798,12.614798,11.244389,11.244389,619500,0.439234
2001-09-27,11.244388,11.39812,10.897393,10.972063,597300,0.439234
2001-09-28,10.980848,11.52989,10.980848,11.402512,1213300,0.439234
2001-10-01,11.442044,12.403966,11.420082,12.399574,208600,0.439234
