date,open,high,low,close,volume,adjrate
1970-01-02,1.860521,1.891325,1.835879,1.885164,45600,0.049285
1970-01-05,1.885164,1.915967,1.866682,1.866682,32800,0.049285
1970-01-06,1.866681,1.872842,1.85436,1.872842,48400,0.049285
1970-01-07,1.860521,1.860521,1.835878,1.835878,31200,0.049285
1970-01-08,1.835879,1.860521,1.823557,1.8482,40400,0.049285
1970-01-09,1.842039,1.842039,1.823557,1.823557,35600,0.049285
1970-01-12,1.823557,1.842039,1.805075,1.805075,30400,0.049285
1970-01-13,1.805075,1.823557,1.792754,1.823557,14800,0.049285
1970-01-14,1.823557,1.842039,1.811236,1.823557,36800,0.049285
1970-01-15,1.823557,1.835878,1.811236,1.823557,53200,0.049285
1970-01-16,1.823557,1.842039,1.817396,1.817396,62800,0.049285
1970-01-19,1.817396,1.817396,1.798914,1.798914,32000,0.049285
1970-01-20,1.798914,1.817396,1.798914,1.798914,34000,0.049285
1970-01-21,1.798915,1.811236,1.792754,1.792754,12800,0.049285
1970-01-22,1.792754,1.817397,1.774272,1.811236,77200,0.049285
1970-01-23,1.811235,1.811235,1.786593,1.798914,72400,0.049285
1970-01-26,1.792754,1.792754,1.718826,1.731147,173600,0.049285
1970-01-27,1.74606,1.764701,1.739846,1.739846,71200,0.04971
1970-01-28,1.739847,1.74606,1.708778,1.708778,168800,0.04971
1970-01-29,1.702564,1.702564,1.69635,1.69635,45200,0.04971
1970-01-30,1.69635,1.702564,1.671495,1.671495,102000,0.04971
1970-02-02,1.671495,1.683922,1.659068,1.671495,61200,0.04971
1970-02-03,1.671495,1.739846,1.671495,1.714991,56400,0.04971
1970-02-04,1.714992,1.739847,1.714992,1.733633,44800,0.04971
1970-02-05,1.727419,1.727419,1.708778,1.721205,20800,0.04971
1970-02-06,1.721205,1.733633,1.708778,1.708778,34400,0.04971
1970-02-09,1.708778,1.714992,1.690137,1.690137,84000,0.04971
1970-02-10,1.677709,1.677709,1.634213,1.64664,54400,0.04971
1970-02-11,1.646641,1.690137,1.646641,1.683923,228400,0.04971
1970-02-12,1.683923,1.708778,1.665282,1.677709,34400,0.04971
1970-02-13,1.67771,1.702564,1.665282,1.690137,31200,0.04971
1970-02-16,1.690137,1.702564,1.671495,1.702564,73200,0.04971
1970-02-17,1.702564,1.702564,1.690137,1.690137,23200,0.04971
1970-02-18,1.702564,1.764701,1.702564,1.752274,63200,0.04971
1970-02-19,1.752274,1.770915,1.752274,1.770915,18800,0.04971
1970-02-20,1.770915,1.789556,1.74606,1.770915,34400,0.04971
1970-02-24,1.752274,1.752274,1.677709,1.683923,418800,0.04971
1970-02-25,1.683923,1.708778,1.640427,1.708778,144000,0.04971
1970-02-26,1.69635,1.69635,1.64664,1.677709,46000,0.04971
1970-02-27,1.677709,1.702564,1.677709,1.69635,31600,0.04971
1970-03-02,1.696351,1.708778,1.67771,1.690137,45600,0.04971
1970-03-03,1.708777,1.739846,1.708777,1.739846,116400,0.04971
1970-03-04,1.739846,1.758488,1.727419,1.727419,38800,0.04971
1970-03-05,1.727419,1.770915,1.727419,1.758488,50800,0.04971
1970-03-06,1.758488,1.783343,1.746061,1.783343,57600,0.04971
1970-03-09,1.764701,1.764701,1.752274,1.764701,65200,0.04971
1970-03-10,1.758488,1.758488,1.727419,1.727419,115600,0.04971
1970-03-11,1.727418,1.733632,1.714991,1.714991,21200,0.04971
1970-03-12,1.714991,1.727419,1.683923,1.702564,59200,0.04971
1970-03-13,1.69635,1.69635,1.677709,1.677709,18000,0.04971
1970-03-16,1.665282,1.665282,1.646641,1.665282,32800,0.04971
1970-03-17,1.659068,1.659068,1.621786,1.634213,22400,0.04971
1970-03-18,1.640427,1.665281,1.640427,1.652854,20400,0.04971
1970-03-19,1.652855,1.665282,1.646641,1.665282,22000,0.04971
1970-03-20,1.659068,1.659068,1.64664,1.652854,16400,0.04971
1970-03-23,1.652854,1.671495,1.652854,1.659068,23600,0.04971
1970-03-24,1.659068,1.671495,1.640427,1.652854,23600,0.04971
1970-03-25,1.652854,1.714992,1.652854,1.708778,81200,0.04971
1970-03-26,1.714992,1.733633,1.714992,1.733633,56400,0.04971
1970-03-30,1.733632,1.739846,1.727419,1.739846,32400,0.04971
1970-03-31,1.739847,1.739847,1.727419,1.733633,38400,0.04971
1970-04-01,1.739847,1.770915,1.739847,1.752274,30000,0.04971
1970-04-02,1.752274,1.770915,1.746061,1.758488,36000,0.04971
1970-04-03,1.758487,1.764701,1.739846,1.739846,14000,0.04971
1970-04-06,1.739846,1.764701,1.739846,1.739846,38800,0.04971
1970-04-07,1.739846,1.74606,1.727419,1.727419,17600,0.04971
1970-04-08,1.727418,1.733632,1.714991,1.714991,16800,0.04971
1970-04-09,1.714991,1.727418,1.714991,1.714991,22800,0.04971
1970-04-10,1.714991,1.721205,1.690136,1.69635,46800,0.04971
1970-04-13,1.690136,1.690136,1.671495,1.671495,20800,0.04971
1970-04-14,1.671496,1.702564,1.652855,1.690137,32800,0.04971
1970-04-15,1.690136,1.690136,1.665281,1.671495,20000,0.04971
1970-04-16,1.671495,1.677709,1.665281,1.671495,13600,0.04971
1970-04-17,1.671495,1.690136,1.665282,1.677709,27600,0.04971
1970-04-20,1.665282,1.665282,1.652854,1.659068,26000,0.04971
1970-04-21,1.659068,1.671496,1.652855,1.665282,29600,0.04971
1970-04-22,1.665282,1.665282,1.640427,1.640427,60400,0.04971
1970-04-23,1.640427,1.640427,1.565862,1.565862,54400,0.04971
1970-04-24,1.565862,1.572076,1.52858,1.547221,58400,0.04971
1970-04-27,1.562278,1.568552,1.499536,1.499536,35200,0.050194
1970-04-28,1.499536,1.530907,1.461891,1.499536,91200,0.050194
1970-04-29,1.499537,1.562279,1.486988,1.562279,26800,0.050194
1970-04-30,1.587375,1.618746,1.587375,1.612472,44000,0.050194
1970-05-01,1.599923,1.599923,1.524633,1.556004,28400,0.050194
1970-05-04,1.537181,1.537181,1.493262,1.499536,88400,0.050194
1970-05-05,1.499537,1.524634,1.493263,1.505811,51600,0.050194
1970-05-06,1.505811,1.556004,1.486988,1.518359,24000,0.050194
1970-05-07,1.518359,1.543455,1.499536,1.499536,38400,0.050194
