date,open,high,low,close,volume,adjrate
1993-06-22,1.505668,1.505668,1.302982,1.331937,22363200,0.115821
1993-06-23,1.360892,1.389847,1.331937,1.360892,3168800,0.115821
1993-06-24,1.360892,1.389847,1.360892,1.360892,703200,0.115821
1993-06-25,1.360892,1.418802,1.360892,1.389847,1654400,0.115821
1993-06-28,1.389847,1.418802,1.389847,1.389847,1398400,0.115821
1993-06-29,1.418802,1.418802,1.360892,1.418802,756800,0.115821
1993-06-30,1.360892,1.360892,1.302982,1.302982,1027200,0.115821
1993-07-01,1.360892,1.360892,1.302982,1.360892,627200,0.115821
1993-07-02,1.360892,1.360892,1.302982,1.302982,213600,0.115821
1993-07-06,1.302982,1.360892,1.302982,1.302982,141600,0.115821
1993-07-07,1.245072,1.274027,1.158206,1.230594,1111200,0.115821
1993-07-08,1.187161,1.274026,1.187161,1.216116,648800,0.115821
1993-07-09,1.187161,1.245071,1.187161,1.245071,255200,0.115821
1993-07-12,1.187161,1.245071,1.187161,1.216116,828000,0.115821
1993-07-13,1.187161,1.274027,1.187161,1.259549,182400,0.115821
1993-07-14,1.245071,1.389847,1.245071,1.360892,583200,0.115821
1993-07-15,1.360892,1.389847,1.331937,1.389847,230400,0.115821
1993-07-16,1.389847,1.389847,1.331937,1.331937,128800,0.115821
1993-07-19,1.389847,1.389847,1.331937,1.360892,692000,0.115821
1993-07-20,1.331937,1.389847,1.331937,1.360892,68800,0.115821
1993-07-21,1.331937,1.389847,1.331937,1.331937,35200,0.115821
1993-07-22,1.360892,1.389847,1.360892,1.360892,448800,0.115821
1993-07-23,1.360892,1.389847,1.245071,1.288504,332800,0.115821
1993-07-26,1.245071,1.245071,1.187161,1.245071,286400,0.115821
1993-07-27,1.187161,1.245071,1.187161,1.187161,411200,0.115821
1993-07-28,1.216116,1.245071,1.187161,1.187161,70400,0.115821
1993-07-29,1.245072,1.274027,1.187162,1.274027,144800,0.115821
1993-07-30,1.216116,1.274026,1.201638,1.245071,984800,0.115821
1993-08-02,1.216116,1.245071,1.216116,1.216116,64000,0.115821
1993-08-03,1.216116,1.245071,1.216116,1.216116,64000,0.115821
1993-08-04,1.245071,1.245071,1.216116,1.216116,65600,0.115821
1993-08-05,1.216116,1.245071,1.216116,1.216116,39200,0.115821
1993-08-06,1.216116,1.245071,1.216116,1.216116,23200,0.115821
1993-08-09,1.216116,1.245071,1.216116,1.216116,51200,0.115821
1993-08-10,1.187161,1.216116,1.129251,1.158206,568800,0.115821
1993-08-11,1.129251,1.129251,0.984475,1.100296,1015200,0.115821
1993-08-12,1.100296,1.100296,1.042385,1.056863,1605600,0.115821
1993-08-13,1.042385,1.100295,1.042385,1.042385,319200,0.115821
1993-08-16,1.042386,1.158206,1.042386,1.100296,200000,0.115821
1993-08-17,1.100296,1.158206,1.100296,1.100296,459200,0.115821
1993-08-18,1.100296,1.158206,1.100296,1.129251,50400,0.115821
1993-08-19,1.100295,1.129251,1.042385,1.114773,548000,0.115821
1993-08-20,1.042386,1.129251,1.042386,1.100296,8000,0.115821
1993-08-23,1.129251,1.129251,1.085818,1.085818,49600,0.115821
1993-08-24,1.07134,1.12925,1.07134,1.07134,9600,0.115821
1993-08-25,1.100295,1.12925,1.07134,1.07134,48000,0.115821
1993-08-26,1.07134,1.12925,1.056862,1.07134,176800,0.115821
1993-08-27,1.07134,1.12925,1.07134,1.07134,64000,0.115821
1993-08-30,1.12925,1.12925,1.07134,1.07134,89600,0.115821
1993-08-31,1.071341,1.129251,1.071341,1.129251,23200,0.115821
1993-09-01,1.056862,1.100295,1.056862,1.07134,138400,0.115821
1993-09-02,1.129251,1.129251,1.071341,1.100296,479200,0.115821
1993-09-03,1.100296,1.129251,1.071341,1.129251,395200,0.115821
1993-09-07,1.129251,1.129251,1.042386,1.100296,280800,0.115821
1993-09-08,1.042385,1.100296,0.984475,0.984475,715200,0.115821
1993-09-09,1.042385,1.07134,0.984475,1.07134,97600,0.115821
1993-09-10,1.07134,1.07134,1.01343,1.07134,194400,0.115821
1993-09-13,1.042385,1.07134,1.01343,1.07134,52000,0.115821
1993-09-14,1.071341,1.129251,1.01343,1.129251,582400,0.115821
1993-09-15,1.100295,1.245071,1.100295,1.245071,358400,0.115821
1993-09-16,1.187161,1.245071,1.158206,1.216116,76000,0.115821
1993-09-17,1.158206,1.245071,1.158206,1.158206,145600,0.115821
1993-09-20,1.158206,1.158206,1.158206,1.158206,38400,0.115821
1993-09-21,1.158206,1.158206,1.042385,1.056863,268000,0.115821
1993-09-22,1.071341,1.129251,1.071341,1.100296,80000,0.115821
1993-09-23,1.129251,1.158206,1.100296,1.100296,360800,0.115821
1993-09-24,1.143728,1.158206,1.100296,1.158206,92000,0.115821
1993-09-27,1.158206,1.245071,1.12925,1.245071,378400,0.115821
1993-09-28,1.201639,1.302982,1.187162,1.274027,1453600,0.115821
1993-09-29,1.302982,1.360892,1.274027,1.331937,96000,0.115821
1993-09-30,1.360892,1.418802,1.360892,1.389847,468000,0.115821
1993-10-01,1.418802,1.418802,1.360892,1.360892,623200,0.115821
