date,open,high,low,close,volume,adjrate
1987-12-30,2.095959,2.173587,2.080437,2.095959,1086700,0.124205
1987-12-31,2.127012,2.127012,2.080437,2.095959,402000,0.124205
1988-01-04,2.127011,2.189109,2.111481,2.189109,416300,0.124205
1988-01-05,2.235693,2.251215,2.220162,2.235693,937900,0.124205
1988-01-06,2.235693,2.251215,2.235693,2.235693,185400,0.124205
1988-01-07,2.20464,2.251215,2.20464,2.251215,398000,0.124205
1988-01-08,2.235693,2.235693,2.111481,2.111481,511400,0.124205
1988-01-11,2.173587,2.20464,2.173587,2.20464,952200,0.124205
1988-01-12,2.189109,2.189109,2.142534,2.158065,262800,0.124205
1988-01-13,2.158065,2.158065,2.111481,2.111481,280500,0.124205
1988-01-14,2.111481,2.111481,2.111481,2.111481,10100,0.124205
1988-01-15,2.173587,2.20464,2.173587,2.20464,116800,0.124205
1988-01-18,2.20464,2.20464,2.189109,2.20464,38700,0.124205
1988-01-19,2.173587,2.189109,2.173587,2.173587,150700,0.124205
1988-01-20,2.173587,2.173587,2.127012,2.127012,129700,0.124205
1988-01-21,2.095959,2.111481,2.080437,2.111481,340200,0.124205
1988-01-22,2.111481,2.111481,2.111481,2.111481,130400,0.124205
1988-01-25,2.142534,2.158065,2.142534,2.142534,97100,0.124205
1988-01-26,2.111481,2.111481,2.111481,2.111481,35900,0.124205
1988-01-27,2.095959,2.095959,2.080437,2.080437,83500,0.124205
1988-01-28,2.080437,2.095959,2.049384,2.095959,50200,0.124205
1988-01-29,2.111481,2.111481,2.064906,2.064906,11500,0.124205
1988-02-01,2.095959,2.111481,2.095959,2.095959,41400,0.124205
1988-02-02,2.127012,2.127012,2.111481,2.127012,198300,0.124205
1988-02-03,2.127012,2.158065,2.095959,2.095959,1116600,0.124205
1988-02-04,2.080437,2.080437,2.049384,2.080437,365400,0.124205
1988-02-05,2.049384,2.064906,2.049384,2.049384,41400,0.124205
1988-02-08,1.956225,1.971755,1.92518,1.92518,222700,0.124205
1988-02-09,1.925181,1.925181,1.847552,1.878597,1112500,0.124205
1988-02-10,1.894128,1.894128,1.863075,1.894128,410200,0.124205
1988-02-11,1.909649,1.940702,1.909649,1.92518,754500,0.124205
1988-02-12,1.90965,1.940703,1.90965,1.940703,398000,0.124205
1988-02-16,1.971756,2.002809,1.971756,2.002809,434600,0.124205
1988-02-17,2.064906,2.111481,2.064906,2.080437,1223900,0.124205
1988-02-18,2.064906,2.111481,2.064906,2.095959,546000,0.124205
1988-02-19,2.095959,2.127012,2.095959,2.127012,168400,0.124205
1988-02-22,2.158065,2.220162,2.158065,2.220162,719200,0.124205
1988-02-23,2.20464,2.20464,2.158065,2.173587,211900,0.124205
1988-02-24,2.095959,2.127012,2.080437,2.111481,1335900,0.124205
1988-02-25,2.080437,2.095959,2.049384,2.049384,1617100,0.124205
1988-02-26,2.080437,2.080437,2.049384,2.080437,99100,0.124205
1988-02-29,2.049384,2.080437,2.033853,2.080437,162300,0.124205
1988-03-01,2.111481,2.111481,2.080437,2.080437,199000,0.124205
1988-03-02,2.111481,2.142534,2.111481,2.142534,156200,0.124205
1988-03-03,2.142534,2.142534,2.095959,2.111481,877500,0.124205
1988-03-04,2.127012,2.158065,2.127012,2.142534,904600,0.124205
1988-03-07,2.220162,2.282268,2.20464,2.251215,558300,0.124205
1988-03-08,2.220162,2.235693,2.189109,2.235693,1431700,0.124205
1988-03-09,2.282268,2.313321,2.266737,2.282268,729400,0.124205
1988-03-10,2.282268,2.29779,2.251215,2.251215,1409300,0.124205
1988-03-11,2.235693,2.266737,2.235693,2.266737,67900,0.124205
1988-03-14,2.251215,2.266737,2.251215,2.266737,1048600,0.124205
1988-03-15,2.266737,2.266737,2.266737,2.266737,162300,0.124205
1988-03-16,2.266737,2.282268,2.251215,2.282268,498500,0.124205
