date,open,high,low,close,volume,adjrate
1962-01-02,0.167483,0.170275,0.165808,0.166925,21600,0.002233
1962-01-03,0.166087,0.166087,0.164692,0.16525,14800,0.002233
1962-01-04,0.16525,0.166646,0.1619,0.163296,18400,0.002233
1962-01-05,0.163296,0.163575,0.156318,0.159109,27300,0.002233
1962-01-08,0.159109,0.159109,0.154085,0.15883,31000,0.002233
1962-01-09,0.15883,0.161063,0.157713,0.159667,23300,0.002233
1962-01-10,0.159668,0.161342,0.159109,0.160505,19600,0.002233
1962-01-11,0.160505,0.160784,0.157713,0.160784,16300,0.002233
1962-01-12,0.160784,0.161063,0.157993,0.158551,16900,0.002233
1962-01-15,0.15883,0.160784,0.15883,0.160226,21200,0.002233
1962-01-16,0.160225,0.162179,0.159109,0.161621,13900,0.002233
1962-01-17,0.161343,0.161343,0.156876,0.157993,21400,0.002233
1962-01-18,0.157992,0.159667,0.157713,0.159667,14800,0.002233
1962-01-19,0.159667,0.161063,0.159667,0.161063,13300,0.002233
1962-01-22,0.161342,0.163575,0.161342,0.161621,14200,0.002233
1962-01-23,0.161063,0.161063,0.157993,0.158551,22800,0.002233
1962-01-24,0.15855,0.162179,0.157992,0.161621,16000,0.002233
1962-01-25,0.161622,0.162738,0.15883,0.159947,15900,0.002233
1962-01-26,0.159946,0.160225,0.15883,0.159388,10100,0.002233
1962-01-29,0.159388,0.160225,0.159109,0.159667,10200,0.002233
1962-01-30,0.161622,0.164134,0.161622,0.162459,17800,0.002233
1962-01-31,0.162459,0.167483,0.162179,0.167483,18800,0.002233
1962-02-01,0.167484,0.168321,0.164692,0.166367,25700,0.002233
1962-02-02,0.166367,0.167204,0.16525,0.167204,14800,0.002233
1962-02-05,0.166925,0.166925,0.164134,0.164134,14100,0.002233
1962-02-06,0.164691,0.166366,0.164691,0.165808,10400,0.002233
1962-02-07,0.165808,0.167483,0.16525,0.167483,16900,0.002233
1962-02-08,0.167483,0.1686,0.167204,0.1686,17600,0.002233
1962-02-09,0.168599,0.168599,0.165529,0.167762,15100,0.002233
1962-02-12,0.167762,0.16832,0.166925,0.167762,8200,0.002233
1962-02-13,0.168041,0.169716,0.168041,0.169716,12100,0.002233
1962-02-14,0.169716,0.17167,0.169437,0.171112,16200,0.002233
1962-02-15,0.171391,0.174182,0.171391,0.173624,18700,0.002233
1962-02-16,0.173625,0.173904,0.171112,0.172508,23400,0.002233
1962-02-19,0.172508,0.173345,0.170275,0.171112,15600,0.002233
1962-02-20,0.171112,0.171112,0.1686,0.170833,10700,0.002233
1962-02-21,0.170833,0.171671,0.169158,0.170275,10800,0.002233
1962-02-23,0.170275,0.170554,0.168321,0.1686,16300,0.002233
1962-02-26,0.1686,0.169158,0.164971,0.166367,12600,0.002233
1962-02-27,0.166366,0.167483,0.166087,0.167483,9300,0.002233
1962-02-28,0.167483,0.168042,0.166088,0.166646,16600,0.002233
1962-03-01,0.167483,0.169716,0.167483,0.169716,9100,0.002233
1962-03-02,0.169996,0.17195,0.169996,0.170833,12600,0.002233
1962-03-05,0.171112,0.172508,0.171112,0.171112,13900,0.002233
1962-03-06,0.171112,0.171391,0.168042,0.1686,9400,0.002233
1962-03-07,0.168599,0.170553,0.168599,0.169716,10100,0.002233
1962-03-08,0.169717,0.172787,0.169158,0.172229,17700,0.002233
