date,open,high,low,close,volume,adjrate
1980-03-17,0.477799,0.501106,0.477799,0.480712,460800,0.023307
1980-03-18,0.480712,0.489452,0.477798,0.489452,545600,0.023307
1980-03-19,0.489453,0.501106,0.486539,0.492366,964800,0.023307
1980-03-20,0.492366,0.495279,0.483625,0.495279,649600,0.023307
1980-03-21,0.489452,0.489452,0.480712,0.486539,280000,0.023307
1980-03-24,0.486539,0.495279,0.483626,0.492366,892800,0.023307
1980-03-25,0.489452,0.489452,0.483626,0.486539,433600,0.023307
1980-03-26,0.489452,0.498192,0.489452,0.498192,574400,0.023307
1980-03-27,0.495279,0.495279,0.477799,0.486539,800000,0.023307
1980-03-28,0.486539,0.524413,0.486539,0.5215,1092800,0.023307
1980-03-31,0.521499,0.533153,0.512759,0.527326,705600,0.023307
1980-04-01,0.527327,0.544807,0.527327,0.544807,209600,0.023307
1980-04-02,0.544807,0.568114,0.536067,0.559374,582400,0.023307
1980-04-03,0.559373,0.562287,0.54772,0.55646,1022400,0.023307
1980-04-07,0.55646,0.562287,0.536066,0.55646,2164800,0.023307
1980-04-08,0.556461,0.576854,0.553547,0.573941,1268800,0.023307
1980-04-09,0.573941,0.582681,0.571028,0.579768,350400,0.023307
1980-04-10,0.579768,0.582681,0.579768,0.582681,297600,0.023307
1980-04-11,0.582681,0.582681,0.576854,0.576854,424000,0.023307
1980-04-14,0.573941,0.573941,0.553547,0.553547,833600,0.023307
1980-04-15,0.553547,0.556461,0.544807,0.550634,684800,0.023307
1980-04-16,0.550633,0.550633,0.541893,0.54772,419200,0.023307
1980-04-17,0.544806,0.544806,0.530239,0.541893,505600,0.023307
1980-04-18,0.544807,0.54772,0.544807,0.544807,225600,0.023307
1980-04-21,0.544807,0.54772,0.544807,0.544807,72000,0.023307
1980-04-22,0.544807,0.55646,0.544807,0.553547,1769600,0.023307
1980-04-23,0.553547,0.562287,0.54772,0.54772,1368000,0.023307
1980-04-24,0.54772,0.54772,0.533153,0.533153,1704000,0.023307
1980-04-25,0.527327,0.527327,0.518587,0.5215,443200,0.023307
1980-04-28,0.5215,0.53024,0.5215,0.53024,1140800,0.023307
1980-04-29,0.530239,0.54772,0.530239,0.541893,947200,0.023307
1980-04-30,0.541894,0.550634,0.53898,0.550634,492800,0.023307
1980-05-01,0.550634,0.559374,0.544807,0.544807,3822400,0.023307
1980-05-02,0.544806,0.550633,0.536066,0.541893,598400,0.023307
1980-05-05,0.541893,0.553547,0.541893,0.553547,324800,0.023307
1980-05-06,0.556461,0.568114,0.556461,0.565201,3662400,0.023307
1980-05-07,0.565201,0.591421,0.559374,0.582681,4131200,0.023307
1980-05-08,0.582681,0.591421,0.582681,0.582681,524800,0.023307
1980-05-09,0.585594,0.585594,0.585594,0.585594,227200,0.023307
