date,open,high,low,close,volume,adjrate
1981-12-31,0.977069,0.980605,0.973534,0.978248,674400,0.018858
1982-01-04,0.982962,0.990034,0.973533,0.980605,914400,0.018858
1982-01-05,0.973533,0.978247,0.968819,0.973533,876000,0.018858
1982-01-06,0.961748,0.968819,0.952319,0.954676,770400,0.018858
1982-01-07,0.93346,0.947604,0.91696,0.919317,1250400,0.018858
1982-01-08,0.942889,0.961747,0.921674,0.952318,902400,0.018858
1982-01-11,0.947604,0.961748,0.931104,0.933461,835200,0.018858
1982-01-12,0.921674,0.931103,0.909888,0.931103,506400,0.018858
1982-01-13,0.921674,0.928746,0.914603,0.91696,1408800,0.018858
1982-01-14,0.902817,0.91696,0.886316,0.893388,830400,0.018858
1982-01-15,0.90046,0.905174,0.893388,0.905174,936000,0.018858
1982-01-18,0.907531,0.914603,0.90046,0.914603,688800,0.018858
1982-01-19,0.914603,0.924032,0.902817,0.902817,1039200,0.018858
1982-01-20,0.891031,0.898102,0.883959,0.893388,607200,0.018858
1982-01-21,0.893388,0.898102,0.888674,0.893388,904800,0.018858
1982-01-22,0.893388,0.898102,0.888673,0.898102,1020000,0.018858
1982-01-25,0.893388,0.895745,0.888673,0.895745,1658400,0.018858
1982-01-26,0.90046,0.902817,0.895745,0.902817,612000,0.018858
1982-01-27,0.900459,0.900459,0.898102,0.898102,100800,0.018858
1982-01-28,0.893388,0.898102,0.888673,0.898102,1795200,0.018858
1982-01-29,0.900459,0.902817,0.895745,0.895745,772800,0.018858
1982-02-01,0.893387,0.895745,0.888673,0.888673,139200,0.018858
1982-02-02,0.883959,0.888674,0.876888,0.879245,492000,0.018858
1982-02-03,0.869815,0.879244,0.858029,0.858029,326400,0.018858
1982-02-04,0.846244,0.850958,0.841529,0.848601,1740000,0.018858
1982-02-05,0.8486,0.853315,0.843886,0.846243,1348800,0.018858
1982-02-08,0.841528,0.843886,0.836814,0.836814,501600,0.018858
1982-02-09,0.834457,0.836814,0.829743,0.834457,1368000,0.018858
1982-02-10,0.839171,0.846243,0.8321,0.846243,840000,0.018858
1982-02-11,0.846244,0.850958,0.841529,0.848601,1915200,0.018858
1982-02-12,0.850958,0.850958,0.848601,0.848601,777600,0.018858
1982-02-16,0.846243,0.8486,0.843886,0.843886,847200,0.018858
1982-02-17,0.843886,0.846243,0.841529,0.843886,734400,0.018858
1982-02-18,0.843886,0.846243,0.841529,0.843886,794400,0.018858
1982-02-19,0.841529,0.843886,0.839172,0.841529,799200,0.018858
1982-02-22,0.846243,0.8486,0.841529,0.843886,1250400,0.018858
1982-02-23,0.841529,0.843886,0.839172,0.839172,856800,0.018858
1982-02-24,0.843886,0.843886,0.841529,0.843886,496800,0.018858
1982-02-25,0.846243,0.8486,0.841529,0.846243,2095200,0.018858
1982-02-26,0.846243,0.8486,0.841529,0.846243,1886400,0.018858
1982-03-01,0.841529,0.843886,0.836814,0.843886,993600,0.018858
1982-03-02,0.834458,0.841529,0.827386,0.827386,1080000,0.018858
1982-03-03,0.813243,0.825029,0.801457,0.806171,1807200,0.018858
1982-03-04,0.78967,0.796742,0.782598,0.78967,753600,0.018858
1982-03-05,0.794384,0.810885,0.777884,0.810885,2664000,0.018858
1982-03-08,0.814805,0.821973,0.807637,0.810026,499200,0.019116
1982-03-09,0.807637,0.817195,0.798079,0.812416,3837600,0.019116
1982-03-10,0.819585,0.826753,0.810027,0.821974,504000,0.019116
1982-03-11,0.819584,0.824363,0.812416,0.824363,379200,0.019116
1982-03-12,0.819584,0.821974,0.814806,0.817195,211200,0.019116
1982-03-15,0.819584,0.824363,0.814805,0.824363,794400,0.019116
1982-03-16,0.824363,0.826753,0.819585,0.821974,333600,0.019116
1982-03-17,0.826753,0.831531,0.821974,0.829142,552000,0.019116
1982-03-18,0.829142,0.831531,0.824363,0.824363,223200,0.019116
1982-03-19,0.829142,0.83631,0.821974,0.824363,609600,0.019116
1982-03-22,0.826753,0.831532,0.821974,0.826753,554400,0.019116
1982-03-23,0.821974,0.831532,0.812416,0.817195,1442400,0.019116
1982-03-24,0.812416,0.817195,0.807637,0.807637,854400,0.019116
1982-03-25,0.810026,0.812416,0.805248,0.807637,729600,0.019116
1982-03-26,0.807636,0.810026,0.802858,0.805247,530400,0.019116
1982-03-29,0.807637,0.814805,0.800468,0.810026,1610400,0.019116
1982-03-30,0.800469,0.810026,0.788521,0.802858,1161600,0.019116
1982-03-31,0.788522,0.805248,0.769406,0.769406,849600,0.019116
1982-04-01,0.759848,0.769406,0.75029,0.764627,1675200,0.019116
1982-04-02,0.776574,0.786131,0.764626,0.783742,2011200,0.019116
1982-04-05,0.7933,0.798079,0.786132,0.798079,962400,0.019116
1982-04-06,0.810027,0.821974,0.798079,0.821974,1555200,0.019116
1982-04-07,0.83392,0.841089,0.824363,0.831531,1562400,0.019116
1982-04-08,0.845868,0.853036,0.83631,0.850647,2546400,0.019116
1982-04-12,0.855426,0.857815,0.853036,0.857815,463200,0.019116
1982-04-13,0.867373,0.876931,0.855426,0.876931,1310400,0.019116
1982-04-14,0.88171,0.886489,0.876932,0.879321,1814400,0.019116
1982-04-15,0.867373,0.87932,0.855426,0.862594,1939200,0.019116
1982-04-16,0.864984,0.879321,0.850647,0.879321,1171200,0.019116
1982-04-19,0.884099,0.893657,0.874541,0.888878,684000,0.019116
1982-04-20,0.874541,0.888878,0.860205,0.867373,662400,0.019116
1982-04-21,0.862595,0.867373,0.855426,0.864984,336000,0.019116
1982-04-22,0.874542,0.8841,0.864984,0.874542,674400,0.019116
1982-04-23,0.888879,0.896047,0.88171,0.896047,676800,0.019116
1982-04-26,0.903215,0.907994,0.896047,0.907994,1111200,0.019116
1982-04-27,0.903215,0.910383,0.893657,0.903215,556800,0.019116
1982-04-28,0.905605,0.910384,0.898437,0.905605,516000,0.019116
1982-04-29,0.903216,0.910384,0.896047,0.905605,813600,0.019116
1982-04-30,0.917552,0.92472,0.907994,0.917552,799200,0.019116
1982-05-03,0.915163,0.917552,0.910384,0.910384,703200,0.019116
1982-05-04,0.917552,0.922331,0.912773,0.917552,688800,0.019116
1982-05-05,0.922331,0.92472,0.917552,0.917552,184800,0.019116
1982-05-06,0.92472,0.927109,0.919941,0.92472,352800,0.019116
1982-05-07,0.922331,0.92711,0.917552,0.922331,1305600,0.019116
1982-05-10,0.922331,0.92472,0.919941,0.92472,628800,0.019116
1982-05-11,0.9295,0.934278,0.924721,0.931889,1622400,0.019116
1982-05-12,0.931888,0.934278,0.927109,0.929499,276000,0.019116
1982-05-13,0.934278,0.939057,0.929499,0.929499,3290400,0.019116
1982-05-14,0.9295,0.931889,0.92711,0.92711,513600,0.019116
1982-05-17,0.929499,0.931888,0.92472,0.929499,760800,0.019116
1982-05-18,0.92711,0.931889,0.922331,0.92711,540000,0.019116
1982-05-19,0.927109,0.929499,0.922331,0.92472,429600,0.019116
1982-05-20,0.919941,0.922331,0.917552,0.917552,763200,0.019116
1982-05-21,0.922331,0.92472,0.919941,0.92472,304800,0.019116
1982-05-24,0.927109,0.929499,0.922331,0.92472,446400,0.019116
1982-05-25,0.9295,0.931889,0.924721,0.92711,484800,0.019116
1982-05-26,0.92472,0.927109,0.922331,0.92472,2534400,0.019116
1982-05-27,0.922331,0.92472,0.919941,0.922331,2188800,0.019116
1982-05-28,0.922331,0.92472,0.917552,0.917552,451200,0.019116
1982-06-01,0.907994,0.92472,0.888878,0.893657,513600,0.019116
1982-06-02,0.903215,0.907994,0.896047,0.903215,1629600,0.019116
1982-06-03,0.907994,0.910383,0.903215,0.907994,667200,0.019116
1982-06-04,0.900825,0.907994,0.893657,0.893657,472800,0.019116
1982-06-07,0.886489,0.891268,0.879321,0.879321,648000,0.019116
