date,open,high,low,close,volume,adjrate
2002-02-13,7.96882,8.32897,7.886027,8.32069,19054000,0.413965
2002-02-14,8.424181,8.440739,8.217198,8.279293,2755400,0.413965
2002-02-15,8.279293,8.299991,8.155104,8.237897,2097400,0.413965
2002-02-19,8.1965,8.1965,7.761837,7.906725,1852600,0.413965
2002-02-20,7.948122,8.175802,7.886026,8.175802,1723200,0.413965
2002-02-21,8.146824,8.217198,8.072311,8.155104,1744200,0.413965
2002-02-22,8.217198,8.217198,7.948122,8.010216,881400,0.413965
2002-02-25,7.989518,8.134406,7.898446,8.072311,863400,0.413965
2002-02-26,8.030915,8.155104,7.902585,8.072311,690400,0.413965
2002-02-27,8.010216,8.014356,7.865328,7.927423,1022800,0.413965
2002-02-28,7.948122,8.051613,7.906725,7.906725,687800,0.413965
2002-03-01,7.886026,8.093009,7.857049,8.018496,478400,0.413965
2002-03-04,8.051613,8.200639,8.039193,8.155104,795200,0.413965
2002-03-05,8.113708,8.134406,7.931563,7.96882,861200,0.413965
2002-03-06,7.96468,8.043333,7.948122,8.010216,329200,0.413965
2002-03-07,8.010216,8.527672,8.010216,8.453158,675200,0.413965
2002-03-08,8.403482,8.693257,8.403482,8.651861,400200,0.413965
2002-03-11,8.610465,8.858844,8.589767,8.763632,1365600,0.413965
2002-03-12,8.693258,9.065826,8.693258,8.776051,1454800,0.413965
2002-03-13,8.776051,8.90024,8.54837,8.701537,1265800,0.413965
2002-03-14,8.701537,8.776051,8.627024,8.693258,424200,0.413965
2002-03-15,8.693258,8.734655,8.237897,8.424181,427000,0.413965
2002-03-18,8.44488,8.44488,7.886027,7.989518,551800,0.413965
2002-03-19,8.051612,8.07231,7.699742,7.741139,807400,0.413965
2002-03-20,7.679044,7.679044,7.037399,7.459643,2309000,0.413965
2002-03-21,7.459643,7.968819,7.459643,7.761837,1106800,0.413965
2002-03-22,7.761838,8.109568,7.662486,7.989518,623600,0.413965
