date,open,high,low,close,volume,adjrate
2001-01-02,256.0,256.0,32.0,32.0,12700,160.0
2001-01-03,243.2,243.2,30.4,30.4,0,160.0
2001-01-04,30.4,30.4,30.4,30.4,0,160.0
2001-01-05,256.0,256.0,32.0,32.0,100,160.0
2001-01-08,32.0,32.0,32.0,32.0,0,160.0
2001-01-09,32.0,32.0,32.0,32.0,0,160.0
2001-01-10,32.0,32.0,32.0,32.0,0,160.0
2001-01-11,32.0,32.0,32.0,32.0,0,160.0
2001-01-12,32.0,32.0,32.0,32.0,0,160.0
2001-01-15,32.0,32.0,32.0,32.0,0,160.0
2001-01-16,281.6,281.6,33.6,33.6,100,160.0
2001-01-17,33.6,33.6,33.6,33.6,0,160.0
2001-01-18,256.0,256.0,32.0,32.0,0,160.0
2001-01-19,32.0,32.0,32.0,32.0,0,160.0
2001-01-22,256.0,256.0,32.0,32.0,0,160.0
2001-01-23,32.0,32.0,32.0,32.0,0,160.0
2001-01-24,256.0,256.0,30.4,30.4,0,160.0
2001-01-25,30.4,30.4,30.4,30.4,0,160.0
2001-01-26,30.4,30.4,30.4,30.4,0,160.0
2001-01-29,30.4,30.4,30.4,30.4,0,160.0
2001-01-30,230.4,230.4,28.8,28.8,300,160.0
2001-01-31,28.8,28.8,28.8,28.8,0,160.0
2001-02-01,243.2,243.2,30.4,30.4,0,160.0
2001-02-02,243.2,243.2,30.4,30.4,100,160.0
2001-02-05,30.4,30.4,30.4,30.4,0,160.0
2001-02-06,256.0,256.0,32.0,32.0,0,160.0
2001-02-07,32.0,32.0,32.0,32.0,0,160.0
2001-02-08,230.4,230.4,27.2,27.2,200,160.0
2001-02-09,27.2,27.2,27.2,27.2,0,160.0
2001-02-12,256.0,256.0,28.8,28.8,100,160.0
2001-02-13,28.8,28.8,28.8,28.8,0,160.0
2001-02-14,28.8,28.8,28.8,28.8,0,160.0
2001-02-15,28.8,28.8,28.8,28.8,0,160.0
2001-02-16,28.8,28.8,28.8,28.8,0,160.0
2001-02-19,243.2,243.2,27.2,27.2,400,160.0
2001-02-20,217.6,217.6,27.2,27.2,0,160.0
2001-02-21,27.2,27.2,27.2,27.2,0,160.0
2001-02-22,27.2,27.2,27.2,27.2,0,160.0
2001-02-23,217.6,217.6,27.2,27.2,0,160.0
2001-02-26,27.2,27.2,27.2,27.2,0,160.0
2001-02-27,217.6,217.6,27.2,27.2,300,160.0
2001-02-28,27.2,27.2,27.2,27.2,0,160.0
2001-03-01,27.2,27.2,27.2,27.2,0,160.0
2001-03-02,179.2,179.2,22.4,22.4,0,160.0
2001-03-05,22.4,22.4,22.4,22.4,0,160.0
2001-03-06,22.4,22.4,22.4,22.4,0,160.0
2001-03-07,179.2,179.2,22.4,25.6,0,160.0
2001-03-08,179.2,179.2,20.8,20.8,0,160.0
2001-03-09,166.4,166.4,19.2,19.2,100,160.0
2001-03-12,19.2,19.2,19.2,19.2,0,160.0
2001-03-13,19.2,19.2,19.2,19.2,0,160.0
2001-03-14,19.2,19.2,19.2,19.2,0,160.0
2001-03-15,19.2,19.2,19.2,19.2,0,160.0
2001-03-16,19.2,19.2,19.2,19.2,0,160.0
2001-03-19,19.2,19.2,19.2,19.2,0,160.0
2001-03-20,166.4,166.4,20.8,20.8,100,160.0
2001-03-21,20.8,20.8,20.8,20.8,0,160.0
2001-03-22,20.8,20.8,20.8,20.8,0,160.0
2001-03-23,192.0,192.0,24.0,24.0,0,160.0
2001-03-26,24.0,24.0,24.0,24.0,0,160.0
2001-03-27,24.0,24.0,24.0,24.0,0,160.0
2001-03-28,153.6,153.6,19.2,19.2,0,160.0
2001-03-29,19.2,19.2,19.2,19.2,0,160.0
2001-03-30,192.0,192.0,24.0,24.0,0,160.0
2001-04-02,24.0,24.0,24.0,24.0,0,160.0
2001-04-03,24.0,24.0,24.0,24.0,0,160.0
2001-04-04,24.0,24.0,24.0,24.0,0,160.0
2001-04-05,153.6,153.6,19.2,19.2,0,160.0
2001-04-06,19.2,19.2,19.2,19.2,0,160.0
2001-04-09,204.8,204.8,25.6,25.6,0,160.0
2001-04-10,25.6,25.6,25.6,25.6,0,160.0
2001-04-11,25.6,25.6,25.6,25.6,0,160.0
2001-04-12,166.4,166.4,20.8,20.8,0,160.0
2001-04-13,20.8,20.8,20.8,20.8,0,160.0
2001-04-16,20.8,20.8,20.8,20.8,0,160.0
2001-04-17,153.6,153.6,19.2,19.2,0,160.0
2001-04-18,19.2,19.2,19.2,19.2,0,160.0
2001-04-19,19.2,19.2,19.2,19.2,0,160.0
2001-04-20,19.2,19.2,19.2,19.2,0,160.0
2001-04-23,19.2,19.2,19.2,19.2,0,160.0
2001-04-24,19.2,19.2,19.2,19.2,0,160.0
2001-04-25,19.2,19.2,19.2,19.2,0,160.0
2001-04-26,19.2,19.2,19.2,19.2,0,160.0
2001-04-27,19.2,19.2,19.2,19.2,0,160.0
2001-04-30,19.2,19.2,19.2,19.2,0,160.0
2001-05-01,19.2,19.2,19.2,19.2,0,160.0
2001-05-02,19.2,19.2,19.2,19.2,0,160.0
2001-05-03,19.2,19.2,19.2,19.2,0,160.0
2001-05-04,19.2,19.2,19.2,19.2,0,160.0
2001-05-07,19.2,19.2,19.2,19.2,0,160.0
2001-05-08,19.2,19.2,19.2,19.2,0,160.0
2001-05-09,19.2,19.2,19.2,19.2,0,160.0
2001-05-10,19.2,19.2,19.2,19.2,0,160.0
2001-05-11,140.8,140.8,17.6,17.6,0,160.0
2001-05-14,17.6,17.6,17.6,17.6,0,160.0
2001-05-15,179.2,179.2,22.4,24.0,100,160.0
2001-05-16,24.0,24.0,24.0,24.0,0,160.0
2001-05-17,204.8,204.8,25.6,25.6,0,160.0
2001-05-18,25.6,25.6,25.6,25.6,0,160.0
2001-05-21,25.6,25.6,25.6,25.6,0,160.0
2001-05-22,166.4,166.4,20.8,20.8,0,160.0
2001-05-23,20.8,20.8,20.8,20.8,0,160.0
2001-05-24,20.8,20.8,20.8,20.8,0,160.0
2001-05-25,20.8,20.8,20.8,20.8,0,160.0
2001-05-28,166.4,166.4,19.2,19.2,0,160.0
2001-05-29,19.2,19.2,19.2,19.2,0,160.0
2001-05-30,19.2,19.2,19.2,19.2,0,160.0
2001-05-31,19.2,19.2,19.2,19.2,0,160.0
2001-06-01,204.8,204.8,25.6,25.6,100,160.0
2001-06-04,153.6,153.6,19.2,19.2,0,160.0
2001-06-05,166.4,166.4,20.8,20.8,0,160.0
2001-06-06,20.8,20.8,20.8,20.8,0,160.0
2001-06-07,20.8,20.8,20.8,20.8,0,160.0
2001-06-08,20.8,20.8,20.8,20.8,0,160.0
2001-06-11,20.8,20.8,20.8,20.8,0,160.0
2001-06-12,166.4,166.4,20.8,20.8,0,160.0
2001-06-13,20.8,20.8,20.8,20.8,0,160.0
2001-06-14,20.8,20.8,20.8,20.8,0,160.0
2001-06-15,166.4,166.4,20.8,20.8,100,160.0
2001-06-18,20.8,20.8,20.8,20.8,0,160.0
2001-06-19,20.8,20.8,20.8,20.8,0,160.0
2001-06-20,153.6,153.6,19.2,19.2,0,160.0
2001-06-21,19.2,19.2,19.2,19.2,0,160.0
2001-06-22,19.2,19.2,19.2,19.2,0,160.0
2001-06-25,19.2,19.2,19.2,19.2,0,160.0
2001-06-26,19.2,19.2,19.2,19.2,0,160.0
2001-06-27,19.2,19.2,19.2,19.2,0,160.0
2001-06-28,19.2,19.2,19.2,19.2,0,160.0
2001-06-29,19.2,19.2,19.2,19.2,0,160.0
2001-07-02,19.2,19.2,19.2,19.2,0,160.0
2001-07-03,19.2,19.2,19.2,19.2,0,160.0
2001-07-04,166.4,166.4,20.8,20.8,0,160.0
2001-07-05,20.8,20.8,20.8,20.8,0,160.0
2001-07-06,20.8,20.8,20.8,20.8,0,160.0
2001-07-09,20.8,20.8,20.8,20.8,0,160.0
2001-07-10,153.6,153.6,19.2,19.2,0,160.0
2001-07-11,19.2,19.2,19.2,19.2,0,160.0
2001-07-12,19.2,19.2,19.2,19.2,0,160.0
2001-07-13,19.2,19.2,19.2,19.2,0,160.0
2001-07-16,19.2,19.2,19.2,19.2,0,160.0
2001-07-17,19.2,19.2,19.2,19.2,0,160.0
2001-07-18,153.6,153.6,17.6,17.6,200,160.0
2001-07-19,17.6,17.6,17.6,17.6,0,160.0
2001-07-20,17.6,17.6,17.6,17.6,0,160.0
2001-07-23,140.8,140.8,17.6,17.6,0,160.0
2001-07-24,17.6,17.6,17.6,17.6,0,160.0
2001-07-25,17.6,17.6,17.6,17.6,0,160.0
2001-07-26,17.6,17.6,17.6,17.6,0,160.0
2001-07-27,17.6,17.6,17.6,17.6,0,160.0
2001-07-30,17.6,17.6,17.6,17.6,0,160.0
2001-07-31,140.8,140.8,17.6,17.6,0,160.0
2001-08-01,153.6,153.6,19.2,19.2,0,160.0
2001-08-02,19.2,19.2,19.2,19.2,0,160.0
2001-08-03,19.2,19.2,19.2,19.2,0,160.0
2001-08-06,19.2,19.2,19.2,19.2,0,160.0
2001-08-07,19.2,19.2,19.2,19.2,0,160.0
2001-08-08,19.2,19.2,19.2,19.2,0,160.0
2001-08-09,19.2,19.2,19.2,19.2,0,160.0
2001-08-10,19.2,19.2,19.2,19.2,0,160.0
2001-08-13,140.8,140.8,17.6,17.6,0,160.0
2001-08-14,17.6,17.6,17.6,17.6,0,160.0
2001-08-15,17.6,17.6,17.6,17.6,0,160.0
2001-08-16,17.6,17.6,17.6,17.6,0,160.0
2001-08-17,17.6,17.6,17.6,17.6,0,160.0
2001-08-20,17.6,17.6,17.6,17.6,0,160.0
2001-08-21,17.6,17.6,17.6,17.6,0,160.0
2001-08-22,140.8,140.8,17.6,17.6,0,160.0
2001-08-23,140.8,140.8,17.6,17.6,0,160.0
2001-08-24,17.6,17.6,17.6,17.6,0,160.0
2001-08-27,140.8,140.8,17.6,17.6,0,160.0
2001-08-28,140.8,140.8,17.6,17.6,0,160.0
2001-08-29,17.6,17.6,17.6,17.6,0,160.0
2001-08-30,17.6,17.6,17.6,17.6,0,160.0
2001-08-31,17.6,17.6,17.6,17.6,0,160.0
2001-09-03,17.6,17.6,17.6,17.6,0,160.0
2001-09-04,17.6,17.6,17.6,17.6,0,160.0
2001-09-05,17.6,17.6,17.6,17.6,0,160.0
2001-09-06,140.8,140.8,16.0,16.0,300,160.0
2001-09-07,16.0,16.0,16.0,16.0,0,160.0
2001-09-10,16.0,16.0,16.0,16.0,0,160.0
2001-09-11,16.0,16.0,16.0,16.0,0,160.0
2001-09-12,16.0,16.0,16.0,16.0,0,160.0
2001-09-13,16.0,16.0,16.0,16.0,0,160.0
2001-09-14,128.0,128.0,16.0,16.0,0,160.0
2001-09-17,16.0,16.0,16.0,16.0,0,160.0
2001-09-18,128.0,128.0,16.0,16.0,0,160.0
2001-09-19,16.0,16.0,16.0,16.0,0,160.0
2001-09-20,128.0,128.0,16.0,16.0,0,160.0
2001-09-21,128.0,128.0,16.0,20.8,700,160.0
2001-09-24,20.8,20.8,20.8,20.8,0,160.0
2001-09-25,179.2,179.2,22.4,22.4,500,160.0
2001-09-26,22.4,22.4,22.4,22.4,0,160.0
2001-09-27,22.4,22.4,22.4,22.4,0,160.0
2001-09-28,22.4,22.4,22.4,22.4,0,160.0
2001-10-01,128.0,128.0,16.0,16.0,0,160.0
2001-10-02,16.0,16.0,16.0,16.0,0,160.0
2001-10-03,16.0,16.0,16.0,16.0,0,160.0
2001-10-04,16.0,16.0,16.0,16.0,0,160.0
2001-10-05,16.0,16.0,16.0,16.0,0,160.0
2001-10-08,16.0,16.0,16.0,16.0,0,160.0
2001-10-09,16.0,16.0,16.0,16.0,0,160.0
2001-10-10,16.0,16.0,16.0,16.0,0,160.0
2001-10-11,16.0,16.0,16.0,16.0,0,160.0
2001-10-12,16.0,16.0,16.0,16.0,0,160.0
2001-10-15,16.0,16.0,16.0,16.0,0,160.0
2001-10-16,128.0,128.0,16.0,16.0,0,160.0
2001-10-17,16.0,16.0,16.0,16.0,0,160.0
2001-10-18,16.0,16.0,16.0,16.0,0,160.0
2001-10-19,16.0,16.0,16.0,16.0,0,160.0
2001-10-22,128.0,128.0,16.0,16.0,0,160.0
2001-10-23,128.0,128.0,16.0,16.0,0,160.0
2001-10-24,16.0,16.0,16.0,16.0,0,160.0
2001-10-25,16.0,16.0,16.0,16.0,0,160.0
2001-10-26,16.0,16.0,16.0,16.0,0,160.0
2001-10-29,16.0,16.0,16.0,16.0,0,160.0
2001-10-30,140.8,140.8,17.6,17.6,0,160.0
2001-10-31,140.8,140.8,16.0,16.0,0,160.0
2001-11-01,16.0,16.0,16.0,16.0,0,160.0
2001-11-02,16.0,16.0,16.0,16.0,0,160.0
2001-11-05,16.0,16.0,16.0,16.0,0,160.0
2001-11-06,16.0,16.0,16.0,16.0,0,160.0
2001-11-07,16.0,16.0,16.0,16.0,0,160.0
2001-11-08,16.0,16.0,16.0,16.0,0,160.0
2001-11-09,16.0,16.0,16.0,16.0,0,160.0
2001-11-12,16.0,16.0,16.0,16.0,0,160.0
2001-11-13,16.0,16.0,16.0,16.0,0,160.0
2001-11-14,16.0,16.0,16.0,16.0,0,160.0
2001-11-15,16.0,16.0,16.0,16.0,0,160.0
2001-11-16,16.0,16.0,16.0,16.0,0,160.0
2001-11-19,16.0,16.0,16.0,16.0,0,160.0
2001-11-20,16.0,16.0,16.0,16.0,0,160.0
2001-11-21,16.0,16.0,16.0,16.0,0,160.0
2001-11-22,16.0,16.0,16.0,16.0,0,160.0
2001-11-23,16.0,16.0,16.0,16.0,0,160.0
2001-11-26,16.0,16.0,16.0,16.0,0,160.0
2001-11-27,16.0,16.0,16.0,16.0,0,160.0
2001-11-28,16.0,16.0,16.0,16.0,0,160.0
2001-11-29,16.0,16.0,16.0,16.0,0,160.0
2001-11-30,16.0,16.0,16.0,16.0,0,160.0
2001-12-03,16.0,16.0,16.0,16.0,0,160.0
2001-12-04,16.0,16.0,16.0,16.0,0,160.0
2001-12-05,16.0,16.0,16.0,16.0,0,160.0
2001-12-06,16.0,16.0,16.0,16.0,0,160.0
2001-12-07,16.0,16.0,16.0,16.0,0,160.0
2001-12-10,16.0,16.0,16.0,16.0,0,160.0
2001-12-11,16.0,16.0,16.0,16.0,0,160.0
2001-12-12,16.0,16.0,16.0,16.0,0,160.0
2001-12-13,16.0,16.0,16.0,16.0,0,160.0
2001-12-14,16.0,16.0,16.0,16.0,0,160.0
2001-12-17,16.0,16.0,16.0,16.0,0,160.0
2001-12-18,16.0,16.0,16.0,16.0,0,160.0
2001-12-19,16.0,16.0,16.0,16.0,0,160.0
2001-12-20,16.0,16.0,16.0,16.0,0,160.0
2001-12-21,16.0,16.0,16.0,16.0,0,160.0
2001-12-24,16.0,16.0,16.0,16.0,0,160.0
2001-12-25,16.0,16.0,16.0,16.0,0,160.0
2001-12-26,16.0,16.0,16.0,16.0,0,160.0
2001-12-27,16.0,16.0,16.0,16.0,0,160.0
2001-12-28,16.0,16.0,16.0,16.0,0,160.0
2001-12-31,16.0,16.0,16.0,16.0,0,160.0
2002-01-01,16.0,16.0,16.0,16.0,0,160.0
2002-01-02,16.0,16.0,16.0,16.0,0,160.0
2002-01-03,16.0,16.0,16.0,16.0,0,160.0
2002-01-04,16.0,16.0,16.0,16.0,0,160.0
2002-01-07,16.0,16.0,16.0,16.0,0,160.0
2002-01-08,16.0,16.0,16.0,16.0,0,160.0
2002-01-09,16.0,16.0,16.0,16.0,0,160.0
2002-01-10,16.0,16.0,16.0,16.0,0,160.0
2002-01-11,16.0,16.0,16.0,16.0,0,160.0
2002-01-14,16.0,16.0,16.0,16.0,0,160.0
2002-01-15,16.0,16.0,16.0,16.0,0,160.0
2002-01-16,16.0,16.0,16.0,16.0,0,160.0
2002-01-17,16.0,16.0,16.0,16.0,0,160.0
2002-01-18,16.0,16.0,16.0,16.0,0,160.0
2002-01-21,16.0,16.0,16.0,16.0,0,160.0
2002-01-22,16.0,16.0,16.0,16.0,0,160.0
2002-01-23,16.0,16.0,16.0,16.0,0,160.0
2002-01-24,16.0,16.0,16.0,16.0,0,160.0
2002-01-25,16.0,16.0,16.0,16.0,0,160.0
2002-01-28,16.0,16.0,16.0,16.0,0,160.0
2002-01-29,16.0,16.0,16.0,16.0,0,160.0
2002-01-30,16.0,16.0,16.0,16.0,0,160.0
2002-01-31,16.0,16.0,16.0,16.0,0,160.0
2002-02-01,16.0,16.0,16.0,16.0,0,160.0
2002-02-04,16.0,16.0,16.0,16.0,0,160.0
2002-02-05,16.0,16.0,16.0,16.0,0,160.0
2002-02-06,16.0,16.0,16.0,16.0,0,160.0
2002-02-07,16.0,16.0,16.0,16.0,0,160.0
2002-02-08,16.0,16.0,16.0,16.0,0,160.0
2002-02-11,16.0,16.0,16.0,16.0,0,160.0
2002-02-12,16.0,16.0,16.0,16.0,0,160.0
2002-02-13,16.0,16.0,16.0,16.0,0,160.0
2002-02-14,16.0,16.0,16.0,16.0,0,160.0
2002-02-15,16.0,16.0,16.0,16.0,0,160.0
2002-02-18,16.0,16.0,16.0,16.0,0,160.0
2002-02-19,16.0,16.0,16.0,16.0,0,160.0
2002-02-20,16.0,16.0,16.0,16.0,0,160.0
2002-02-21,16.0,16.0,16.0,16.0,0,160.0
2002-02-22,16.0,16.0,16.0,16.0,0,160.0
2002-02-25,16.0,16.0,16.0,16.0,0,160.0
2002-02-26,16.0,16.0,16.0,16.0,0,160.0
2002-02-27,16.0,16.0,16.0,16.0,0,160.0
2002-02-28,16.0,16.0,16.0,16.0,0,160.0
2002-03-01,16.0,16.0,16.0,16.0,0,160.0
2002-03-04,16.0,16.0,16.0,16.0,0,160.0
2002-03-05,16.0,16.0,16.0,16.0,0,160.0
2002-03-06,16.0,16.0,16.0,16.0,0,160.0
2002-03-07,16.0,16.0,16.0,16.0,0,160.0
2002-03-08,16.0,16.0,16.0,16.0,0,160.0
2002-03-11,16.0,16.0,16.0,16.0,0,160.0
2002-03-12,16.0,16.0,16.0,16.0,0,160.0
2002-03-13,16.0,16.0,16.0,16.0,0,160.0
2002-03-14,16.0,16.0,16.0,16.0,0,160.0
2002-03-15,16.0,16.0,16.0,16.0,0,160.0
2002-03-18,16.0,16.0,16.0,16.0,0,160.0
2002-03-19,16.0,16.0,16.0,16.0,0,160.0
2002-03-20,16.0,16.0,16.0,16.0,0,160.0
2002-03-21,16.0,16.0,16.0,16.0,0,160.0
2002-03-22,16.0,16.0,16.0,16.0,0,160.0
2002-03-25,16.0,16.0,16.0,16.0,0,160.0
2002-03-26,16.0,16.0,16.0,16.0,0,160.0
2002-03-27,16.0,16.0,16.0,16.0,0,160.0
2002-03-28,16.0,16.0,16.0,16.0,0,160.0
2002-03-29,16.0,16.0,16.0,16.0,0,160.0
2002-04-01,16.0,16.0,16.0,16.0,0,160.0
2002-04-02,16.0,16.0,16.0,16.0,0,160.0
2002-04-03,16.0,16.0,16.0,16.0,0,160.0
2002-04-04,16.0,16.0,16.0,16.0,0,160.0
2002-04-05,16.0,16.0,16.0,16.0,0,160.0
2002-04-08,16.0,16.0,16.0,16.0,0,160.0
2002-04-09,16.0,16.0,16.0,16.0,0,160.0
2002-04-10,16.0,16.0,16.0,16.0,0,160.0
2002-04-11,16.0,16.0,16.0,16.0,0,160.0
2002-04-12,16.0,16.0,16.0,16.0,0,160.0
2002-04-15,16.0,16.0,16.0,16.0,0,160.0
2002-04-16,16.0,16.0,16.0,16.0,0,160.0
