date,open,high,low,close,volume,adjrate
1982-01-04,2.879618,2.903157,2.856079,2.879618,356600,0.062771
1982-01-05,2.856078,2.89531,2.809,2.809,60200,0.062771
1982-01-06,2.793308,2.816847,2.769769,2.777615,176800,0.062771
1982-01-07,2.754075,2.785461,2.72269,2.72269,35800,0.062771
1982-01-08,2.74623,2.761922,2.722691,2.730537,51400,0.062771
1982-01-11,2.699151,2.746229,2.652073,2.652073,471600,0.062771
1982-01-12,2.63638,2.652072,2.620687,2.644226,63400,0.062771
1982-01-13,2.597148,2.63638,2.55007,2.565763,117600,0.062771
1982-01-14,2.55007,2.565763,2.526531,2.55007,29600,0.062771
1982-01-15,2.597148,2.620687,2.565763,2.597148,37200,0.062771
1982-01-18,2.612841,2.628534,2.589302,2.612841,14800,0.062771
1982-01-19,2.628533,2.652072,2.604994,2.620687,167000,0.062771
1982-01-20,2.612841,2.620687,2.597148,2.612841,22000,0.062771
1982-01-21,2.652073,2.683458,2.620687,2.675612,111800,0.062771
1982-01-22,2.675612,2.683459,2.667766,2.667766,58200,0.062771
1982-01-25,2.683458,2.699151,2.667766,2.699151,30000,0.062771
1982-01-26,2.730536,2.746229,2.714844,2.72269,187400,0.062771
1982-01-27,2.74623,2.777615,2.706998,2.754076,48200,0.062771
1982-01-28,2.801153,2.856078,2.738382,2.856078,610000,0.062771
1982-01-29,2.865631,2.889511,2.841751,2.881551,52400,0.063681
1982-02-01,2.84971,2.897471,2.80195,2.81787,96800,0.063681
1982-02-02,2.80195,2.81787,2.77807,2.77807,121200,0.063681
1982-02-03,2.746229,2.77011,2.714389,2.714389,48200,0.063681
1982-02-04,2.714389,2.746229,2.682548,2.738269,67600,0.063681
1982-02-05,2.754189,2.778069,2.722349,2.754189,24400,0.063681
1982-02-08,2.698468,2.738269,2.658668,2.658668,54200,0.063681
1982-02-09,2.618867,2.650708,2.579067,2.579067,124600,0.063681
1982-02-10,2.594988,2.618868,2.571108,2.602948,35600,0.063681
1982-02-11,2.610908,2.626828,2.594988,2.626828,48000,0.063681
1982-02-12,2.618868,2.626828,2.610908,2.610908,45000,0.063681
1982-02-16,2.594988,2.618868,2.571107,2.618868,88800,0.063681
1982-02-17,2.626828,2.634788,2.610908,2.618868,214200,0.063681
1982-02-18,2.626828,2.642748,2.602948,2.602948,66400,0.063681
1982-02-19,2.602947,2.618867,2.579067,2.579067,128400,0.063681
1982-02-22,2.579067,2.618868,2.539267,2.539267,152600,0.063681
1982-02-23,2.467626,2.515387,2.419866,2.451706,82600,0.063681
1982-02-24,2.475587,2.499467,2.443746,2.499467,74800,0.063681
1982-02-25,2.515387,2.523347,2.499467,2.507427,18000,0.063681
1982-02-26,2.499467,2.507427,2.491507,2.491507,52400,0.063681
1982-03-01,2.459666,2.483546,2.435786,2.451706,68000,0.063681
1982-03-02,2.419866,2.467626,2.364145,2.364145,31200,0.063681
1982-03-03,2.300464,2.356185,2.244744,2.284544,175600,0.063681
1982-03-04,2.268624,2.292505,2.236784,2.236784,120800,0.063681
1982-03-05,2.244744,2.252704,2.228824,2.236784,64000,0.063681
1982-03-08,2.260664,2.276584,2.244744,2.276584,44200,0.063681
1982-03-09,2.252704,2.292505,2.204944,2.228824,53800,0.063681
1982-03-10,2.252704,2.268624,2.228824,2.260664,152200,0.063681
1982-03-11,2.276584,2.284544,2.260664,2.276584,60400,0.063681
1982-03-12,2.268624,2.276584,2.260664,2.260664,37400,0.063681
1982-03-15,2.276584,2.300464,2.252704,2.284544,16800,0.063681
1982-03-16,2.300464,2.324344,2.276584,2.292504,36600,0.063681
1982-03-17,2.284544,2.308424,2.260664,2.268624,174000,0.063681
1982-03-18,2.260664,2.276584,2.244744,2.268624,123600,0.063681
1982-03-19,2.276584,2.284544,2.260664,2.268624,58800,0.063681
1982-03-22,2.268624,2.284544,2.244744,2.276584,701600,0.063681
1982-03-23,2.332305,2.372105,2.292504,2.364145,137200,0.063681
1982-03-24,2.348225,2.364145,2.324345,2.340265,141400,0.063681
1982-03-25,2.324345,2.340265,2.308425,2.308425,218400,0.063681
1982-03-26,2.268624,2.292504,2.236784,2.260664,107200,0.063681
1982-03-29,2.260664,2.276584,2.236784,2.244744,33800,0.063681
1982-03-30,2.228824,2.252704,2.196984,2.212904,38800,0.063681
1982-03-31,2.228824,2.244744,2.212904,2.228824,30800,0.063681
1982-04-01,2.228824,2.260664,2.189023,2.260664,36400,0.063681
1982-04-02,2.292504,2.300464,2.276584,2.292504,477800,0.063681
1982-04-05,2.300464,2.316384,2.284544,2.292504,53800,0.063681
1982-04-06,2.292505,2.300465,2.276585,2.300465,49400,0.063681
1982-04-07,2.324345,2.340265,2.308425,2.340265,57800,0.063681
1982-04-08,2.364145,2.380065,2.348225,2.372105,46600,0.063681
1982-04-12,2.403946,2.411906,2.388026,2.395986,251600,0.063681
1982-04-13,2.411906,2.435786,2.388026,2.395986,186400,0.063681
1982-04-14,2.435786,2.443746,2.427826,2.435786,36800,0.063681
1982-04-15,2.491507,2.547228,2.427826,2.491507,59000,0.063681
1982-04-16,2.523347,2.539267,2.499467,2.515387,81200,0.063681
1982-04-19,2.499466,2.515386,2.475586,2.483546,33000,0.063681
1982-04-20,2.491507,2.507427,2.467627,2.491507,443800,0.063681
1982-04-21,2.515387,2.547227,2.483546,2.531307,124200,0.063681
1982-04-22,2.555187,2.571107,2.531307,2.547227,47200,0.063681
1982-04-23,2.555187,2.571107,2.539267,2.571107,522600,0.063681
1982-04-26,2.571107,2.594987,2.547227,2.579067,52600,0.063681
1982-04-27,2.539268,2.587028,2.483547,2.491507,304800,0.063681
1982-04-28,2.475586,2.523347,2.419866,2.435786,591000,0.063681
1982-04-29,2.443746,2.467626,2.419866,2.459666,80000,0.063681
1982-04-30,2.469382,2.477478,2.461285,2.477478,99800,0.064771
1982-05-03,2.51796,2.542249,2.493671,2.51796,41400,0.064771
1982-05-04,2.542249,2.550345,2.534153,2.542249,36600,0.064771
1982-05-05,2.574634,2.60702,2.534153,2.590827,240400,0.064771
1982-05-06,2.598923,2.615116,2.58273,2.598923,49400,0.064771
1982-05-07,2.590827,2.598923,2.574634,2.574634,26400,0.064771
1982-05-10,2.574634,2.58273,2.558441,2.558441,21800,0.064771
1982-05-11,2.574634,2.590827,2.558442,2.566538,46600,0.064771
1982-05-12,2.582731,2.590827,2.566538,2.590827,48600,0.064771
1982-05-13,2.60702,2.623212,2.590827,2.590827,330800,0.064771
1982-05-14,2.598923,2.623212,2.566537,2.607019,228800,0.064771
1982-05-17,2.566538,2.607019,2.526056,2.526056,108200,0.064771
1982-05-18,2.493671,2.509863,2.477478,2.477478,33200,0.064771
1982-05-19,2.477478,2.49367,2.461285,2.461285,79000,0.064771
