date,open,high,low,close,volume,adjrate
2000-12-08,5.259554,7.608682,5.030878,6.6524,17149800,0.33262
2000-12-11,7.546317,7.567106,6.610823,7.047387,2919200,0.33262
2000-12-12,7.057765,7.068176,6.444513,6.610823,1077400,0.33262
2000-12-13,6.901866,6.943443,6.569245,6.610823,422400,0.33262
2000-12-14,6.647179,6.735556,6.610823,6.693978,265400,0.33262
2000-12-15,6.735556,6.735556,5.98716,6.693978,950200,0.33262
2000-12-18,6.81871,6.81871,6.465301,6.673189,483600,0.33262
2000-12-19,6.667967,6.673189,6.402935,6.527668,457400,0.33262
2000-12-20,6.444512,6.527668,5.98716,6.070315,1228800,0.33262
2000-12-21,6.007949,6.153471,5.904006,6.049527,1017400,0.33262
2000-12-22,6.195048,6.444512,6.15347,6.402935,416000,0.33262
2000-12-26,6.423724,6.444512,6.278203,6.31978,754000,0.33262
2000-12-27,6.28858,6.361358,6.070315,6.174259,361400,0.33262
2000-12-28,6.195048,6.444513,6.091104,6.195048,1048600,0.33262
2000-12-29,6.31978,6.693977,6.236625,6.569245,232800,0.33262
2001-01-02,6.709544,6.735555,6.215836,6.402935,330400,0.33262
2001-01-03,6.247003,6.444513,5.82085,5.862428,545400,0.33262
2001-01-04,5.966371,6.31978,5.862428,6.007949,287600,0.33262
2001-01-05,6.023516,6.153471,5.904005,6.028738,962000,0.33262
2001-01-08,5.98716,6.049526,5.82085,5.82085,631000,0.33262
2001-01-09,5.95596,5.98716,5.65454,5.737695,821800,0.33262
2001-01-10,5.716906,5.737695,5.571385,5.65454,976800,0.33262
2001-01-11,5.664918,6.153471,5.654541,6.049527,1357000,0.33262
2001-01-12,6.184637,6.402936,6.15347,6.361358,566200,0.33262
2001-01-16,6.527668,6.81871,6.278203,6.31978,663200,0.33262
2001-01-17,6.356136,6.610823,6.278203,6.444513,486000,0.33262
2001-01-18,6.480868,6.48609,6.15347,6.31978,292800,0.33262
2001-01-19,6.340569,6.402936,6.070315,6.111893,254200,0.33262
2001-01-22,6.195048,6.195048,5.862428,5.945583,764600,0.33262
2001-01-23,6.070316,6.111893,5.945583,5.945583,442600,0.33262
2001-01-24,5.950771,5.98716,5.633751,5.65454,1197200,0.33262
2001-01-25,5.737695,5.987161,5.405075,5.945583,985800,0.33262
2001-01-26,5.82085,6.444513,5.779273,6.195048,249000,0.33262
2001-01-29,6.314559,6.652401,6.195048,6.631612,206600,0.33262
2001-01-30,6.631611,6.673189,6.298991,6.673189,188800,0.33262
2001-01-31,6.574435,6.67319,6.444513,6.465302,84200,0.33262
2001-02-01,6.444513,6.673189,6.444513,6.610823,100600,0.33262
2001-02-02,6.673189,7.234486,6.6524,7.192908,477200,0.33262
2001-02-05,7.338429,8.107613,7.234485,7.941303,562400,0.33262
2001-02-06,8.060814,8.544177,7.941303,8.232346,585600,0.33262
2001-02-07,8.024458,8.315501,7.941303,8.107613,189400,0.33262
2001-02-08,8.071224,8.440233,8.066035,8.357078,451400,0.33262
2001-02-09,8.33629,8.377867,7.982881,7.982881,730200,0.33262
2001-02-12,8.066036,8.107614,7.816571,7.816571,2362200,0.33262
2001-02-13,7.920514,8.190768,7.774993,8.107613,228600,0.33262
2001-02-14,8.149191,8.190769,7.109753,7.400796,1363600,0.33262
2001-02-15,7.567106,7.650261,6.901866,7.068176,359400,0.33262
2001-02-16,7.047387,7.442373,6.693978,7.109753,264200,0.33262
2001-02-20,7.317641,7.317641,6.361358,6.527668,391400,0.33262
2001-02-21,6.408124,6.693978,6.278203,6.527668,196800,0.33262
2001-02-22,6.522446,6.527668,6.174259,6.174259,197400,0.33262
2001-02-23,6.153471,6.8395,6.111893,6.818711,122800,0.33262
2001-02-26,6.818711,7.151331,6.803111,7.057765,118600,0.33262
2001-02-27,7.151331,7.317641,7.109753,7.317641,271800,0.33262
2001-02-28,7.359218,7.359218,7.255274,7.276063,142600,0.33262
