date,open,high,low,close,volume,adjrate
1987-11-05,0.733548,0.747932,0.733548,0.74074,139200,0.028767
1987-11-06,0.747931,0.747931,0.737144,0.737144,68500,0.028767
1987-11-09,0.737144,0.737144,0.722761,0.733548,31600,0.028767
1987-11-10,0.726357,0.726357,0.719165,0.719165,148000,0.028767
1987-11-11,0.726356,0.733548,0.726356,0.729952,21100,0.028767
1987-11-12,0.733548,0.74074,0.722761,0.722761,164700,0.028767
1987-11-13,0.722761,0.744336,0.722761,0.744336,23700,0.028767
1987-11-16,0.737144,0.751527,0.737144,0.747931,177000,0.028767
1987-11-17,0.751527,0.751527,0.740739,0.747931,92700,0.028767
1987-11-18,0.747931,0.755123,0.744336,0.755123,273600,0.028767
1987-11-19,0.755123,0.755123,0.747931,0.751527,45200,0.028767
1987-11-20,0.755123,0.755123,0.744336,0.744336,15800,0.028767
1987-11-23,0.747932,0.762315,0.74074,0.762315,17100,0.028767
1987-11-24,0.769506,0.791081,0.769506,0.791081,214300,0.028767
1987-11-25,0.791081,0.791081,0.780294,0.791081,8300,0.028767
1987-11-27,0.78389,0.787485,0.776698,0.776698,42600,0.028767
1987-11-30,0.765911,0.769507,0.744336,0.762315,86100,0.028767
1987-12-01,0.765911,0.765911,0.751528,0.762315,32500,0.028767
1987-12-02,0.755123,0.755123,0.744335,0.747931,311000,0.028767
1987-12-03,0.751527,0.751527,0.733548,0.733548,39100,0.028767
1987-12-04,0.726357,0.726357,0.715569,0.719165,30300,0.028767
1987-12-07,0.726356,0.755123,0.726356,0.747931,112000,0.028767
1987-12-08,0.74074,0.74074,0.74074,0.74074,36500,0.028767
1987-12-09,0.747931,0.747931,0.737144,0.737144,39100,0.028767
1987-12-10,0.733548,0.747932,0.733548,0.74074,16700,0.028767
1987-12-11,0.744336,0.744336,0.733548,0.733548,15400,0.028767
1987-12-14,0.737144,0.758719,0.726357,0.758719,35600,0.028767
1987-12-15,0.755123,0.78389,0.755123,0.78389,29900,0.028767
1987-12-16,0.787485,0.791081,0.780294,0.791081,26400,0.028767
1987-12-17,0.791081,0.794677,0.78389,0.794677,35600,0.028767
1987-12-18,0.801869,0.801869,0.776698,0.776698,36500,0.028767
1987-12-21,0.78389,0.798273,0.776698,0.794677,21100,0.028767
1987-12-22,0.801869,0.805465,0.794678,0.805465,43000,0.028767
1987-12-23,0.805465,0.812657,0.794678,0.805465,43500,0.028767
1987-12-24,0.798273,0.805465,0.798273,0.805465,28500,0.028767
1987-12-28,0.798273,0.798273,0.776698,0.776698,14900,0.028767
1987-12-29,0.78389,0.78389,0.776698,0.78389,7900,0.028767
1987-12-30,0.783889,0.783889,0.769506,0.769506,24600,0.028767
1987-12-31,0.762314,0.791081,0.762314,0.791081,71600,0.028767
1988-01-04,0.791081,0.798273,0.783889,0.791081,47000,0.028767
1988-01-05,0.791082,0.805465,0.791082,0.805465,30700,0.028767
1988-01-06,0.801869,0.801869,0.798273,0.798273,24600,0.028767
1988-01-07,0.791081,0.801868,0.787485,0.791081,37300,0.028767
1988-01-08,0.783889,0.791081,0.776698,0.791081,18400,0.028767
1988-01-11,0.791081,0.798273,0.773102,0.791081,44400,0.028767
1988-01-12,0.791081,0.791081,0.776698,0.776698,28500,0.028767
1988-01-13,0.776698,0.776698,0.762314,0.769506,54900,0.028767
1988-01-14,0.776698,0.794677,0.776698,0.794677,18000,0.028767
1988-01-15,0.801869,0.805465,0.798273,0.798273,63200,0.028767
1988-01-18,0.805464,0.80906,0.787485,0.787485,80800,0.028767
1988-01-19,0.791082,0.791082,0.78389,0.78389,129100,0.028767
1988-01-20,0.787485,0.791081,0.776698,0.776698,130400,0.028767
1988-01-21,0.776698,0.798273,0.776698,0.780294,102800,0.028767
1988-01-22,0.787485,0.798273,0.783889,0.791081,25900,0.028767
1988-01-25,0.787486,0.798273,0.787486,0.798273,28500,0.028767
1988-01-26,0.798272,0.798272,0.776698,0.787485,33800,0.028767
1988-01-27,0.787485,0.794677,0.78389,0.794677,17600,0.028767
1988-01-28,0.798273,0.798273,0.791081,0.798273,22000,0.028767
1988-01-29,0.805465,0.80906,0.794677,0.798273,50100,0.028767
1988-02-01,0.802396,0.809757,0.802396,0.809757,60200,0.029446
1988-02-02,0.806076,0.817118,0.795034,0.809757,282400,0.029446
1988-02-03,0.806076,0.806076,0.795034,0.795034,148000,0.029446
1988-02-04,0.795034,0.806076,0.795034,0.806076,16300,0.029446
1988-02-05,0.809756,0.813437,0.798714,0.802395,83400,0.029446
1988-02-08,0.795034,0.802395,0.787672,0.802395,49600,0.029446
1988-02-09,0.798715,0.806076,0.795034,0.795034,63200,0.029446
1988-02-10,0.795034,0.806076,0.795034,0.806076,35600,0.029446
1988-02-11,0.806076,0.817118,0.795034,0.809757,54900,0.029446
1988-02-12,0.809757,0.817118,0.802395,0.817118,48800,0.029446
1988-02-16,0.820799,0.820799,0.806077,0.813438,31600,0.029446
1988-02-17,0.820799,0.831841,0.820799,0.82816,41700,0.029446
1988-02-18,0.820799,0.824479,0.813437,0.817118,18000,0.029446
1988-02-19,0.82448,0.82448,0.813438,0.813438,9200,0.029446
1988-02-22,0.820799,0.820799,0.809757,0.813438,16300,0.029446
1988-02-23,0.813438,0.820799,0.806077,0.813438,43900,0.029446
1988-02-24,0.813437,0.813437,0.802395,0.802395,69400,0.029446
1988-02-25,0.802395,0.802395,0.795034,0.802395,33800,0.029446
1988-02-26,0.802396,0.809757,0.798715,0.809757,50500,0.029446
1988-02-29,0.802395,0.802395,0.795034,0.795034,34700,0.029446
1988-03-01,0.798715,0.806076,0.795034,0.798715,79100,0.029446
1988-03-02,0.802395,0.802395,0.795034,0.802395,126100,0.029446
1988-03-03,0.795034,0.809757,0.795034,0.809757,33400,0.029446
1988-03-04,0.809757,0.809757,0.802396,0.809757,9200,0.029446
1988-03-07,0.813437,0.817118,0.809757,0.817118,16700,0.029446
1988-03-08,0.820799,0.820799,0.802395,0.802395,193200,0.029446
1988-03-09,0.806076,0.806076,0.802395,0.802395,31200,0.029446
