date,open,high,low,close,volume,adjrate
1987-11-05,0.351453,0.357309,0.351453,0.354385,400000,0.02343
1987-11-06,0.354385,0.354385,0.345598,0.348522,483200,0.02343
1987-11-09,0.333879,0.333879,0.31338,0.316312,1440000,0.02343
1987-11-10,0.310449,0.310449,0.295806,0.295806,3641600,0.02343
1987-11-11,0.301661,0.304593,0.284094,0.284094,1270400,0.02343
1987-11-12,0.287018,0.304593,0.287018,0.301661,1100800,0.02343
1987-11-13,0.301661,0.304593,0.295805,0.298737,956800,0.02343
1987-11-16,0.304593,0.304593,0.281163,0.292874,15500800,0.02343
1987-11-17,0.295805,0.295805,0.284094,0.284094,1612800,0.02343
1987-11-18,0.287018,0.292874,0.284094,0.292874,806400,0.02343
1987-11-19,0.287019,0.298738,0.287019,0.295806,464000,0.02343
1987-11-20,0.28995,0.28995,0.284094,0.284094,544000,0.02343
1987-11-23,0.278231,0.284094,0.278231,0.284094,582400,0.02343
1987-11-24,0.281162,0.287018,0.278231,0.287018,400000,0.02343
1987-11-25,0.284095,0.28995,0.275307,0.281163,752000,0.02343
1987-11-27,0.278231,0.281163,0.275307,0.275307,1792000,0.02343
1987-11-30,0.272375,0.272375,0.234302,0.257732,1190400,0.02343
1987-12-01,0.257733,0.260664,0.240158,0.251877,854400,0.02343
1987-12-02,0.246014,0.254801,0.24309,0.251877,387200,0.02343
1987-12-03,0.248945,0.254801,0.234302,0.240158,560000,0.02343
1987-12-04,0.237234,0.24309,0.225515,0.231371,572800,0.02343
1987-12-07,0.237234,0.237234,0.216728,0.225515,1046400,0.02343
1987-12-08,0.228447,0.246014,0.228447,0.246014,1478400,0.02343
1987-12-09,0.251877,0.281163,0.251877,0.278231,707200,0.02343
1987-12-10,0.272375,0.292874,0.260664,0.28995,860800,0.02343
1987-12-11,0.292874,0.295805,0.287018,0.287018,1318400,0.02343
1987-12-14,0.284095,0.284095,0.272376,0.281163,617600,0.02343
1987-12-15,0.281162,0.284094,0.278231,0.284094,2553600,0.02343
1987-12-16,0.284094,0.298737,0.278231,0.298737,1952000,0.02343
1987-12-17,0.304593,0.322168,0.301662,0.310449,1568000,0.02343
1987-12-18,0.310449,0.310449,0.301661,0.304593,1027200,0.02343
1987-12-21,0.304593,0.316312,0.304593,0.310449,416000,0.02343
1987-12-22,0.304593,0.31338,0.304593,0.31338,758400,0.02343
1987-12-23,0.319236,0.319236,0.310449,0.319236,668800,0.02343
1987-12-24,0.322167,0.325091,0.319235,0.322167,108800,0.02343
1987-12-28,0.316312,0.316312,0.301662,0.310449,355200,0.02343
1987-12-29,0.298737,0.304593,0.292874,0.298737,640000,0.02343
1987-12-30,0.298737,0.307524,0.295805,0.298737,588800,0.02343
1987-12-31,0.298737,0.307525,0.298737,0.304593,620800,0.02343
1988-01-04,0.310448,0.328023,0.307524,0.328023,608000,0.02343
1988-01-05,0.328023,0.33681,0.328023,0.328023,1334400,0.02343
1988-01-06,0.328023,0.328023,0.319236,0.328023,531200,0.02343
1988-01-07,0.330955,0.342666,0.328023,0.342666,944000,0.02343
1988-01-08,0.339734,0.342666,0.328023,0.328023,473600,0.02343
1988-01-11,0.310449,0.319236,0.307525,0.319236,473600,0.02343
1988-01-12,0.322167,0.325091,0.304593,0.31338,1299200,0.02343
1988-01-13,0.307525,0.310449,0.304593,0.310449,137600,0.02343
1988-01-14,0.307525,0.310449,0.304593,0.304593,137600,0.02343
1988-01-15,0.316311,0.325091,0.316311,0.322167,403200,0.02343
1988-01-18,0.319236,0.325092,0.319236,0.325092,102400,0.02343
1988-01-19,0.322167,0.322167,0.319235,0.322167,54400,0.02343
1988-01-20,0.319236,0.319236,0.304593,0.310449,547200,0.02343
1988-01-21,0.307525,0.307525,0.292874,0.295806,918400,0.02343
1988-01-22,0.295806,0.298738,0.292874,0.295806,598400,0.02343
1988-01-25,0.295805,0.295805,0.281162,0.284094,2310400,0.02343
1988-01-26,0.28995,0.28995,0.281162,0.284094,339200,0.02343
1988-01-27,0.287018,0.287018,0.284094,0.287018,403200,0.02343
1988-01-28,0.287018,0.287018,0.284094,0.287018,150400,0.02343
1988-01-29,0.287018,0.28995,0.284094,0.287018,300800,0.02343
1988-02-01,0.284094,0.287018,0.278231,0.284094,2924800,0.02343
1988-02-02,0.28995,0.28995,0.281162,0.287018,579200,0.02343
1988-02-03,0.287018,0.28995,0.287018,0.287018,147200,0.02343
1988-02-04,0.28995,0.28995,0.287018,0.28995,259200,0.02343
1988-02-05,0.287018,0.28995,0.287018,0.287018,233600,0.02343
1988-02-08,0.28995,0.28995,0.287018,0.287018,67200,0.02343
1988-02-09,0.287018,0.28995,0.287018,0.28995,195200,0.02343
1988-02-10,0.287018,0.292874,0.287018,0.292874,470400,0.02343
1988-02-11,0.292874,0.316312,0.292874,0.316312,1180800,0.02343
1988-02-12,0.322167,0.328023,0.322167,0.328023,707200,0.02343
1988-02-16,0.325091,0.328023,0.31338,0.322167,656000,0.02343
1988-02-17,0.322167,0.325091,0.319235,0.322167,128000,0.02343
1988-02-18,0.322168,0.325092,0.319236,0.325092,435200,0.02343
1988-02-19,0.322168,0.333879,0.322168,0.333879,403200,0.02343
1988-02-22,0.330955,0.342667,0.330955,0.339735,1776000,0.02343
1988-02-23,0.342666,0.357309,0.333879,0.357309,2112000,0.02343
1988-02-24,0.354385,0.398314,0.351453,0.392458,6352000,0.02343
1988-02-25,0.395383,0.412957,0.389527,0.410033,5427200,0.02343
1988-02-26,0.404169,0.418812,0.386595,0.407101,1811200,0.02343
1988-02-29,0.401245,0.433455,0.398313,0.433455,3865600,0.02343
1988-03-01,0.442243,0.465673,0.436387,0.442243,6646400,0.02343
1988-03-02,0.453962,0.456893,0.448106,0.45103,1939200,0.02343
1988-03-03,0.456893,0.459817,0.445174,0.45103,1705600,0.02343
1988-03-04,0.45103,0.45103,0.439318,0.445174,924800,0.02343
1988-03-07,0.442242,0.45103,0.442242,0.445174,396800,0.02343
1988-03-08,0.445174,0.462749,0.445174,0.459817,835200,0.02343
1988-03-09,0.459817,0.462749,0.45103,0.45103,547200,0.02343
1988-03-10,0.448106,0.448106,0.398314,0.439319,3289600,0.02343
1988-03-11,0.442243,0.442243,0.418813,0.4276,704000,0.02343
1988-03-14,0.424676,0.439319,0.424676,0.439319,454400,0.02343
1988-03-15,0.439318,0.439318,0.430531,0.430531,188800,0.02343
1988-03-16,0.424676,0.439319,0.424676,0.439319,361600,0.02343
1988-03-17,0.442242,0.45103,0.439318,0.445174,5651200,0.02343
1988-03-18,0.448106,0.480316,0.448106,0.480316,6393600,0.02343
1988-03-21,0.47446,0.515465,0.47446,0.506678,3331200,0.02343
1988-03-22,0.506677,0.559393,0.492034,0.547682,8736000,0.02343
1988-03-23,0.553538,0.559394,0.547683,0.559394,5276800,0.02343
