date,open,high,low,close,volume,adjrate
1980-10-15,5.259778,5.380001,5.259778,5.380001,77600,0.120223
1980-10-16,5.380002,5.665533,5.274806,5.31989,158400,0.120224
1980-10-17,5.274806,5.274806,5.16961,5.184638,33600,0.120223
1980-10-20,5.184638,5.184638,5.124526,5.184638,30400,0.120223
1980-10-21,5.184638,5.274806,5.184638,5.229722,36000,0.120223
1980-10-22,5.229722,5.259778,5.16961,5.16961,28000,0.120223
1980-10-23,5.124527,5.124527,5.034359,5.079443,63600,0.120224
1980-10-24,5.079442,5.184638,4.929163,5.184638,124800,0.120223
1980-10-27,5.109498,5.109498,4.914135,4.974247,63600,0.120223
1980-10-28,4.974247,5.034359,4.974247,5.034359,14800,0.120223
1980-10-29,5.034359,5.109499,5.019331,5.034359,38800,0.120223
1980-10-30,5.034359,5.079442,4.914135,4.929163,11600,0.120223
1980-10-31,4.929163,4.929163,4.869051,4.929163,50000,0.120223
1980-11-03,4.929163,5.229722,4.929163,5.229722,20000,0.120223
1980-11-05,5.410057,5.650504,5.410057,5.410057,183200,0.120223
1980-11-06,5.410057,5.410057,5.364973,5.380001,18800,0.120223
1980-11-07,5.31989,5.31989,5.229722,5.274806,35600,0.120223
1980-11-10,5.304862,5.334918,5.304862,5.304862,26400,0.120224
1980-11-11,5.304862,5.304862,5.229722,5.304862,41600,0.120224
1980-11-12,5.364973,5.425085,5.364973,5.410057,173600,0.120223
1980-11-13,5.470169,5.485197,5.470169,5.485197,230800,0.120223
1980-11-14,5.485197,5.530281,5.410058,5.530281,96400,0.120224
1980-11-17,5.515253,5.515253,5.380002,5.515253,72400,0.120223
1980-11-18,5.515253,5.620449,5.485197,5.560337,49200,0.120224
1980-11-19,5.60542,5.710616,5.60542,5.650504,119600,0.120223
1980-11-20,5.650504,5.966091,5.650504,5.875923,114000,0.120223
1980-11-21,6.026203,6.176482,6.026203,6.161454,89200,0.120223
1980-11-24,6.056259,6.056259,5.860896,6.011175,66800,0.120224
1980-11-25,6.101342,6.311733,6.101342,6.296705,191600,0.120223
1980-11-26,6.296706,6.311734,6.161454,6.221566,78000,0.120223
1980-11-28,6.221566,6.251622,6.176482,6.251622,58800,0.120224
1980-12-01,6.251621,6.266649,6.11637,6.11637,54400,0.120223
1980-12-02,6.011174,6.011174,5.470169,5.620448,103200,0.120223
1980-12-03,5.770728,5.951063,5.770728,5.951063,253600,0.120223
1980-12-04,5.951063,5.966091,5.860895,5.875923,52000,0.120223
1980-12-05,5.770728,5.770728,5.575365,5.7557,70800,0.120223
1980-12-08,5.725643,5.725643,5.319889,5.334917,112400,0.120223
1980-12-09,5.334917,5.425085,5.319889,5.425085,130000,0.120223
1980-12-10,5.410058,5.410058,5.184639,5.31989,43600,0.120224
1980-12-11,5.31989,5.485197,5.214694,5.485197,302400,0.120223
1980-12-12,5.485197,5.665532,5.470169,5.665532,84000,0.120223
1980-12-15,5.710616,5.770728,5.710616,5.770728,135600,0.120224
1980-12-16,5.770728,5.770728,5.710616,5.725644,36800,0.120223
1980-12-17,5.770728,6.101343,5.770728,6.011175,98000,0.120224
1980-12-18,6.071286,6.356817,6.071286,6.11637,82800,0.120223
1980-12-19,6.11637,6.161454,6.071286,6.161454,22800,0.120223
1980-12-22,6.161454,6.221566,6.071286,6.11637,37200,0.120223
1980-12-23,6.116371,6.116371,6.011175,6.011175,39600,0.120224
1980-12-24,6.011175,6.26665,6.011175,6.26665,55600,0.120224
