date,open,high,low,close,volume,adjrate
1981-12-31,3.642684,3.698723,3.586641,3.687517,180700,0.089666
1982-01-04,3.642684,3.687517,3.586641,3.609057,80800,0.089666
1982-01-05,3.553014,3.58664,3.519391,3.519391,152400,0.089666
1982-01-06,3.474558,3.541808,3.407309,3.452142,364000,0.089666
1982-01-07,3.452142,3.485768,3.407309,3.474558,362400,0.089666
1982-01-08,3.407309,3.429725,3.384892,3.407309,270500,0.089666
1982-01-11,3.317643,3.407309,3.21677,3.21677,453800,0.089666
1982-01-12,3.261603,3.306436,3.20556,3.306436,175600,0.089666
1982-01-13,3.272809,3.317642,3.227976,3.261603,154900,0.089666
1982-01-14,3.239183,3.250393,3.21677,3.250393,262900,0.089666
1982-01-15,3.227976,3.250393,3.19435,3.250393,393700,0.089666
1982-01-18,3.227976,3.250393,3.20556,3.250393,83800,0.089666
1982-01-19,3.239183,3.284016,3.183144,3.20556,574000,0.089666
1982-01-20,3.13831,3.21677,3.048644,3.071061,791200,0.089666
1982-01-21,2.992602,3.104688,2.869313,2.880523,296700,0.089666
1982-01-22,2.880523,2.936562,2.82448,2.82448,690900,0.089666
1982-01-25,2.74602,2.790856,2.68998,2.75723,483400,0.089666
1982-01-26,2.802064,2.846897,2.757231,2.779647,330600,0.089666
1982-01-27,2.858106,2.914145,2.790856,2.902939,201900,0.089666
1982-01-28,3.048645,3.160727,2.925356,3.160727,270900,0.089666
1982-01-29,3.138311,3.19435,3.071061,3.183144,206100,0.089666
1982-02-01,3.048645,3.115894,2.981395,3.003812,266200,0.089666
1982-02-02,3.048644,3.093477,3.003811,3.071061,202300,0.089666
1982-02-03,3.048645,3.071061,3.026228,3.026228,37600,0.089666
1982-02-04,3.003812,3.026228,2.981395,3.015018,347100,0.089666
1982-02-05,3.082268,3.127101,3.037435,3.082268,174800,0.089666
1982-02-08,3.059855,3.115894,3.003812,3.026228,85500,0.089666
1982-02-09,3.015018,3.037435,2.981395,3.003812,120200,0.089666
1982-02-10,3.059855,3.093478,3.015018,3.037435,80800,0.089666
1982-02-11,3.026228,3.048645,3.003812,3.048645,76200,0.089666
1982-02-12,3.071061,3.093478,3.037435,3.059855,234500,0.089666
1982-02-16,3.015018,3.037435,2.981395,3.015018,246800,0.089666
1982-02-17,3.059855,3.082268,3.037435,3.059855,215900,0.089666
1982-02-18,3.071061,3.093478,3.048645,3.059855,185800,0.089666
1982-02-19,3.015018,3.048644,2.970189,2.981395,530400,0.089666
1982-02-22,3.003812,3.048645,2.958979,2.958979,106600,0.089666
1982-02-23,2.958979,2.992602,2.925356,2.992602,127400,0.089666
1982-02-24,2.925356,2.958979,2.880523,2.958979,372900,0.089666
1982-02-25,2.958978,2.981395,2.936562,2.947772,265800,0.089666
1982-02-26,2.925356,2.947773,2.90294,2.914146,163800,0.089666
1982-03-01,2.76844,2.891729,2.633937,2.76844,578300,0.089666
1982-03-02,2.656354,2.734814,2.577898,2.600315,591000,0.089666
1982-03-03,2.529839,2.575015,2.473371,2.529839,327600,0.090351
1982-03-04,2.507251,2.552427,2.462076,2.552427,160000,0.090351
1982-03-05,2.575014,2.597602,2.541134,2.597602,295000,0.090351
1982-03-08,2.620191,2.687954,2.541135,2.552427,144700,0.090351
1982-03-09,2.62019,2.687954,2.541135,2.665366,116800,0.090351
1982-03-10,2.642778,2.665366,2.62019,2.631482,108300,0.090351
1982-03-11,2.62019,2.642778,2.586306,2.608894,72300,0.090351
1982-03-12,2.597603,2.620191,2.563723,2.586307,213300,0.090351
1982-03-15,2.62019,2.665366,2.575014,2.642778,127000,0.090351
1982-03-16,2.665366,2.687954,2.631482,2.665366,168000,0.090351
1982-03-17,2.65407,2.665366,2.642778,2.642778,147700,0.090351
1982-03-18,2.665366,2.687954,2.642778,2.665366,726500,0.090351
1982-03-19,2.665366,2.699246,2.620191,2.687954,487200,0.090351
1982-03-22,2.699246,2.710542,2.676658,2.699246,499100,0.090351
1982-03-23,2.721834,2.73313,2.699246,2.710542,374200,0.090351
1982-03-24,2.721834,2.744422,2.699246,2.721834,110400,0.090351
1982-03-25,2.699246,2.73313,2.665366,2.699246,110400,0.090351
1982-03-26,2.710542,2.721834,2.687954,2.687954,27500,0.090351
1982-03-29,2.687953,2.710541,2.65407,2.65407,135900,0.090351
1982-03-30,2.65407,2.676658,2.631482,2.65407,115100,0.090351
1982-03-31,2.642778,2.676657,2.608894,2.608894,83800,0.090351
1982-04-01,2.654071,2.687954,2.608895,2.687954,196800,0.090351
1982-04-02,2.699246,2.710542,2.676658,2.710542,226900,0.090351
1982-04-05,2.676658,2.687954,2.665366,2.665366,111300,0.090351
1982-04-06,2.631482,2.665366,2.597602,2.65407,142200,0.090351
1982-04-07,2.676658,2.699246,2.65407,2.699246,422900,0.090351
1982-04-08,2.676658,2.699246,2.654071,2.687954,203200,0.090351
1982-04-12,2.710542,2.755718,2.665366,2.744422,119300,0.090351
1982-04-13,2.823481,2.925128,2.710542,2.868657,444900,0.090351
1982-04-14,2.834777,2.879952,2.789601,2.789601,138000,0.090351
1982-04-15,2.857364,2.891244,2.82348,2.879952,248000,0.090351
1982-04-16,2.913832,2.93642,2.879952,2.93642,134200,0.090351
1982-04-19,2.90254,2.947716,2.846069,2.925128,119800,0.090351
1982-04-20,2.913832,2.925128,2.891244,2.90254,123600,0.090351
1982-04-21,2.857365,2.913833,2.800893,2.857365,188800,0.090351
1982-04-22,2.879953,2.891245,2.857365,2.857365,462700,0.090351
1982-04-23,2.868657,2.879953,2.857365,2.868657,334400,0.090351
1982-04-26,2.90254,2.925128,2.868656,2.913832,293800,0.090351
1982-04-27,2.902541,2.93642,2.868657,2.868657,293800,0.090351
1982-04-28,2.868657,2.891245,2.846069,2.846069,67300,0.090351
1982-04-29,2.789601,2.857365,2.721834,2.73313,121900,0.090351
1982-04-30,2.744422,2.76701,2.710542,2.721834,240800,0.090351
1982-05-03,2.744421,2.755717,2.721833,2.755717,66400,0.090351
1982-05-04,2.733129,2.755717,2.710541,2.755717,142600,0.090351
1982-05-05,2.73313,2.755718,2.710542,2.721834,200600,0.090351
1982-05-06,2.767009,2.800893,2.721834,2.789601,142600,0.090351
1982-05-07,2.823481,2.846069,2.789601,2.834777,97700,0.090351
1982-05-10,2.834777,2.857365,2.812189,2.812189,129100,0.090351
1982-05-11,2.800893,2.834777,2.76701,2.812189,209100,0.090351
1982-05-12,2.76701,2.812189,2.710542,2.721834,218800,0.090351
1982-05-13,2.676658,2.699246,2.65407,2.665366,205700,0.090351
1982-05-14,2.665366,2.676658,2.642778,2.642778,195100,0.090351
1982-05-17,2.608895,2.654071,2.563723,2.563723,155300,0.090351
1982-05-18,2.484663,2.507251,2.462075,2.484663,489800,0.090351
1982-05-19,2.450783,2.473371,2.428195,2.439487,486000,0.090351
1982-05-20,2.4169,2.462075,2.371724,2.394312,221400,0.090351
1982-05-21,2.4169,2.428196,2.394312,2.4169,132900,0.090351
1982-05-24,2.405608,2.4169,2.38302,2.394312,356900,0.090351
1982-05-25,2.428195,2.439487,2.405607,2.428195,186200,0.090351
1982-05-26,2.394312,2.428195,2.349136,2.360428,193400,0.090351
1982-05-27,2.349136,2.394312,2.292664,2.33784,289100,0.090351
